ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
394575|Forest||Basic Land - Forest|||G|Dragons of Tarkir|Land|Sam Burley|262|G|
394605|Island||Basic Land - Island|||U|Dragons of Tarkir|Land|Florian de Gesincourt|253|U|
394628|Mountain||Basic Land - Mountain|||R|Dragons of Tarkir|Land|Noah Bradley|259|R|
394649|Plains||Basic Land - Plains|||W|Dragons of Tarkir|Land|Sam Burley|250|W|
394722|Swamp||Basic Land - Swamp|||B|Dragons of Tarkir|Land|Noah Bradley|256|B|
394485|Acid-Spewer Dragon|{5}{B}|Creature - Dragon|3|3|Flying, deathtouch<br>Megamorph {5}{B}{B} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i><br>When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.|Dragons of Tarkir|Uncommon|James Zapata|86|Flying, deathtouch<br>Megamorph {5}{B}{B} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i><br>When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.|
394486|Aerie Bowmasters|{2}{G}{G}|Creature - Hound Archer|3|4|Reach <i>(This creature can block creatures with flying.)</i><br>Megamorph {5}{G} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i>|Dragons of Tarkir|Common|Matt Stewart|170|Reach <i>(This creature can block creatures with flying.)</i><br>Megamorph {5}{G} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i>|
394487|Ainok Artillerist|{2}{G}|Creature - Hound Archer|4|1|Ainok Artillerist has reach as long as it has a +1/+1 counter on it. <i>(It can block creatures with flying.)</i>|Dragons of Tarkir|Common|James Paick|171|Ainok Artillerist has reach as long as it has a +1/+1 counter on it. <i>(It can block creatures with flying.)</i>|
394488|Ainok Survivalist|{1}{G}|Creature - Hound Shaman|2|1|Megamorph {1}{G} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i><br>When Ainok Survivalist is turned face up, destroy target artifact or enchantment an opponent controls.|Dragons of Tarkir|Uncommon|Craig J Spearing|172|Megamorph {1}{G} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i><br>When Ainok Survivalist is turned face up, destroy target artifact or enchantment an opponent controls.|
394489|Ambuscade Shaman|{2}{B}|Creature - Orc Shaman|2|2|Whenever Ambuscade Shaman or another creature enters the battlefield under your control, that creature gets +2/+2 until end of turn.<br>Dash {3}{B} <i>(You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)</i>|Dragons of Tarkir|Uncommon|Anthony Palumbo|87|Whenever Ambuscade Shaman or another creature enters the battlefield under your control, that creature gets +2/+2 until end of turn.<br>Dash {3}{B} <i>(You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)</i>|
394490|Anafenza, Kin-Tree Spirit|{W}{W}|Legendary Creature - Spirit Soldier|2|2|Whenever another nontoken creature enters the battlefield under your control, bolster 1. <i>(Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)</i>|Dragons of Tarkir|Rare|Ryan Yee|2|Whenever another nontoken creature enters the battlefield under your control, bolster 1. <i>(Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)</i>|
394491|Ancestral Statue|{4}|Artifact Creature - Golem|3|4|When Ancestral Statue enters the battlefield, return a nonland permanent you control to its owner's hand.|Dragons of Tarkir|Common|Tomasz Jedruszek|234|When Ancestral Statue enters the battlefield, return a nonland permanent you control to its owner's hand.|
394492|Ancient Carp|{4}{U}|Creature - Fish|2|5||Dragons of Tarkir|Common|Christopher Burdett|44||
394493|Anticipate|{1}{U}|Instant|||Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.|Dragons of Tarkir|Common|Lake Hurwitz|45|Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.|
