ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
430645|Forest||Basic Land - Forest|||G|Archenemy: Nicol Bolas|Land|Christine Choi|106|G|
430642|Island||Basic Land - Island|||U|Archenemy: Nicol Bolas|Land|Christine Choi|103|U|
430644|Mountain||Basic Land - Mountain|||R|Archenemy: Nicol Bolas|Land|Christine Choi|105|R|
430641|Plains||Basic Land - Plains|||W|Archenemy: Nicol Bolas|Land|Christine Choi|102|W|
430643|Swamp||Basic Land - Swamp|||B|Archenemy: Nicol Bolas|Land|Christine Choi|104|B|
430661|A Reckoning Approaches||Scheme|||When you set this scheme in motion, look at the top six cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in any order.|Archenemy: Nicol Bolas|Common|Yeong-Hao Han|16|When you set this scheme in motion, look at the top six cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in any order.|
430540|Aegis Angel|{4}{W}{W}|Creature - Angel|5|5|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. <i>(Effects that say "destroy" don't destroy it. A creature with indestructible can't be destroyed by damage.)</i>|Archenemy: Nicol Bolas|Rare|Aleksi Briclot|1|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. <i>(Effects that say "destroy" don't destroy it. A creature with indestructible can't be destroyed by damage.)</i>|
430541|Aerial Responder|{1}{W}{W}|Creature - Dwarf Soldier|2|3|Flying, vigilance, lifelink|Archenemy: Nicol Bolas|Uncommon|Raoul Vitale|2|Flying, vigilance, lifelink|
430542|Anointer of Champions|{W}|Creature - Human Cleric|1|1|{T}: Target attacking creature gets +1/+1 until end of turn.|Archenemy: Nicol Bolas|Uncommon|Anna Steinbauer|3|{T}: Target attacking creature gets +1/+1 until end of turn.|
430570|Archfiend of Depravity|{3}{B}{B}|Creature - Demon|5|4|Flying<br>At the beginning of each opponent's end step, that player chooses up to two creatures he or she controls, then sacrifices the rest.|Archenemy: Nicol Bolas|Rare|Daarken|31|Flying<br>At the beginning of each opponent's end step, that player chooses up to two creatures he or she controls, then sacrifices the rest.|
