ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
413698|Abundant Growth|{G}|Enchantment - Aura|||Enchant land<br>When Abundant Growth enters the battlefield, draw a card.<br>Enchanted land has "{T}: Add one mana of any color to your mana pool."|Eternal Masters|Common|Vincent Proce|156|Enchant land<br>When Abundant Growth enters the battlefield, draw a card.<br>Enchanted land has "{T}: Add one mana of any color to your mana pool."|
413699|Ancestral Mask|{2}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 for each other enchantment on the battlefield.|Eternal Masters|Uncommon|Magali Villeneuve|157|Enchant creature<br>Enchanted creature gets +2/+2 for each other enchantment on the battlefield.|
413620|Animate Dead|{1}{B}|Enchantment - Aura|||Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.|Eternal Masters|Uncommon|Bastien L. Deharme|78|Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.|
413621|Annihilate|{3}{B}{B}|Instant|||Destroy target nonblack creature. It can't be regenerated.<br>Draw a card.|Eternal Masters|Uncommon|Kev Walker|79|Destroy target nonblack creature. It can't be regenerated.<br>Draw a card.|
413581|Arcanis the Omnipotent|{3}{U}{U}{U}|Legendary Creature - Wizard|3|4|{T}: Draw three cards.<br>{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.|Eternal Masters|Rare|Justin Sweet|39|{T}: Draw three cards.<br>{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.|
413700|Argothian Enchantress|{1}{G}|Creature - Human Druid|0|1|Shroud <i>(This creature can't be the target of spells or abilities.)</i><br>Whenever you cast an enchantment spell, draw a card.|Eternal Masters|Mythic Rare|Daren Bader|158|Shroud <i>(This creature can't be the target of spells or abilities.)</i><br>Whenever you cast an enchantment spell, draw a card.|
413737|Armadillo Cloak|{1}{G}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 and has trample.<br>Whenever enchanted creature deals damage, you gain that much life.|Eternal Masters|Uncommon|Wayne Reynolds|195|Enchant creature<br>Enchanted creature gets +2/+2 and has trample.<br>Whenever enchanted creature deals damage, you gain that much life.|
413760|Ashnod's Altar|{3}|Artifact|||Sacrifice a creature: Add {C}{C} to your mana pool.|Eternal Masters|Uncommon|Greg Staples|218|Sacrifice a creature: Add {C}{C} to your mana pool.|
413659|Avarax|{3}{R}{R}|Creature - Beast|3|3|Haste<br>When Avarax enters the battlefield, you may search your library for a card named Avarax, reveal it, and put it into your hand. If you do, shuffle your library.<br>{1}{R}: Avarax gets +1/+0 until end of turn.|Eternal Masters|Common|Greg Staples|117|Haste<br>When Avarax enters the battlefield, you may search your library for a card named Avarax, reveal it, and put it into your hand. If you do, shuffle your library.<br>{1}{R}: Avarax gets +1/+0 until end of turn.|
413543|Aven Riftwatcher|{2}{W}|Creature - Bird Rebel Soldier|2|3|Flying<br>Vanishing 3 <i>(This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.|Eternal Masters|Common|Don Hazeltine|1|Flying<br>Vanishing 3 <i>(This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.|
413544|Balance|{1}{W}|Sorcery|||Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.|Eternal Masters|Mythic Rare|Kev Walker|2|Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.|
413738|Baleful Strix|{U}{B}|Artifact Creature - Bird|1|1|Flying, deathtouch<br>When Baleful Strix enters the battlefield, draw a card.|Eternal Masters|Rare|Nils Hamm|196|Flying, deathtouch<br>When Baleful Strix enters the battlefield, draw a card.|
413545|Ballynock Cohort|{2}{W}|Creature - Kithkin Soldier|2|2|First strike<br>Ballynock Cohort gets +1/+1 as long as you control another white creature.|Eternal Masters|Common|Jesper Ejsing|3|First strike<br>Ballynock Cohort gets +1/+1 as long as you control another white creature.|
413660|Battle Squadron|{3}{R}{R}|Creature - Goblin|*|*|Flying<br>Battle Squadron's power and toughness are each equal to the number of creatures you control.|Eternal Masters|Uncommon|Mark Tedin|118|Flying<br>Battle Squadron's power and toughness are each equal to the number of creatures you control.|
413661|Beetleback Chief|{2}{R}{R}|Creature - Goblin Warrior|2|2|When Beetleback Chief enters the battlefield, put two 1/1 red Goblin creature tokens onto the battlefield.|Eternal Masters|Uncommon|Wayne England|119|When Beetleback Chief enters the battlefield, put two 1/1 red Goblin creature tokens onto the battlefield.|
413546|Benevolent Bodyguard|{W}|Creature - Human Cleric|1|1|Sacrifice Benevolent Bodyguard: Target creature you control gains protection from the color of your choice until end of turn.|Eternal Masters|Common|Roger Raupp|4|Sacrifice Benevolent Bodyguard: Target creature you control gains protection from the color of your choice until end of turn.|
413622|Blightsoil Druid|{1}{B}|Creature - Elf Druid|1|2|{T}, Pay 1 life: Add {G} to your mana pool.|Eternal Masters|Common|Nils Hamm|80|{T}, Pay 1 life: Add {G} to your mana pool.|
413623|Blood Artist|{1}{B}|Creature - Vampire|0|1|Whenever Blood Artist or another creature dies, target player loses 1 life and you gain 1 life.|Eternal Masters|Uncommon|Johannes Voss|81|Whenever Blood Artist or another creature dies, target player loses 1 life and you gain 1 life.|
413739|Bloodbraid Elf|{2}{R}{G}|Creature - Elf Berserker|3|2|Haste<br>Cascade <i>(When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)</i>|Eternal Masters|Uncommon|Raymond Swanland|197|Haste<br>Cascade <i>(When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)</i>|
413778|Bloodfell Caves||Land|||Bloodfell Caves enters the battlefield tapped.<br>When Bloodfell Caves enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|Eternal Masters|Common|Adam Paquette|236|Bloodfell Caves enters the battlefield tapped.<br>When Bloodfell Caves enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|
413779|Blossoming Sands||Land|||Blossoming Sands enters the battlefield tapped.<br>When Blossoming Sands enters the battlefield, you gain 1 life.<br>{T}: Add {G} or {W} to your mana pool.|Eternal Masters|Common|Sam Burley|237|Blossoming Sands enters the battlefield tapped.<br>When Blossoming Sands enters the battlefield, you gain 1 life.<br>{T}: Add {G} or {W} to your mana pool.|
