ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
414412|Abandon Reason|{2}{R}|Instant|||Up to two target creatures each get +1/+0 and gain first strike until end of turn.<br>Madness {1}{R} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|Eldritch Moon|Uncommon|Josh Hass|115|Up to two target creatures each get +1/+0 and gain first strike until end of turn.<br>Madness {1}{R} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|
414408|Abolisher of Bloodlines||Creature - Eldrazi Vampire|6|5|Flying<br>When this creature transforms into Abolisher of Bloodlines, target opponent sacrifices three creatures.|Eldritch Moon|Rare|James Ryman|111|Flying<br>When this creature transforms into Abolisher of Bloodlines, target opponent sacrifices three creatures.|
414290|Abundant Maw|{8}|Creature - Eldrazi Leech|6|4|Emerge {6}{B} <i>(You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)</i><br>When you cast Abundant Maw, target opponent loses 3 life and you gain 3 life.|Eldritch Moon|Uncommon|Greg Staples|1|Emerge {6}{B} <i>(You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)</i><br>When you cast Abundant Maw, target opponent loses 3 life and you gain 3 life.|
414341|Advanced Stitchwing|{3}{U}{U}|Creature - Zombie Horror|3|4|Flying<br>{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.|Eldritch Moon|Uncommon|Johann Bodin|49|Flying<br>{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.|
414413|Alchemist's Greeting|{4}{R}|Sorcery|||Alchemist's Greeting deals 4 damage to target creature.<br>Madness {1}{R} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|Eldritch Moon|Common|Jakub Kasper|116|Alchemist's Greeting deals 4 damage to target creature.<br>Madness {1}{R} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|
414414|Assembled Alphas|{5}{R}|Creature - Wolf|5|5|Whenever Assembled Alphas blocks or becomes blocked by a creature, Assembled Alphas deals 3 damage to that creature and 3 damage to that creature's controller.|Eldritch Moon|Rare|Christopher Moeller|117|Whenever Assembled Alphas blocks or becomes blocked by a creature, Assembled Alphas deals 3 damage to that creature and 3 damage to that creature's controller.|
414500|Aurora of Emrakul||Creature - Eldrazi Reflection|1|4|Flying, deathtouch<br>Whenever Aurora of Emrakul attacks, each opponent loses 3 life.|Eldritch Moon|Uncommon|John Avon|193|Flying, deathtouch<br>Whenever Aurora of Emrakul attacks, each opponent loses 3 life.|
414451|Backwoods Survivalists|{3}{G}|Creature - Human Warrior|4|3|Delirium- Backwoods Survivalists gets +1/+1 and has trample as long as there are four or more card types among cards in your graveyard.|Eldritch Moon|Common|Chris Rallis|150|Delirium- Backwoods Survivalists gets +1/+1 and has trample as long as there are four or more card types among cards in your graveyard.|
414415|Bedlam Reveler|{6}{R}{R}|Creature - Devil Horror|3|4|Bedlam Reveler costs {1} less to cast for each instant and sorcery card in your graveyard.<br>Prowess <i>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</i><br>When Bedlam Reveler enters the battlefield, discard your hand, then draw three cards.|Eldritch Moon|Rare|Jama Jurabaev|118|Bedlam Reveler costs {1} less to cast for each instant and sorcery card in your graveyard.<br>Prowess <i>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</i><br>When Bedlam Reveler enters the battlefield, discard your hand, then draw three cards.|
414302|Blessed Alliance|{1}{W}|Instant|||Escalate {2} <i>(Pay this cost for each mode chosen beyond the first.)</i><br>Choose one or more-<br>• Target player gains 4 life.<br>• Untap up to two target creatures.<br>• Target opponent sacrifices an attacking creature.|Eldritch Moon|Uncommon|Johann Bodin|13|Escalate {2} <i>(Pay this cost for each mode chosen beyond the first.)</i><br>Choose one or more-<br>• Target player gains 4 life.<br>• Untap up to two target creatures.<br>• Target opponent sacrifices an attacking creature.|
