ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
141942|Heartlash Cinder|{1}{R}|Creature - Elemental Warrior|1|1|Haste<br>Chroma- When Heartlash Cinder enters the battlefield, it gets +X/+0 until end of turn, where X is the number of red mana symbols in the mana costs of permanents you control.|Eventide|Common|Steve Prescott|56|Haste<br>Chroma- When Heartlash Cinder enters the battlefield, it gets +X/+0 until end of turn, where X is the number of red mana symbols in the mana costs of permanents you control.|
142010|Inundate|{3}{U}{U}{U}|Sorcery|||Return all nonblue creatures to their owners' hands.|Eventide|Rare|Mark Zug|25|Return all nonblue creatures to their owners' hands.|
142015|Marshdrinker Giant|{3}{G}{G}|Creature - Giant Warrior|4|3|When Marshdrinker Giant enters the battlefield, destroy target Island or Swamp an opponent controls.|Eventide|Uncommon|Daarken|69|When Marshdrinker Giant enters the battlefield, destroy target Island or Swamp an opponent controls.|
142054|Soul Snuffers|{2}{B}{B}|Creature - Elemental Shaman|3|3|When Soul Snuffers enters the battlefield, put a -1/-1 counter on each creature.|Eventide|Uncommon|Izzy|45|When Soul Snuffers enters the battlefield, put a -1/-1 counter on each creature.|
146006|Archon of Justice|{3}{W}{W}|Creature - Archon|4|4|Flying<br>When Archon of Justice dies, exile target permanent.|Eventide|Rare|Jason Chan|1|Flying<br>When Archon of Justice dies, exile target permanent.|
146010|Doomgape|{4}{B/G}{B/G}{B/G}|Creature - Elemental|10|10|Trample<br>At the beginning of your upkeep, sacrifice a creature. You gain life equal to that creature's toughness.|Eventide|Rare|Dave Allsop|120|Trample<br>At the beginning of your upkeep, sacrifice a creature. You gain life equal to that creature's toughness.|
147373|Regal Force|{4}{G}{G}{G}|Creature - Elemental|5|5|When Regal Force enters the battlefield, draw a card for each green creature you control.|Eventide|Rare|Brandon Kitkouski|74|When Regal Force enters the battlefield, draw a card for each green creature you control.|
147413|Hatchet Bully|{3}{R}|Creature - Goblin Warrior|3|3|{2}{R}, {T}, Put a -1/-1 counter on a creature you control: Hatchet Bully deals 2 damage to target creature or player.|Eventide|Uncommon|Paul Bonner|54|{2}{R}, {T}, Put a -1/-1 counter on a creature you control: Hatchet Bully deals 2 damage to target creature or player.|
147437|Lingering Tormentor|{3}{B}|Creature - Spirit|2|2|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>Persist <i>(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)</i>|Eventide|Uncommon|Joshua Hagler|36|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>Persist <i>(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)</i>|
150975|Duergar Assailant|{R/W}|Creature - Dwarf Soldier|1|1|Sacrifice Duergar Assailant: Duergar Assailant deals 1 damage to target attacking or blocking creature.|Eventide|Common|Paul Bonner|136|Sacrifice Duergar Assailant: Duergar Assailant deals 1 damage to target attacking or blocking creature.|
150977|Odious Trow|{B/G}|Creature - Troll|1|1|{1}{B/G}: Regenerate Odious Trow.|Eventide|Common|Warren Mahy|125|{1}{B/G}: Regenerate Odious Trow.|
150986|Nip Gwyllion|{W/B}|Creature - Hag|1|1|Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>|Eventide|Common|Alex Horley-Orlandelli|92|Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>|
150992|Helix Pinnacle|{G}|Enchantment|||Shroud<br>{X}: Put X tower counters on Helix Pinnacle.<br>At the beginning of your upkeep, if there are 100 or more tower counters on Helix Pinnacle, you win the game.|Eventide|Rare|Dan Scott|68|Shroud<br>{X}: Put X tower counters on Helix Pinnacle.<br>At the beginning of your upkeep, if there are 100 or more tower counters on Helix Pinnacle, you win the game.|
150995|Divinity of Pride|{W/B}{W/B}{W/B}{W/B}{W/B}|Creature - Spirit Avatar|4|4|Flying, lifelink<br>Divinity of Pride gets +4/+4 as long as you have 25 or more life.|Eventide|Rare|Greg Staples|86|Flying, lifelink<br>Divinity of Pride gets +4/+4 as long as you have 25 or more life.|
150999|Slippery Bogle|{G/U}|Creature - Beast|1|1|Hexproof <i>(This creature can't be the target of spells or abilities your opponents control.)</i>|Eventide|Common|Dave Allsop|160|Hexproof <i>(This creature can't be the target of spells or abilities your opponents control.)</i>|
151059|Loyal Gyrfalcon|{3}{W}|Creature - Bird|3|3|Defender, flying<br>Whenever you cast a white spell, Loyal Gyrfalcon loses defender until end of turn.|Eventide|Uncommon|Darrell Riche|11|Defender, flying<br>Whenever you cast a white spell, Loyal Gyrfalcon loses defender until end of turn.|
151060|Cauldron Haze|{1}{W/B}|Instant|||Choose any number of target creatures. Each of those creatures gains persist until end of turn. <i>(When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)</i>|Eventide|Uncommon|Brandon Kitkouski|84|Choose any number of target creatures. Each of those creatures gains persist until end of turn. <i>(When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)</i>|
151067|Cinder Pyromancer|{2}{R}|Creature - Elemental Shaman|0|1|{T}: Cinder Pyromancer deals 1 damage to target player.<br>Whenever you cast a red spell, you may untap Cinder Pyromancer.|Eventide|Common|Greg Staples|50|{T}: Cinder Pyromancer deals 1 damage to target player.<br>Whenever you cast a red spell, you may untap Cinder Pyromancer.|
