ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
159328|Akki Coalflinger|{1}{R}{R}|Creature - Goblin Shaman|2|2|First strike<br>{R}, {T}: Attacking creatures gain first strike until end of turn.|Duel Decks: Elves vs. Goblins|Uncommon|Nottsuo|33|First strike<br>{R}, {T}: Attacking creatures gain first strike until end of turn.|
158100|Allosaurus Rider|{5}{G}{G}|Creature - Elf Warrior|||You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.<br>Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.|Duel Decks: Elves vs. Goblins|Rare|Daren Bader|2|You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.<br>Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.|
157950|Ambush Commander|{3}{G}{G}|Creature - Elf|2|2|Forests you control are 1/1 green Elf creatures that are still lands.<br>{1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.|Duel Decks: Elves vs. Goblins|Rare|Lucio Parrillo|1|Forests you control are 1/1 green Elf creatures that are still lands.<br>{1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.|
157915|Boggart Shenanigans|{2}{R}|Tribal Enchantment - Goblin|||Whenever another Goblin you control dies, you may have Boggart Shenanigans deal 1 damage to target player.|Duel Decks: Elves vs. Goblins|Uncommon|Warren Mahy|54|Whenever another Goblin you control dies, you may have Boggart Shenanigans deal 1 damage to target player.|
157928|Clickslither|{1}{R}{R}{R}|Creature - Insect|3|3|Haste<br>Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn.|Duel Decks: Elves vs. Goblins|Rare|Kev Walker|34|Haste<br>Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn.|
159048|Elemental||Creature- Elemental|7|7|Trample|Duel Decks: Elves vs. Goblins|Common|Anthony S. Waters|1|Trample|
159047|Elf Warrior||Creature- Elf Warrior|1|1||Duel Decks: Elves vs. Goblins|Common|Dominick Domingo|2||
158120|Elvish Eulogist|{G}|Creature - Elf Shaman|1|1|Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.|Duel Decks: Elves vs. Goblins|Common|Ben Thompson|3|Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.|
158121|Elvish Harbinger|{2}{G}|Creature - Elf Druid|1|2|When Elvish Harbinger enters the battlefield, you may search your library for an Elf card, reveal it, then shuffle your library and put that card on top of it.<br>{T}: Add one mana of any color to your mana pool.|Duel Decks: Elves vs. Goblins|Uncommon|Larry MacDougall|4|When Elvish Harbinger enters the battlefield, you may search your library for an Elf card, reveal it, then shuffle your library and put that card on top of it.<br>{T}: Add one mana of any color to your mana pool.|
159030|Elvish Promenade|{3}{G}|Tribal Sorcery - Elf|||Put a 1/1 green Elf Warrior creature token onto the battlefield for each Elf you control.|Duel Decks: Elves vs. Goblins|Uncommon|Steve Ellis|20|Put a 1/1 green Elf Warrior creature token onto the battlefield for each Elf you control.|
158136|Elvish Warrior|{G}{G}|Creature - Elf Warrior|2|3||Duel Decks: Elves vs. Goblins|Common|Christopher Moeller|5||
157932|Emberwilde Augur|{1}{R}|Creature - Goblin Shaman|2|1|Sacrifice Emberwilde Augur: Emberwilde Augur deals 3 damage to target player. Activate this ability only during your upkeep.|Duel Decks: Elves vs. Goblins|Common|Brandon Kitkouski|35|Sacrifice Emberwilde Augur: Emberwilde Augur deals 3 damage to target player. Activate this ability only during your upkeep.|
159053|Flamewave Invoker|{2}{R}|Creature - Goblin Mutant|2|2|{7}{R}: Flamewave Invoker deals 5 damage to target player.|Duel Decks: Elves vs. Goblins|Uncommon|Dave Dorman|36|{7}{R}: Flamewave Invoker deals 5 damage to target player.|
157946|Forest||Basic Land - Forest|||G|Duel Decks: Elves vs. Goblins|Land|Glen Angus|28|G|
157948|Forest||Basic Land - Forest|||G|Duel Decks: Elves vs. Goblins|Land|John Avon|29|G|
159042|Forest||Basic Land - Forest|||G|Duel Decks: Elves vs. Goblins|Land|John Avon|30|G|
159041|Forest||Basic Land - Forest|||G|Duel Decks: Elves vs. Goblins|Land|Rob Alexander|31|G|
