ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
5133|Pit Spawn|{4}{B}{B}{B}|Creature - Demon|6|4|First strike<br>At the beginning of your upkeep, sacrifice Pit Spawn unless you pay {B}{B}.<br>Whenever Pit Spawn deals damage to a creature, exile that creature.|Exodus|Rare|mono|7|0.0|||4.266|Thomas M. Baxa|70||First strike<br>At the beginning of your upkeep, sacrifice Pit Spawn unless you pay {B}{B}.<br>Whenever Pit Spawn deals damage to a creature, exile that creature.|0
5139|Dominating Licid|{1}{U}{U}|Creature - Licid|1|1|{1}{U}{U}, {T}: Dominating Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {U} to end this effect.<br>You control enchanted creature.|Exodus|Rare|mono|3|0.0|||4.346|Heather Hudson|30||{1}{U}{U}, {T}: Dominating Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {U} to end this effect.<br>You control enchanted creature.|0
5146|Ertai, Wizard Adept|{2}{U}|Legendary Creature - Human Wizard|1|1|{2}{U}{U}, {T}: Counter target spell.|Exodus|Rare|mono|3|0.0|||4.333|Terese Nielsen|33||{2}{U}{U}, {T}: Counter target spell.|0
5157|Forbid|{1}{U}{U}|Instant|||Buyback—Discard two cards. <i>(You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)</i><br>Counter target spell.|Exodus|Uncommon|mono|3|0.0|||4.38|Scott Kirschner|35||Buyback—Discard two cards. <i>(You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)</i><br>Counter target spell.|0
5171|Mindless Automaton|{4}|Artifact Creature - Construct|0|0|Mindless Automaton enters the battlefield with two +1/+1 counters on it.<br>{1}, Discard a card: Put a +1/+1 counter on Mindless Automaton.<br>Remove two +1/+1 counters from Mindless Automaton: Draw a card.|Exodus|Rare|colorless|4|0.0|||2.912|Brian Snoddy|135||Mindless Automaton enters the battlefield with two +1/+1 counters on it.<br>{1}, Discard a card: Put a +1/+1 counter on Mindless Automaton.<br>Remove two +1/+1 counters from Mindless Automaton: Draw a card.|0
5176|Null Brooch|{4}|Artifact|||{2}, {T}, Discard your hand: Counter target noncreature spell.|Exodus|Rare|colorless|4|0.0|||3.681|DiTerlizzi|136||{2}, {T}, Discard your hand: Counter target noncreature spell.|0
5184|Fighting Chance|{R}|Instant|||For each blocking creature, flip a coin. If you win the flip, prevent all combat damage that would be dealt by that creature this turn.|Exodus|Rare|mono|1|0.0|||2.396|Mike Raabe|82||For each blocking creature, flip a coin. If you win the flip, prevent all combat damage that would be dealt by that creature this turn.|0
5189|Mirozel|{3}{U}|Creature - Illusion|2|3|Flying<br>When Mirozel becomes the target of a spell or ability, return Mirozel to its owner's hand.|Exodus|Uncommon|mono|4|0.0|||1.438|Jim Nelson|41||Flying<br>When Mirozel becomes the target of a spell or ability, return Mirozel to its owner's hand.|0
5200|Plaguebearer|{1}{B}|Creature - Zombie|1|1|{X}{X}{B}: Destroy target nonblack creature with converted mana cost X.|Exodus|Rare|mono|2|0.0|||3.912|Ron Spencer|71||{X}{X}{B}: Destroy target nonblack creature with converted mana cost X.|0
5207|Ravenous Baboons|{3}{R}|Creature - Ape|2|2|When Ravenous Baboons enters the battlefield, destroy target nonbasic land.|Exodus|Rare|mono|4|0.0|||3.842|Daren Bader|97||When Ravenous Baboons enters the battlefield, destroy target nonbasic land.|0
