ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
405092|Arid Mesa||Land|||{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.|Zendikar Expeditions|Mythic Rare|Ryan Yee|24|{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.|
405093|Blood Crypt||Land - Swamp Mountain|||<i>({T}: Add {B} or {R} to your mana pool.)</i><br>As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.|Zendikar Expeditions|Mythic Rare|Min Yum|8|<i>({T}: Add {B} or {R} to your mana pool.)</i><br>As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.|
405094|Bloodstained Mire||Land|||{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library.|Zendikar Expeditions|Mythic Rare|Véronique Meignaud|18|{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library.|
405095|Breeding Pool||Land - Forest Island|||<i>({T}: Add {G} or {U} to your mana pool.)</i><br>As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped.|Zendikar Expeditions|Mythic Rare|Noah Bradley|15|<i>({T}: Add {G} or {U} to your mana pool.)</i><br>As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped.|
405096|Canopy Vista||Land - Forest Plains|||<i>({T}: Add {G} or {W} to your mana pool.)</i><br>Canopy Vista enters the battlefield tapped unless you control two or more basic lands.|Zendikar Expeditions|Mythic Rare|Titus Lunter|5|<i>({T}: Add {G} or {W} to your mana pool.)</i><br>Canopy Vista enters the battlefield tapped unless you control two or more basic lands.|
405097|Cinder Glade||Land - Mountain Forest|||<i>({T}: Add {R} or {G} to your mana pool.)</i><br>Cinder Glade enters the battlefield tapped unless you control two or more basic lands.|Zendikar Expeditions|Mythic Rare|Titus Lunter|4|<i>({T}: Add {R} or {G} to your mana pool.)</i><br>Cinder Glade enters the battlefield tapped unless you control two or more basic lands.|
405098|Flooded Strand||Land|||{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card and put it onto the battlefield. Then shuffle your library.|Zendikar Expeditions|Mythic Rare|Véronique Meignaud|16|{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card and put it onto the battlefield. Then shuffle your library.|
405099|Godless Shrine||Land - Plains Swamp|||<i>({T}: Add {W} or {B} to your mana pool.)</i><br>As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped.|Zendikar Expeditions|Mythic Rare|Noah Bradley|11|<i>({T}: Add {W} or {B} to your mana pool.)</i><br>As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped.|
405100|Hallowed Fountain||Land - Plains Island|||<i>({T}: Add {W} or {U} to your mana pool.)</i><br>As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, Hallowed Fountain enters the battlefield tapped.|Zendikar Expeditions|Mythic Rare|Min Yum|6|<i>({T}: Add {W} or {U} to your mana pool.)</i><br>As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, Hallowed Fountain enters the battlefield tapped.|
405101|Marsh Flats||Land|||{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card and put it onto the battlefield. Then shuffle your library.|Zendikar Expeditions|Mythic Rare|Ryan Yee|21|{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card and put it onto the battlefield. Then shuffle your library.|
405102|Misty Rainforest||Land|||{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card and put it onto the battlefield. Then shuffle your library.|Zendikar Expeditions|Mythic Rare|Ryan Yee|25|{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card and put it onto the battlefield. Then shuffle your library.|
405103|Overgrown Tomb||Land - Swamp Forest|||<i>({T}: Add {B} or {G} to your mana pool.)</i><br>As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, Overgrown Tomb enters the battlefield tapped.|Zendikar Expeditions|Mythic Rare|Noah Bradley|13|<i>({T}: Add {B} or {G} to your mana pool.)</i><br>As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, Overgrown Tomb enters the battlefield tapped.|
