ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
1827|Aeolipile|{2}|Artifact|||{1}, {T}, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.|Fallen Empires|Rare|colorless|2|0.0|||3.652|Heather Hudson|||{1}, {T}, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.|0
1828|Balm of Restoration|{2}|Artifact|||{1}, {T}, Sacrifice Balm of Restoration: Choose one- You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this turn.|Fallen Empires|Rare|colorless|2|0.0|||1.078|Margaret Organ-Kean|||{1}, {T}, Sacrifice Balm of Restoration: Choose one- You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this turn.|0
1829|Conch Horn|{2}|Artifact|||{1}, {T}, Sacrifice Conch Horn: Draw two cards, then put a card from your hand on top of your library.|Fallen Empires|Rare|colorless|2|0.0|||2.471|Phil Foglio|||{1}, {T}, Sacrifice Conch Horn: Draw two cards, then put a card from your hand on top of your library.|0
1830|Delif's Cone|{0}|Artifact|||{T}, Sacrifice Delif's Cone: This turn, when target creature you control attacks and isn't blocked, you may gain life equal to its power. If you do, it assigns no combat damage this turn.|Fallen Empires|Common|colorless|0|0.0|||1.591|Mark Tedin|||{T}, Sacrifice Delif's Cone: This turn, when target creature you control attacks and isn't blocked, you may gain life equal to its power. If you do, it assigns no combat damage this turn.|0
1831|Delif's Cube|{1}|Artifact|||{2}, {T}: This turn, when target creature you control attacks and isn't blocked, it assigns no combat damage this turn and you put a cube counter on Delif's Cube.<br>{2}, Remove a cube counter from Delif's Cube: Regenerate target creature.|Fallen Empires|Rare|colorless|1|0.0|||1.519|Mark Tedin|||{2}, {T}: This turn, when target creature you control attacks and isn't blocked, it assigns no combat damage this turn and you put a cube counter on Delif's Cube.<br>{2}, Remove a cube counter from Delif's Cube: Regenerate target creature.|0
1832|Draconian Cylix|{3}|Artifact|||{2}, {T}, Discard a card at random: Regenerate target creature.|Fallen Empires|Rare|colorless|3|0.0|||1.905|Edward Beard, Jr.|||{2}, {T}, Discard a card at random: Regenerate target creature.|0
1833|Elven Lyre|{2}|Artifact|||{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn.|Fallen Empires|Rare|colorless|2|0.0|||1.525|Kaja Foglio|||{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn.|0
1834|Implements of Sacrifice|{2}|Artifact|||{1}, {T}, Sacrifice Implements of Sacrifice: Add two mana of any one color to your mana pool.|Fallen Empires|Rare|colorless|2|0.0|||2.562|Margaret Organ-Kean|||{1}, {T}, Sacrifice Implements of Sacrifice: Add two mana of any one color to your mana pool.|0
1835|Ring of Renewal|{5}|Artifact|||{5}, {T}: Discard a card at random, then draw two cards.|Fallen Empires|Rare|colorless|5|0.0|||1.417|Douglas Shuler|||{5}, {T}: Discard a card at random, then draw two cards.|0
1836|Spirit Shield|{3}|Artifact|||You may choose not to untap Spirit Shield during your untap step.<br>{2}, {T}: Target creature gets +0/+2 for as long as Spirit Shield remains tapped.|Fallen Empires|Rare|colorless|3|0.0|||1.706|Scott Kirschner|||You may choose not to untap Spirit Shield during your untap step.<br>{2}, {T}: Target creature gets +0/+2 for as long as Spirit Shield remains tapped.|0
1837|Zelyon Sword|{3}|Artifact|||You may choose not to untap Zelyon Sword during your untap step.<br>{3}, {T}: Target creature gets +2/+0 for as long as Zelyon Sword remains tapped.|Fallen Empires|Rare|colorless|3|0.0|||1.523|Scott Kirschner|||You may choose not to untap Zelyon Sword during your untap step.<br>{3}, {T}: Target creature gets +2/+0 for as long as Zelyon Sword remains tapped.|0
1841|Armor Thrull|{2}{B}|Creature - Thrull|1|3|{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.|Fallen Empires|Common|mono|3|0.0|||2.368|Pete Venters|||{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.|0
1842|Basal Thrull|{B}{B}|Creature - Thrull|1|2|{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.|Fallen Empires|Common|mono|2|0.0|||3.2|Kaja Foglio|||{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.|0
1848|Ebon Praetor|{4}{B}{B}|Creature - Avatar Praetor|5|5|First strike, trample<br>At the beginning of your upkeep, put a -2/-2 counter on Ebon Praetor.<br>Sacrifice a creature: Remove a -2/-2 counter from Ebon Praetor. If the sacrificed creature was a Thrull, put a +1/+0 counter on Ebon Praetor. Activate this ability only during your upkeep and only once each turn.|Fallen Empires|Rare|mono|6|0.0|||3.3|Randy Asplund-Faith|||First strike, trample<br>At the beginning of your upkeep, put a -2/-2 counter on Ebon Praetor.<br>Sacrifice a creature: Remove a -2/-2 counter from Ebon Praetor. If the sacrificed creature was a Thrull, put a +1/+0 counter on Ebon Praetor. Activate this ability only during your upkeep and only once each turn.|0
1850|Hymn to Tourach|{B}{B}|Sorcery|||Target player discards two cards at random.|Fallen Empires|Common|mono|2|0.0|||4.888|Susan Van Camp|||Target player discards two cards at random.|0
1863|Order of the Ebon Hand|{B}{B}|Creature - Cleric Knight|2|1|Protection from white<br>{B}: Order of the Ebon Hand gains first strike until end of turn.<br>{B}{B}: Order of the Ebon Hand gets +1/+0 until end of turn.|Fallen Empires|Common|mono|2|0.0|||4.212|Melissa Benson|||Protection from white<br>{B}: Order of the Ebon Hand gains first strike until end of turn.<br>{B}{B}: Order of the Ebon Hand gets +1/+0 until end of turn.|0
1865|Soul Exchange|{B}{B}|Sorcery|||As an additional cost to cast Soul Exchange, exile a creature you control.<br>Return target creature card from your graveyard to the battlefield. Put a +2/+2 counter on that creature if the exiled creature was a Thrull.|Fallen Empires|Uncommon|mono|2|0.0|||3.819|Anthony Waters|||As an additional cost to cast Soul Exchange, exile a creature you control.<br>Return target creature card from your graveyard to the battlefield. Put a +2/+2 counter on that creature if the exiled creature was a Thrull.|0
1866|Thrull Champion|{4}{B}|Creature - Thrull|2|2|Thrull creatures get +1/+1.<br>{T}: Gain control of target Thrull for as long as you control Thrull Champion.|Fallen Empires|Rare|mono|5|0.0|||3.778|Daniel Gelon|||Thrull creatures get +1/+1.<br>{T}: Gain control of target Thrull for as long as you control Thrull Champion.|0
1868|Thrull Wizard|{2}{B}|Creature - Thrull Wizard|1|1|{1}{B}: Counter target black spell unless that spell's controller pays {B} or {3}.|Fallen Empires|Uncommon|mono|3|0.0|||2.435|Anson Maddocks|||{1}{B}: Counter target black spell unless that spell's controller pays {B} or {3}.|0
1869|Tourach's Chant|{1}{B}{B}|Enchantment|||At the beginning of your upkeep, sacrifice Tourach's Chant unless you pay {B}.<br>Whenever a player puts a Forest onto the battlefield, Tourach's Chant deals 3 damage to that player unless he or she puts a -1/-1 counter on a creature he or she controls.|Fallen Empires|Uncommon|mono|3|0.0|||2.694|Richard Kane Ferguson|||At the beginning of your upkeep, sacrifice Tourach's Chant unless you pay {B}.<br>Whenever a player puts a Forest onto the battlefield, Tourach's Chant deals 3 damage to that player unless he or she puts a -1/-1 counter on a creature he or she controls.|0
1870|Tourach's Gate|{1}{B}{B}|Enchantment - Aura|||Enchant land you control<br>Sacrifice a Thrull: Put three time counters on Tourach's Gate.<br>At the beginning of your upkeep, remove a time counter from Tourach's Gate. If there are no time counters on Tourach's Gate, sacrifice it.<br>Enchanted land has "{T}: Attacking creatures you control get +2/-1 until end of turn."|Fallen Empires|Rare|mono|3|0.0|||2.32|Sandra Everingham|||Enchant land you control<br>Sacrifice a Thrull: Put three time counters on Tourach's Gate.<br>At the beginning of your upkeep, remove a time counter from Tourach's Gate. If there are no time counters on Tourach's Gate, sacrifice it.<br>Enchanted land has "{T}: Attacking creatures you control get +2/-1 until end of turn."|0
1871|Deep Spawn|{5}{U}{U}{U}|Creature - Homarid|6|6|Trample<br>At the beginning of your upkeep, sacrifice Deep Spawn unless you put the top two cards of your library into your graveyard.<br>{U}: Deep Spawn gains shroud until end of turn and doesn't untap during your next untap step. Tap Deep Spawn. <i>(A permanent with shroud can't be the target of spells or abilities.)</i>|Fallen Empires|Uncommon|mono|8|0.0|||2.352|Mark Tedin|||Trample<br>At the beginning of your upkeep, sacrifice Deep Spawn unless you put the top two cards of your library into your graveyard.<br>{U}: Deep Spawn gains shroud until end of turn and doesn't untap during your next untap step. Tap Deep Spawn. <i>(A permanent with shroud can't be the target of spells or abilities.)</i>|0
1874|High Tide|{U}|Instant|||Until end of turn, whenever a player taps an Island for mana, that player adds {U} to his or her mana pool <i>(in addition to the mana the land produces)</i>.|Fallen Empires|Common|mono|1|0.0|||4.516|Amy Weber|||Until end of turn, whenever a player taps an Island for mana, that player adds {U} to his or her mana pool <i>(in addition to the mana the land produces)</i>.|0
