ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
1827|Aeolipile|{2}|Artifact|||{1}, {T}, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.|Fallen Empires|Rare|Heather Hudson|1|{1}, {T}, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.|
1828|Balm of Restoration|{2}|Artifact|||{1}, {T}, Sacrifice Balm of Restoration: Choose one- You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this turn.|Fallen Empires|Rare|Margaret Organ-Kean|2|{1}, {T}, Sacrifice Balm of Restoration: Choose one- You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this turn.|
1829|Conch Horn|{2}|Artifact|||{1}, {T}, Sacrifice Conch Horn: Draw two cards, then put a card from your hand on top of your library.|Fallen Empires|Rare|Phil Foglio|3|{1}, {T}, Sacrifice Conch Horn: Draw two cards, then put a card from your hand on top of your library.|
1830|Delif's Cone|{0}|Artifact|||{T}, Sacrifice Delif's Cone: This turn, when target creature you control attacks and isn't blocked, you may gain life equal to its power. If you do, it assigns no combat damage this turn.|Fallen Empires|Common|Mark Tedin|4|{T}, Sacrifice Delif's Cone: This turn, when target creature you control attacks and isn't blocked, you may gain life equal to its power. If you do, it assigns no combat damage this turn.|
1831|Delif's Cube|{1}|Artifact|||{2}, {T}: This turn, when target creature you control attacks and isn't blocked, it assigns no combat damage this turn and you put a cube counter on Delif's Cube.<br>{2}, Remove a cube counter from Delif's Cube: Regenerate target creature.|Fallen Empires|Rare|Mark Tedin|5|{2}, {T}: This turn, when target creature you control attacks and isn't blocked, it assigns no combat damage this turn and you put a cube counter on Delif's Cube.<br>{2}, Remove a cube counter from Delif's Cube: Regenerate target creature.|
1832|Draconian Cylix|{3}|Artifact|||{2}, {T}, Discard a card at random: Regenerate target creature.|Fallen Empires|Rare|Edward Beard, Jr.|6|{2}, {T}, Discard a card at random: Regenerate target creature.|
1833|Elven Lyre|{2}|Artifact|||{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn.|Fallen Empires|Rare|Kaja Foglio|7|{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn.|
1834|Implements of Sacrifice|{2}|Artifact|||{1}, {T}, Sacrifice Implements of Sacrifice: Add two mana of any one color to your mana pool.|Fallen Empires|Rare|Margaret Organ-Kean|8|{1}, {T}, Sacrifice Implements of Sacrifice: Add two mana of any one color to your mana pool.|
1835|Ring of Renewal|{5}|Artifact|||{5}, {T}: Discard a card at random, then draw two cards.|Fallen Empires|Rare|Douglas Shuler|9|{5}, {T}: Discard a card at random, then draw two cards.|
1836|Spirit Shield|{3}|Artifact|||You may choose not to untap Spirit Shield during your untap step.<br>{2}, {T}: Target creature gets +0/+2 for as long as Spirit Shield remains tapped.|Fallen Empires|Rare|Scott Kirschner|10|You may choose not to untap Spirit Shield during your untap step.<br>{2}, {T}: Target creature gets +0/+2 for as long as Spirit Shield remains tapped.|
1837|Zelyon Sword|{3}|Artifact|||You may choose not to untap Zelyon Sword during your untap step.<br>{3}, {T}: Target creature gets +2/+0 for as long as Zelyon Sword remains tapped.|Fallen Empires|Rare|Scott Kirschner|11|You may choose not to untap Zelyon Sword during your untap step.<br>{3}, {T}: Target creature gets +2/+0 for as long as Zelyon Sword remains tapped.|
