ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
391836|Forest||Basic Land - Forest|||G|Fate Reforged|Land|Titus Lunter|184|G|
391859|Island||Basic Land - Island|||U|Fate Reforged|Land|Florian de Gesincourt|178|U|
391885|Mountain||Basic Land - Mountain|||R|Fate Reforged|Land|Noah Bradley|182|R|
391895|Plains||Basic Land - Plains|||W|Fate Reforged|Land|Noah Bradley|176|W|
391934|Swamp||Basic Land - Swamp|||B|Fate Reforged|Land|Sam Burley|180|B|
391781|Abzan Advantage|{1}{W}|Instant|||Target player sacrifices an enchantment. Bolster 1. <i>(Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)</i>|Fate Reforged|Common|Winona Nelson|2|Target player sacrifices an enchantment. Bolster 1. <i>(Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)</i>|
391782|Abzan Beastmaster|{2}{G}|Creature - Hound Shaman|2|1|At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.|Fate Reforged|Uncommon|Winona Nelson|119|At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.|
391783|Abzan Kin-Guard|{3}{G}|Creature - Human Warrior|3|3|Abzan Kin-Guard has lifelink as long as you control a white or black permanent.|Fate Reforged|Uncommon|Craig J Spearing|120|Abzan Kin-Guard has lifelink as long as you control a white or black permanent.|
391784|Abzan Runemark|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2.<br>Enchanted creature has vigilance as long as you control a black or green permanent.|Fate Reforged|Common|James Ryman|3|Enchant creature<br>Enchanted creature gets +2/+2.<br>Enchanted creature has vigilance as long as you control a black or green permanent.|
391785|Abzan Skycaptain|{3}{W}|Creature - Bird Soldier|2|2|Flying<br>When Abzan Skycaptain dies, bolster 2. <i>(Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)</i>|Fate Reforged|Common|Matt Stewart|4|Flying<br>When Abzan Skycaptain dies, bolster 2. <i>(Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)</i>|
391786|Ainok Guide|{1}{G}|Creature - Hound Scout|1|1|When Ainok Guide enters the battlefield, choose one-<br>• Put a +1/+1 counter on Ainok Guide.<br>• Search your library for a basic land card, reveal it, then shuffle your library and put that card on top of it.|Fate Reforged|Common|Lucas Graciano|121|When Ainok Guide enters the battlefield, choose one-<br>• Put a +1/+1 counter on Ainok Guide.<br>• Search your library for a basic land card, reveal it, then shuffle your library and put that card on top of it.|
