ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
394065|Ainok Tracker|{5}{R}|Creature - Hound Scout|3|3|First strike<br>Morph {4}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Ugin's Fate promos|Common|Evan Shipard|96|First strike<br>Morph {4}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
394066|Altar of the Brood|{1}|Artifact|||Whenever another permanent enters the battlefield under your control, each opponent puts the top card of his or her library into his or her graveyard.|Ugin's Fate promos|Rare|Erica Yang|216|Whenever another permanent enters the battlefield under your control, each opponent puts the top card of his or her library into his or her graveyard.|
394067|Arashin War Beast|{5}{G}{G}|Creature - Beast|6|6|Whenever Arashin War Beast deals combat damage to one or more blocking creatures, manifest the top card of your library. <i>(Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)</i>|Ugin's Fate promos|Uncommon|Eric Deschamps|123|Whenever Arashin War Beast deals combat damage to one or more blocking creatures, manifest the top card of your library. <i>(Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)</i>|
394068|Arc Lightning|{2}{R}|Sorcery|||Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.|Ugin's Fate promos|Uncommon|Seb McKinnon|97|Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.|
394069|Briber's Purse|{X}|Artifact|||Briber's Purse enters the battlefield with X gem counters on it.<br>{1}, {T}, Remove a gem counter from Briber's Purse: Target creature can't attack or block this turn.|Ugin's Fate promos|Uncommon|Steve Argyle|217|Briber's Purse enters the battlefield with X gem counters on it.<br>{1}, {T}, Remove a gem counter from Briber's Purse: Target creature can't attack or block this turn.|
394070|Debilitating Injury|{1}{B}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets -2/-2.|Ugin's Fate promos|Common|Slawomir Maniak|68|Enchant creature<br>Enchanted creature gets -2/-2.|
394071|Dragonscale Boon|{3}{G}|Instant|||Put two +1/+1 counters on target creature and untap it.|Ugin's Fate promos|Common|Mark Winters|131|Put two +1/+1 counters on target creature and untap it.|
394072|Fierce Invocation|{4}{R}|Sorcery|||Manifest the top card of your library, then put two +1/+1 counters on it. <i>(To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)</i>|Ugin's Fate promos|Common|Tyler Jacobson|98|Manifest the top card of your library, then put two +1/+1 counters on it. <i>(To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)</i>|
394073|Formless Nurturing|{3}{G}|Sorcery|||Manifest the top card of your library, then put a +1/+1 counter on it. <i>(To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)</i>|Ugin's Fate promos|Common|Cliff Childs|129|Manifest the top card of your library, then put a +1/+1 counter on it. <i>(To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)</i>|
394074|Ghostfire Blade|{1}|Artifact - Equipment|||Equipped creature gets +2/+2.<br>Equip {3}<br>Ghostfire Blade's equip ability costs {2} less to activate if it targets a colorless creature.|Ugin's Fate promos|Rare|Cyril Van Der Haegen|220|Equipped creature gets +2/+2.<br>Equip {3}<br>Ghostfire Blade's equip ability costs {2} less to activate if it targets a colorless creature.|
