ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
125878|Coalition Relic|{3}|Artifact|||{T}: Add one mana of any color to your mana pool.<br>{T}: Put a charge counter on Coalition Relic.<br>At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color to your mana pool for each charge counter removed this way.|Future Sight|Rare|Donato Giancola|161|{T}: Add one mana of any color to your mana pool.<br>{T}: Put a charge counter on Coalition Relic.<br>At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color to your mana pool for each charge counter removed this way.|
126131|Festering March|{3}{B}{B}|Sorcery|||Creatures your opponents control get -1/-1 until end of turn. Exile Festering March with three time counters on it.<br>Suspend 3—{2}{B} <i>(Rather than cast this card from your hand, you may pay {2}{B} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)</i>|Future Sight|Uncommon|Brandon Kitkouski|65|Creatures your opponents control get -1/-1 until end of turn. Exile Festering March with three time counters on it.<br>Suspend 3—{2}{B} <i>(Rather than cast this card from your hand, you may pay {2}{B} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)</i>|
126132|Edge of Autumn|{1}{G}|Sorcery|||If you control four or fewer lands, search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.<br>Cycling—Sacrifice a land. <i>(Sacrifice a land, Discard this card: Draw a card.)</i>|Future Sight|Common|Jean-Sébastien Rossbach|144|If you control four or fewer lands, search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.<br>Cycling—Sacrifice a land. <i>(Sacrifice a land, Discard this card: Draw a card.)</i>|
126134|Shimian Specter|{2}{B}{B}|Creature - Specter|2|2|Flying<br>Whenever Shimian Specter deals combat damage to a player, that player reveals his or her hand. You choose a nonland card from it. Search that player's graveyard, hand, and library for all cards with the same name as that card and exile them. Then that player shuffles his or her library.|Future Sight|Rare|Anthony S. Waters|76|Flying<br>Whenever Shimian Specter deals combat damage to a player, that player reveals his or her hand. You choose a nonland card from it. Search that player's graveyard, hand, and library for all cards with the same name as that card and exile them. Then that player shuffles his or her library.|
126139|Leaden Fists|{2}{U}|Enchantment - Aura|||Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature<br>Enchanted creature gets +3/+3 and doesn't untap during its controller's untap step.|Future Sight|Common|Shishizaru|38|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature<br>Enchanted creature gets +3/+3 and doesn't untap during its controller's untap step.|
126141|Cryptic Annelid|{3}{U}|Creature - Worm Beast|1|4|When Cryptic Annelid enters the battlefield, scry 1, then scry 2, then scry 3. <i>(To scry X, look at the top X cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|Future Sight|Uncommon|Anthony S. Waters|34|When Cryptic Annelid enters the battlefield, scry 1, then scry 2, then scry 3. <i>(To scry X, look at the top X cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|
126143|Blind Phantasm|{2}{U}|Creature - Illusion|2|3||Future Sight|Common|Khang Le|49||
126146|Lost Auramancers|{2}{W}{W}|Creature - Human Wizard|3|3|Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Lost Auramancers dies, if it had no time counters on it, you may search your library for an enchantment card and put it onto the battlefield. If you do, shuffle your library.|Future Sight|Uncommon|Brandon Kitkouski|11|Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Lost Auramancers dies, if it had no time counters on it, you may search your library for an enchantment card and put it onto the battlefield. If you do, shuffle your library.|
126147|Llanowar Empath|{3}{G}|Creature - Elf Shaman|2|2|When Llanowar Empath enters the battlefield, scry 2, then reveal the top card of your library. If it's a creature card, put it into your hand. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|Future Sight|Common|Warren Mahy|130|When Llanowar Empath enters the battlefield, scry 2, then reveal the top card of your library. If it's a creature card, put it into your hand. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|
126148|Putrid Cyclops|{2}{B}|Creature - Zombie Cyclops|3|3|When Putrid Cyclops enters the battlefield, scry 1, then reveal the top card of your library. Putrid Cyclops gets -X/-X until end of turn, where X is that card's converted mana cost. <i>(To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)</i>|Future Sight|Common|Matt Cavotta|75|When Putrid Cyclops enters the battlefield, scry 1, then reveal the top card of your library. Putrid Cyclops gets -X/-X until end of turn, where X is that card's converted mana cost. <i>(To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)</i>|
