ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
455760|Agrus Kos, Wojek Veteran|{3}{R}{W}|Legendary Creature - Human Soldier|3|3|Whenever Agrus Kos, Wojek Veteran attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.|Guild Kit: Boros|Rare|Donato Giancola|83|Whenever Agrus Kos, Wojek Veteran attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.|
455754|Aurelia, the Warleader|{2}{R}{R}{W}{W}|Legendary Creature - Angel|3|4|Flying, vigilance, haste<br>Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.|Guild Kit: Boros|Mythic Rare|Paul Scott Canavan|77|Flying, vigilance, haste<br>Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.|
455757|Bomber Corps|{1}{R}|Creature - Human Soldier|1|2|Battalion- Whenever Bomber Corps and at least two other creatures attack, Bomber Corps deals 1 damage to any target.|Guild Kit: Boros|Common|Chase Stone|80|Battalion- Whenever Bomber Corps and at least two other creatures attack, Bomber Corps deals 1 damage to any target.|
455761|Boros Charm|{R}{W}|Instant|||Choose one-<br>• Boros Charm deals 4 damage to target player or planeswalker.<br>• Permanents you control gain indestructible until end of turn.<br>• Target creature gains double strike until end of turn.|Guild Kit: Boros|Uncommon|Zoltan Boros|84|Choose one-<br>• Boros Charm deals 4 damage to target player or planeswalker.<br>• Permanents you control gain indestructible until end of turn.<br>• Target creature gains double strike until end of turn.|
455755|Boros Elite|{W}|Creature - Human Soldier|1|1|Battalion- Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn.|Guild Kit: Boros|Uncommon|Willian Murai|78|Battalion- Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn.|
455775|Boros Garrison||Land|||Boros Garrison enters the battlefield tapped.<br>When Boros Garrison enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {R}{W}.|Guild Kit: Boros|Common|John Avon|98|Boros Garrison enters the battlefield tapped.<br>When Boros Garrison enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {R}{W}.|
455773|Boros Keyrune|{3}|Artifact|||{T}: Add {R} or {W}.<br>{R}{W}: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. <i>(It deals both first-strike and regular combat damage.)</i>|Guild Kit: Boros|Uncommon|Daniel Ljunggren|96|{T}: Add {R} or {W}.<br>{R}{W}: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. <i>(It deals both first-strike and regular combat damage.)</i>|
455762|Boros Reckoner|{R/W}{R/W}{R/W}|Creature - Minotaur Wizard|3|3|Whenever Boros Reckoner is dealt damage, it deals that much damage to any target.<br>{R/W}: Boros Reckoner gains first strike until end of turn.|Guild Kit: Boros|Rare|Howard Lyon|85|Whenever Boros Reckoner is dealt damage, it deals that much damage to any target.<br>{R/W}: Boros Reckoner gains first strike until end of turn.|
455774|Boros Signet|{2}|Artifact|||{1}, {T}: Add {R}{W}.|Guild Kit: Boros|Common|Mike Sass|97|{1}, {T}: Add {R}{W}.|
455763|Boros Swiftblade|{R}{W}|Creature - Human Soldier|1|2|Double strike|Guild Kit: Boros|Uncommon|Doug Chaffee|86|Double strike|
455764|Brightflame|{X}{R}{R}{W}{W}|Sorcery|||Radiance- Brightflame deals X damage to target creature and each other creature that shares a color with it. You gain life equal to the damage dealt this way.|Guild Kit: Boros|Rare|Dave Dorman|87|Radiance- Brightflame deals X damage to target creature and each other creature that shares a color with it. You gain life equal to the damage dealt this way.|
455756|Daring Skyjek|{1}{W}|Creature - Human Knight|3|1|Battalion- Whenever Daring Skyjek and at least two other creatures attack, Daring Skyjek gains flying until end of turn.|Guild Kit: Boros|Common|Jason Chan|79|Battalion- Whenever Daring Skyjek and at least two other creatures attack, Daring Skyjek gains flying until end of turn.|
455765|Firemane Angel|{3}{R}{W}{W}|Creature - Angel|4|3|Flying, first strike<br>At the beginning of your upkeep, if Firemane Angel is in your graveyard or on the battlefield, you may gain 1 life.<br>{6}{R}{R}{W}{W}: Return Firemane Angel from your graveyard to the battlefield. Activate this ability only during your upkeep.|Guild Kit: Boros|Rare|Matt Cavotta|88|Flying, first strike<br>At the beginning of your upkeep, if Firemane Angel is in your graveyard or on the battlefield, you may gain 1 life.<br>{6}{R}{R}{W}{W}: Return Firemane Angel from your graveyard to the battlefield. Activate this ability only during your upkeep.|
455766|Firemane Avenger|{2}{R}{W}|Creature - Angel|3|3|Flying<br>Battalion- Whenever Firemane Avenger and at least two other creatures attack, Firemane Avenger deals 3 damage to any target and you gain 3 life.|Guild Kit: Boros|Rare|Wayne Reynolds|89|Flying<br>Battalion- Whenever Firemane Avenger and at least two other creatures attack, Firemane Avenger deals 3 damage to any target and you gain 3 life.|
455758|Frenzied Goblin|{R}|Creature - Goblin Berserker|1|1|Whenever Frenzied Goblin attacks, you may pay {R}. If you do, target creature can't block this turn.|Guild Kit: Boros|Uncommon|Carl Critchlow|81|Whenever Frenzied Goblin attacks, you may pay {R}. If you do, target creature can't block this turn.|
455759|Legion Loyalist|{R}|Creature - Goblin Soldier|1|1|Haste<br>Battalion- Whenever Legion Loyalist and at least two other creatures attack, creatures you control gain first strike and trample until end of turn and can't be blocked by creature tokens this turn.|Guild Kit: Boros|Rare|Eric Deschamps|82|Haste<br>Battalion- Whenever Legion Loyalist and at least two other creatures attack, creatures you control gain first strike and trample until end of turn and can't be blocked by creature tokens this turn.|
455767|Lightning Helix|{R}{W}|Instant|||Lightning Helix deals 3 damage to any target and you gain 3 life.|Guild Kit: Boros|Uncommon|Kev Walker|90|Lightning Helix deals 3 damage to any target and you gain 3 life.|
455768|Martial Glory|{R}{W}|Instant|||Target creature gets +3/+0 until end of turn.<br>Target creature gets +0/+3 until end of turn.|Guild Kit: Boros|Common|Raymond Swanland|91|Target creature gets +3/+0 until end of turn.<br>Target creature gets +0/+3 until end of turn.|
455769|Master Warcraft|{2}{R/W}{R/W}|Instant|||Cast this spell only before attackers are declared.<br>You choose which creatures attack this turn.<br>You choose which creatures block this turn and how those creatures block.|Guild Kit: Boros|Rare|Zoltan Boros & Gabor Szikszai|92|Cast this spell only before attackers are declared.<br>You choose which creatures attack this turn.<br>You choose which creatures block this turn and how those creatures block.|
455778|Mountain||Basic Land-- Mountain|||R|Guild Kit: Boros|Land|Noah Bradley|101|R|
455777|Plains||Basic Land-- Plains|||W|Guild Kit: Boros|Land|Yeong-Hao Han|100|W|
455770|Razia, Boros Archangel|{4}{R}{R}{W}{W}|Legendary Creature - Angel|6|3|Flying, vigilance, haste<br>{T}: The next 3 damage that would be dealt to target creature you control this turn is dealt to another target creature instead.|Guild Kit: Boros|Rare|Donato Giancola|93|Flying, vigilance, haste<br>{T}: The next 3 damage that would be dealt to target creature you control this turn is dealt to another target creature instead.|
455771|Spark Trooper|{1}{R}{R}{W}|Creature - Elemental Soldier|6|1|Trample, lifelink, haste<br>At the beginning of the end step, sacrifice Spark Trooper.|Guild Kit: Boros|Rare|James Ryman|94|Trample, lifelink, haste<br>At the beginning of the end step, sacrifice Spark Trooper.|
455772|Sunhome Guildmage|{R}{W}|Creature - Human Wizard|2|2|{1}{R}{W}: Creatures you control get +1/+0 until end of turn.<br>{2}{R}{W}: Create a 1/1 red and white Soldier creature token with haste.|Guild Kit: Boros|Uncommon|Eric Deschamps|95|{1}{R}{W}: Creatures you control get +1/+0 until end of turn.<br>{2}{R}{W}: Create a 1/1 red and white Soldier creature token with haste.|
455776|Sunhome, Fortress of the Legion||Land|||{T}: Add {C}.<br>{2}{R}{W}, {T}: Target creature gains double strike until end of turn.|Guild Kit: Boros|Uncommon|Martina Pilcerova|99|{T}: Add {C}.<br>{2}{R}{W}, {T}: Target creature gains double strike until end of turn.|
