ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
455911|Call of the Nightwing|{2}{U}{B}|Sorcery|||Create a 1/1 blue and black Horror creature token with flying.<br>Cipher <i>(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)</i>|Guild Kit: Dimir|Uncommon|Adam Paquette|8|Create a 1/1 blue and black Horror creature token with flying.<br>Cipher <i>(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)</i>|
455912|Circu, Dimir Lobotomist|{2}{U}{B}|Legendary Creature - Human Wizard|2|3|Whenever you cast a blue spell, exile the top card of target player's library.<br>Whenever you cast a black spell, exile the top card of target player's library.<br>Your opponents can't cast spells with the same name as a card exiled with Circu, Dimir Lobotomist.|Guild Kit: Dimir|Rare|Cyril Van Der Haegen|9|Whenever you cast a blue spell, exile the top card of target player's library.<br>Whenever you cast a black spell, exile the top card of target player's library.<br>Your opponents can't cast spells with the same name as a card exiled with Circu, Dimir Lobotomist.|
455913|Consuming Aberration|{3}{U}{B}|Creature - Horror|*|*|Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.<br>Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.|Guild Kit: Dimir|Rare|Karl Kopinski|10|Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.<br>Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.|
455926|Dimir Aqueduct||Land|||Dimir Aqueduct enters the battlefield tapped.<br>When Dimir Aqueduct enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {U}{B}.|Guild Kit: Dimir|Common|John Avon|23|Dimir Aqueduct enters the battlefield tapped.<br>When Dimir Aqueduct enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {U}{B}.|
455914|Dimir Charm|{U}{B}|Instant|||Choose one-<br>• Counter target sorcery spell.<br>• Destroy target creature with power 2 or less.<br>• Look at the top three cards of target player's library. Put one back and the rest into that player's graveyard.|Guild Kit: Dimir|Uncommon|Zoltan Boros|11|Choose one-<br>• Counter target sorcery spell.<br>• Destroy target creature with power 2 or less.<br>• Look at the top three cards of target player's library. Put one back and the rest into that player's graveyard.|
455915|Dimir Doppelganger|{1}{U}{B}|Creature - Shapeshifter|0|2|{1}{U}{B}: Exile target creature card from a graveyard. Dimir Doppelganger becomes a copy of that card, except it has this ability.|Guild Kit: Dimir|Rare|Jim Murray|12|{1}{U}{B}: Exile target creature card from a graveyard. Dimir Doppelganger becomes a copy of that card, except it has this ability.|
455916|Dimir Guildmage|{U/B}{U/B}|Creature - Human Wizard|2|2|<i>({U/B} can be paid with either {U} or {B}.)</i><br>{3}{U}: Target player draws a card. Activate this ability only any time you could cast a sorcery.<br>{3}{B}: Target player discards a card. Activate this ability only any time you could cast a sorcery.|Guild Kit: Dimir|Uncommon|Adam Rex|13|<i>({U/B} can be paid with either {U} or {B}.)</i><br>{3}{U}: Target player draws a card. Activate this ability only any time you could cast a sorcery.<br>{3}{B}: Target player discards a card. Activate this ability only any time you could cast a sorcery.|
455925|Dimir Signet|{2}|Artifact|||{1}, {T}: Add {U}{B}.|Guild Kit: Dimir|Common|Raoul Vitale|22|{1}, {T}: Add {U}{B}.|
455917|Dinrova Horror|{4}{U}{B}|Creature - Horror|4|4|When Dinrova Horror enters the battlefield, return target permanent to its owner's hand, then that player discards a card.|Guild Kit: Dimir|Uncommon|Johann Bodin|14|When Dinrova Horror enters the battlefield, return target permanent to its owner's hand, then that player discards a card.|
455904|Etrata, the Silencer|{2}{U}{B}|Legendary Creature - Vampire Assassin|3|5|Etrata, the Silencer can't be blocked.<br>Whenever Etrata deals combat damage to a player, exile target creature that player controls and put a hit counter on that card. That player loses the game if they own three or more exiled cards with hit counters on them. Etrata's owner shuffles Etrata into their library.|Guild Kit: Dimir|Rare|Igor Kieryluk|1|Etrata, the Silencer can't be blocked.<br>Whenever Etrata deals combat damage to a player, exile target creature that player controls and put a hit counter on that card. That player loses the game if they own three or more exiled cards with hit counters on them. Etrata's owner shuffles Etrata into their library.|
455918|Glimpse the Unthinkable|{U}{B}|Sorcery|||Target player puts the top ten cards of their library into their graveyard.|Guild Kit: Dimir|Rare|Brandon Kitkouski|15|Target player puts the top ten cards of their library into their graveyard.|
455927|Island||Basic Land-- Island|||U|Guild Kit: Dimir|Land|Jung Park|24|U|
455908|Last Gasp|{1}{B}|Instant|||Target creature gets -3/-3 until end of turn.|Guild Kit: Dimir|Common|Thomas M. Baxa|5|Target creature gets -3/-3 until end of turn.|
455919|Lazav, Dimir Mastermind|{U}{U}{B}{B}|Legendary Creature - Shapeshifter|3|3|Hexproof<br>Whenever a creature card is put into an opponent's graveyard from anywhere, you may have Lazav, Dimir Mastermind become a copy of that card, except its name is Lazav, Dimir Mastermind, it's legendary in addition to its other types, and it has hexproof and this ability.|Guild Kit: Dimir|Mythic Rare|David Rapoza|16|Hexproof<br>Whenever a creature card is put into an opponent's graveyard from anywhere, you may have Lazav, Dimir Mastermind become a copy of that card, except its name is Lazav, Dimir Mastermind, it's legendary in addition to its other types, and it has hexproof and this ability.|
455920|Mirko Vosk, Mind Drinker|{3}{U}{B}|Legendary Creature - Vampire|2|4|Flying<br>Whenever Mirko Vosk, Mind Drinker deals combat damage to a player, that player reveals cards from the top of their library until they reveal four land cards, then puts those cards into their graveyard.|Guild Kit: Dimir|Rare|Chase Stone|17|Flying<br>Whenever Mirko Vosk, Mind Drinker deals combat damage to a player, that player reveals cards from the top of their library until they reveal four land cards, then puts those cards into their graveyard.|
455921|Moroii|{2}{U}{B}|Creature - Vampire|4|4|Flying<br>At the beginning of your upkeep, you lose 1 life.|Guild Kit: Dimir|Uncommon|Dan Scott|18|Flying<br>At the beginning of your upkeep, you lose 1 life.|
455909|Netherborn Phalanx|{5}{B}|Creature - Horror|2|4|When Netherborn Phalanx enters the battlefield, each opponent loses 1 life for each creature they control.<br>Transmute {1}{B}{B} <i>({1}{B}{B}, Discard this card: Search your library for a card with the same converted mana cost as this card, reveal it, and put it into your hand. Then shuffle your library. Transmute only as a sorcery.)</i>|Guild Kit: Dimir|Uncommon|Christopher Rush|6|When Netherborn Phalanx enters the battlefield, each opponent loses 1 life for each creature they control.<br>Transmute {1}{B}{B} <i>({1}{B}{B}, Discard this card: Search your library for a card with the same converted mana cost as this card, reveal it, and put it into your hand. Then shuffle your library. Transmute only as a sorcery.)</i>|
