ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
456061|Abrupt Decay|{B}{G}|Instant|||This spell can't be countered.<br>Destroy target nonland permanent with converted mana cost 3 or less.|Guild Kit: Golgari|Rare|Svetlin Velinov|57|This spell can't be countered.<br>Destroy target nonland permanent with converted mana cost 3 or less.|
456055|Darkblast|{B}|Instant|||Target creature gets -1/-1 until end of turn.<br>Dredge 3 <i>(If you would draw a card, instead you may put exactly three cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|Guild Kit: Golgari|Uncommon|Randy Gallegos|51|Target creature gets -1/-1 until end of turn.<br>Dredge 3 <i>(If you would draw a card, instead you may put exactly three cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|
456062|Deadbridge Chant|{4}{B}{G}|Enchantment|||When Deadbridge Chant enters the battlefield, put the top ten cards of your library into your graveyard.<br>At the beginning of your upkeep, choose a card at random in your graveyard. If it's a creature card, put it onto the battlefield. Otherwise, put it into your hand.|Guild Kit: Golgari|Mythic Rare|Zoltan Boros|58|When Deadbridge Chant enters the battlefield, put the top ten cards of your library into your graveyard.<br>At the beginning of your upkeep, choose a card at random in your graveyard. If it's a creature card, put it onto the battlefield. Otherwise, put it into your hand.|
456059|Deadbridge Goliath|{2}{G}{G}|Creature - Insect|5|5|Scavenge {4}{G}{G} <i>({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)</i>|Guild Kit: Golgari|Rare|Chase Stone|55|Scavenge {4}{G}{G} <i>({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)</i>|
456063|Deathrite Shaman|{B/G}|Creature - Elf Shaman|1|2|{T}: Exile target land card from a graveyard. Add one mana of any color.<br>{B}, {T}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.<br>{G}, {T}: Exile target creature card from a graveyard. You gain 2 life.|Guild Kit: Golgari|Rare|Steve Argyle|59|{T}: Exile target land card from a graveyard. Add one mana of any color.<br>{B}, {T}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.<br>{G}, {T}: Exile target creature card from a graveyard. You gain 2 life.|
456064|Drown in Filth|{B}{G}|Sorcery|||Choose target creature. Put the top four cards of your library into your graveyard, then that creature gets -1/-1 until end of turn for each land card in your graveyard.|Guild Kit: Golgari|Common|Seb McKinnon|60|Choose target creature. Put the top four cards of your library into your graveyard, then that creature gets -1/-1 until end of turn for each land card in your graveyard.|
456060|Elves of Deep Shadow|{G}|Creature - Elf Druid|1|1|{T}: Add {B}. Elves of Deep Shadow deals 1 damage to you.|Guild Kit: Golgari|Common|Justin Sweet|56|{T}: Add {B}. Elves of Deep Shadow deals 1 damage to you.|
456080|Forest||Basic Land-- Forest|||G|Guild Kit: Golgari|Land|Svetlin Velinov|76|G|
456065|Gaze of Granite|{X}{B}{B}{G}|Sorcery|||Destroy each nonland permanent with converted mana cost X or less.|Guild Kit: Golgari|Rare|Nils Hamm|61|Destroy each nonland permanent with converted mana cost X or less.|
456066|Golgari Charm|{B}{G}|Instant|||Choose one-<br>• All creatures get -1/-1 until end of turn.<br>• Destroy target enchantment.<br>• Regenerate each creature you control.|Guild Kit: Golgari|Uncommon|Zoltan Boros|62|Choose one-<br>• All creatures get -1/-1 until end of turn.<br>• Destroy target enchantment.<br>• Regenerate each creature you control.|
456078|Golgari Rot Farm||Land|||Golgari Rot Farm enters the battlefield tapped.<br>When Golgari Rot Farm enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {B}{G}.|Guild Kit: Golgari|Common|John Avon|74|Golgari Rot Farm enters the battlefield tapped.<br>When Golgari Rot Farm enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {B}{G}.|
456077|Golgari Signet|{2}|Artifact|||{1}, {T}: Add {B}{G}.|Guild Kit: Golgari|Common|Raoul Vitale|73|{1}, {T}: Add {B}{G}.|
456067|Grave-Shell Scarab|{2}{B}{G}{G}|Creature - Insect|4|4|{1}, Sacrifice Grave-Shell Scarab: Draw a card.<br>Dredge 1 <i>(If you would draw a card, instead you may put exactly one card from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|Guild Kit: Golgari|Rare|Pete Venters|63|{1}, Sacrifice Grave-Shell Scarab: Draw a card.<br>Dredge 1 <i>(If you would draw a card, instead you may put exactly one card from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|
456068|Grisly Salvage|{B}{G}|Instant|||Reveal the top five cards of your library. You may put a creature or land card from among them into your hand. Put the rest into your graveyard.|Guild Kit: Golgari|Common|Dave Kendall|64|Reveal the top five cards of your library. You may put a creature or land card from among them into your hand. Put the rest into your graveyard.|
456054|Izoni, Thousand-Eyed|{2}{B}{B}{G}{G}|Legendary Creature - Elf Shaman|2|3|Undergrowth- When Izoni, Thousand-Eyed enters the battlefield, create a 1/1 black and green Insect creature token for each creature card in your graveyard.<br>{B}{G}, Sacrifice another creature: You gain 1 life and draw a card.|Guild Kit: Golgari|Rare|Winona Nelson|50|Undergrowth- When Izoni, Thousand-Eyed enters the battlefield, create a 1/1 black and green Insect creature token for each creature card in your graveyard.<br>{B}{G}, Sacrifice another creature: You gain 1 life and draw a card.|
456069|Jarad, Golgari Lich Lord|{B}{B}{G}{G}|Legendary Creature - Zombie Elf|2|2|Jarad, Golgari Lich Lord gets +1/+1 for each creature card in your graveyard.<br>{1}{B}{G}, Sacrifice another creature: Each opponent loses life equal to the sacrificed creature's power.<br>Sacrifice a Swamp and a Forest: Return Jarad from your graveyard to your hand.|Guild Kit: Golgari|Mythic Rare|Eric Deschamps|65|Jarad, Golgari Lich Lord gets +1/+1 for each creature card in your graveyard.<br>{1}{B}{G}, Sacrifice another creature: Each opponent loses life equal to the sacrificed creature's power.<br>Sacrifice a Swamp and a Forest: Return Jarad from your graveyard to your hand.|
456070|Korozda Guildmage|{B}{G}|Creature - Elf Shaman|2|2|{1}{B}{G}: Target creature gets +1/+1 and gains intimidate until end of turn. <i>(It can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br>{2}{B}{G}, Sacrifice a nontoken creature: Create X 1/1 green Saproling creature tokens, where X is the sacrificed creature's toughness.|Guild Kit: Golgari|Uncommon|Ryan Pancoast|66|{1}{B}{G}: Target creature gets +1/+1 and gains intimidate until end of turn. <i>(It can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br>{2}{B}{G}, Sacrifice a nontoken creature: Create X 1/1 green Saproling creature tokens, where X is the sacrificed creature's toughness.|
456071|Lotleth Troll|{B}{G}|Creature - Zombie Troll|2|1|Trample<br>Discard a creature card: Put a +1/+1 counter on Lotleth Troll.<br>{B}: Regenerate Lotleth Troll.|Guild Kit: Golgari|Rare|Vincent Proce|67|Trample<br>Discard a creature card: Put a +1/+1 counter on Lotleth Troll.<br>{B}: Regenerate Lotleth Troll.|
456072|Putrefy|{1}{B}{G}|Instant|||Destroy target artifact or creature. It can't be regenerated.|Guild Kit: Golgari|Uncommon|Clint Cearley|68|Destroy target artifact or creature. It can't be regenerated.|
456073|Savra, Queen of the Golgari|{2}{B}{G}|Legendary Creature - Elf Shaman|2|2|Whenever you sacrifice a black creature, you may pay 2 life. If you do, each other player sacrifices a creature.<br>Whenever you sacrifice a green creature, you may gain 2 life.|Guild Kit: Golgari|Rare|Scott M. Fischer|69|Whenever you sacrifice a black creature, you may pay 2 life. If you do, each other player sacrifices a creature.<br>Whenever you sacrifice a green creature, you may gain 2 life.|
456074|Shambling Shell|{1}{B}{G}|Creature - Plant Zombie|3|1|Sacrifice Shambling Shell: Put a +1/+1 counter on target creature.<br>Dredge 3 <i>(If you would draw a card, instead you may put exactly three cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|Guild Kit: Golgari|Common|Joel Thomas|70|Sacrifice Shambling Shell: Put a +1/+1 counter on target creature.<br>Dredge 3 <i>(If you would draw a card, instead you may put exactly three cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|
456075|Sisters of Stone Death|{4}{B}{B}{G}{G}|Legendary Creature - Gorgon|7|5|{G}: Target creature blocks Sisters of Stone Death this turn if able.<br>{B}{G}: Exile target creature blocking or blocked by Sisters of Stone Death.<br>{2}{B}: Put a creature card exiled with Sisters of Stone Death onto the battlefield under your control.|Guild Kit: Golgari|Rare|Donato Giancola|71|{G}: Target creature blocks Sisters of Stone Death this turn if able.<br>{B}{G}: Exile target creature blocking or blocked by Sisters of Stone Death.<br>{2}{B}: Put a creature card exiled with Sisters of Stone Death onto the battlefield under your control.|
456056|Slum Reaper|{3}{B}|Creature - Horror|4|2|When Slum Reaper enters the battlefield, each player sacrifices a creature.|Guild Kit: Golgari|Uncommon|Karl Kopinski|52|When Slum Reaper enters the battlefield, each player sacrifices a creature.|
456057|Stinkweed Imp|{2}{B}|Creature - Imp|1|2|Flying<br>Whenever Stinkweed Imp deals combat damage to a creature, destroy that creature.<br>Dredge 5 <i>(If you would draw a card, instead you may put exactly five cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|Guild Kit: Golgari|Common|Nils Hamm|53|Flying<br>Whenever Stinkweed Imp deals combat damage to a creature, destroy that creature.<br>Dredge 5 <i>(If you would draw a card, instead you may put exactly five cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|
456079|Swamp||Basic Land-- Swamp|||B|Guild Kit: Golgari|Land|Florian de Gesincourt|75|B|
456076|Treasured Find|{B}{G}|Sorcery|||Return target card from your graveyard to your hand. Exile Treasured Find.|Guild Kit: Golgari|Uncommon|Jason Chan|72|Return target card from your graveyard to your hand. Exile Treasured Find.|
456058|Vigor Mortis|{2}{B}{B}|Sorcery|||Return target creature card from your graveyard to the battlefield. If {G} was spent to cast Vigor Mortis, that creature enters the battlefield with an additional +1/+1 counter on it.|Guild Kit: Golgari|Uncommon|Dan Scott|54|Return target creature card from your graveyard to the battlefield. If {G} was spent to cast Vigor Mortis, that creature enters the battlefield with an additional +1/+1 counter on it.|
