ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
456235|Turn // Burn (Burn)|{1}{R}|Instant|||Burn deals 2 damage to any target.<br>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>|Guild Kit: Izzet|Uncommon|Ryan Barger|45|Burn deals 2 damage to any target.<br>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>|
456225|Cerebral Vortex|{1}{U}{R}|Instant|||Target player draws two cards, then Cerebral Vortex deals damage to that player equal to the number of cards they've drawn this turn.|Guild Kit: Izzet|Rare|Jeremy Jarvis|35|Target player draws two cards, then Cerebral Vortex deals damage to that player equal to the number of cards they've drawn this turn.|
456218|Char|{2}{R}|Instant|||Char deals 4 damage to any target and 2 damage to you.|Guild Kit: Izzet|Rare|Adam Rex|28|Char deals 4 damage to any target and 2 damage to you.|
456226|Djinn Illuminatus|{5}{U/R}{U/R}|Creature - Djinn|3|5|<i>({U/R} can be paid with either {U} or {R}.)</i><br>Flying<br>Each instant and sorcery spell you cast has replicate. The replicate cost is equal to its mana cost. <i>(When you cast it, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)</i>|Guild Kit: Izzet|Rare|Carl Critchlow|36|<i>({U/R} can be paid with either {U} or {R}.)</i><br>Flying<br>Each instant and sorcery spell you cast has replicate. The replicate cost is equal to its mana cost. <i>(When you cast it, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)</i>|
456219|Electrickery|{R}|Instant|||Electrickery deals 1 damage to target creature you don't control.<br>Overload {1}{R} <i>(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of "target" with "each.")</i>|Guild Kit: Izzet|Common|Greg Staples|29|Electrickery deals 1 damage to target creature you don't control.<br>Overload {1}{R} <i>(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of "target" with "each.")</i>|
456227|Electrolyze|{1}{U}{R}|Instant|||Electrolyze deals 2 damage divided as you choose among one or two targets.<br>Draw a card.|Guild Kit: Izzet|Uncommon|Zoltan Boros & Gabor Szikszai|37|Electrolyze deals 2 damage divided as you choose among one or two targets.<br>Draw a card.|
456228|Gelectrode|{1}{U}{R}|Creature - Weird|0|1|{T}: Gelectrode deals 1 damage to any target.<br>Whenever you cast an instant or sorcery spell, you may untap Gelectrode.|Guild Kit: Izzet|Uncommon|Dan Scott|38|{T}: Gelectrode deals 1 damage to any target.<br>Whenever you cast an instant or sorcery spell, you may untap Gelectrode.|
456220|Goblin Rally|{3}{R}{R}|Sorcery|||Create four 1/1 red Goblin creature tokens.|Guild Kit: Izzet|Uncommon|Nic Klein|30|Create four 1/1 red Goblin creature tokens.|
456221|Guttersnipe|{2}{R}|Creature - Goblin Shaman|2|2|Whenever you cast an instant or sorcery spell, Guttersnipe deals 2 damage to each opponent.|Guild Kit: Izzet|Uncommon|Steve Prescott|31|Whenever you cast an instant or sorcery spell, Guttersnipe deals 2 damage to each opponent.|
456229|Hypersonic Dragon|{3}{U}{R}|Creature - Dragon|4|4|Flying, haste<br>You may cast sorcery spells as though they had flash. <i>(You may cast them any time you could cast an instant.)</i>|Guild Kit: Izzet|Rare|Dan Scott|39|Flying, haste<br>You may cast sorcery spells as though they had flash. <i>(You may cast them any time you could cast an instant.)</i>|
456230|Invoke the Firemind|{X}{U}{U}{R}|Sorcery|||Choose one-<br>• Draw X cards.<br>• Invoke the Firemind deals X damage to any target.|Guild Kit: Izzet|Rare|Zoltan Boros & Gabor Szikszai|40|Choose one-<br>• Draw X cards.<br>• Invoke the Firemind deals X damage to any target.|
456238|Island||Basic Land-- Island|||U|Guild Kit: Izzet|Land|Adam Paquette|48|U|
456237|Izzet Boilerworks||Land|||Izzet Boilerworks enters the battlefield tapped.<br>When Izzet Boilerworks enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {U}{R}.|Guild Kit: Izzet|Common|John Avon|47|Izzet Boilerworks enters the battlefield tapped.<br>When Izzet Boilerworks enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {U}{R}.|
