ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
456365|Advent of the Wurm|{1}{G}{G}{W}|Instant|||Create a 5/5 green Wurm creature token with trample.|Guild Kit: Selesnya|Rare|Lucas Graciano|107|Create a 5/5 green Wurm creature token with trample.|
456366|Armada Wurm|{2}{G}{G}{W}{W}|Creature - Wurm|5|5|Trample<br>When Armada Wurm enters the battlefield, create a 5/5 green Wurm creature token with trample.|Guild Kit: Selesnya|Mythic Rare|Volkan Baga|108|Trample<br>When Armada Wurm enters the battlefield, create a 5/5 green Wurm creature token with trample.|
456367|Call of the Conclave|{G}{W}|Sorcery|||Create a 3/3 green Centaur creature token.|Guild Kit: Selesnya|Uncommon|Terese Nielsen|109|Create a 3/3 green Centaur creature token.|
456368|Centaur Healer|{1}{G}{W}|Creature - Centaur Cleric|3|3|When Centaur Healer enters the battlefield, you gain 3 life.|Guild Kit: Selesnya|Common|Mark Zug|110|When Centaur Healer enters the battlefield, you gain 3 life.|
456361|Devouring Light|{1}{W}{W}|Instant|||Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Exile target attacking or blocking creature.|Guild Kit: Selesnya|Uncommon|Pete Venters|103|Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Exile target attacking or blocking creature.|
456369|Dryad Militant|{G/W}|Creature - Dryad Soldier|2|1|If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead.|Guild Kit: Selesnya|Uncommon|Terese Nielsen|111|If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead.|
456385|Forest||Basic Land-- Forest|||G|Guild Kit: Selesnya|Land|Alayna Danner|127|G|
456363|Gather Courage|{G}|Instant|||Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Target creature gets +2/+2 until end of turn.|Guild Kit: Selesnya|Common|Brian Despain|105|Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Target creature gets +2/+2 until end of turn.|
456370|Glare of Subdual|{2}{G}{W}|Enchantment|||Tap an untapped creature you control: Tap target artifact or creature.|Guild Kit: Selesnya|Rare|Zoltan Boros & Gabor Szikszai|112|Tap an untapped creature you control: Tap target artifact or creature.|
456382|Grove of the Guardian||Land|||{T}: Add {C}.<br>{3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice Grove of the Guardian: Create an 8/8 green and white Elemental creature token with vigilance.|Guild Kit: Selesnya|Rare|Christine Choi|124|{T}: Add {C}.<br>{3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice Grove of the Guardian: Create an 8/8 green and white Elemental creature token with vigilance.|
456371|Growing Ranks|{2}{G/W}{G/W}|Enchantment|||At the beginning of your upkeep, populate. <i>(Create a token that's a copy of a creature token you control.)</i>|Guild Kit: Selesnya|Rare|Seb McKinnon|113|At the beginning of your upkeep, populate. <i>(Create a token that's a copy of a creature token you control.)</i>|
456362|Hour of Reckoning|{4}{W}{W}{W}|Sorcery|||Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Destroy all nontoken creatures.|Guild Kit: Selesnya|Rare|Randy Gallegos|104|Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Destroy all nontoken creatures.|
456372|Loxodon Hierarch|{2}{G}{W}|Creature - Elephant Cleric|4|4|When Loxodon Hierarch enters the battlefield, you gain 4 life.<br>{G}{W}, Sacrifice Loxodon Hierarch: Regenerate each creature you control.|Guild Kit: Selesnya|Rare|Kev Walker|114|When Loxodon Hierarch enters the battlefield, you gain 4 life.<br>{G}{W}, Sacrifice Loxodon Hierarch: Regenerate each creature you control.|
456384|Plains||Basic Land-- Plains|||W|Guild Kit: Selesnya|Land|James Paick|126|W|
456373|Pollenbright Wings|{4}{G}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has flying.<br>Whenever enchanted creature deals combat damage to a player, create that many 1/1 green Saproling creature tokens.|Guild Kit: Selesnya|Uncommon|Terese Nielsen|115|Enchant creature<br>Enchanted creature has flying.<br>Whenever enchanted creature deals combat damage to a player, create that many 1/1 green Saproling creature tokens.|
456374|Privileged Position|{2}{G/W}{G/W}{G/W}|Enchantment|||<i>({G/W} can be paid with either {G} or {W}.)</i><br>Other permanents you control have hexproof. <i>(They can't be the targets of spells or abilities your opponents control.)</i>|Guild Kit: Selesnya|Rare|Wayne England|116|<i>({G/W} can be paid with either {G} or {W}.)</i><br>Other permanents you control have hexproof. <i>(They can't be the targets of spells or abilities your opponents control.)</i>|
456364|Scatter the Seeds|{3}{G}{G}|Instant|||Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Create three 1/1 green Saproling creature tokens.|Guild Kit: Selesnya|Common|Rob Alexander|106|Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Create three 1/1 green Saproling creature tokens.|
456375|Selesnya Charm|{G}{W}|Instant|||Choose one-<br>• Target creature gets +2/+2 and gains trample until end of turn.<br>• Exile target creature with power 5 or greater.<br>• Create a 2/2 white Knight creature token with vigilance.|Guild Kit: Selesnya|Uncommon|Zoltan Boros|117|Choose one-<br>• Target creature gets +2/+2 and gains trample until end of turn.<br>• Exile target creature with power 5 or greater.<br>• Create a 2/2 white Knight creature token with vigilance.|
456376|Selesnya Evangel|{G}{W}|Creature - Elf Shaman|1|2|{1}, {T}, Tap an untapped creature you control: Create a 1/1 green Saproling creature token.|Guild Kit: Selesnya|Common|Rob Alexander|118|{1}, {T}, Tap an untapped creature you control: Create a 1/1 green Saproling creature token.|
456377|Selesnya Guildmage|{G/W}{G/W}|Creature - Elf Wizard|2|2|{3}{G}: Create a 1/1 green Saproling creature token.<br>{3}{W}: Creatures you control get +1/+1 until end of turn.|Guild Kit: Selesnya|Uncommon|Mark Zug|119|{3}{G}: Create a 1/1 green Saproling creature token.<br>{3}{W}: Creatures you control get +1/+1 until end of turn.|
456383|Selesnya Sanctuary||Land|||Selesnya Sanctuary enters the battlefield tapped.<br>When Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {G}{W}.|Guild Kit: Selesnya|Common|John Avon|125|Selesnya Sanctuary enters the battlefield tapped.<br>When Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {G}{W}.|
456381|Selesnya Signet|{2}|Artifact|||{1}, {T}: Add {G}{W}.|Guild Kit: Selesnya|Common|Raoul Vitale|123|{1}, {T}: Add {G}{W}.|
456378|Sundering Growth|{G/W}{G/W}|Instant|||Destroy target artifact or enchantment, then populate. <i>(Create a token that's a copy of a creature token you control.)</i>|Guild Kit: Selesnya|Common|David Palumbo|120|Destroy target artifact or enchantment, then populate. <i>(Create a token that's a copy of a creature token you control.)</i>|
456379|Tolsimir Wolfblood|{4}{G}{W}|Legendary Creature - Elf Warrior|3|4|Other green creatures you control get +1/+1.<br>Other white creatures you control get +1/+1.<br>{T}: Create a legendary 2/2 green and white Wolf creature token named Voja.|Guild Kit: Selesnya|Rare|Donato Giancola|121|Other green creatures you control get +1/+1.<br>Other white creatures you control get +1/+1.<br>{T}: Create a legendary 2/2 green and white Wolf creature token named Voja.|
456360|Trostani, Selesnya's Voice|{G}{G}{W}{W}|Legendary Creature - Dryad|2|5|Whenever another creature enters the battlefield under your control, you gain life equal to that creature's toughness.<br>{1}{G}{W}, {T}: Populate. <i>(Create a token that's a copy of a creature token you control.)</i>|Guild Kit: Selesnya|Mythic Rare|Sidharth Chaturvedi|102|Whenever another creature enters the battlefield under your control, you gain life equal to that creature's toughness.<br>{1}{G}{W}, {T}: Populate. <i>(Create a token that's a copy of a creature token you control.)</i>|
456380|Watchwolf|{G}{W}|Creature - Wolf|3|3||Guild Kit: Selesnya|Uncommon|Kev Walker|122||
