ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
460136|Archon of the Triumvirate|{5}{W}{U}|Creature - Archon|4|5|Flying<br>Whenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. <i>(Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)</i>|Guild Kit: Azorius|Rare|David Rapoza|7|Flying<br>Whenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. <i>(Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)</i>|
460154|Azorius Chancery||Land|||Azorius Chancery enters the battlefield tapped.<br>When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {W}{U}.|Guild Kit: Azorius|Uncommon|John Avon|25|Azorius Chancery enters the battlefield tapped.<br>When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {W}{U}.|
460137|Azorius Charm|{W}{U}|Instant|||Choose one-<br>• Creatures you control gain lifelink until end of turn.<br>• Draw a card.<br>• Put target attacking or blocking creature on top of its owner's library.|Guild Kit: Azorius|Uncommon|Zoltan Boros|8|Choose one-<br>• Creatures you control gain lifelink until end of turn.<br>• Draw a card.<br>• Put target attacking or blocking creature on top of its owner's library.|
460138|Azorius Guildmage|{W/U}{W/U}|Creature - Vedalken Wizard|2|2|{2}{W}: Tap target creature.<br>{2}{U}: Counter target activated ability. <i>(Mana abilities can't be targeted.)</i>|Guild Kit: Azorius|Uncommon|Christopher Moeller|9|{2}{W}: Tap target creature.<br>{2}{U}: Counter target activated ability. <i>(Mana abilities can't be targeted.)</i>|
460131|Azorius Herald|{2}{W}|Creature - Spirit|2|1|Azorius Herald can't be blocked.<br>When Azorius Herald enters the battlefield, you gain 4 life.<br>When Azorius Herald enters the battlefield, sacrifice it unless {U} was spent to cast it.|Guild Kit: Azorius|Uncommon|Justin Sweet|2|Azorius Herald can't be blocked.<br>When Azorius Herald enters the battlefield, you gain 4 life.<br>When Azorius Herald enters the battlefield, sacrifice it unless {U} was spent to cast it.|
460132|Azorius Justiciar|{2}{W}{W}|Creature - Human Wizard|2|2|When Azorius Justiciar enters the battlefield, detain up to two target creatures your opponents control. <i>(Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)</i>|Guild Kit: Azorius|Uncommon|Chris Rahn|3|When Azorius Justiciar enters the battlefield, detain up to two target creatures your opponents control. <i>(Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)</i>|
460152|Azorius Keyrune|{3}|Artifact|||{T}: Add {W} or {U}.<br>{W}{U}: Azorius Keyrune becomes a 2/2 white and blue Bird artifact creature with flying until end of turn.|Guild Kit: Azorius|Uncommon|Daniel Ljunggren|23|{T}: Add {W} or {U}.<br>{W}{U}: Azorius Keyrune becomes a 2/2 white and blue Bird artifact creature with flying until end of turn.|
460153|Azorius Signet|{2}|Artifact|||{1}, {T}: Add {W}{U}.|Guild Kit: Azorius|Uncommon|Raoul Vitale|24|{1}, {T}: Add {W}{U}.|
460134|Court Hussar|{2}{U}|Creature - Vedalken Knight|1|3|Vigilance<br>When Court Hussar enters the battlefield, look at the top three cards of your library, then put one of them into your hand and the rest on the bottom of your library in any order.<br>When Court Hussar enters the battlefield, sacrifice it unless {W} was spent to cast it.|Guild Kit: Azorius|Uncommon|Ron Spears|5|Vigilance<br>When Court Hussar enters the battlefield, look at the top three cards of your library, then put one of them into your hand and the rest on the bottom of your library in any order.<br>When Court Hussar enters the battlefield, sacrifice it unless {W} was spent to cast it.|
460139|Detention Sphere|{1}{W}{U}|Enchantment|||When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.<br>When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their owner's control.|Guild Kit: Azorius|Rare|Kev Walker|10|When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.<br>When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their owner's control.|
