ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
460294|Birds of Paradise|{G}|Creature - Bird|0|1|Flying<br>{T}: Add one mana of any color.|Guild Kit: Gruul|Rare|Marcelo Vignali|82|Flying<br>{T}: Add one mana of any color.|
460299|Borborygmos|{3}{R}{R}{G}{G}|Legendary Creature - Cyclops|6|7|Trample<br>Whenever Borborygmos deals combat damage to a player, put a +1/+1 counter on each creature you control.|Guild Kit: Gruul|Rare|Todd Lockwood|87|Trample<br>Whenever Borborygmos deals combat damage to a player, put a +1/+1 counter on each creature you control.|
460300|Burning-Tree Emissary|{R/G}{R/G}|Creature - Human Shaman|2|2|When Burning-Tree Emissary enters the battlefield, add {R}{G}.|Guild Kit: Gruul|Uncommon|Izzy|88|When Burning-Tree Emissary enters the battlefield, add {R}{G}.|
460301|Burning-Tree Shaman|{1}{R}{G}|Creature - Centaur Shaman|3|4|Whenever a player activates an ability that isn't a mana ability, Burning-Tree Shaman deals 1 damage to that player.|Guild Kit: Gruul|Rare|Dan Scott|89|Whenever a player activates an ability that isn't a mana ability, Burning-Tree Shaman deals 1 damage to that player.|
460318|Forest||Basic Land-- Forest|||G|Guild Kit: Gruul|Land|James Paick|106|G|
460302|Ghor-Clan Rampager|{2}{R}{G}|Creature - Beast|4|4|Trample<br>Bloodrush- {R}{G}, Discard Ghor-Clan Rampager: Target attacking creature gets +4/+4 and gains trample until end of turn.|Guild Kit: Gruul|Uncommon|Charles Urbach|90|Trample<br>Bloodrush- {R}{G}, Discard Ghor-Clan Rampager: Target attacking creature gets +4/+4 and gains trample until end of turn.|
460303|Giant Solifuge|{2}{R/G}{R/G}|Creature - Insect|4|1|<i>({R/G} can be paid with either {R} or {G}.)</i><br>Trample; haste; shroud <i>(This creature can't be the target of spells or abilities.)</i>|Guild Kit: Gruul|Rare|Pat Lee|91|<i>({R/G} can be paid with either {R} or {G}.)</i><br>Trample; haste; shroud <i>(This creature can't be the target of spells or abilities.)</i>|
460304|Gruul Charm|{R}{G}|Instant|||Choose one-<br>• Creatures without flying can't block this turn.<br>• Gain control of all permanents you own.<br>• Gruul Charm deals 3 damage to each creature with flying.|Guild Kit: Gruul|Uncommon|Zoltan Boros|92|Choose one-<br>• Creatures without flying can't block this turn.<br>• Gain control of all permanents you own.<br>• Gruul Charm deals 3 damage to each creature with flying.|
460315|Gruul Signet|{2}|Artifact|||{1}, {T}: Add {R}{G}.|Guild Kit: Gruul|Uncommon|Efrem Palacios|103|{1}, {T}: Add {R}{G}.|
460316|Gruul Turf||Land|||Gruul Turf enters the battlefield tapped.<br>When Gruul Turf enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {R}{G}.|Guild Kit: Gruul|Common|John Avon|104|Gruul Turf enters the battlefield tapped.<br>When Gruul Turf enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {R}{G}.|
460317|Mountain||Basic Land-- Mountain|||R|Guild Kit: Gruul|Land|James Paick|105|R|
