ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
460463|Angel of Despair|{3}{W}{W}{B}{B}|Creature - Angel|5|5|Flying<br>When Angel of Despair enters the battlefield, destroy target permanent.|Guild Kit: Orzhov|Rare|Todd Lockwood|37|Flying<br>When Angel of Despair enters the battlefield, destroy target permanent.|
460455|Belfry Spirit|{3}{W}{W}|Creature - Spirit|1|1|Flying<br>Haunt <i>(When this creature dies, exile it haunting target creature.)</i><br>When Belfry Spirit enters the battlefield or the creature it haunts dies, create two 1/1 black Bat creature tokens with flying.|Guild Kit: Orzhov|Uncommon|Daren Bader|29|Flying<br>Haunt <i>(When this creature dies, exile it haunting target creature.)</i><br>When Belfry Spirit enters the battlefield or the creature it haunts dies, create two 1/1 black Bat creature tokens with flying.|
460464|Deathpact Angel|{3}{W}{B}{B}|Creature - Angel|5|5|Flying<br>When Deathpact Angel dies, create a 1/1 white and black Cleric creature token. It has "{3}{W}{B}{B}, {T}, Sacrifice this creature: Return a card named Deathpact Angel from your graveyard to the battlefield."|Guild Kit: Orzhov|Mythic Rare|Jason Chan|38|Flying<br>When Deathpact Angel dies, create a 1/1 white and black Cleric creature token. It has "{3}{W}{B}{B}, {T}, Sacrifice this creature: Return a card named Deathpact Angel from your graveyard to the battlefield."|
460465|Debtors' Knell|{4}{W/B}{W/B}{W/B}|Enchantment|||<i>({W/B} can be paid with either {W} or {B}.)</i><br>At the beginning of your upkeep, put target creature card from a graveyard onto the battlefield under your control.|Guild Kit: Orzhov|Rare|Kev Walker|39|<i>({W/B} can be paid with either {W} or {B}.)</i><br>At the beginning of your upkeep, put target creature card from a graveyard onto the battlefield under your control.|
460466|Ghost Council of Orzhova|{W}{W}{B}{B}|Legendary Creature - Spirit|4|4|When Ghost Council of Orzhova enters the battlefield, target opponent loses 1 life and you gain 1 life.<br>{1}, Sacrifice a creature: Exile Ghost Council of Orzhova. Return it to the battlefield under its owner's control at the beginning of the next end step.|Guild Kit: Orzhov|Rare|Greg Staples|40|When Ghost Council of Orzhova enters the battlefield, target opponent loses 1 life and you gain 1 life.<br>{1}, Sacrifice a creature: Exile Ghost Council of Orzhova. Return it to the battlefield under its owner's control at the beginning of the next end step.|
460457|Keening Banshee|{2}{B}{B}|Creature - Spirit|2|2|Flying<br>When Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn.|Guild Kit: Orzhov|Uncommon|Robert Bliss|31|Flying<br>When Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn.|
460456|Martyred Rusalka|{W}|Creature - Spirit|1|1|{W}, Sacrifice a creature: Target creature can't attack this turn.|Guild Kit: Orzhov|Uncommon|Alex Horley-Orlandelli|30|{W}, Sacrifice a creature: Target creature can't attack this turn.|
460467|One Thousand Lashes|{2}{W}{B}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.<br>At the beginning of the upkeep of enchanted creature's controller, that player loses 1 life.|Guild Kit: Orzhov|Uncommon|Daarken|41|Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.<br>At the beginning of the upkeep of enchanted creature's controller, that player loses 1 life.|
460475|Orzhov Basilica||Land|||Orzhov Basilica enters the battlefield tapped.<br>When Orzhov Basilica enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {W}{B}.|Guild Kit: Orzhov|Common|John Avon|49|Orzhov Basilica enters the battlefield tapped.<br>When Orzhov Basilica enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {W}{B}.|
460468|Orzhov Charm|{W}{B}|Instant|||Choose one-<br>• Return target creature you control and all Auras you control attached to it to their owner's hand.<br>• Destroy target creature and you lose life equal to its toughness.<br>• Return target creature card with converted mana cost 1 or less from your graveyard to the battlefield.|Guild Kit: Orzhov|Uncommon|Zoltan Boros|42|Choose one-<br>• Return target creature you control and all Auras you control attached to it to their owner's hand.<br>• Destroy target creature and you lose life equal to its toughness.<br>• Return target creature card with converted mana cost 1 or less from your graveyard to the battlefield.|
460469|Orzhov Pontiff|{1}{W}{B}|Creature - Human Cleric|1|1|Haunt <i>(When this creature dies, exile it haunting target creature.)</i><br>When Orzhov Pontiff enters the battlefield or the creature it haunts dies, choose one-<br>• Creatures you control get +1/+1 until end of turn.<br>• Creatures you don't control get -1/-1 until end of turn.|Guild Kit: Orzhov|Rare|Adam Rex|43|Haunt <i>(When this creature dies, exile it haunting target creature.)</i><br>When Orzhov Pontiff enters the battlefield or the creature it haunts dies, choose one-<br>• Creatures you control get +1/+1 until end of turn.<br>• Creatures you don't control get -1/-1 until end of turn.|
460474|Orzhov Signet|{2}|Artifact|||{1}, {T}: Add {W}{B}.|Guild Kit: Orzhov|Common|Martina Pilcerova|48|{1}, {T}: Add {W}{B}.|
460470|Pillory of the Sleepless|{1}{W}{B}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block.<br>Enchanted creature has "At the beginning of your upkeep, you lose 1 life."|Guild Kit: Orzhov|Uncommon|Marc Simonetti|44|Enchant creature<br>Enchanted creature can't attack or block.<br>Enchanted creature has "At the beginning of your upkeep, you lose 1 life."|
460458|Plagued Rusalka|{B}|Creature - Spirit|1|1|{B}, Sacrifice a creature: Target creature gets -1/-1 until end of turn.|Guild Kit: Orzhov|Uncommon|Alex Horley-Orlandelli|32|{B}, Sacrifice a creature: Target creature gets -1/-1 until end of turn.|
460476|Plains||Basic Land-- Plains|||W|Guild Kit: Orzhov|Land|Jenn Ravenna|50|W|
460459|Pontiff of Blight|{4}{B}{B}|Creature - Zombie Cleric|2|7|Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i><br>Other creatures you control have extort. <i>(If a creature has multiple instances of extort, each triggers separately.)</i>|Guild Kit: Orzhov|Rare|Seb McKinnon|33|Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i><br>Other creatures you control have extort. <i>(If a creature has multiple instances of extort, each triggers separately.)</i>|
460471|Sin Collector|{1}{W}{B}|Creature - Human Cleric|2|1|When Sin Collector enters the battlefield, target opponent reveals their hand. You choose an instant or sorcery card from it and exile that card.|Guild Kit: Orzhov|Uncommon|Mike Bierek|45|When Sin Collector enters the battlefield, target opponent reveals their hand. You choose an instant or sorcery card from it and exile that card.|
460460|Skeletal Vampire|{4}{B}{B}|Creature - Vampire Skeleton|3|3|Flying<br>When Skeletal Vampire enters the battlefield, create two 1/1 black Bat creature tokens with flying.<br>{3}{B}{B}, Sacrifice a Bat: Create two 1/1 black Bat creature tokens with flying.<br>Sacrifice a Bat: Regenerate Skeletal Vampire.|Guild Kit: Orzhov|Rare|Wayne Reynolds|34|Flying<br>When Skeletal Vampire enters the battlefield, create two 1/1 black Bat creature tokens with flying.<br>{3}{B}{B}, Sacrifice a Bat: Create two 1/1 black Bat creature tokens with flying.<br>Sacrifice a Bat: Regenerate Skeletal Vampire.|
460461|Stab Wound|{2}{B}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets -2/-2.<br>At the beginning of the upkeep of enchanted creature's controller, that player loses 2 life.|Guild Kit: Orzhov|Uncommon|Scott Chou|35|Enchant creature<br>Enchanted creature gets -2/-2.<br>At the beginning of the upkeep of enchanted creature's controller, that player loses 2 life.|
460477|Swamp||Basic Land-- Swamp|||B|Guild Kit: Orzhov|Land|Jenn Ravenna|51|B|
460454|Teysa, Orzhov Scion|{1}{W}{B}|Legendary Creature - Human Advisor|2|3|Sacrifice three white creatures: Exile target creature.<br>Whenever another black creature you control dies, create a 1/1 white Spirit creature token with flying.|Guild Kit: Orzhov|Rare|Sara Winters|28|Sacrifice three white creatures: Exile target creature.<br>Whenever another black creature you control dies, create a 1/1 white Spirit creature token with flying.|
460472|Treasury Thrull|{4}{W}{B}|Creature - Thrull|4|4|Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i><br>Whenever Treasury Thrull attacks, you may return target artifact, creature, or enchantment card from your graveyard to your hand.|Guild Kit: Orzhov|Rare|Mark Zug|46|Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i><br>Whenever Treasury Thrull attacks, you may return target artifact, creature, or enchantment card from your graveyard to your hand.|
460462|Ultimate Price|{1}{B}|Instant|||Destroy target monocolored creature.|Guild Kit: Orzhov|Uncommon|Karl Kopinski|36|Destroy target monocolored creature.|
460473|Vizkopa Guildmage|{W}{B}|Creature - Human Wizard|2|2|{1}{W}{B}: Target creature gains lifelink until end of turn.<br>{1}{W}{B}: Whenever you gain life this turn, each opponent loses that much life.|Guild Kit: Orzhov|Uncommon|Tyler Jacobson|47|{1}{W}{B}: Target creature gains lifelink until end of turn.<br>{1}{W}{B}: Whenever you gain life this turn, each opponent loses that much life.|
