ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
460606|Auger Spree|{1}{B}{R}|Instant|||Target creature gets +4/-4 until end of turn.|Guild Kit: Rakdos|Common|Raymond Swanland|60|Target creature gets +4/-4 until end of turn.|
460607|Avatar of Discord|{B/R}{B/R}{B/R}|Creature - Avatar|5|3|<i>({B/R} can be paid with either {B} or {R}.)</i><br>Flying<br>When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.|Guild Kit: Rakdos|Rare|rk post|61|<i>({B/R} can be paid with either {B} or {R}.)</i><br>Flying<br>When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.|
460601|Cackling Flames|{3}{R}|Instant|||Cackling Flames deals 3 damage to any target.<br>Hellbent- Cackling Flames deals 5 damage to that permanent or player instead if you have no cards in hand.|Guild Kit: Rakdos|Common|Shishizaru|55|Cackling Flames deals 3 damage to any target.<br>Hellbent- Cackling Flames deals 5 damage to that permanent or player instead if you have no cards in hand.|
460608|Carnival Hellsteed|{4}{B}{R}|Creature - Nightmare Horse|5|4|First strike, haste<br>Unleash <i>(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)</i>|Guild Kit: Rakdos|Rare|Chase Stone|62|First strike, haste<br>Unleash <i>(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)</i>|
460599|Crypt Champion|{3}{B}|Creature - Zombie|2|2|Double strike<br>When Crypt Champion enters the battlefield, each player puts a creature card with converted mana cost 3 or less from their graveyard onto the battlefield.<br>When Crypt Champion enters the battlefield, sacrifice it unless {R} was spent to cast it.|Guild Kit: Rakdos|Uncommon|Pete Venters|53|Double strike<br>When Crypt Champion enters the battlefield, each player puts a creature card with converted mana cost 3 or less from their graveyard onto the battlefield.<br>When Crypt Champion enters the battlefield, sacrifice it unless {R} was spent to cast it.|
460602|Demonfire|{X}{R}|Sorcery|||Demonfire deals X damage to any target. If a creature dealt damage this way would die this turn, exile it instead.<br>Hellbent- If you have no cards in hand, this spell can't be countered and the damage can't be prevented.|Guild Kit: Rakdos|Rare|Greg Staples|56|Demonfire deals X damage to any target. If a creature dealt damage this way would die this turn, exile it instead.<br>Hellbent- If you have no cards in hand, this spell can't be countered and the damage can't be prevented.|
460609|Dreadbore|{B}{R}|Sorcery|||Destroy target creature or planeswalker.|Guild Kit: Rakdos|Rare|Wayne Reynolds|63|Destroy target creature or planeswalker.|
460610|Jagged Poppet|{1}{B}{R}|Creature - Ogre Warrior|3|4|Whenever Jagged Poppet is dealt damage, discard that many cards.<br>Hellbent- Whenever Jagged Poppet deals combat damage to a player, if you have no cards in hand, that player discards cards equal to the damage.|Guild Kit: Rakdos|Uncommon|Jeff Miracola|64|Whenever Jagged Poppet is dealt damage, discard that many cards.<br>Hellbent- Whenever Jagged Poppet deals combat damage to a player, if you have no cards in hand, that player discards cards equal to the damage.|
460611|Lyzolda, the Blood Witch|{1}{B}{R}|Legendary Creature - Human Cleric|3|1|{2}, Sacrifice a creature: Lyzolda, the Blood Witch deals 2 damage to any target if the sacrificed creature was red. Draw a card if the sacrificed creature was black.|Guild Kit: Rakdos|Rare|Jim Nelson|65|{2}, Sacrifice a creature: Lyzolda, the Blood Witch deals 2 damage to any target if the sacrificed creature was red. Draw a card if the sacrificed creature was black.|
460612|Master of Cruelties|{3}{B}{R}|Creature - Demon|1|4|First strike, deathtouch<br>Master of Cruelties can only attack alone.<br>Whenever Master of Cruelties attacks a player and isn't blocked, that player's life total becomes 1. Master of Cruelties assigns no combat damage this combat.|Guild Kit: Rakdos|Mythic Rare|Chase Stone|66|First strike, deathtouch<br>Master of Cruelties can only attack alone.<br>Whenever Master of Cruelties attacks a player and isn't blocked, that player's life total becomes 1. Master of Cruelties assigns no combat damage this combat.|
460625|Mountain||Basic Land-- Mountain|||R|Guild Kit: Rakdos|Land|Dimitar Marinski|79|R|
460613|Rakdos Cackler|{B/R}|Creature - Devil|1|1|Unleash <i>(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)</i>|Guild Kit: Rakdos|Uncommon|Ryan Barger|67|Unleash <i>(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)</i>|
460623|Rakdos Carnarium||Land|||Rakdos Carnarium enters the battlefield tapped.<br>When Rakdos Carnarium enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {B}{R}.|Guild Kit: Rakdos|Common|John Avon|77|Rakdos Carnarium enters the battlefield tapped.<br>When Rakdos Carnarium enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {B}{R}.|
460614|Rakdos Charm|{B}{R}|Instant|||Choose one-<br>• Exile all cards from target player's graveyard.<br>• Destroy target artifact.<br>• Each creature deals 1 damage to its controller.|Guild Kit: Rakdos|Uncommon|Zoltan Boros|68|Choose one-<br>• Exile all cards from target player's graveyard.<br>• Destroy target artifact.<br>• Each creature deals 1 damage to its controller.|
