ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
460767|Cloudfin Raptor|{U}|Creature - Bird Mutant|0|1|Flying<br>Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>|Guild Kit: Simic|Common|Peter Mohrbacher|108|Flying<br>Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>|
460774|Coiling Oracle|{G}{U}|Creature - Snake Elf Druid|1|1|When Coiling Oracle enters the battlefield, reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put that card into your hand.|Guild Kit: Simic|Common|Mark Zug|115|When Coiling Oracle enters the battlefield, reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put that card into your hand.|
460769|Cytoplast Root-Kin|{2}{G}{G}|Creature - Elemental Mutant|0|0|Graft 4 <i>(This creature enters the battlefield with four +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>When Cytoplast Root-Kin enters the battlefield, put a +1/+1 counter on each other creature you control with a +1/+1 counter on it.<br>{2}: Move a +1/+1 counter from target creature you control onto Cytoplast Root-Kin.|Guild Kit: Simic|Rare|Thomas M. Baxa|110|Graft 4 <i>(This creature enters the battlefield with four +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>When Cytoplast Root-Kin enters the battlefield, put a +1/+1 counter on each other creature you control with a +1/+1 counter on it.<br>{2}: Move a +1/+1 counter from target creature you control onto Cytoplast Root-Kin.|
460775|Elusive Krasis|{1}{G}{U}|Creature - Fish Mutant|0|4|Elusive Krasis can't be blocked.<br>Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>|Guild Kit: Simic|Uncommon|Wesley Burt|116|Elusive Krasis can't be blocked.<br>Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>|
460776|Experiment Kraj|{2}{G}{G}{U}{U}|Legendary Creature - Ooze Mutant|4|6|Experiment Kraj has all activated abilities of each other creature with a +1/+1 counter on it.<br>{T}: Put a +1/+1 counter on target creature.|Guild Kit: Simic|Rare|Mark Tedin|117|Experiment Kraj has all activated abilities of each other creature with a +1/+1 counter on it.<br>{T}: Put a +1/+1 counter on target creature.|
460770|Experiment One|{G}|Creature - Human Ooze|1|1|Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i><br>Remove two +1/+1 counters from Experiment One: Regenerate Experiment One.|Guild Kit: Simic|Uncommon|Chase Stone|111|Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i><br>Remove two +1/+1 counters from Experiment One: Regenerate Experiment One.|
460777|Fathom Mage|{2}{G}{U}|Creature - Human Wizard|1|1|Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i><br>Whenever a +1/+1 counter is put on Fathom Mage, you may draw a card.|Guild Kit: Simic|Rare|Ryan Pancoast|118|Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i><br>Whenever a +1/+1 counter is put on Fathom Mage, you may draw a card.|
460792|Forest||Basic Land-- Forest|||G|Guild Kit: Simic|Land|Yeong-Hao Han|133|G|
460771|Gyre Sage|{1}{G}|Creature - Elf Druid|1|2|Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i><br>{T}: Add {G} for each +1/+1 counter on Gyre Sage.|Guild Kit: Simic|Rare|Tyler Jacobson|112|Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i><br>{T}: Add {G} for each +1/+1 counter on Gyre Sage.|
460791|Island||Basic Land-- Island|||U|Guild Kit: Simic|Land|Yeong-Hao Han|132|U|
