ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
456587|Forest||Basic Land-- Forest|||G|Game Night|Land|Noah Bradley|67|G|
456581|Island||Basic Land-- Island|||U|Game Night|Land|Florian de Gesincourt|61|U|
456585|Mountain||Basic Land-- Mountain|||R|Game Night|Land|Florian de Gesincourt|65|R|
456579|Plains||Basic Land-- Plains|||W|Game Night|Land|John Avon|59|W|
456583|Swamp||Basic Land-- Swamp|||B|Game Night|Land|Jonas De Ro|63|B|
456538|Advanced Stitchwing|{3}{U}{U}|Creature - Zombie Horror|3|4|Flying<br>{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.|Game Night|Uncommon|Johann Bodin|18|Flying<br>{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.|
456526|Aerial Responder|{1}{W}{W}|Creature - Dwarf Soldier|2|3|Flying, vigilance, lifelink|Game Night|Uncommon|Raoul Vitale|6|Flying, vigilance, lifelink|
456539|Air Elemental|{3}{U}{U}|Creature - Elemental|4|4|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>|Game Night|Uncommon|Kev Walker|19|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>|
456527|Always Watching|{1}{W}{W}|Enchantment|||Nontoken creatures you control get +1/+1 and have vigilance.|Game Night|Rare|Chase Stone|7|Nontoken creatures you control get +1/+1 and have vigilance.|
456525|Avatar of Growth|{4}{G}{G}|Creature - Elemental Avatar|4|4|This spell costs {1} less to cast for each opponent you have.<br>Trample<br>When Avatar of Growth enters the battlefield, each player searches their library for up to two basic land cards, puts them onto the battlefield, then shuffles their library.|Game Night|Mythic Rare|Grzegorz Rutkowski|5|This spell costs {1} less to cast for each opponent you have.<br>Trample<br>When Avatar of Growth enters the battlefield, each player searches their library for up to two basic land cards, puts them onto the battlefield, then shuffles their library.|
456528|Benalish Marshal|{W}{W}{W}|Creature - Human Knight|3|3|Other creatures you control get +1/+1.|Game Night|Rare|Mark Zug|8|Other creatures you control get +1/+1.|
456557|Bombard|{2}{R}|Instant|||Bombard deals 4 damage to target creature.|Game Night|Common|Alex Konstad|37|Bombard deals 4 damage to target creature.|
456547|Bone Splinters|{B}|Sorcery|||As an additional cost to cast this spell, sacrifice a creature.<br>Destroy target creature.|Game Night|Common|Deruchenko Alexander|27|As an additional cost to cast this spell, sacrifice a creature.<br>Destroy target creature.|
456529|Bright Reprisal|{4}{W}|Instant|||Destroy target attacking creature.<br>Draw a card.|Game Night|Uncommon|Ryan Alexander Lee|9|Destroy target attacking creature.<br>Draw a card.|
456530|Call the Cavalry|{3}{W}|Sorcery|||Create two 2/2 white Knight creature tokens with vigilance.|Game Night|Common|Scott Murphy|10|Create two 2/2 white Knight creature tokens with vigilance.|
456558|Captivating Crew|{3}{R}|Creature - Human Pirate|4|3|{3}{R}: Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn. Activate this ability only any time you could cast a sorcery.|Game Night|Rare|Winona Nelson|38|{3}{R}: Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn. Activate this ability only any time you could cast a sorcery.|
456540|Claustrophobia|{1}{U}{U}|Enchantment - Aura|||Enchant creature<br>When Claustrophobia enters the battlefield, tap enchanted creature.<br>Enchanted creature doesn't untap during its controller's untap step.|Game Night|Common|Ryan Pancoast|20|Enchant creature<br>When Claustrophobia enters the battlefield, tap enchanted creature.<br>Enchanted creature doesn't untap during its controller's untap step.|
456548|Cruel Revival|{4}{B}|Instant|||Destroy target non-Zombie creature. It can't be regenerated. Return up to one target Zombie card from your graveyard to your hand.|Game Night|Uncommon|Miles Johnston|28|Destroy target non-Zombie creature. It can't be regenerated. Return up to one target Zombie card from your graveyard to your hand.|
456559|Dragon Fodder|{1}{R}|Sorcery|||Create two 1/1 red Goblin creature tokens.|Game Night|Common|Jaime Jones|39|Create two 1/1 red Goblin creature tokens.|
456571|Eager Construct|{2}|Artifact Creature - Construct|2|2|When Eager Construct enters the battlefield, each player may scry 1. <i>(To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)</i>|Game Night|Common|Craig J Spearing|51|When Eager Construct enters the battlefield, each player may scry 1. <i>(To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)</i>|
456531|Everdawn Champion|{1}{W}{W}|Creature - Human Soldier|2|2|Prevent all combat damage that would be dealt to Everdawn Champion.|Game Night|Uncommon|Sara Winters|11|Prevent all combat damage that would be dealt to Everdawn Champion.|
456532|Fan Bearer|{W}|Creature - Zombie|1|2|{2}, {T}: Tap target creature.|Game Night|Common|Anthony Palumbo|12|{2}, {T}: Tap target creature.|
456541|Favorable Winds|{1}{U}|Enchantment|||Creatures you control with flying get +1/+1.|Game Night|Uncommon|Shreya Shetty|21|Creatures you control with flying get +1/+1.|
456572|Filigree Familiar|{3}|Artifact Creature - Fox|2|2|When Filigree Familiar enters the battlefield, you gain 2 life.<br>When Filigree Familiar dies, draw a card.|Game Night|Uncommon|Izzy|52|When Filigree Familiar enters the battlefield, you gain 2 life.<br>When Filigree Familiar dies, draw a card.|
456549|Fleshbag Marauder|{2}{B}|Creature - Zombie Warrior|3|1|When Fleshbag Marauder enters the battlefield, each player sacrifices a creature.|Game Night|Uncommon|Mark Zug|29|When Fleshbag Marauder enters the battlefield, each player sacrifices a creature.|
456564|Ghalta, Primal Hunger|{10}{G}{G}|Legendary Creature - Elder Dinosaur|12|12|This spell costs {X} less to cast, where X is the total power of creatures you control.<br>Trample|Game Night|Rare|Chase Stone|44|This spell costs {X} less to cast, where X is the total power of creatures you control.<br>Trample|
456524|Goblin Goliath|{4}{R}{R}|Creature - Goblin Mutant|5|4|When Goblin Goliath enters the battlefield, create a number of 1/1 red Goblin creature tokens equal to the number of opponents you have.<br>{3}{R}, {T}: If a source you control would deal damage to an opponent this turn, it deals double that damage to that player instead.|Game Night|Mythic Rare|Slawomir Maniak|4|When Goblin Goliath enters the battlefield, create a number of 1/1 red Goblin creature tokens equal to the number of opponents you have.<br>{3}{R}, {T}: If a source you control would deal damage to an opponent this turn, it deals double that damage to that player instead.|
456550|Gruesome Fate|{2}{B}|Sorcery|||Each opponent loses 1 life for each creature you control.|Game Night|Common|Even Amundsen|30|Each opponent loses 1 life for each creature you control.|
456573|Howling Golem|{3}|Artifact Creature - Golem|2|3|Whenever Howling Golem attacks or blocks, each player draws a card.|Game Night|Uncommon|Grzegorz Rutkowski|53|Whenever Howling Golem attacks or blocks, each player draws a card.|
456542|Hydrolash|{2}{U}|Instant|||Attacking creatures get -2/-0 until end of turn.<br>Draw a card.|Game Night|Uncommon|Clint Cearley|22|Attacking creatures get -2/-0 until end of turn.<br>Draw a card.|
456533|Inspired Charge|{2}{W}{W}|Instant|||Creatures you control get +2/+1 until end of turn.|Game Night|Common|Willian Murai|13|Creatures you control get +2/+1 until end of turn.|
456522|Inspired Sphinx|{5}{U}{U}|Creature - Sphinx|5|5|Flying<br>When Inspired Sphinx enters the battlefield, draw cards equal to the number of opponents you have.<br>{3}{U}: Create a 1/1 colorless Thopter artifact creature token with flying.|Game Night|Mythic Rare|Jesper Ejsing|2|Flying<br>When Inspired Sphinx enters the battlefield, draw cards equal to the number of opponents you have.<br>{3}{U}: Create a 1/1 colorless Thopter artifact creature token with flying.|
456534|Inspiring Captain|{3}{W}|Creature - Human Knight|3|3|When Inspiring Captain enters the battlefield, creatures you control get +1/+1 until end of turn.|Game Night|Common|Ben Maier|14|When Inspiring Captain enters the battlefield, creatures you control get +1/+1 until end of turn.|
456565|Jungle Delver|{G}|Creature - Merfolk Warrior|1|1|{3}{G}: Put a +1/+1 counter on Jungle Delver.|Game Night|Common|Kieran Yanner|45|{3}{G}: Put a +1/+1 counter on Jungle Delver.|
456551|Languish|{2}{B}{B}|Sorcery|||All creatures get -4/-4 until end of turn.|Game Night|Rare|Jeff Simpson|31|All creatures get -4/-4 until end of turn.|
456552|Liliana's Mastery|{3}{B}{B}|Enchantment|||Zombies you control get +1/+1.<br>When Liliana's Mastery enters the battlefield, create two 2/2 black Zombie creature tokens.|Game Night|Rare|Kieran Yanner|32|Zombies you control get +1/+1.<br>When Liliana's Mastery enters the battlefield, create two 2/2 black Zombie creature tokens.|
456566|Llanowar Elves|{G}|Creature - Elf Druid|1|1|{T}: Add {G}.|Game Night|Common|Chris Rahn|46|{T}: Add {G}.|
456553|Lord of the Accursed|{2}{B}|Creature - Zombie|2|3|Other Zombies you control get +1/+1.<br>{1}{B}, {T}: All Zombies gain menace until end of turn.|Game Night|Uncommon|Grzegorz Rutkowski|33|Other Zombies you control get +1/+1.<br>{1}{B}, {T}: All Zombies gain menace until end of turn.|
456574|Manalith|{3}|Artifact|||{T}: Add one mana of any color.|Game Night|Common|Ryan Yee|54|{T}: Add one mana of any color.|
456535|Mesa Unicorn|{1}{W}|Creature - Unicorn|2|2|Lifelink|Game Night|Common|Winona Nelson|15|Lifelink|
456521|Militant Angel|{3}{W}{W}|Creature - Angel|3|4|Flying, lifelink<br>When Militant Angel enters the battlefield, create a number of 2/2 white Knight creature tokens with vigilance equal to the number of opponents you attacked this turn.|Game Night|Mythic Rare|Victor Adame Minguez|1|Flying, lifelink<br>When Militant Angel enters the battlefield, create a number of 2/2 white Knight creature tokens with vigilance equal to the number of opponents you attacked this turn.|
456567|Nissa's Revelation|{5}{G}{G}|Sorcery|||Scry 5, then reveal the top card of your library. If it's a creature card, you draw cards equal to its power and you gain life equal to its toughness.|Game Night|Rare|Izzy|47|Scry 5, then reveal the top card of your library. If it's a creature card, you draw cards equal to its power and you gain life equal to its toughness.|
456568|Overcome|{3}{G}{G}|Sorcery|||Creatures you control get +2/+2 and gain trample until end of turn.|Game Night|Uncommon|Craig J Spearing|48|Creatures you control get +2/+2 and gain trample until end of turn.|
456575|Pilgrim's Eye|{3}|Artifact Creature - Thopter|1|1|Flying<br>When Pilgrim's Eye enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.|Game Night|Uncommon|Dan Scott|55|Flying<br>When Pilgrim's Eye enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.|
456543|Reckless Scholar|{2}{U}|Creature - Human Wizard|2|1|{T}: Target player draws a card, then discards a card.|Game Night|Uncommon|Steve Prescott|23|{T}: Target player draws a card, then discards a card.|
456576|Rhonas's Monument|{3}|Legendary Artifact|||Green creature spells you cast cost {1} less to cast.<br>Whenever you cast a creature spell, target creature you control gets +2/+2 and gains trample until end of turn.|Game Night|Uncommon|Cliff Childs|56|Green creature spells you cast cost {1} less to cast.<br>Whenever you cast a creature spell, target creature you control gets +2/+2 and gains trample until end of turn.|
456560|Rolling Thunder|{X}{R}{R}|Sorcery|||Rolling Thunder deals X damage divided as you choose among any number of targets.|Game Night|Uncommon|Yohann Schepacz|40|Rolling Thunder deals X damage divided as you choose among any number of targets.|
456523|Rot Hulk|{5}{B}{B}|Creature - Zombie|5|5|Menace<br>When Rot Hulk enters the battlefield, return up to X target Zombie cards from your graveyard to the battlefield, where X is the number of opponents you have.|Game Night|Mythic Rare|Grzegorz Rutkowski|3|Menace<br>When Rot Hulk enters the battlefield, return up to X target Zombie cards from your graveyard to the battlefield, where X is the number of opponents you have.|
