ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
452993|Boros Guildgate||Land - Gate|||Boros Guildgate enters the battlefield tapped.<br>{T}: Add {R} or {W}.|Guilds of Ravnica|Common|Titus Lunter|243|Boros Guildgate enters the battlefield tapped.<br>{T}: Add {R} or {W}.|
452995|Dimir Guildgate||Land - Gate|||Dimir Guildgate enters the battlefield tapped.<br>{T}: Add {U} or {B}.|Guilds of Ravnica|Common|Cliff Childs|245|Dimir Guildgate enters the battlefield tapped.<br>{T}: Add {U} or {B}.|
452998|Golgari Guildgate||Land - Gate|||Golgari Guildgate enters the battlefield tapped.<br>{T}: Add {B} or {G}.|Guilds of Ravnica|Common|Eytan Zana|248|Golgari Guildgate enters the battlefield tapped.<br>{T}: Add {B} or {G}.|
453001|Izzet Guildgate||Land - Gate|||Izzet Guildgate enters the battlefield tapped.<br>{T}: Add {U} or {R}.|Guilds of Ravnica|Common|Kirsten Zirngibl|251|Izzet Guildgate enters the battlefield tapped.<br>{T}: Add {U} or {R}.|
453005|Selesnya Guildgate||Land - Gate|||Selesnya Guildgate enters the battlefield tapped.<br>{T}: Add {G} or {W}.|Guilds of Ravnica|Common|Dimitar Marinski|255|Selesnya Guildgate enters the battlefield tapped.<br>{T}: Add {G} or {W}.|
452871|Affectionate Indrik|{5}{G}|Creature - Beast|4|4|When Affectionate Indrik enters the battlefield, you may have it fight target creature you don't control. <i>(Each deals damage equal to its power to the other.)</i>|Guilds of Ravnica|Uncommon|Steve Prescott|121|When Affectionate Indrik enters the battlefield, you may have it fight target creature you don't control. <i>(Each deals damage equal to its power to the other.)</i>|
452872|Arboretum Elemental|{7}{G}{G}|Creature - Elemental|7|5|Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Hexproof <i>(This creature can't be the target of spells or abilities your opponents control.)</i>|Guilds of Ravnica|Uncommon|James Paick|122|Convoke <i>(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)</i><br>Hexproof <i>(This creature can't be the target of spells or abilities your opponents control.)</i>|
452841|Arclight Phoenix|{3}{R}|Creature - Phoenix|3|2|Flying, haste<br>At the beginning of combat on your turn, if you've cast three or more instant and sorcery spells this turn, return Arclight Phoenix from your graveyard to the battlefield.|Guilds of Ravnica|Mythic Rare|Slawomir Maniak|91|Flying, haste<br>At the beginning of combat on your turn, if you've cast three or more instant and sorcery spells this turn, return Arclight Phoenix from your graveyard to the battlefield.|
452901|Artful Takedown|{2}{U}{B}|Instant|||Choose one or both-<br>• Tap target creature.<br>• Target creature gets -2/-4 until end of turn.|Guilds of Ravnica|Common|Mike Bierek|151|Choose one or both-<br>• Tap target creature.<br>• Target creature gets -2/-4 until end of turn.|
452902|Assassin's Trophy|{B}{G}|Instant|||Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle their library.|Guilds of Ravnica|Rare|Seb McKinnon|152|Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle their library.|
