ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
366305|Act of Treason|{2}{R}|Sorcery|||Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {T} this turn.)</i>|Gatecrash|Common|Matt Stewart|85|Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {T} this turn.)</i>|
366290|Adaptive Snapjaw|{4}{G}|Creature - Lizard Beast|6|2|Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>|Gatecrash|Common|Tomasz Jedruszek|113|Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>|
366294|Aerial Maneuver|{1}{W}|Instant|||Target creature gets +1/+1 and gains flying and first strike until end of turn.|Gatecrash|Common|Scott Chou|1|Target creature gets +1/+1 and gains flying and first strike until end of turn.|
366273|Ætherize|{3}{U}|Instant|||Return all attacking creatures to their owner's hand.|Gatecrash|Uncommon|Ryan Barger|29|Return all attacking creatures to their owner's hand.|
366258|Agoraphobia|{1}{U}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets -5/-0.<br>{2}{U}: Return Agoraphobia to its owner's hand.|Gatecrash|Uncommon|Jim Murray|30|Enchant creature<br>Enchanted creature gets -5/-0.<br>{2}{U}: Return Agoraphobia to its owner's hand.|
366402|Alms Beast|{2}{W}{B}|Creature - Beast|6|6|Creatures blocking or blocked by Alms Beast have lifelink.|Gatecrash|Rare|Dan Scott|141|Creatures blocking or blocked by Alms Beast have lifelink.|
366325|Alpha Authority|{1}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has hexproof and can't be blocked by more than one creature.|Gatecrash|Uncommon|Dave Kendall|114|Enchant creature<br>Enchanted creature has hexproof and can't be blocked by more than one creature.|
366400|Angelic Edict|{4}{W}|Sorcery|||Exile target creature or enchantment.|Gatecrash|Common|Trevor Claxton|2|Exile target creature or enchantment.|
366395|Angelic Skirmisher|{4}{W}{W}|Creature - Angel|4|4|Flying<br>At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.|Gatecrash|Rare|David Rapoza|3|Flying<br>At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.|
366344|Armored Transport|{3}|Artifact Creature - Construct|2|1|Prevent all combat damage that would be dealt to Armored Transport by creatures blocking it.|Gatecrash|Common|Cliff Childs|226|Prevent all combat damage that would be dealt to Armored Transport by creatures blocking it.|
366381|Arrows of Justice|{2}{R/W}|Instant|||Arrows of Justice deals 4 damage to target attacking or blocking creature.|Gatecrash|Uncommon|James Ryman|211|Arrows of Justice deals 4 damage to target attacking or blocking creature.|
366337|Assault Griffin|{3}{W}|Creature - Griffin|3|2|Flying|Gatecrash|Common|Eric Velhagen|x|Flying|
366470|Assemble the Legion|{3}{R}{W}|Enchantment|||At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then put a 1/1 red and white Soldier creature token with haste onto the battlefield for each muster counter on Assemble the Legion.|Gatecrash|Rare|Eric Deschamps|142|At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then put a 1/1 red and white Soldier creature token with haste onto the battlefield for each muster counter on Assemble the Legion.|
366448|Aurelia, the Warleader|{2}{R}{R}{W}{W}|Legendary Creature - Angel|3|4|Flying, vigilance, haste<br>Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.|Gatecrash|Mythic Rare|Slawomir Maniak|143|Flying, vigilance, haste<br>Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.|
366384|Aurelia's Fury|{X}{R}{W}|Instant|||Aurelia's Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way can't cast noncreature spells this turn.|Gatecrash|Mythic Rare|Tyler Jacobson|144|Aurelia's Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way can't cast noncreature spells this turn.|
366464|Balustrade Spy|{3}{B}|Creature - Vampire Rogue|2|3|Flying<br>When Balustrade Spy enters the battlefield, target player reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.|Gatecrash|Common|Jaime Jones|57|Flying<br>When Balustrade Spy enters the battlefield, target player reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.|
366475|Bane Alley Broker|{1}{U}{B}|Creature - Human Rogue|0|3|{T}: Draw a card, then exile a card from your hand face down.<br>You may look at cards exiled with Bane Alley Broker.<br>{U}{B}, {T}: Return a card exiled with Bane Alley Broker to its owner's hand.|Gatecrash|Uncommon|Clint Cearley|145|{T}: Draw a card, then exile a card from your hand face down.<br>You may look at cards exiled with Bane Alley Broker.<br>{U}{B}, {T}: Return a card exiled with Bane Alley Broker to its owner's hand.|
366347|Basilica Guards|{2}{W}|Creature - Human Soldier|1|4|Defender<br>Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i>|Gatecrash|Common|Dan Scott|5|Defender<br>Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i>|
366321|Basilica Screecher|{1}{B}|Creature - Bat|1|2|Flying<br>Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i>|Gatecrash|Common|Christine Choi|58|Flying<br>Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i>|
366461|Beckon Apparition|{W/B}|Instant|||Exile target card from a graveyard. Put a 1/1 white and black Spirit creature token with flying onto the battlefield.|Gatecrash|Common|Cliff Childs|212|Exile target card from a graveyard. Put a 1/1 white and black Spirit creature token with flying onto the battlefield.|
366312|Biomass Mutation|{X}{G/U}{G/U}|Instant|||Creatures you control become X/X until end of turn.|Gatecrash|Rare|Dan Scott|213|Creatures you control become X/X until end of turn.|
366299|Bioshift|{G/U}|Instant|||Move any number of +1/+1 counters from target creature onto another target creature with the same controller.|Gatecrash|Common|Scott Chou|214|Move any number of +1/+1 counters from target creature onto another target creature with the same controller.|
366414|Biovisionary|{1}{G}{U}|Creature - Human Wizard|2|3|At the beginning of the end step, if you control four or more creatures named Biovisionary, you win the game.|Gatecrash|Rare|Ryan Barger|146|At the beginning of the end step, if you control four or more creatures named Biovisionary, you win the game.|
366465|Blind Obedience|{1}{W}|Enchantment|||Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i><br>Artifacts and creatures your opponents control enter the battlefield tapped.|Gatecrash|Rare|Seb McKinnon|6|Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i><br>Artifacts and creatures your opponents control enter the battlefield tapped.|
366370|Bomber Corps|{1}{R}|Creature - Human Soldier|1|2|Battalion- Whenever Bomber Corps and at least two other creatures attack, Bomber Corps deals 1 damage to target creature or player.|Gatecrash|Common|Chase Stone|86|Battalion- Whenever Bomber Corps and at least two other creatures attack, Bomber Corps deals 1 damage to target creature or player.|
366283|Borborygmos Enraged|{4}{R}{R}{G}{G}|Legendary Creature - Cyclops|7|6|Trample<br>Whenever Borborygmos Enraged deals combat damage to a player, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.<br>Discard a land card: Borborygmos Enraged deals 3 damage to target creature or player.|Gatecrash|Mythic Rare|Aleksi Briclot|147|Trample<br>Whenever Borborygmos Enraged deals combat damage to a player, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.<br>Discard a land card: Borborygmos Enraged deals 3 damage to target creature or player.|
366435|Boros Charm|{R}{W}|Instant|||Choose one- Boros Charm deals 4 damage to target player; or permanents you control gain indestructible until end of turn; or target creature gains double strike until end of turn.|Gatecrash|Uncommon|Zoltan Boros|148|Choose one- Boros Charm deals 4 damage to target player; or permanents you control gain indestructible until end of turn; or target creature gains double strike until end of turn.|
366369|Boros Elite|{W}|Creature - Human Soldier|1|1|Battalion- Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn.|Gatecrash|Uncommon|Willian Murai|7|Battalion- Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn.|
366390|Boros Guildgate||Land - Gate|||Boros Guildgate enters the battlefield tapped.<br>{T}: Add {R} or {W} to your mana pool.|Gatecrash|Common|Noah Bradley|239|Boros Guildgate enters the battlefield tapped.<br>{T}: Add {R} or {W} to your mana pool.|
366413|Boros Keyrune|{3}|Artifact|||{T}: Add {R} or {W} to your mana pool.<br>{R}{W}: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. <i>(It deals both first-strike and regular combat damage.)</i>|Gatecrash|Uncommon|Daniel Ljunggren|227|{T}: Add {R} or {W} to your mana pool.<br>{R}{W}: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. <i>(It deals both first-strike and regular combat damage.)</i>|
366385|Boros Reckoner|{R/W}{R/W}{R/W}|Creature - Minotaur Wizard|3|3|Whenever Boros Reckoner is dealt damage, it deals that much damage to target creature or player.<br>{R/W}: Boros Reckoner gains first strike until end of turn.|Gatecrash|Rare|Howard Lyon|215|Whenever Boros Reckoner is dealt damage, it deals that much damage to target creature or player.<br>{R/W}: Boros Reckoner gains first strike until end of turn.|
366291|Breeding Pool||Land - Forest Island|||<i>({T}: Add {G} or {U} to your mana pool.)</i><br>As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped.|Gatecrash|Rare|Mike Bierek|240|<i>({T}: Add {G} or {U} to your mana pool.)</i><br>As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped.|
