ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
207897|Acidic Sliver|{B}{R}|Creature - Sliver|2|2|All Slivers have "{2}, Sacrifice this permanent: This permanent deals 2 damage to target creature or player."|Premium Deck Series: Slivers|Uncommon|Jeff Miracola|13|All Slivers have "{2}, Sacrifice this permanent: This permanent deals 2 damage to target creature or player."|
207921|Amoeboid Changeling|{1}{U}|Creature - Shapeshifter|1|1|Changeling <i>(This card is every creature type at all times.)</i><br>{T}: Target creature gains all creature types until end of turn.<br>{T}: Target creature loses all creature types until end of turn.|Premium Deck Series: Slivers|Common|Nils Hamm|3|Changeling <i>(This card is every creature type at all times.)</i><br>{T}: Target creature gains all creature types until end of turn.<br>{T}: Target creature loses all creature types until end of turn.|
207930|Ancient Ziggurat||Land|||{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.|Premium Deck Series: Slivers|Uncommon|John Avon|31|{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.|
207925|Aphetto Dredging|{3}{B}|Sorcery|||Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.|Premium Deck Series: Slivers|Common|Monte Michael Moore|28|Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.|
207898|Armor Sliver|{2}{W}|Creature - Sliver|2|2|All Sliver creatures have "{2}: This creature gets +0/+1 until end of turn."|Premium Deck Series: Slivers|Uncommon|Scott Kirschner|16|All Sliver creatures have "{2}: This creature gets +0/+1 until end of turn."|
207899|Barbed Sliver|{2}{R}|Creature - Sliver|2|2|All Sliver creatures have "{2}: This creature gets +1/+0 until end of turn."|Premium Deck Series: Slivers|Uncommon|Scott Kirschner|18|All Sliver creatures have "{2}: This creature gets +1/+0 until end of turn."|
208039|Brood Sliver|{4}{G}|Creature - Sliver|3|3|Whenever a Sliver deals combat damage to a player, its controller may put a 1/1 colorless Sliver creature token onto the battlefield.|Premium Deck Series: Slivers|Rare|Ron Spears|22|Whenever a Sliver deals combat damage to a player, its controller may put a 1/1 colorless Sliver creature token onto the battlefield.|
207900|Clot Sliver|{1}{B}|Creature - Sliver|1|1|All Slivers have "{2}: Regenerate this permanent."|Premium Deck Series: Slivers|Common|Jeff Laubenstein|5|All Slivers have "{2}: Regenerate this permanent."|
207927|Coat of Arms|{5}|Artifact|||Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. <i>(For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)</i>|Premium Deck Series: Slivers|Rare|Scott M. Fischer|29|Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. <i>(For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)</i>|
207901|Crystalline Sliver|{W}{U}|Creature - Sliver|2|2|All Slivers have shroud. <i>(They can't be the targets of spells or abilities.)</i>|Premium Deck Series: Slivers|Uncommon|L. A. Williams|11|All Slivers have shroud. <i>(They can't be the targets of spells or abilities.)</i>|
