ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
2900|Apocalypse Chime|{2}|Artifact|||{2}, {T}, Sacrifice Apocalypse Chime: Destroy all nontoken permanents from the Homelands expansion. They can't be regenerated.|Homelands|Rare|Mark Poole|1|{2}, {T}, Sacrifice Apocalypse Chime: Destroy all nontoken permanents from the Homelands expansion. They can't be regenerated.|
2901|Clockwork Gnomes|{4}|Artifact Creature - Gnome|2|2|{3}, {T}: Regenerate target artifact creature.|Homelands|Common|Douglas Shuler|2|{3}, {T}: Regenerate target artifact creature.|
2903|Clockwork Swarm|{4}|Artifact Creature - Insect|0|3|Clockwork Swarm enters the battlefield with four +1/+0 counters on it.<br>Clockwork Swarm can't be blocked by Walls.<br>At end of combat, if Clockwork Swarm attacked or blocked this combat, remove a +1/+0 counter from it.<br>{X}, {T}: Put up to X +1/+0 counters on Clockwork Swarm. This ability can't cause the total number of +1/+0 counters on Clockwork Swarm to be greater than four. Activate this ability only during your upkeep.|Homelands|Common|Amy Weber|3|Clockwork Swarm enters the battlefield with four +1/+0 counters on it.<br>Clockwork Swarm can't be blocked by Walls.<br>At end of combat, if Clockwork Swarm attacked or blocked this combat, remove a +1/+0 counter from it.<br>{X}, {T}: Put up to X +1/+0 counters on Clockwork Swarm. This ability can't cause the total number of +1/+0 counters on Clockwork Swarm to be greater than four. Activate this ability only during your upkeep.|
2904|Didgeridoo|{1}|Artifact|||{3}: You may put a Minotaur permanent card from your hand onto the battlefield.|Homelands|Rare|Melissa Benson|4|{3}: You may put a Minotaur permanent card from your hand onto the battlefield.|
2905|Ebony Rhino|{7}|Artifact Creature - Rhino|4|5|Trample|Homelands|Common|Amy Weber|5|Trample|
2908|Roterothopter|{1}|Artifact Creature - Thopter|0|2|Flying<br>{2}: Roterothopter gets +1/+0 until end of turn. Activate this ability no more than twice each turn.|Homelands|Common|Amy Weber|6|Flying<br>{2}: Roterothopter gets +1/+0 until end of turn. Activate this ability no more than twice each turn.|
2909|Serrated Arrows|{4}|Artifact|||Serrated Arrows enters the battlefield with three arrowhead counters on it.<br>At the beginning of your upkeep, if there are no arrowhead counters on Serrated Arrows, sacrifice it.<br>{T}, Remove an arrowhead counter from Serrated Arrows: Put a -1/-1 counter on target creature.|Homelands|Common|David A. Cherry|7|Serrated Arrows enters the battlefield with three arrowhead counters on it.<br>At the beginning of your upkeep, if there are no arrowhead counters on Serrated Arrows, sacrifice it.<br>{T}, Remove an arrowhead counter from Serrated Arrows: Put a -1/-1 counter on target creature.|
2910|Baron Sengir|{5}{B}{B}{B}|Legendary Creature - Vampire|5|5|Flying<br>Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.<br>{T}: Regenerate another target Vampire.|Homelands|Rare|Pete Venters|8|Flying<br>Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.<br>{T}: Regenerate another target Vampire.|
2911|Black Carriage|{3}{B}{B}|Creature - Horse|4|4|Trample<br>Black Carriage doesn't untap during your untap step.<br>Sacrifice a creature: Untap Black Carriage. Activate this ability only during your upkeep.|Homelands|Rare|David A. Cherry|9|Trample<br>Black Carriage doesn't untap during your untap step.<br>Sacrifice a creature: Untap Black Carriage. Activate this ability only during your upkeep.|
2914|Cemetery Gate|{2}{B}|Creature - Wall|0|5|Defender <i>(This creature can't attack.)</i><br>Protection from black|Homelands|Common|Melissa Benson|10|Defender <i>(This creature can't attack.)</i><br>Protection from black|
2915|Drudge Spell|{B}{B}|Enchantment|||{B}, Exile two creature cards from your graveyard: Put a 1/1 black Skeleton creature token onto the battlefield. It has "{B}: Regenerate this creature."<br>When Drudge Spell leaves the battlefield, destroy all Skeleton tokens. They can't be regenerated.|Homelands|Uncommon|NéNé Thomas|11|{B}, Exile two creature cards from your graveyard: Put a 1/1 black Skeleton creature token onto the battlefield. It has "{B}: Regenerate this creature."<br>When Drudge Spell leaves the battlefield, destroy all Skeleton tokens. They can't be regenerated.|
2921|Ghost Hounds|{1}{B}|Creature - Hound Spirit|1|1|Vigilance<br>Whenever Ghost Hounds blocks or becomes blocked by a white creature, Ghost Hounds gains first strike until end of turn.|Homelands|Uncommon|Jeff A. Menges|12|Vigilance<br>Whenever Ghost Hounds blocks or becomes blocked by a white creature, Ghost Hounds gains first strike until end of turn.|
2922|Grandmother Sengir|{4}{B}|Legendary Creature - Human Wizard|3|3|{1}{B}, {T}: Target creature gets -1/-1 until end of turn.|Homelands|Rare|Pete Venters|13|{1}{B}, {T}: Target creature gets -1/-1 until end of turn.|
2924|Headstone|{1}{B}|Instant|||Exile target card from a graveyard.<br>Draw a card at the beginning of the next turn's upkeep.|Homelands|Common|David A. Cherry|14|Exile target card from a graveyard.<br>Draw a card at the beginning of the next turn's upkeep.|
2925|Ihsan's Shade|{3}{B}{B}{B}|Legendary Creature - Shade Knight|5|5|Protection from white|Homelands|Uncommon|Christopher Rush|15|Protection from white|
2926|Irini Sengir|{2}{B}{B}|Legendary Creature - Vampire Dwarf|2|2|Green enchantment spells and white enchantment spells cost {2} more to cast.|Homelands|Uncommon|Pete Venters|16|Green enchantment spells and white enchantment spells cost {2} more to cast.|
2927|Koskun Falls|{2}{B}{B}|World Enchantment|||At the beginning of your upkeep, sacrifice Koskun Falls unless you tap an untapped creature you control.<br>Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.|Homelands|Rare|Rob Alexander|17|At the beginning of your upkeep, sacrifice Koskun Falls unless you tap an untapped creature you control.<br>Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.|
2930|Sengir Bats|{1}{B}{B}|Creature - Bat|1|2|Flying<br>Whenever a creature dealt damage by Sengir Bats this turn dies, put a +1/+1 counter on Sengir Bats.|Homelands|Common|Dan Frazier|18|Flying<br>Whenever a creature dealt damage by Sengir Bats this turn dies, put a +1/+1 counter on Sengir Bats.|
