ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
198073|Academy at Tolaria West||Plane - Dominaria|||At the beginning of your end step, if you have no cards in hand, draw seven cards.<br>Whenever you roll , discard your hand.|Planechase|Common|James Paick|1|At the beginning of your end step, if you have no cards in hand, draw seven cards.<br>Whenever you roll , discard your hand.|
198090|Agyrem||Plane - Ravnica|||Whenever a white creature dies, return it to the battlefield under its owner's control at the beginning of the next end step.<br>Whenever a nonwhite creature dies, return it to its owner's hand at the beginning of the next end step.<br>Whenever you roll , creatures can't attack you until a player planeswalks.|Planechase|Common|Todd Lockwood|3|Whenever a white creature dies, return it to the battlefield under its owner's control at the beginning of the next end step.<br>Whenever a nonwhite creature dies, return it to its owner's hand at the beginning of the next end step.<br>Whenever you roll , creatures can't attack you until a player planeswalks.|
198099|Bant||Plane - Alara|||All creatures have exalted. <i>(Whenever a creature attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents its controller controls.)</i><br>Whenever you roll , put a divinity counter on target green, white, or blue creature. That creature is indestructible as long as it has a divinity counter on it.|Planechase|Common|Michael Komarck|4|All creatures have exalted. <i>(Whenever a creature attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents its controller controls.)</i><br>Whenever you roll , put a divinity counter on target green, white, or blue creature. That creature is indestructible as long as it has a divinity counter on it.|
198077|Cliffside Market||Plane - Mercadia|||When you planeswalk to Cliffside Market or at the beginning of your upkeep, you may exchange life totals with target player.<br>Whenever you roll , exchange control of two target permanents that share a card type.|Planechase|Common|Matt Stewart|5|When you planeswalk to Cliffside Market or at the beginning of your upkeep, you may exchange life totals with target player.<br>Whenever you roll , exchange control of two target permanents that share a card type.|
198109|Eloren Wilds||Plane - Shandalar|||Whenever a player taps a permanent for mana, that player adds one mana to his or her mana pool of any type that permanent produced.<br>Whenever you roll , target player can't cast spells until a player planeswalks.|Planechase|Common|Darrell Riche|7|Whenever a player taps a permanent for mana, that player adds one mana to his or her mana pool of any type that permanent produced.<br>Whenever you roll , target player can't cast spells until a player planeswalks.|
198066|Feeding Grounds||Plane - Muraganda|||Red spells cost {1} less to cast.<br>Green spells cost {1} less to cast.<br>Whenever you roll , put X +1/+1 counters on target creature, where X is that creature's converted mana cost.|Planechase|Common|Matt Stewart|9|Red spells cost {1} less to cast.<br>Green spells cost {1} less to cast.<br>Whenever you roll , put X +1/+1 counters on target creature, where X is that creature's converted mana cost.|
198097|Fields of Summer||Plane - Moag|||Whenever a player casts a spell, that player may gain 2 life.<br>Whenever you roll , you may gain 10 life.|Planechase|Common|Daniel Ljunggren|10|Whenever a player casts a spell, that player may gain 2 life.<br>Whenever you roll , you may gain 10 life.|
198068|Glimmervoid Basin||Plane - Mirrodin|||Whenever a player casts an instant or sorcery spell with a single target, he or she copies that spell for each other spell, permanent, card not on the battlefield, and/or player the spell could target. Each copy targets a different one of them.<br>Whenever you roll , choose target creature. Each player except that creature's controller puts a token that's a copy of that creature onto the battlefield.|Planechase|Common|Lars Grant-West|12|Whenever a player casts an instant or sorcery spell with a single target, he or she copies that spell for each other spell, permanent, card not on the battlefield, and/or player the spell could target. Each copy targets a different one of them.<br>Whenever you roll , choose target creature. Each player except that creature's controller puts a token that's a copy of that creature onto the battlefield.|
198087|Goldmeadow||Plane - Lorwyn|||Whenever a land enters the battlefield, that land's controller puts three 0/1 white Goat creature tokens onto the battlefield.<br>Whenever you roll , put a 0/1 white Goat creature token onto the battlefield.|Planechase|Common|Warren Mahy|13|Whenever a land enters the battlefield, that land's controller puts three 0/1 white Goat creature tokens onto the battlefield.<br>Whenever you roll , put a 0/1 white Goat creature token onto the battlefield.|
198071|Grixis||Plane - Alara|||Blue, black, and/or red creature cards in your graveyard have unearth. The unearth cost is equal to the card's mana cost. <i>(Pay the card's mana cost: Return it to the battlefield. The creature gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i><br>Whenever you roll , put target creature card from a graveyard onto the battlefield under your control.|Planechase|Common|Nils Hamm|15|Blue, black, and/or red creature cards in your graveyard have unearth. The unearth cost is equal to the card's mana cost. <i>(Pay the card's mana cost: Return it to the battlefield. The creature gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i><br>Whenever you roll , put target creature card from a graveyard onto the battlefield under your control.|
198084|Immersturm||Plane - Valla|||Whenever a creature enters the battlefield, that creature's controller may have it deal damage equal to its power to target creature or player of his or her choice.<br>Whenever you roll , exile target creature, then return it to the battlefield under its owner's control.|Planechase|Common|Raymond Swanland|17|Whenever a creature enters the battlefield, that creature's controller may have it deal damage equal to its power to target creature or player of his or her choice.<br>Whenever you roll , exile target creature, then return it to the battlefield under its owner's control.|
198096|Isle of Vesuva||Plane - Dominaria|||Whenever a nontoken creature enters the battlefield, its controller puts a token onto the battlefield that's a copy of that creature.<br>Whenever you roll , destroy target creature and all other creatures with the same name as that creature.|Planechase|Common|Zoltan Boros & Gabor Szikszai|18|Whenever a nontoken creature enters the battlefield, its controller puts a token onto the battlefield that's a copy of that creature.<br>Whenever you roll , destroy target creature and all other creatures with the same name as that creature.|
198065|Izzet Steam Maze||Plane - Ravnica|||Whenever a player casts an instant or sorcery spell, that player copies it. The player may choose new targets for the copy.<br>Whenever you roll , instant and sorcery spells you cast this turn cost {3} less to cast.|Planechase|Common|Franz Vohwinkel|19|Whenever a player casts an instant or sorcery spell, that player copies it. The player may choose new targets for the copy.<br>Whenever you roll , instant and sorcery spells you cast this turn cost {3} less to cast.|
198100|Krosa||Plane - Dominaria|||All creatures get +2/+2.<br>Whenever you roll , you may add {W}{U}{B}{R}{G} to your mana pool.|Planechase|Common|Steven Belledin|20|All creatures get +2/+2.<br>Whenever you roll , you may add {W}{U}{B}{R}{G} to your mana pool.|
198105|Lethe Lake||Plane - Arkhos|||At the beginning of your upkeep, put the top ten cards of your library into your graveyard.<br>Whenever you roll , target player puts the top ten cards of his or her library into his or her graveyard.|Planechase|Common|Chris J. Anderson|21|At the beginning of your upkeep, put the top ten cards of your library into your graveyard.<br>Whenever you roll , target player puts the top ten cards of his or her library into his or her graveyard.|
198107|Llanowar||Plane - Dominaria|||All creatures have "{T}: Add {G}{G} to your mana pool."<br>Whenever you roll , untap all creatures you control.|Planechase|Common|Kev Walker|22|All creatures have "{T}: Add {G}{G} to your mana pool."<br>Whenever you roll , untap all creatures you control.|
