ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
430878|Forest||Basic Land - Forest|||G|Hour of Devastation|Land|Yeong-Hao Han|189|G|
430875|Island||Basic Land - Island|||U|Hour of Devastation|Land|Richard Wright|186|U|
430877|Mountain||Basic Land - Mountain|||R|Hour of Devastation|Land|Florian de Gesincourt|188|R|
430874|Plains||Basic Land - Plains|||W|Hour of Devastation|Land|Titus Lunter|185|W|
430876|Swamp||Basic Land - Swamp|||B|Hour of Devastation|Land|Clint Cearley|187|B|
430847|Abandoned Sarcophagus|{3}|Artifact|||You may cast nonland cards with cycling from your graveyard.<br>If a card with cycling would be put into your graveyard from anywhere and it wasn't cycled, exile it instead.|Hour of Devastation|Rare|Daarken|158|You may cast nonland cards with cycling from your graveyard.<br>If a card with cycling would be put into your graveyard from anywhere and it wasn't cycled, exile it instead.|
430772|Abrade|{1}{R}|Instant|||Choose one-<br>• Abrade deals 3 damage to target creature.<br>• Destroy target artifact.|Hour of Devastation|Uncommon|Jonas De Ro|83|Choose one-<br>• Abrade deals 3 damage to target creature.<br>• Destroy target artifact.|
430745|Accursed Horde|{3}{B}|Creature - Zombie|3|3|{1}{B}: Target attacking Zombie gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)</i>|Hour of Devastation|Uncommon|Victor Adame Minguez|56|{1}{B}: Target attacking Zombie gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)</i>|
430690|Act of Heroism|{1}{W}|Instant|||Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.|Hour of Devastation|Common|Magali Villeneuve|1|Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.|
430691|Adorned Pouncer|{1}{W}|Creature - Cat|1|1|Double strike<br>Eternalize {3}{W}{W} <i>({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)</i>|Hour of Devastation|Rare|Slawomir Maniak|2|Double strike<br>Eternalize {3}{W}{W} <i>({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)</i>|
430718|Aerial Guide|{2}{U}|Creature - Drake|2|2|Flying<br>Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.|Hour of Devastation|Common|Sidharth Chaturvedi|29|Flying<br>Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.|
430799|Ambuscade|{2}{G}|Instant|||Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature an opponent controls.|Hour of Devastation|Common|Kev Walker|110|Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature an opponent controls.|
430746|Ammit Eternal|{2}{B}|Creature - Zombie Crocodile Demon|5|5|Afflict 3 <i>(Whenever this creature becomes blocked, defending player loses 3 life.)</i><br>Whenever an opponent casts a spell, put a -1/-1 counter on Ammit Eternal.<br>Whenever Ammit Eternal deals combat damage to a player, remove all -1/-1 counters from it.|Hour of Devastation|Rare|Mike Bierek|57|Afflict 3 <i>(Whenever this creature becomes blocked, defending player loses 3 life.)</i><br>Whenever an opponent casts a spell, put a -1/-1 counter on Ammit Eternal.<br>Whenever Ammit Eternal deals combat damage to a player, remove all -1/-1 counters from it.|
430692|Angel of Condemnation|{2}{W}{W}|Creature - Angel|3|3|Flying, vigilance<br>{2}{W}, {T}: Exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.<br>{2}{W}, {T}, Exert Angel of Condemnation: Exile another target creature until Angel of Condemnation leaves the battlefield. <i>(An exerted creature won't untap during your next untap step.)</i>|Hour of Devastation|Rare|Slawomir Maniak|3|Flying, vigilance<br>{2}{W}, {T}: Exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.<br>{2}{W}, {T}, Exert Angel of Condemnation: Exile another target creature until Angel of Condemnation leaves the battlefield. <i>(An exerted creature won't untap during your next untap step.)</i>|
430693|Angel of the God-Pharaoh|{4}{W}{W}|Creature - Angel|4|4|Flying<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Hour of Devastation|Uncommon|E. M. Gist|4|Flying<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
430747|Apocalypse Demon|{4}{B}{B}|Creature - Demon|*|*|Flying<br>Apocalypse Demon's power and toughness are each equal to the number of cards in your graveyard.<br>At the beginning of your upkeep, tap Apocalypse Demon unless you sacrifice another creature.|Hour of Devastation|Rare|Piotr Jabłoński|58|Flying<br>Apocalypse Demon's power and toughness are each equal to the number of cards in your graveyard.<br>At the beginning of your upkeep, tap Apocalypse Demon unless you sacrifice another creature.|
430841|Appeal // Authority (Appeal)|{G}|Sorcery|||Until end of turn, target creature gains trample and gets +X/+X, where X is the number of creatures you control.<br>|Hour of Devastation|Uncommon|Jason Rainville|152|Until end of turn, target creature gains trample and gets +X/+X, where X is the number of creatures you control.<br>|
430694|Aven of Enduring Hope|{4}{W}|Creature - Bird Cleric|3|3|Flying<br>When Aven of Enduring Hope enters the battlefield, you gain 3 life.|Hour of Devastation|Common|James Ryman|5|Flying<br>When Aven of Enduring Hope enters the battlefield, you gain 3 life.|
430719|Aven Reedstalker|{3}{U}|Creature - Bird Warrior|2|3|Flash<br>Flying|Hour of Devastation|Common|Scott Murphy|30|Flash<br>Flying|
432880|Avid Reclaimer|{2}{G}|Creature - Human Druid|2|2|{T}: Add {G} or {U} to your mana pool. If you control a Nissa planeswalker, you gain 2 life.|Hour of Devastation|Uncommon|Josu Hernaiz|201|{T}: Add {G} or {U} to your mana pool. If you control a Nissa planeswalker, you gain 2 life.|
430748|Banewhip Punisher|{2}{B}|Creature - Human Warrior|2|2|When Banewhip Punisher enters the battlefield, you may put a -1/-1 counter on target creature.<br>{B}, Sacrifice Banewhip Punisher: Destroy target creature that has a -1/-1 counter on it.|Hour of Devastation|Uncommon|Scott Murphy|59|When Banewhip Punisher enters the battlefield, you may put a -1/-1 counter on target creature.<br>{B}, Sacrifice Banewhip Punisher: Destroy target creature that has a -1/-1 counter on it.|
430843|Reason // Believe (Believe)|{4}{G}|Sorcery|||Aftermath <i>(Cast this spell only from your graveyard. Then exile it.)</i><br>Look at the top card of your library. You may put it onto the battlefield if it's a creature card. If you don't, put it into your hand.|Hour of Devastation|Rare|Daarken|154|Aftermath <i>(Cast this spell only from your graveyard. Then exile it.)</i><br>Look at the top card of your library. You may put it onto the battlefield if it's a creature card. If you don't, put it into your hand.|
430800|Beneath the Sands|{2}{G}|Sorcery|||Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Hour of Devastation|Common|Magali Villeneuve|111|Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
430801|Bitterbow Sharpshooters|{4}{G}|Creature - Jackal Archer|4|4|Vigilance, reach|Hour of Devastation|Common|Bram Sels|112|Vigilance, reach|
430827|Bloodwater Entity|{1}{U}{R}|Creature - Elemental|2|2|Flying<br>Prowess <i>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</i><br>When Bloodwater Entity enters the battlefield, you may put target instant or sorcery card from your graveyard on top of your library.|Hour of Devastation|Uncommon|Viktor Titov|138|Flying<br>Prowess <i>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</i><br>When Bloodwater Entity enters the battlefield, you may put target instant or sorcery card from your graveyard on top of your library.|
430773|Blur of Blades|{1}{R}|Instant|||Put a -1/-1 counter on target creature. Blur of Blades deals 2 damage to that creature's controller.|Hour of Devastation|Common|Anna Steinbauer|84|Put a -1/-1 counter on target creature. Blur of Blades deals 2 damage to that creature's controller.|
430749|Bontu's Last Reckoning|{1}{B}{B}|Sorcery|||Destroy all creatures. Lands you control don't untap during your next untap step.|Hour of Devastation|Rare|Victor Adame Minguez|60|Destroy all creatures. Lands you control don't untap during your next untap step.|
