ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
2392|Adarkar Sentinel|{5}|Artifact Creature - Soldier|3|3|{1}: Adarkar Sentinel gets +0/+1 until end of turn.|Ice Age|Uncommon|Melissa Benson|1|{1}: Adarkar Sentinel gets +0/+1 until end of turn.|
2393|Aegis of the Meek|{3}|Artifact|||{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.|Ice Age|Rare|L. A. Williams|2|{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.|
2394|Amulet of Quoz|{6}|Artifact|||Remove Amulet of Quoz from your deck before playing if you're not playing for ante.<br>{T}, Sacrifice Amulet of Quoz: Target opponent may add the top card of his or her library to the ante. If he or she doesn't, you flip a coin. If you win the flip, that player loses the game. If you lose the flip, you lose the game. Activate this ability only during your upkeep.|Ice Age|Rare|Dan Frazier|3|Remove Amulet of Quoz from your deck before playing if you're not playing for ante.<br>{T}, Sacrifice Amulet of Quoz: Target opponent may add the top card of his or her library to the ante. If he or she doesn't, you flip a coin. If you win the flip, that player loses the game. If you lose the flip, you lose the game. Activate this ability only during your upkeep.|
2395|Arcum's Sleigh|{1}|Artifact|||{2}, {T}: Target creature gains vigilance until end of turn. Activate this ability only during combat and only if defending player controls a snow land.|Ice Age|Uncommon|Tom Wänerstrand|4|{2}, {T}: Target creature gains vigilance until end of turn. Activate this ability only during combat and only if defending player controls a snow land.|
2396|Arcum's Weathervane|{2}|Artifact|||{2}, {T}: Target snow land is no longer snow.<br>{2}, {T}: Target nonsnow basic land becomes snow.|Ice Age|Uncommon|Tom Wänerstrand|5|{2}, {T}: Target snow land is no longer snow.<br>{2}, {T}: Target nonsnow basic land becomes snow.|
2397|Arcum's Whistle|{3}|Artifact|||{3}, {T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That player may pay {X}, where X is that creature's converted mana cost. If he or she doesn't, the creature attacks this turn if able, and at the beginning of the next end step, destroy it if it didn't attack. Activate this ability only before attackers are declared.|Ice Age|Uncommon|Quinton Hoover|6|{3}, {T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That player may pay {X}, where X is that creature's converted mana cost. If he or she doesn't, the creature attacks this turn if able, and at the beginning of the next end step, destroy it if it didn't attack. Activate this ability only before attackers are declared.|
2399|Baton of Morale|{2}|Artifact|||{2}: Target creature gains banding until end of turn. <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>|Ice Age|Uncommon|Douglas Shuler|7|{2}: Target creature gains banding until end of turn. <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>|
2400|Celestial Sword|{6}|Artifact|||{3}, {T}: Target creature you control gets +3/+3 until end of turn. Its controller sacrifices it at the beginning of the next end step.|Ice Age|Rare|Amy Weber|8|{3}, {T}: Target creature you control gets +3/+3 until end of turn. Its controller sacrifices it at the beginning of the next end step.|
2402|Despotic Scepter|{1}|Artifact|||{T}: Destroy target permanent you own. It can't be regenerated.|Ice Age|Rare|Richard Thomas|9|{T}: Destroy target permanent you own. It can't be regenerated.|
2404|Fyndhorn Bow|{2}|Artifact|||{3}, {T}: Target creature gains first strike until end of turn.|Ice Age|Uncommon|Rob Alexander|10|{3}, {T}: Target creature gains first strike until end of turn.|
