ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
380364|Aegis of the Gods|{1}{W}|Enchantment Creature - Human Soldier|2|1|You have hexproof. <i>(You can't be the target of spells or abilities your opponents control.)</i>|Journey into Nyx|Rare|Yefim Kligerman|1|You have hexproof. <i>(You can't be the target of spells or abilities your opponents control.)</i>|
380365|Aerial Formation|{U}|Instant|||Strive- Aerial Formation costs {2}{U} more to cast for each target beyond the first.<br>Any number of target creatures each get +1/+1 and gain flying until end of turn.|Journey into Nyx|Common|Zack Stella|30|Strive- Aerial Formation costs {2}{U} more to cast for each target beyond the first.<br>Any number of target creatures each get +1/+1 and gain flying until end of turn.|
380366|Agent of Erebos|{3}{B}|Enchantment Creature - Zombie|2|2|Constellation- Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.|Journey into Nyx|Uncommon|Cyril Van Der Haegen|59|Constellation- Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.|
380367|Ajani, Mentor of Heroes|{3}{G}{W}|Planeswalker - Ajani||4|+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.<br>+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.<br>-8: You gain 100 life.|Journey into Nyx|Mythic Rare|Aaron Miller|145|+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.<br>+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.<br>-8: You gain 100 life.|
380368|Ajani's Presence|{W}|Instant|||Strive- Ajani's Presence costs {2}{W} more to cast for each target beyond the first.<br>Any number of target creatures each get +1/+1 and gain indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy them.)</i>|Journey into Nyx|Common|Raymond Swanland|2|Strive- Ajani's Presence costs {2}{W} more to cast for each target beyond the first.<br>Any number of target creatures each get +1/+1 and gain indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy them.)</i>|
380369|Akroan Line Breaker|{2}{R}|Creature - Human Warrior|2|1|Heroic- Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn.|Journey into Nyx|Uncommon|Marco Nelor|88|Heroic- Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn.|
380370|Akroan Mastiff|{3}{W}|Creature - Hound|2|2|{W}, {T}: Tap target creature.|Journey into Nyx|Common|Zoltan Boros|3|{W}, {T}: Tap target creature.|
380371|Armament of Nyx|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. <i>(A creature with double strike deals both first-strike and regular combat damage.)</i>|Journey into Nyx|Common|Slawomir Maniak|4|Enchant creature<br>Enchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. <i>(A creature with double strike deals both first-strike and regular combat damage.)</i>|
380372|Armory of Iroas|{2}|Artifact - Equipment|||Whenever equipped creature attacks, put a +1/+1 counter on it.<br>Equip {2}|Journey into Nyx|Uncommon|Yeong-Hao Han|158|Whenever equipped creature attacks, put a +1/+1 counter on it.<br>Equip {2}|
380373|Aspect of Gorgon|{2}{B}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+3 and has deathtouch. <i>(Any amount of damage it deals to a creature is enough to destroy it.)</i>|Journey into Nyx|Common|Willian Murai|60|Enchant creature<br>Enchanted creature gets +1/+3 and has deathtouch. <i>(Any amount of damage it deals to a creature is enough to destroy it.)</i>|
380374|Athreos, God of Passage|{1}{W}{B}|Legendary Enchantment Creature - God|5|4|Indestructible<br>As long as your devotion to white and black is less than seven, Athreos isn't a creature.<br>Whenever another creature you own dies, return it to your hand unless target opponent pays 3 life.|Journey into Nyx|Mythic Rare|Ryan Barger|146|Indestructible<br>As long as your devotion to white and black is less than seven, Athreos isn't a creature.<br>Whenever another creature you own dies, return it to your hand unless target opponent pays 3 life.|
380375|Banishing Light|{2}{W}|Enchantment|||When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield. <i>(That permanent returns under its owner's control.)</i>|Journey into Nyx|Uncommon|Willian Murai|5|When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield. <i>(That permanent returns under its owner's control.)</i>|
380376|Bassara Tower Archer|{G}{G}|Creature - Human Archer|2|1|Hexproof, reach|Journey into Nyx|Uncommon|Slawomir Maniak|117|Hexproof, reach|
380377|Battlefield Thaumaturge|{1}{U}|Creature - Human Wizard|2|1|Each instant and sorcery spell you cast costs {1} less to cast for each creature it targets.<br>Heroic- Whenever you cast a spell that targets Battlefield Thaumaturge, Battlefield Thaumaturge gains hexproof until end of turn.|Journey into Nyx|Rare|Mike Sass|31|Each instant and sorcery spell you cast costs {1} less to cast for each creature it targets.<br>Heroic- Whenever you cast a spell that targets Battlefield Thaumaturge, Battlefield Thaumaturge gains hexproof until end of turn.|
380378|Bearer of the Heavens|{7}{R}|Creature - Giant|10|10|When Bearer of the Heavens dies, destroy all permanents at the beginning of the next end step.|Journey into Nyx|Rare|Ryan Alexander Lee|89|When Bearer of the Heavens dies, destroy all permanents at the beginning of the next end step.|
380379|Bladetusk Boar|{3}{R}|Creature - Boar|3|2|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>|Journey into Nyx|Common|Sam Burley|90|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>|
