ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
12692|Elephant Guide|{2}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3.<br>When enchanted creature dies, put a 3/3 green Elephant creature token onto the battlefield.|Judgment|Uncommon|Jim Nelson|111|Enchant creature<br>Enchanted creature gets +3/+3.<br>When enchanted creature dies, put a 3/3 green Elephant creature token onto the battlefield.|
20431|Quiet Speculation|{1}{U}|Sorcery|||Search target player's library for up to three cards with flashback and put them into that player's graveyard. Then the player shuffles his or her library.|Judgment|Uncommon|John Avon|49|Search target player's library for up to three cards with flashback and put them into that player's graveyard. Then the player shuffles his or her library.|
20842|Balthor the Defiled|{2}{B}{B}|Legendary Creature - Zombie Dwarf|2|2|Minion creatures get +1/+1.<br>{B}{B}{B}, Exile Balthor the Defiled: Each player returns all black and all red creature cards from his or her graveyard to the battlefield.|Judgment|Rare|Carl Critchlow|61|Minion creatures get +1/+1.<br>{B}{B}{B}, Exile Balthor the Defiled: Each player returns all black and all red creature cards from his or her graveyard to the battlefield.|
21275|Aven Fogbringer|{3}{U}|Creature - Bird Wizard|2|1|Flying<br>When Aven Fogbringer enters the battlefield, return target land to its owner's hand.|Judgment|Common|Edward P. Beard, Jr.|34|Flying<br>When Aven Fogbringer enters the battlefield, return target land to its owner's hand.|
24541|Unquestioned Authority|{2}{W}|Enchantment - Aura|||Enchant creature<br>When Unquestioned Authority enters the battlefield, draw a card.<br>Enchanted creature has protection from creatures.|Judgment|Uncommon|Alex Horley-Orlandelli|31|Enchant creature<br>When Unquestioned Authority enters the battlefield, draw a card.<br>Enchanted creature has protection from creatures.|
25805|Spellgorger Barbarian|{3}{R}|Creature - Human Nightmare Barbarian|3|1|When Spellgorger Barbarian enters the battlefield, discard a card at random.<br>When Spellgorger Barbarian leaves the battlefield, draw a card.|Judgment|Common|Mark Romanoski|100|When Spellgorger Barbarian enters the battlefield, discard a card at random.<br>When Spellgorger Barbarian leaves the battlefield, draw a card.|
25974|Wormfang Drake|{2}{U}|Creature - Nightmare Drake|3|4|Flying<br>When Wormfang Drake enters the battlefield, sacrifice it unless you exile a creature you control other than Wormfang Drake.<br>When Wormfang Drake leaves the battlefield, return the exiled card to the battlefield under its owner's control.|Judgment|Common|Thomas M. Baxa|57|Flying<br>When Wormfang Drake enters the battlefield, sacrifice it unless you exile a creature you control other than Wormfang Drake.<br>When Wormfang Drake leaves the battlefield, return the exiled card to the battlefield under its owner's control.|
26370|Tunneler Wurm|{6}{G}{G}|Creature - Wurm|6|6|Discard a card: Regenerate Tunneler Wurm.|Judgment|Uncommon|Jeff Easley|135|Discard a card: Regenerate Tunneler Wurm.|
27145|Laquatus's Disdain|{1}{U}|Instant|||Counter target spell cast from a graveyard.<br>Draw a card.|Judgment|Uncommon|Pete Venters|44|Counter target spell cast from a graveyard.<br>Draw a card.|
29762|Swirling Sandstorm|{3}{R}|Sorcery|||Threshold- Swirling Sandstorm deals 5 damage to each creature without flying if seven or more cards are in your graveyard.|Judgment|Common|Tony Szczudlo|102|Threshold- Swirling Sandstorm deals 5 damage to each creature without flying if seven or more cards are in your graveyard.|
29766|Lava Dart|{R}|Instant|||Lava Dart deals 1 damage to target creature or player.<br>Flashback—Sacrifice a Mountain. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Judgment|Common|Darrell Riche|94|Lava Dart deals 1 damage to target creature or player.<br>Flashback—Sacrifice a Mountain. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
29831|Flash of Insight|{X}{1}{U}|Instant|||Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.<br>Flashback—{1}{U}, Exile X blue cards from your graveyard. <i>(You may cast this card from your graveyard for its flashback cost, then exile it. You can't exile Flash of Insight to pay for its own flashback cost.)</i>|Judgment|Uncommon|Ben Thompson|40|Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.<br>Flashback—{1}{U}, Exile X blue cards from your graveyard. <i>(You may cast this card from your graveyard for its flashback cost, then exile it. You can't exile Flash of Insight to pay for its own flashback cost.)</i>|
29856|Breaking Point|{1}{R}{R}|Sorcery|||Any player may have Breaking Point deal 6 damage to him or her. If no one does, destroy all creatures and they can't be regenerated.|Judgment|Rare|Matthew D. Wilson|81|Any player may have Breaking Point deal 6 damage to him or her. If no one does, destroy all creatures and they can't be regenerated.|
29862|Ember Shot|{6}{R}|Instant|||Ember Shot deals 3 damage to target creature or player.<br><br>Draw a card.|Judgment|Common|Alan Pollack|87|Ember Shot deals 3 damage to target creature or player.<br><br>Draw a card.|
29885|Exoskeletal Armor|{1}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +X/+X, where X is the number of creature cards in all graveyards.|Judgment|Uncommon|Wayne England|114|Enchant creature<br>Enchanted creature gets +X/+X, where X is the number of creature cards in all graveyards.|
29890|Guiltfeeder|{3}{B}{B}|Creature - Horror|0|4|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>Whenever Guiltfeeder attacks and isn't blocked, defending player loses 1 life for each card in his or her graveyard.|Judgment|Rare|Mark Tedin|68|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>Whenever Guiltfeeder attacks and isn't blocked, defending player loses 1 life for each card in his or her graveyard.|
29924|Test of Endurance|{2}{W}{W}|Enchantment|||At the beginning of your upkeep, if you have 50 or more life, you win the game.|Judgment|Rare|Mike Ploog|29|At the beginning of your upkeep, if you have 50 or more life, you win the game.|
29944|Sutured Ghoul|{4}{B}{B}{B}|Creature - Zombie|*|*|Trample<br>As Sutured Ghoul enters the battlefield, exile any number of creature cards from your graveyard.<br>Sutured Ghoul's power is equal to the total power of the exiled cards and its toughness is equal to their total toughness.|Judgment|Rare|Carl Critchlow|73|Trample<br>As Sutured Ghoul enters the battlefield, exile any number of creature cards from your graveyard.<br>Sutured Ghoul's power is equal to the total power of the exiled cards and its toughness is equal to their total toughness.|
30657|Krosan Verge||Land|||Krosan Verge enters the battlefield tapped.<br>{T}: Add {1} to your mana pool.<br>{2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card and put them onto the battlefield tapped. Then shuffle your library.|Judgment|Uncommon|Tony Szczudlo|141|Krosan Verge enters the battlefield tapped.<br>{T}: Add {1} to your mana pool.<br>{2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card and put them onto the battlefield tapped. Then shuffle your library.|
32209|Stitch Together|{B}{B}|Sorcery|||Return target creature card from your graveyard to your hand.<br>Threshold- Return that card from your graveyard to the battlefield instead if seven or more cards are in your graveyard.|Judgment|Uncommon|Arnie Swekel|72|Return target creature card from your graveyard to your hand.<br>Threshold- Return that card from your graveyard to the battlefield instead if seven or more cards are in your graveyard.|
33697|Epic Struggle|{2}{G}{G}|Enchantment|||At the beginning of your upkeep, if you control twenty or more creatures, you win the game.|Judgment|Rare|Greg & Tim Hildebrandt|112|At the beginning of your upkeep, if you control twenty or more creatures, you win the game.|
33717|Anger|{3}{R}|Creature - Incarnation|2|2|Haste<br>As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.|Judgment|Uncommon|John Avon|77|Haste<br>As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.|
33719|XXValor (Valor)|{3}{W}|Creature - Incarnation|2|2|First strike<br>As long as Valor is in your graveyard and you control a Plains, creatures you control have first strike.|Judgment|Uncommon|Kev Walker|32|First strike<br>As long as Valor is in your graveyard and you control a Plains, creatures you control have first strike.|
33720|Wonder|{3}{U}|Creature - Incarnation|2|2|Flying<br>As long as Wonder is in your graveyard and you control an Island, creatures you control have flying.|Judgment|Uncommon|Rebecca Guay|54|Flying<br>As long as Wonder is in your graveyard and you control an Island, creatures you control have flying.|
33721|Brawn|{3}{G}|Creature - Incarnation|3|3|Trample<br>As long as Brawn is in your graveyard and you control a Forest, creatures you control have trample.|Judgment|Uncommon|Matt Cavotta|107|Trample<br>As long as Brawn is in your graveyard and you control a Forest, creatures you control have trample.|
33722|Filth|{3}{B}|Creature - Incarnation|2|2|Swampwalk<br>As long as Filth is in your graveyard and you control a Swamp, creatures you control have swampwalk.|Judgment|Uncommon|Thomas M. Baxa|66|Swampwalk<br>As long as Filth is in your graveyard and you control a Swamp, creatures you control have swampwalk.|
34199|Ray of Revelation|{1}{W}|Instant|||Destroy target enchantment.<br>Flashback {G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Judgment|Common|Doug Chaffee|20|Destroy target enchantment.<br>Flashback {G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
34201|Border Patrol|{4}{W}|Creature - Human Nomad|1|6|Vigilance|Judgment|Common|Roger Raupp|6|Vigilance|
34205|Seedtime|{1}{G}|Instant|||Cast Seedtime only during your turn.<br>Take an extra turn after this one if an opponent cast a blue spell this turn.|Judgment|Rare|Rebecca Guay|130|Cast Seedtime only during your turn.<br>Take an extra turn after this one if an opponent cast a blue spell this turn.|
34208|Lightning Surge|{3}{R}{R}|Sorcery|||Lightning Surge deals 4 damage to target creature or player.<br>Threshold- If seven or more cards are in your graveyard, instead Lightning Surge deals 6 damage to that creature or player and the damage can't be prevented.<br>Flashback {5}{R}{R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Judgment|Rare|Ron Spears|96|Lightning Surge deals 4 damage to target creature or player.<br>Threshold- If seven or more cards are in your graveyard, instead Lightning Surge deals 6 damage to that creature or player and the damage can't be prevented.<br>Flashback {5}{R}{R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
34209|Grizzly Fate|{3}{G}{G}|Sorcery|||Put two 2/2 green Bear creature tokens onto the battlefield.<br>Threshold- Put four 2/2 green Bear creature tokens onto the battlefield instead if seven or more cards are in your graveyard.<br>Flashback {5}{G}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Judgment|Uncommon|Dave Dorman|119|Put two 2/2 green Bear creature tokens onto the battlefield.<br>Threshold- Put four 2/2 green Bear creature tokens onto the battlefield instead if seven or more cards are in your graveyard.<br>Flashback {5}{G}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
34214|Flaring Pain|{1}{R}|Instant|||Damage can't be prevented this turn.<br>Flashback {R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Judgment|Common|Glen Angus|89|Damage can't be prevented this turn.<br>Flashback {R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
34233|Prismatic Strands|{2}{W}|Instant|||Prevent all damage that sources of the color of your choice would deal this turn.<br>Flashback—Tap an untapped white creature you control. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Judgment|Common|Eric Peterson|18|Prevent all damage that sources of the color of your choice would deal this turn.<br>Flashback—Tap an untapped white creature you control. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
34242|Spurnmage Advocate|{W}|Creature - Human Nomad|1|1|{T}: Return two target cards from an opponent's graveyard to his or her hand. Destroy target attacking creature.|Judgment|Uncommon|Ron Spears|27|{T}: Return two target cards from an opponent's graveyard to his or her hand. Destroy target attacking creature.|
34244|Forcemage Advocate|{1}{G}|Creature - Centaur Shaman|2|1|{T}: Return target card from an opponent's graveyard to his or her hand. Put a +1/+1 counter on target creature.|Judgment|Uncommon|Darrell Riche|116|{T}: Return target card from an opponent's graveyard to his or her hand. Put a +1/+1 counter on target creature.|
34245|Nullmage Advocate|{2}{G}|Creature - Insect Druid|2|3|{T}: Return two target cards from an opponent's graveyard to his or her hand. Destroy target artifact or enchantment.|Judgment|Common|Darrell Riche|126|{T}: Return two target cards from an opponent's graveyard to his or her hand. Destroy target artifact or enchantment.|
34398|Riftstone Portal||Land|||{T}: Add {1} to your mana pool.<br><br>As long as Riftstone Portal is in your graveyard, lands you control have "{T}: Add {G} or {W} to your mana pool."|Judgment|Uncommon|Don Hazeltine|143|{T}: Add {1} to your mana pool.<br><br>As long as Riftstone Portal is in your graveyard, lands you control have "{T}: Add {G} or {W} to your mana pool."|
34399|Golden Wish|{3}{W}{W}|Sorcery|||You may choose an artifact or enchantment card you own from outside the game, reveal that card, and put it into your hand. Exile Golden Wish.|Judgment|Rare|Alan Pollack|12|You may choose an artifact or enchantment card you own from outside the game, reveal that card, and put it into your hand. Exile Golden Wish.|
34400|Cunning Wish|{2}{U}|Instant|||You may choose an instant card you own from outside the game, reveal that card, and put it into your hand. Exile Cunning Wish.|Judgment|Rare|Jim Nelson|37|You may choose an instant card you own from outside the game, reveal that card, and put it into your hand. Exile Cunning Wish.|
34401|Nantuko Monastery||Land|||{T}: Add {1} to your mana pool.<br>Threshold- {G}{W}: Nantuko Monastery becomes a 4/4 green and white Insect Monk creature with first strike until end of turn. It's still a land. Activate this ability only if seven or more cards are in your graveyard.|Judgment|Uncommon|Rob Alexander|142|{T}: Add {1} to your mana pool.<br>Threshold- {G}{W}: Nantuko Monastery becomes a 4/4 green and white Insect Monk creature with first strike until end of turn. It's still a land. Activate this ability only if seven or more cards are in your graveyard.|
34402|Death Wish|{1}{B}{B}|Sorcery|||You may choose a card you own from outside the game and put it into your hand. You lose half your life, rounded up. Exile Death Wish.|Judgment|Rare|Jeff Easley|64|You may choose a card you own from outside the game and put it into your hand. You lose half your life, rounded up. Exile Death Wish.|
34403|Burning Wish|{1}{R}|Sorcery|||You may choose a sorcery card you own from outside the game, reveal that card, and put it into your hand. Exile Burning Wish.|Judgment|Rare|Scott M. Fischer|83|You may choose a sorcery card you own from outside the game, reveal that card, and put it into your hand. Exile Burning Wish.|
34405|Living Wish|{1}{G}|Sorcery|||You may choose a creature or land card you own from outside the game, reveal that card, and put it into your hand. Exile Living Wish.|Judgment|Rare|Eric Peterson|124|You may choose a creature or land card you own from outside the game, reveal that card, and put it into your hand. Exile Living Wish.|
34464|Battlewise Aven|{3}{W}|Creature - Bird Soldier|2|2|Flying<br>Threshold- As long as seven or more cards are in your graveyard, Battlewise Aven gets +1/+1 and has first strike.|Judgment|Common|Wayne England|4|Flying<br>Threshold- As long as seven or more cards are in your graveyard, Battlewise Aven gets +1/+1 and has first strike.|
34480|Masked Gorgon|{4}{B}|Creature - Gorgon|5|5|Green creatures and white creatures have protection from Gorgons.<br>Threshold- Masked Gorgon has protection from green and from white as long as seven or more cards are in your graveyard.|Judgment|Rare|Matthew D. Wilson|69|Green creatures and white creatures have protection from Gorgons.<br>Threshold- Masked Gorgon has protection from green and from white as long as seven or more cards are in your graveyard.|
34758|Ironshell Beetle|{1}{G}|Creature - Insect|1|1|When Ironshell Beetle enters the battlefield, put a +1/+1 counter on target creature.|Judgment|Common|Heather Hudson|121|When Ironshell Beetle enters the battlefield, put a +1/+1 counter on target creature.|
34768|Lead Astray|{1}{W}|Instant|||Tap up to two target creatures.|Judgment|Common|Adam Rex|14|Tap up to two target creatures.|
34769|Solitary Confinement|{2}{W}|Enchantment|||At the beginning of your upkeep, sacrifice Solitary Confinement unless you discard a card.<br>Skip your draw step.<br>You have shroud. <i>(You can't be the target of spells or abilities.)</i><br>Prevent all damage that would be dealt to you.|Judgment|Rare|Scott M. Fischer|24|At the beginning of your upkeep, sacrifice Solitary Confinement unless you discard a card.<br>Skip your draw step.<br>You have shroud. <i>(You can't be the target of spells or abilities.)</i><br>Prevent all damage that would be dealt to you.|
34775|Lost in Thought|{1}{U}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated. Its controller may exile three cards from his or her graveyard for that player to ignore this effect until end of turn.|Judgment|Common|Ben Thompson|45|Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated. Its controller may exile three cards from his or her graveyard for that player to ignore this effect until end of turn.|
34777|Mist of Stagnation|{3}{U}{U}|Enchantment|||Permanents don't untap during their controllers' untap steps.<br>At the beginning of each player's upkeep, that player chooses a permanent for each card in his or her graveyard, then untaps those permanents.|Judgment|Rare|Mike Ploog|48|Permanents don't untap during their controllers' untap steps.<br>At the beginning of each player's upkeep, that player chooses a permanent for each card in his or her graveyard, then untaps those permanents.|
34784|Cephalid Inkshrouder|{2}{U}|Creature - Cephalid|2|1|Discard a card: Cephalid Inkshrouder gains shroud until end of turn and is unblockable this turn. <i>(A permanent with shroud can't be the target of spells or abilities.)</i>|Judgment|Uncommon|Tony Szczudlo|36|Discard a card: Cephalid Inkshrouder gains shroud until end of turn and is unblockable this turn. <i>(A permanent with shroud can't be the target of spells or abilities.)</i>|
34788|Treacherous Vampire|{4}{B}|Creature - Vampire|4|4|Flying<br>Whenever Treacherous Vampire attacks or blocks, sacrifice it unless you exile a card from your graveyard.<br>Threshold- As long as seven or more cards are in your graveyard, Treacherous Vampire gets +2/+2 and has "When Treacherous Vampire dies, you lose 6 life."|Judgment|Uncommon|Kev Walker|75|Flying<br>Whenever Treacherous Vampire attacks or blocks, sacrifice it unless you exile a card from your graveyard.<br>Threshold- As long as seven or more cards are in your graveyard, Treacherous Vampire gets +2/+2 and has "When Treacherous Vampire dies, you lose 6 life."|
34789|Cabal Therapy|{B}|Sorcery|||Name a nonland card. Target player reveals his or her hand and discards all cards with that name.<br>Flashback—Sacrifice a creature. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Judgment|Uncommon|Ron Spencer|62|Name a nonland card. Target player reveals his or her hand and discards all cards with that name.<br>Flashback—Sacrifice a creature. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
