ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
417835|Forest||Basic Land - Forest|||G|Kaladesh|Land|Christine Choi|262|G|
417826|Island||Basic Land - Island|||U|Kaladesh|Land|Yeong-Hao Han|253|U|
417832|Mountain||Basic Land - Mountain|||R|Kaladesh|Land|Richard Wright|259|R|
417823|Plains||Basic Land - Plains|||W|Kaladesh|Land|John Avon|250|W|
417829|Swamp||Basic Land - Swamp|||B|Kaladesh|Land|James Paick|256|B|
417764|Accomplished Automaton|{7}|Artifact Creature - Construct|5|7|Fabricate 1 <i>(When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)</i>|Kaladesh|Common|Daarken|191|Fabricate 1 <i>(When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)</i>|
417574|Acrobatic Maneuver|{2}{W}|Instant|||Exile target creature you control, then return that card to the battlefield under its owner's control.<br>Draw a card.|Kaladesh|Common|Winona Nelson|1|Exile target creature you control, then return that card to the battlefield under its owner's control.<br>Draw a card.|
417575|Aerial Responder|{1}{W}{W}|Creature - Dwarf Soldier|2|3|Flying, vigilance, lifelink|Kaladesh|Uncommon|Raoul Vitale|2|Flying, vigilance, lifelink|
417815|Aether Hub||Land|||When Aether Hub enters the battlefield, you get {e} <i>(an energy counter)</i>.<br>{T}: Add {C} to your mana pool.<br>{T}, Pay {e}: Add one mana of any color to your mana pool.|Kaladesh|Uncommon|Sam Burley|242|When Aether Hub enters the battlefield, you get {e} <i>(an energy counter)</i>.<br>{T}: Add {C} to your mana pool.<br>{T}, Pay {e}: Add one mana of any color to your mana pool.|
417609|Aether Meltdown|{1}{U}|Enchantment - Aura|||Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature or Vehicle<br>When Aether Meltdown enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Enchanted permanent gets -4/-0.|Kaladesh|Uncommon|Jason Felix|36|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature or Vehicle<br>When Aether Meltdown enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Enchanted permanent gets -4/-0.|
417610|Aether Theorist|{1}{U}|Creature - Vedalken Rogue|1|3|When Aether Theorist enters the battlefield, you get {e}{e}{e} <i>(three energy counters)</i>.<br>{T}, Pay {e}: Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>|Kaladesh|Common|Lucas Graciano|37|When Aether Theorist enters the battlefield, you get {e}{e}{e} <i>(three energy counters)</i>.<br>{T}, Pay {e}: Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>|
417611|Aether Tradewinds (Æther Tradewinds)|{2}{U}|Instant|||Return target permanent you control and target permanent you don't control to their owners' hands.|Kaladesh|Common|Lius Lasahido|38|Return target permanent you control and target permanent you don't control to their owners' hands.|
417644|Aetherborn Marauder|{3}{B}|Creature - Aetherborn Rogue|2|2|Flying, lifelink<br>When Aetherborn Marauder enters the battlefield, move any number of +1/+1 counters from other permanents you control onto Aetherborn Marauder.|Kaladesh|Uncommon|Kieran Yanner|71|Flying, lifelink<br>When Aetherborn Marauder enters the battlefield, move any number of +1/+1 counters from other permanents you control onto Aetherborn Marauder.|
417765|Aetherflux Reservoir|{4}|Artifact|||Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.<br>Pay 50 life: Aetherflux Reservoir deals 50 damage to target creature or player.|Kaladesh|Rare|Cliff Childs|192|Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.<br>Pay 50 life: Aetherflux Reservoir deals 50 damage to target creature or player.|
417612|Aethersquall Ancient|{5}{U}{U}|Creature - Leviathan|6|6|Flying<br>At the beginning of your upkeep, you get {e}{e}{e} <i>(three energy counters)</i>.<br>Pay {e}{e}{e}{e}{e}{e}{e}{e}: Return all other creatures to their owners' hands. Activate this ability only any time you could cast a sorcery.|Kaladesh|Rare|Sam Burley|39|Flying<br>At the beginning of your upkeep, you get {e}{e}{e} <i>(three energy counters)</i>.<br>Pay {e}{e}{e}{e}{e}{e}{e}{e}: Return all other creatures to their owners' hands. Activate this ability only any time you could cast a sorcery.|
417576|Aetherstorm Roc|{2}{W}{W}|Creature - Bird|3|3|Flying<br>Whenever Aetherstorm Roc or another creature enters the battlefield under your control, you get {e} <i>(an energy counter)</i>.<br>Whenever Aetherstorm Roc attacks, you may pay {e}{e}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.|Kaladesh|Rare|Scott Murphy|3|Flying<br>Whenever Aetherstorm Roc or another creature enters the battlefield under your control, you get {e} <i>(an energy counter)</i>.<br>Whenever Aetherstorm Roc attacks, you may pay {e}{e}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.|
417679|Aethertorch Renegade|{2}{R}|Creature - Human Rogue|1|2|When Aethertorch Renegade enters the battlefield, you get {e}{e}{e}{e} <i>(four energy counters)</i>.<br>{T}, Pay {e}{e}: Aethertorch Renegade deals 1 damage to target creature.<br>{T}, Pay {e}{e}{e}{e}{e}{e}{e}{e}: Aethertorch Renegade deals 6 damage to target player.|Kaladesh|Uncommon|Johann Bodin|106|When Aethertorch Renegade enters the battlefield, you get {e}{e}{e}{e} <i>(four energy counters)</i>.<br>{T}, Pay {e}{e}: Aethertorch Renegade deals 1 damage to target creature.<br>{T}, Pay {e}{e}{e}{e}{e}{e}{e}{e}: Aethertorch Renegade deals 6 damage to target player.|
417766|Aetherworks Marvel|{4}|Legendary Artifact|||Whenever a permanent you control is put into a graveyard, you get {e} <i>(an energy counter)</i>.<br>{T}, Pay {e}{e}{e}{e}{e}{e}: Look at the top six cards of your library. You may cast a card from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.|Kaladesh|Mythic Rare|James Paick|193|Whenever a permanent you control is put into a graveyard, you get {e} <i>(an energy counter)</i>.<br>{T}, Pay {e}{e}{e}{e}{e}{e}: Look at the top six cards of your library. You may cast a card from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.|
417645|Ambitious Aetherborn|{4}{B}|Creature - Aetherborn Artificer|4|3|Fabricate 1 <i>(When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)</i>|Kaladesh|Common|Josu Hernaiz|72|Fabricate 1 <i>(When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)</i>|
417577|Angel of Invention|{3}{W}{W}|Creature - Angel|2|1|Flying, vigilance, lifelink<br>Fabricate 2 <i>(When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)</i><br>Other creatures you control get +1/+1.|Kaladesh|Mythic Rare|Volkan Baga|4|Flying, vigilance, lifelink<br>Fabricate 2 <i>(When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)</i><br>Other creatures you control get +1/+1.|
