ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
386540|Forest||Basic Land - Forest|||G|Khans of Tarkir|Land|Titus Lunter|267|G|
386566|Island||Basic Land - Island|||U|Khans of Tarkir|Land|Florian de Gesincourt|255|U|
386611|Mountain||Basic Land - Mountain|||R|Khans of Tarkir|Land|Noah Bradley|263|R|
386625|Plains||Basic Land - Plains|||W|Khans of Tarkir|Land|Sam Burley|251|W|
386686|Swamp||Basic Land - Swamp|||B|Khans of Tarkir|Land|Sam Burley|259|B|
386463|Abomination of Gudul|{3}{B}{G}{U}|Creature - Horror|3|4|Flying<br>Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.<br>Morph {2}{B}{G}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Khans of Tarkir|Common|Erica Yang|159|Flying<br>Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.<br>Morph {2}{B}{G}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
386464|Abzan Ascendancy|{W}{B}{G}|Enchantment|||When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.<br>Whenever a nontoken creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.|Khans of Tarkir|Rare|Mark Winters|160|When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.<br>Whenever a nontoken creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.|
386465|Abzan Banner|{3}|Artifact|||{T}: Add {W}, {B}, or {G} to your mana pool.<br>{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card.|Khans of Tarkir|Common|Daniel Ljunggren|215|{T}: Add {W}, {B}, or {G} to your mana pool.<br>{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card.|
386466|Abzan Battle Priest|{3}{W}|Creature - Human Cleric|3|2|Outlast {W} <i>({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br>Each creature you control with a +1/+1 counter on it has lifelink.|Khans of Tarkir|Uncommon|Chris Rahn|1|Outlast {W} <i>({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br>Each creature you control with a +1/+1 counter on it has lifelink.|
386467|Abzan Charm|{W}{B}{G}|Instant|||Choose one-<br>• Exile target creature with power 3 or greater.<br>• You draw two cards and you lose 2 life.<br>• Distribute two +1/+1 counters among one or two target creatures.|Khans of Tarkir|Uncommon|Mathias Kollros|161|Choose one-<br>• Exile target creature with power 3 or greater.<br>• You draw two cards and you lose 2 life.<br>• Distribute two +1/+1 counters among one or two target creatures.|
