ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
1398|Al-abara's Carpet|{5}|Artifact|||{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.|Legends|Rare|0.0||2.817|Kaja Foglio|1||{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.|0|
1399|Alchor's Tomb|{4}|Artifact|||{2}, {T}: Target permanent you control becomes the color of your choice. <i>(This effect lasts indefinitely.)</i>|Legends|Rare|0.0||1.917|Jesper Myrfors|2||{2}, {T}: Target permanent you control becomes the color of your choice. <i>(This effect lasts indefinitely.)</i>|0|
1400|Arena of the Ancients|{3}|Artifact|||Legendary creatures don't untap during their controllers' untap steps.<br>When Arena of the Ancients enters the battlefield, tap all legendary creatures.|Legends|Rare|0.0||2.74|Tom Wänerstrand|3||Legendary creatures don't untap during their controllers' untap steps.<br>When Arena of the Ancients enters the battlefield, tap all legendary creatures.|0|
1404|Forethought Amulet|{5}|Artifact|||At the beginning of your upkeep, sacrifice Forethought Amulet unless you pay {3}.<br>If an instant or sorcery source would deal 3 or more damage to you, it deals 2 damage to you instead.|Legends|Rare|0.0||2.167|Melissa Benson|4||At the beginning of your upkeep, sacrifice Forethought Amulet unless you pay {3}.<br>If an instant or sorcery source would deal 3 or more damage to you, it deals 2 damage to you instead.|0|
1408|Knowledge Vault|{4}|Artifact|||{2}, {T}: Exile the top card of your library face down.<br>{0}: Sacrifice Knowledge Vault. If you do, discard your hand, then put all cards exiled with Knowledge Vault into their owner's hand.<br>When Knowledge Vault leaves the battlefield, put all cards exiled with Knowledge Vault into their owner's graveyard.|Legends|Rare|0.0||2.222|Amy Weber|5||{2}, {T}: Exile the top card of your library face down.<br>{0}: Sacrifice Knowledge Vault. If you do, discard your hand, then put all cards exiled with Knowledge Vault into their owner's hand.<br>When Knowledge Vault leaves the battlefield, put all cards exiled with Knowledge Vault into their owner's graveyard.|0|
1409|Kry Shield|{2}|Artifact|||{2}, {T}: Prevent all damage that would be dealt this turn by target creature you control. That creature gets +0/+X until end of turn, where X is its converted mana cost.|Legends|Uncommon|0.0||1.906|Richard Thomas|6||{2}, {T}: Prevent all damage that would be dealt this turn by target creature you control. That creature gets +0/+X until end of turn, where X is its converted mana cost.|0|
1410|Life Chisel|{4}|Artifact|||Sacrifice a creature: You gain life equal to the sacrificed creature's toughness. Activate this ability only during your upkeep.|Legends|Uncommon|0.0||2.875|Anthony Waters|7||Sacrifice a creature: You gain life equal to the sacrificed creature's toughness. Activate this ability only during your upkeep.|0|
1411|Life Matrix|{4}|Artifact|||{4}, {T}: Put a matrix counter on target creature and that creature gains "Remove a matrix counter from this creature: Regenerate this creature." Activate this ability only during your upkeep.|Legends|Rare|0.0||1.167|Amy Weber|8||{4}, {T}: Put a matrix counter on target creature and that creature gains "Remove a matrix counter from this creature: Regenerate this creature." Activate this ability only during your upkeep.|0|
1412|Mana Matrix|{6}|Artifact|||Instant and enchantment spells you cast cost up to {2} less to cast.|Legends|Rare|0.0||2.84|Mark Tedin|9||Instant and enchantment spells you cast cost up to {2} less to cast.|0|
1413|Marble Priest|{5}|Artifact Creature - Cleric|3|3|All Walls able to block Marble Priest do so.<br>Prevent all combat damage that would be dealt to Marble Priest by Walls.|Legends|Uncommon|0.0||1.589|Melissa Benson|10||All Walls able to block Marble Priest do so.<br>Prevent all combat damage that would be dealt to Marble Priest by Walls.|0|
1414|Mirror Universe|{6}|Artifact|||{T}, Sacrifice Mirror Universe: Exchange life totals with target opponent. Activate this ability only during your upkeep.|Legends|Rare|0.0||4.37|Phil Foglio|11||{T}, Sacrifice Mirror Universe: Exchange life totals with target opponent. Activate this ability only during your upkeep.|0|
