ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
100|Control Magic|{2}{U}{U}|Enchantment - Aura|||Enchant creature<br>You control enchanted creature.|Limited Edition Alpha|Uncommon|Dameon Willich|1|Enchant creature<br>You control enchanted creature.|
102|Counterspell|{U}{U}|Instant|||Counter target spell.|Limited Edition Alpha|Uncommon|Mark Poole|2|Counter target spell.|
103|Creature Bond|{1}{U}|Enchantment - Aura|||Enchant creature<br>When enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller.|Limited Edition Alpha|Common|Anson Maddocks|3|Enchant creature<br>When enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller.|
104|Drain Power|{U}{U}|Sorcery|||Target player activates a mana ability of each land he or she controls. Then put all mana from that player's mana pool into yours.|Limited Edition Alpha|Rare|Douglas Schuler|4|Target player activates a mana ability of each land he or she controls. Then put all mana from that player's mana pool into yours.|
105|Feedback|{2}{U}|Enchantment - Aura|||Enchant enchantment<br>At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.|Limited Edition Alpha|Uncommon|Quinton Hoover|5|Enchant enchantment<br>At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.|
10|Crystal Rod|{1}|Artifact|||Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.|Limited Edition Alpha|Uncommon|Amy Weber|6|Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.|
111|Magical Hack|{U}|Instant|||Change the text of target spell or permanent by replacing all instances of one basic land type with another. <i>(For example, you may change "swampwalk" to "plainswalk." This effect lasts indefinitely.)</i>|Limited Edition Alpha|Rare|Julie Baroh|7|Change the text of target spell or permanent by replacing all instances of one basic land type with another. <i>(For example, you may change "swampwalk" to "plainswalk." This effect lasts indefinitely.)</i>|
114|Merfolk of the Pearl Trident|{U}|Creature - Merfolk|1|1||Limited Edition Alpha|Common|Jeff A. Menges|8||
115|Phantasmal Forces|{3}{U}|Creature - Illusion|4|1|Flying<br>At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.|Limited Edition Alpha|Uncommon|Mark Poole|9|Flying<br>At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.|
117|Phantom Monster|{3}{U}|Creature - Illusion|3|3|Flying|Limited Edition Alpha|Uncommon|Jesper Myrfors|10|Flying|
118|Pirate Ship|{4}{U}|Creature - Human Pirate|4|3|Pirate Ship can't attack unless defending player controls an Island.<br>{T}: Pirate Ship deals 1 damage to target creature or player.<br>When you control no Islands, sacrifice Pirate Ship.|Limited Edition Alpha|Rare|Tom Wänerstrand|11|Pirate Ship can't attack unless defending player controls an Island.<br>{T}: Pirate Ship deals 1 damage to target creature or player.<br>When you control no Islands, sacrifice Pirate Ship.|
124|Sea Serpent|{5}{U}|Creature - Serpent|5|5|Sea Serpent can't attack unless defending player controls an Island.<br><br>When you control no Islands, sacrifice Sea Serpent.|Limited Edition Alpha|Common|Jeff A. Menges|12|Sea Serpent can't attack unless defending player controls an Island.<br><br>When you control no Islands, sacrifice Sea Serpent.|
126|Sleight of Mind|{U}|Instant|||Change the text of target spell or permanent by replacing all instances of one color word with another. <i>(For example, you may change "target black spell" to "target blue spell." This effect lasts indefinitely.)</i>|Limited Edition Alpha|Rare|Mark Poole|13|Change the text of target spell or permanent by replacing all instances of one color word with another. <i>(For example, you may change "target black spell" to "target blue spell." This effect lasts indefinitely.)</i>|
128|Stasis|{1}{U}|Enchantment|||Players skip their untap steps.<br><br>At the beginning of your upkeep, sacrifice Stasis unless you pay {U}.|Limited Edition Alpha|Rare|Fay Jones|14|Players skip their untap steps.<br><br>At the beginning of your upkeep, sacrifice Stasis unless you pay {U}.|
130|Thoughtlace|{U}|Instant|||Target spell or permanent becomes blue. <i>(Mana symbols on that permanent remain unchanged.)</i>|Limited Edition Alpha|Rare|Mark Poole|15|Target spell or permanent becomes blue. <i>(Mana symbols on that permanent remain unchanged.)</i>|
131|Time Walk|{1}{U}|Sorcery|||Take an extra turn after this one.|Limited Edition Alpha|Rare|Amy Weber|16|Take an extra turn after this one.|
135|Vesuvan Doppelganger|{3}{U}{U}|Creature - Shapeshifter|0|0|You may have Vesuvan Doppelganger enter the battlefield as a copy of any creature on the battlefield except it doesn't copy that creature's color and it gains "At the beginning of your upkeep, you may have this creature become a copy of target creature except it doesn't copy that creature's color. If you do, this creature gains this ability."|Limited Edition Alpha|Rare|Quinton Hoover|17|You may have Vesuvan Doppelganger enter the battlefield as a copy of any creature on the battlefield except it doesn't copy that creature's color and it gains "At the beginning of your upkeep, you may have this creature become a copy of target creature except it doesn't copy that creature's color. If you do, this creature gains this ability."|
137|Wall of Air|{1}{U}{U}|Creature - Wall|1|5|Defender, flying <i>(This creature can't attack, and it can block creatures with flying.)</i>|Limited Edition Alpha|Uncommon|Richard Thomas|18|Defender, flying <i>(This creature can't attack, and it can block creatures with flying.)</i>|
139|Water Elemental|{3}{U}{U}|Creature - Elemental|5|4||Limited Edition Alpha|Uncommon|Jeff A. Menges|19||
141|Berserk|{G}|Instant|||Cast Berserk only before the combat damage step.<br>Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.|Limited Edition Alpha|Uncommon|Dan Frazier|20|Cast Berserk only before the combat damage step.<br>Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.|
143|Camouflage|{G}|Instant|||Cast Camouflage only during your declare attackers step.<br>This turn, instead of declaring blockers, each defending player chooses any number of creatures he or she controls and divides them into a number of piles equal to the number of attacking creatures for whom that player is the defending player. Creatures he or she controls that can block additional creatures may likewise be put into additional piles. Assign each pile to a different one of those attacking creatures at random. Each creature in a pile that can block the creature that pile is assigned to does so. <i>(Piles can be empty.)</i>|Limited Edition Alpha|Uncommon|Jesper Myrfors|21|Cast Camouflage only during your declare attackers step.<br>This turn, instead of declaring blockers, each defending player chooses any number of creatures he or she controls and divides them into a number of piles equal to the number of attacking creatures for whom that player is the defending player. Creatures he or she controls that can block additional creatures may likewise be put into additional piles. Assign each pile to a different one of those attacking creatures at random. Each creature in a pile that can block the creature that pile is assigned to does so. <i>(Piles can be empty.)</i>|
145|Cockatrice|{3}{G}{G}|Creature - Cockatrice|2|4|Flying<br>Whenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.|Limited Edition Alpha|Rare|Dan Frazier|22|Flying<br>Whenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.|
