ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
1398|Al-abara's Carpet|{5}|Artifact|||{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.|Legends|Rare|Kaja Foglio|1|{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.|
1399|Alchor's Tomb|{4}|Artifact|||{2}, {T}: Target permanent you control becomes the color of your choice. <i>(This effect lasts indefinitely.)</i>|Legends|Rare|Jesper Myrfors|2|{2}, {T}: Target permanent you control becomes the color of your choice. <i>(This effect lasts indefinitely.)</i>|
1400|Arena of the Ancients|{3}|Artifact|||Legendary creatures don't untap during their controllers' untap steps.<br>When Arena of the Ancients enters the battlefield, tap all legendary creatures.|Legends|Rare|Tom Wänerstrand|3|Legendary creatures don't untap during their controllers' untap steps.<br>When Arena of the Ancients enters the battlefield, tap all legendary creatures.|
1404|Forethought Amulet|{5}|Artifact|||At the beginning of your upkeep, sacrifice Forethought Amulet unless you pay {3}.<br>If an instant or sorcery source would deal 3 or more damage to you, it deals 2 damage to you instead.|Legends|Rare|Melissa Benson|4|At the beginning of your upkeep, sacrifice Forethought Amulet unless you pay {3}.<br>If an instant or sorcery source would deal 3 or more damage to you, it deals 2 damage to you instead.|
1408|Knowledge Vault|{4}|Artifact|||{2}, {T}: Exile the top card of your library face down.<br>{0}: Sacrifice Knowledge Vault. If you do, discard your hand, then put all cards exiled with Knowledge Vault into their owner's hand.<br>When Knowledge Vault leaves the battlefield, put all cards exiled with Knowledge Vault into their owner's graveyard.|Legends|Rare|Amy Weber|5|{2}, {T}: Exile the top card of your library face down.<br>{0}: Sacrifice Knowledge Vault. If you do, discard your hand, then put all cards exiled with Knowledge Vault into their owner's hand.<br>When Knowledge Vault leaves the battlefield, put all cards exiled with Knowledge Vault into their owner's graveyard.|
1409|Kry Shield|{2}|Artifact|||{2}, {T}: Prevent all damage that would be dealt this turn by target creature you control. That creature gets +0/+X until end of turn, where X is its converted mana cost.|Legends|Uncommon|Richard Thomas|6|{2}, {T}: Prevent all damage that would be dealt this turn by target creature you control. That creature gets +0/+X until end of turn, where X is its converted mana cost.|
1410|Life Chisel|{4}|Artifact|||Sacrifice a creature: You gain life equal to the sacrificed creature's toughness. Activate this ability only during your upkeep.|Legends|Uncommon|Anthony Waters|7|Sacrifice a creature: You gain life equal to the sacrificed creature's toughness. Activate this ability only during your upkeep.|
1411|Life Matrix|{4}|Artifact|||{4}, {T}: Put a matrix counter on target creature and that creature gains "Remove a matrix counter from this creature: Regenerate this creature." Activate this ability only during your upkeep.|Legends|Rare|Amy Weber|8|{4}, {T}: Put a matrix counter on target creature and that creature gains "Remove a matrix counter from this creature: Regenerate this creature." Activate this ability only during your upkeep.|
1412|Mana Matrix|{6}|Artifact|||Instant and enchantment spells you cast cost up to {2} less to cast.|Legends|Rare|Mark Tedin|9|Instant and enchantment spells you cast cost up to {2} less to cast.|
1413|Marble Priest|{5}|Artifact Creature - Cleric|3|3|All Walls able to block Marble Priest do so.<br>Prevent all combat damage that would be dealt to Marble Priest by Walls.|Legends|Uncommon|Melissa Benson|10|All Walls able to block Marble Priest do so.<br>Prevent all combat damage that would be dealt to Marble Priest by Walls.|
1414|Mirror Universe|{6}|Artifact|||{T}, Sacrifice Mirror Universe: Exchange life totals with target opponent. Activate this ability only during your upkeep.|Legends|Rare|Phil Foglio|11|{T}, Sacrifice Mirror Universe: Exchange life totals with target opponent. Activate this ability only during your upkeep.|
1415|North Star|{4}|Artifact|||{4}, {T}: For one spell this turn, you may spend mana as though it were mana of any color to pay that spell's mana cost. <i>(Additional costs are still paid normally.)</i>|Legends|Rare|Kaja Foglio|12|{4}, {T}: For one spell this turn, you may spend mana as though it were mana of any color to pay that spell's mana cost. <i>(Additional costs are still paid normally.)</i>|
1416|Nova Pentacle|{4}|Artifact|||{3}, {T}: The next time a source of your choice would deal damage to you this turn, that damage is dealt to target creature of an opponent's choice instead.|Legends|Rare|Richard Thomas|13|{3}, {T}: The next time a source of your choice would deal damage to you this turn, that damage is dealt to target creature of an opponent's choice instead.|
1417|Planar Gate|{6}|Artifact|||Creature spells you cast cost up to {2} less to cast.|Legends|Rare|Melissa Benson|14|Creature spells you cast cost up to {2} less to cast.|
1420|Ring of Immortals|{5}|Artifact|||{3}, {T}: Counter target instant or Aura spell that targets a permanent you control.|Legends|Rare|Melissa Benson|15|{3}, {T}: Counter target instant or Aura spell that targets a permanent you control.|
1423|Sword of the Ages|{6}|Artifact|||Sword of the Ages enters the battlefield tapped.<br>{T}, Sacrifice Sword of the Ages and any number of creatures you control: Sword of the Ages deals X damage to target creature or player, where X is the total power of the creatures sacrificed this way, then exile Sword of the Ages and those creature cards.|Legends|Rare|Dan Frazier|16|Sword of the Ages enters the battlefield tapped.<br>{T}, Sacrifice Sword of the Ages and any number of creatures you control: Sword of the Ages deals X damage to target creature or player, where X is the total power of the creatures sacrificed this way, then exile Sword of the Ages and those creature cards.|
1424|Triassic Egg|{4}|Artifact|||{3}, {T}: Put a hatchling counter on Triassic Egg.<br>Sacrifice Triassic Egg: Choose one- You may put a creature card from your hand onto the battlefield; or return target creature card from your graveyard to the battlefield. Activate this ability only if two or more hatchling counters are on Triassic Egg.|Legends|Rare|Dan Frazier|17|{3}, {T}: Put a hatchling counter on Triassic Egg.<br>Sacrifice Triassic Egg: Choose one- You may put a creature card from your hand onto the battlefield; or return target creature card from your graveyard to the battlefield. Activate this ability only if two or more hatchling counters are on Triassic Egg.|
