ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
29717|Cephalid Pathmage|{2}{U}|Creature - Cephalid Wizard|1|2|Cephalid Pathmage is unblockable.<br>{T}, Sacrifice Cephalid Pathmage: Target creature is unblockable this turn.|Legions|Common|Alex Horley-Orlandelli|31|Cephalid Pathmage is unblockable.<br>{T}, Sacrifice Cephalid Pathmage: Target creature is unblockable this turn.|
30659|Covert Operative|{4}{U}|Creature - Human Wizard|3|2|Covert Operative is unblockable.|Legions|Common|Kev Walker|33|Covert Operative is unblockable.|
34263|Feral Throwback|{4}{G}{G}|Creature - Beast|3|3|Amplify 2 <i>(As this creature enters the battlefield, put two +1/+1 counters on it for each Beast card you reveal in your hand.)</i><br>Provoke <i>(When this attacks, you may have target creature defending player controls untap and block it if able.)</i>|Legions|Rare|Carl Critchlow|126|Amplify 2 <i>(As this creature enters the battlefield, put two +1/+1 counters on it for each Beast card you reveal in your hand.)</i><br>Provoke <i>(When this attacks, you may have target creature defending player controls untap and block it if able.)</i>|
35166|Krosan Cloudscraper|{7}{G}{G}{G}|Creature - Beast Mutant|13|13|At the beginning of your upkeep, sacrifice Krosan Cloudscraper unless you pay {G}{G}.<br>Morph {7}{G}{G} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Legions|Rare|Ron Spears|130|At the beginning of your upkeep, sacrifice Krosan Cloudscraper unless you pay {G}{G}.<br>Morph {7}{G}{G} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
35249|Deathmark Prelate|{3}{B}|Creature - Human Cleric|2|3|{2}{B}, {T}, Sacrifice a Zombie: Destroy target non-Zombie creature. It can't be regenerated. Activate this ability only any time you could cast a sorcery.|Legions|Uncommon|Tony Szczudlo|65|{2}{B}, {T}, Sacrifice a Zombie: Destroy target non-Zombie creature. It can't be regenerated. Activate this ability only any time you could cast a sorcery.|
35299|Wirewood Channeler|{3}{G}|Creature - Elf Druid|2|2|{T}: Add X mana of any one color to your mana pool, where X is the number of Elves on the battlefield.|Legions|Uncommon|Alan Pollack|144|{T}: Add X mana of any one color to your mana pool, where X is the number of Elves on the battlefield.|
35335|Keeneye Aven|{3}{U}|Creature - Bird Soldier|2|3|Flying<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Legions|Common|Greg Hildebrandt|41|Flying<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
37909|Branchsnap Lorian|{1}{G}{G}|Creature - Beast|4|1|Trample<br>Morph {G} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Legions|Uncommon|Heather Hudson|118|Trample<br>Morph {G} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
39566|Ridgetop Raptor|{3}{R}|Creature - Lizard Beast|2|1|Double strike <i>(This creature deals both first-strike and regular combat damage.)</i>|Legions|Uncommon|Daren Bader|108|Double strike <i>(This creature deals both first-strike and regular combat damage.)</i>|
39603|Liege of the Axe|{3}{W}|Creature - Human Soldier|2|3|Vigilance<br>Morph {1}{W} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Liege of the Axe is turned face up, untap it.|Legions|Uncommon|Christopher Moeller|16|Vigilance<br>Morph {1}{W} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Liege of the Axe is turned face up, untap it.|
39653|Kilnmouth Dragon|{5}{R}{R}|Creature - Dragon|5|5|Amplify 3 <i>(As this creature enters the battlefield, put three +1/+1 counters on it for each Dragon card you reveal in your hand.)</i><br>Flying<br>{T}: Kilnmouth Dragon deals damage equal to the number of +1/+1 counters on it to target creature or player.|Legions|Rare|Carl Critchlow|104|Amplify 3 <i>(As this creature enters the battlefield, put three +1/+1 counters on it for each Dragon card you reveal in your hand.)</i><br>Flying<br>{T}: Kilnmouth Dragon deals damage equal to the number of +1/+1 counters on it to target creature or player.|
39707|Defiant Elf|{G}|Creature - Elf|1|1|Trample|Legions|Common|Pete Venters|123|Trample|
39733|Riptide Director|{2}{U}{U}|Creature - Human Wizard|2|3|{2}{U}{U}, {T}: Draw a card for each Wizard you control.|Legions|Rare|Scott M. Fischer|50|{2}{U}{U}, {T}: Draw a card for each Wizard you control.|
