ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
383175|Accursed Spirit|{3}{B}|Creature - Spirit|3|2|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>|Magic 2015 Core Set|Common|Kev Walker|85|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>|
383176|Act on Impulse|{2}{R}|Sorcery|||Exile the top three cards of your library. Until end of turn, you may play cards exiled this way. <i>(If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)</i>|Magic 2015 Core Set|Uncommon|Brad Rigney|126|Exile the top three cards of your library. Until end of turn, you may play cards exiled this way. <i>(If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)</i>|
383160|Aegis Angel|{4}{W}{W}|Creature - Angel|5|5|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. <i>(Effects that say "destroy" don't destroy it. A creature with indestructible can't be destroyed by damage.)</i>|Magic 2015 Core Set|Rare|Aleksi Briclot|270|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. <i>(Effects that say "destroy" don't destroy it. A creature with indestructible can't be destroyed by damage.)</i>|
383177|Aeronaut Tinkerer|{2}{U}|Creature - Human Artificer|2|3|Aeronaut Tinkerer has flying as long as you control an artifact. <i>(It can't be blocked except by creatures with flying or reach.)</i>|Magic 2015 Core Set|Common|Willian Murai|43|Aeronaut Tinkerer has flying as long as you control an artifact. <i>(It can't be blocked except by creatures with flying or reach.)</i>|
383178|Ætherspouts|{3}{U}{U}|Instant|||For each attacking creature, its owner puts it on the top or bottom of his or her library.|Magic 2015 Core Set|Rare|Dan Scott|44|For each attacking creature, its owner puts it on the top or bottom of his or her library.|
383179|Aggressive Mining|{3}{R}|Enchantment|||You can't play lands.<br>Sacrifice a land: Draw two cards. Activate this ability only once each turn.|Magic 2015 Core Set|Rare|Franz Vohwinkel|127|You can't play lands.<br>Sacrifice a land: Draw two cards. Activate this ability only once each turn.|
383180|Ajani Steadfast|{3}{W}|Planeswalker - Ajani||4|+1: Until end of turn, up to one target creature gets +1/+1 and gains first strike, vigilance, and lifelink.<br>−2: Put a +1/+1 counter on each creature you control and a loyalty counter on each other planeswalker you control.<br>−7: You get an emblem with "If a source would deal damage to you or a planeswalker you control, prevent all but 1 of that damage."|Magic 2015 Core Set|Mythic Rare|Chris Rahn|1|+1: Until end of turn, up to one target creature gets +1/+1 and gains first strike, vigilance, and lifelink.<br>−2: Put a +1/+1 counter on each creature you control and a loyalty counter on each other planeswalker you control.<br>−7: You get an emblem with "If a source would deal damage to you or a planeswalker you control, prevent all but 1 of that damage."|
383181|Ajani's Pridemate|{1}{W}|Creature - Cat Soldier|2|2|Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate.|Magic 2015 Core Set|Uncommon|Svetlin Velinov|2|Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate.|
383182|Altac Bloodseeker|{1}{R}|Creature - Human Berserker|2|1|Whenever a creature an opponent controls dies, Altac Bloodseeker gets +2/+0 and gains first strike and haste until end of turn. <i>(It deals combat damage before creatures without first strike, and it can attack and {T} as soon as it comes under your control.)</i>|Magic 2015 Core Set|Uncommon|Cynthia Sheppard|128|Whenever a creature an opponent controls dies, Altac Bloodseeker gets +2/+0 and gains first strike and haste until end of turn. <i>(It deals combat damage before creatures without first strike, and it can attack and {T} as soon as it comes under your control.)</i>|
383183|Amphin Pathmage|{3}{U}|Creature - Salamander Wizard|3|2|{2}{U}: Target creature can't be blocked this turn.|Magic 2015 Core Set|Common|Mark Winters|45|{2}{U}: Target creature can't be blocked this turn.|
383184|Ancient Silverback|{4}{G}{G}|Creature - Ape|6|5|{G}: Regenerate Ancient Silverback. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|Magic 2015 Core Set|Uncommon|Scott M. Fischer|168|{G}: Regenerate Ancient Silverback. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|
383185|Avacyn, Guardian Angel|{2}{W}{W}{W}|Legendary Creature - Angel|5|4|Flying, vigilance<br>{1}{W}: Prevent all damage that would be dealt to another target creature this turn by sources of the color of your choice.<br>{5}{W}{W}: Prevent all damage that would be dealt to target player this turn by sources of the color of your choice.|Magic 2015 Core Set|Rare|Winona Nelson|3|Flying, vigilance<br>{1}{W}: Prevent all damage that would be dealt to another target creature this turn by sources of the color of your choice.<br>{5}{W}{W}: Prevent all damage that would be dealt to target player this turn by sources of the color of your choice.|
383186|Avarice Amulet|{4}|Artifact - Equipment|||Equipped creature gets +2/+0 and has vigilance and "At the beginning of your upkeep, draw a card."<br>When equipped creature dies, target opponent gains control of Avarice Amulet.<br>Equip {2} <i>({2}: Attach to target creature you control. Equip only as a sorcery.)</i>|Magic 2015 Core Set|Rare|Steven Belledin|212|Equipped creature gets +2/+0 and has vigilance and "At the beginning of your upkeep, draw a card."<br>When equipped creature dies, target opponent gains control of Avarice Amulet.<br>Equip {2} <i>({2}: Attach to target creature you control. Equip only as a sorcery.)</i>|
383187|Back to Nature|{1}{G}|Instant|||Destroy all enchantments.|Magic 2015 Core Set|Uncommon|Howard Lyon|169|Destroy all enchantments.|
383188|Battle Mastery|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has double strike. <i>(It deals both first-strike and regular combat damage.)</i>|Magic 2015 Core Set|Uncommon|Zoltan Boros & Gabor Szikszai|4|Enchant creature<br>Enchanted creature has double strike. <i>(It deals both first-strike and regular combat damage.)</i>|
