ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
382179|Burrenton Forge-Tender|{W}|Creature - Kithkin Wizard|1|1|Protection from red<br>Sacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.|Modern Event Deck 2014|Uncommon|Chuck Lukacs|22|Protection from red<br>Sacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.|
382180|Caves of Koilos||Land|||{T}: Add {1} to your mana pool.<br>{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.|Modern Event Deck 2014|Rare|Jim Nelson|14|{T}: Add {1} to your mana pool.<br>{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.|
382181|City of Brass||Land|||Whenever City of Brass becomes tapped, it deals 1 damage to you.<br>{T}: Add one mana of any color to your mana pool.|Modern Event Deck 2014|Rare|Jung Park|15|Whenever City of Brass becomes tapped, it deals 1 damage to you.<br>{T}: Add one mana of any color to your mana pool.|
382182|Dismember|{1}{BP}{BP}|Instant|||<i>({BP} can be paid with either {B} or 2 life.)</i><br>Target creature gets -5/-5 until end of turn.|Modern Event Deck 2014|Uncommon|Terese Nielsen|25|<i>({BP} can be paid with either {B} or 2 life.)</i><br>Target creature gets -5/-5 until end of turn.|
382183|Duress|{B}|Sorcery|||Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.|Modern Event Deck 2014|Common|Steven Belledin|23|Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.|
382184|Elspeth, Knight-Errant|{2}{W}{W}|Planeswalker - Elspeth||4|+1: Put a 1/1 white Soldier creature token onto the battlefield.<br>+1: Target creature gets +3/+3 and gains flying until end of turn.<br>-8: You get an emblem with "Artifacts, creatures, enchantments, and lands you control have indestructible."|Modern Event Deck 2014|Mythic Rare|Volkan Baga|13|+1: Put a 1/1 white Soldier creature token onto the battlefield.<br>+1: Target creature gets +3/+3 and gains flying until end of turn.<br>-8: You get an emblem with "Artifacts, creatures, enchantments, and lands you control have indestructible."|
382185|Ghost Quarter||Land|||{T}: Add {1} to your mana pool.<br>{T}, Sacrifice Ghost Quarter: Destroy target land. Its controller may search his or her library for a basic land card, put it onto the battlefield, then shuffle his or her library.|Modern Event Deck 2014|Uncommon|Peter Mohrbacher|26|{T}: Add {1} to your mana pool.<br>{T}, Sacrifice Ghost Quarter: Destroy target land. Its controller may search his or her library for a basic land card, put it onto the battlefield, then shuffle his or her library.|
382186|Honor of the Pure|{1}{W}|Enchantment|||White creatures you control get +1/+1.|Modern Event Deck 2014|Rare|Greg Staples|6|White creatures you control get +1/+1.|
382187|Inquisition of Kozilek|{B}|Sorcery|||Target player reveals his or her hand. You choose a nonland card from it with converted mana cost 3 or less. That player discards that card.|Modern Event Deck 2014|Uncommon|Tomasz Jedruszek|4|Target player reveals his or her hand. You choose a nonland card from it with converted mana cost 3 or less. That player discards that card.|
382188|Intangible Virtue|{1}{W}|Enchantment|||Creature tokens you control get +1/+1 and have vigilance.|Modern Event Deck 2014|Uncommon|Clint Cearley|7|Creature tokens you control get +1/+1 and have vigilance.|
382189|Isolated Chapel||Land|||Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.<br>{T}: Add {W} or {B} to your mana pool.|Modern Event Deck 2014|Rare|Cliff Childs|16|Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.<br>{T}: Add {W} or {B} to your mana pool.|
382190|Kataki, War's Wage|{1}{W}|Legendary Creature - Spirit|2|1|All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {1}."|Modern Event Deck 2014|Rare|Matt Thompson|24|All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {1}."|
382191|Lingering Souls|{2}{W}|Sorcery|||Put two 1/1 white Spirit creature tokens with flying onto the battlefield.<br>Flashback {1}{B} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Modern Event Deck 2014|Uncommon|Bud Cook|11|Put two 1/1 white Spirit creature tokens with flying onto the battlefield.<br>Flashback {1}{B} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
382192|Path to Exile|{W}|Instant|||Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.|Modern Event Deck 2014|Uncommon|Todd Lockwood|3|Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.|
382193|Plains||Basic Land - Plains|||W|Modern Event Deck 2014|Land|Adam Paquette|19|W|
382194|Raise the Alarm|{1}{W}|Instant|||Put two 1/1 white Soldier creature tokens onto the battlefield.|Modern Event Deck 2014|Common|John Matson|8|Put two 1/1 white Soldier creature tokens onto the battlefield.|
382195|Relic of Progenitus|{1}|Artifact|||{T}: Target player exiles a card from his or her graveyard.<br>{1}, Exile Relic of Progenitus: Exile all cards from all graveyards. Draw a card.|Modern Event Deck 2014|Uncommon|Jean-Sébastien Rossbach|21|{T}: Target player exiles a card from his or her graveyard.<br>{1}, Exile Relic of Progenitus: Exile all cards from all graveyards. Draw a card.|
382196|Shrine of Loyal Legions|{2}|Artifact|||At the beginning of your upkeep or whenever you cast a white spell, put a charge counter on Shrine of Loyal Legions.<br>{3}, {T}, Sacrifice Shrine of Loyal Legions: Put a 1/1 colorless Myr artifact creature token onto the battlefield for each charge counter on Shrine of Loyal Legions.|Modern Event Deck 2014|Uncommon|Igor Kieryluk|5|At the beginning of your upkeep or whenever you cast a white spell, put a charge counter on Shrine of Loyal Legions.<br>{3}, {T}, Sacrifice Shrine of Loyal Legions: Put a 1/1 colorless Myr artifact creature token onto the battlefield for each charge counter on Shrine of Loyal Legions.|
382197|Soul Warden|{W}|Creature - Human Cleric|1|1|Whenever another creature enters the battlefield, you gain 1 life.|Modern Event Deck 2014|Common|Randy Gallegos|1|Whenever another creature enters the battlefield, you gain 1 life.|
382198|Spectral Procession|{2/W}{2/W}{2/W}|Sorcery|||<i>({2/W} can be paid with any two mana or with {W}. This card's converted mana cost is 6.)</i><br>Put three 1/1 white Spirit creature tokens with flying onto the battlefield.|Modern Event Deck 2014|Uncommon|Tomasz Jedruszek|12|<i>({2/W} can be paid with any two mana or with {W}. This card's converted mana cost is 6.)</i><br>Put three 1/1 white Spirit creature tokens with flying onto the battlefield.|
382199|Swamp||Basic Land - Swamp|||B|Modern Event Deck 2014|Land|Adam Paquette|20|B|
382200|Sword of Feast and Famine|{3}|Artifact - Equipment|||Equipped creature gets +2/+2 and has protection from black and from green.<br>Whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.<br>Equip {2}|Modern Event Deck 2014|Mythic Rare|Chris Rahn|10|Equipped creature gets +2/+2 and has protection from black and from green.<br>Whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.<br>Equip {2}|
382201|Tidehollow Sculler|{W}{B}|Artifact Creature - Zombie|2|2|When Tidehollow Sculler enters the battlefield, target opponent reveals his or her hand and you choose a nonland card from it. Exile that card.<br>When Tidehollow Sculler leaves the battlefield, return the exiled card to its owner's hand.|Modern Event Deck 2014|Uncommon|rk post|2|When Tidehollow Sculler enters the battlefield, target opponent reveals his or her hand and you choose a nonland card from it. Exile that card.<br>When Tidehollow Sculler leaves the battlefield, return the exiled card to its owner's hand.|
382202|Vault of the Archangel||Land|||{T}: Add {1} to your mana pool.<br>{2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn.|Modern Event Deck 2014|Rare|John Avon|17|{T}: Add {1} to your mana pool.<br>{2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn.|
