ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
202485|Divine Offering|{1}{W}|Instant|||Destroy target artifact. You gain life equal to its converted mana cost.|Masters Edition IV|Common|Jeff A. Menges|10|Destroy target artifact. You gain life equal to its converted mana cost.|
233299|Acid Rain|{3}{U}|Sorcery|||Destroy all Forests.|Masters Edition IV|Rare|NéNé Thomas|36|Destroy all Forests.|
202510|Aesthir Glider|{3}|Artifact Creature - Bird|2|1|Flying<br>Aesthir Glider can't block.|Masters Edition IV|Common|Ruth Thompson|176|Flying<br>Aesthir Glider can't block.|
221985|Air Elemental|{3}{U}{U}|Creature - Elemental|4|4|Flying|Masters Edition IV|Uncommon|Brian Snoddy|37|Flying|
228269|Al-abara's Carpet|{5}|Artifact|||{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.|Masters Edition IV|Rare|Kaja Foglio|177|{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.|
221493|Alaborn Musketeer|{1}{W}|Creature - Human Soldier|2|1|Reach <i>(This creature can block creatures with flying.)</i>|Masters Edition IV|Common|Heather Hudson|1|Reach <i>(This creature can block creatures with flying.)</i>|
221987|Alaborn Trooper|{2}{W}|Creature - Human Soldier|2|3||Masters Edition IV|Common|Lubov|2||
202452|Aladdin|{2}{R}{R}|Creature - Human Rogue|1|1|{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.|Masters Edition IV|Rare|Julie Baroh|106|{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.|
228270|Alchor's Tomb|{4}|Artifact|||{2}, {T}: Target permanent you control becomes the color of your choice. <i>(This effect lasts indefinitely.)</i>|Masters Edition IV|Rare|Jesper Myrfors|178|{2}, {T}: Target permanent you control becomes the color of your choice. <i>(This effect lasts indefinitely.)</i>|
202619|Ali from Cairo|{2}{R}{R}|Creature - Human|0|1|Damage that would reduce your life total to less than 1 reduces it to 1 instead.|Masters Edition IV|Rare|Mark Poole|107|Damage that would reduce your life total to less than 1 reduces it to 1 instead.|
221494|Alluring Scent|{1}{G}{G}|Sorcery|||All creatures able to block target creature this turn do so.|Masters Edition IV|Common|Melissa A. Benson|141|All creatures able to block target creature this turn do so.|
202567|Amulet of Kroog|{2}|Artifact|||{2}, {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|Masters Edition IV|Common|Margaret Organ-Kean|179|{2}, {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|
202477|Angelic Voices|{2}{W}{W}|Enchantment|||Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.|Masters Edition IV|Uncommon|Julie Baroh|3|Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.|
202417|Animate Artifact|{3}{U}|Enchantment - Aura|||Enchant artifact<br>As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.|Masters Edition IV|Uncommon|Douglas Shuler|38|Enchant artifact<br>As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.|
221112|Argivian Blacksmith|{1}{W}{W}|Creature - Human Artificer|2|2|{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.|Masters Edition IV|Uncommon|Kersten Kaman|4|{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.|
202589|Argothian Pixies|{1}{G}|Creature - Faerie|2|1|Argothian Pixies can't be blocked by artifact creatures.<br>Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.|Masters Edition IV|Common|Amy Weber|142|Argothian Pixies can't be blocked by artifact creatures.<br>Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.|
202428|Argothian Treefolk|{3}{G}{G}|Creature - Treefolk|3|5|Prevent all damage that would be dealt to Argothian Treefolk by artifact sources.|Masters Edition IV|Uncommon|Amy Weber|143|Prevent all damage that would be dealt to Argothian Treefolk by artifact sources.|
228262|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Masters Edition IV|Rare|John Avon|5|Destroy all lands.|
202414|Armageddon Clock|{6}|Artifact|||At the beginning of your upkeep, put a doom counter on Armageddon Clock.<br>At the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.<br>{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.|Masters Edition IV|Rare|Amy Weber|180|At the beginning of your upkeep, put a doom counter on Armageddon Clock.<br>At the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.<br>{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.|
221551|Artifact Blast|{R}|Instant|||Counter target artifact spell.|Masters Edition IV|Common|Mark Poole|108|Counter target artifact spell.|
202622|Ashnod's Altar|{3}|Artifact|||Sacrifice a creature: Add {2} to your mana pool.|Masters Edition IV|Rare|Anson Maddocks|181|Sacrifice a creature: Add {2} to your mana pool.|
202463|Atog|{1}{R}|Creature - Atog|1|2|Sacrifice an artifact: Atog gets +2/+2 until end of turn.|Masters Edition IV|Common|Jesper Myrfors|109|Sacrifice an artifact: Atog gets +2/+2 until end of turn.|
202626|Badlands||Land - Swamp Mountain||||Masters Edition IV|Rare|Rob Alexander|241||
202501|Balance|{1}{W}|Sorcery|||Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.|Masters Edition IV|Rare|Mark Poole|6|Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.|
202565|Basalt Monolith|{3}|Artifact|||Basalt Monolith doesn't untap during your untap step.<br>{T}: Add {3} to your mana pool.<br>{3}: Untap Basalt Monolith.|Masters Edition IV|Uncommon|Jesper Myrfors|182|Basalt Monolith doesn't untap during your untap step.<br>{T}: Add {3} to your mana pool.<br>{3}: Untap Basalt Monolith.|
202604|Bayou||Land - Swamp Forest||||Masters Edition IV|Rare|Jesper Myrfors|242||
221570|Bee Sting|{3}{G}|Sorcery|||Bee Sting deals 2 damage to target creature or player.|Masters Edition IV|Uncommon|Cris Dornaus|144|Bee Sting deals 2 damage to target creature or player.|
202553|Bird Maiden|{2}{R}|Creature - Human Bird|1|2|Flying|Masters Edition IV|Common|Kaja Foglio|110|Flying|
221568|Black Knight|{B}{B}|Creature - Human Knight|2|2|First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>Protection from white <i>(This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)</i>|Masters Edition IV|Uncommon|Jeff A. Menges|71|First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>Protection from white <i>(This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)</i>|
202450|Blaze of Glory|{W}|Instant|||Cast Blaze of Glory only during combat before blockers are declared.<br>Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.|Masters Edition IV|Uncommon|Richard Thomas|7|Cast Blaze of Glory only during combat before blockers are declared.<br>Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.|
202520|Blue Elemental Blast|{U}|Instant|||Choose one- Counter target red spell; or destroy target red permanent.|Masters Edition IV|Uncommon|Richard Thomas|39|Choose one- Counter target red spell; or destroy target red permanent.|
202573|Book of Rass|{6}|Artifact|||{2}, Pay 2 life: Draw a card.|Masters Edition IV|Uncommon|Sandra Everingham|183|{2}, Pay 2 life: Draw a card.|
202474|Bottle of Suleiman|{4}|Artifact|||{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you lose the flip, Bottle of Suleiman deals 5 damage to you. If you win the flip, put a 5/5 colorless Djinn artifact creature token with flying onto the battlefield.|Masters Edition IV|Rare|Jesper Myrfors|184|{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you lose the flip, Bottle of Suleiman deals 5 damage to you. If you win the flip, put a 5/5 colorless Djinn artifact creature token with flying onto the battlefield.|
202409|Braingeyser|{X}{U}{U}|Sorcery|||Target player draws X cards.|Masters Edition IV|Rare|Mark Tedin|40|Target player draws X cards.|
202445|Brass Man|{1}|Artifact Creature - Construct|1|3|Brass Man doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.|Masters Edition IV|Common|Christopher Rush|185|Brass Man doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.|
202610|Bronze Horse|{7}|Artifact Creature - Horse|4|4|Trample<br>As long as you control another creature, prevent all damage that would be dealt to Bronze Horse by spells that target it.|Masters Edition IV|Uncommon|Mark Poole|186|Trample<br>As long as you control another creature, prevent all damage that would be dealt to Bronze Horse by spells that target it.|
202627|Candelabra of Tawnos|{1}|Artifact|||{X}, {T}: Untap X target lands.|Masters Edition IV|Rare|Douglas Shuler|187|{X}, {T}: Untap X target lands.|
202600|Celestial Sword|{6}|Artifact|||{3}, {T}: Target creature you control gets +3/+3 until end of turn. Its controller sacrifices it at the beginning of the next end step.|Masters Edition IV|Uncommon|Amy Weber|188|{3}, {T}: Target creature you control gets +3/+3 until end of turn. Its controller sacrifices it at the beginning of the next end step.|
202435|Champion Lancer|{4}{W}{W}|Creature - Human Knight|3|3|Prevent all damage that would be dealt to Champion Lancer by creatures.|Masters Edition IV|Rare|Chippy|8|Prevent all damage that would be dealt to Champion Lancer by creatures.|
202596|Channel|{G}{G}|Sorcery|||Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {1} to your mana pool.|Masters Edition IV|Rare|Richard Thomas|145|Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {1} to your mana pool.|
202625|Citanul Druid|{1}{G}|Creature - Human Druid|1|1|Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid.|Masters Edition IV|Common|Jeff A. Menges|146|Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid.|
220963|City of Brass||Land|||Whenever City of Brass becomes tapped, it deals 1 damage to you.<br>{T}: Add one mana of any color to your mana pool.|Masters Edition IV|Rare|Mark Tedin|243|Whenever City of Brass becomes tapped, it deals 1 damage to you.<br>{T}: Add one mana of any color to your mana pool.|
202513|Clay Statue|{4}|Artifact Creature - Golem|3|1|{2}: Regenerate Clay Statue.|Masters Edition IV|Uncommon|Jesper Myrfors|189|{2}: Regenerate Clay Statue.|
