ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
159098|Phyrexian War Beast|{3}|Artifact Creature - Beast|3|4|When Phyrexian War Beast leaves the battlefield, sacrifice a land and Phyrexian War Beast deals 1 damage to you.|Masters Edition|Uncommon|Bill Sienkiewicz|162|When Phyrexian War Beast leaves the battlefield, sacrifice a land and Phyrexian War Beast deals 1 damage to you.|
159103|Shield Sphere|{0}|Artifact Creature - Wall|0|6|Defender<br>Whenever Shield Sphere blocks, put a -0/-1 counter on it.|Masters Edition|Common|Alan Rabinowitz|166|Defender<br>Whenever Shield Sphere blocks, put a -0/-1 counter on it.|
159136|Ring of Ma'rûf|{5}|Artifact|||{5}, {T}, Exile Ring of Ma'rûf: The next time you would draw a card this turn, instead choose a card you own from outside the game and put it into your hand.|Masters Edition|Rare|Dan Frazier|163|{5}, {T}, Exile Ring of Ma'rûf: The next time you would draw a card this turn, instead choose a card you own from outside the game and put it into your hand.|
159294|Adun Oakenshield|{B}{R}{G}|Legendary Creature - Human Knight|1|2|{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.|Masters Edition|Rare|Jeff A. Menges|141|{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.|
159308|Moat|{2}{W}{W}|Enchantment|||Creatures without flying can't attack.|Masters Edition|Rare|Jeff A. Menges|21|Creatures without flying can't attack.|
159315|Spinal Villain|{2}{R}|Creature - Beast|1|2|{T}: Destroy target blue creature.|Masters Edition|Uncommon|Anson Maddocks|108|{T}: Destroy target blue creature.|
159318|Thunder Spirit|{1}{W}{W}|Creature - Elemental Spirit|2|2|Flying, first strike|Masters Edition|Uncommon|Randy Asplund|27|Flying, first strike|
159752|Zuran Orb|{0}|Artifact|||Sacrifice a land: You gain 2 life.|Masters Edition|Uncommon|Sandra Everingham|174|Sacrifice a land: You gain 2 life.|
159823|Chains of Mephistopheles|{1}{B}|Enchantment|||If a player would draw a card except the first one he or she draws in his or her draw step each turn, that player discards a card instead. If the player discards a card this way, he or she draws a card. If the player doesn't discard a card this way, he or she puts the top card of his or her library into his or her graveyard.|Masters Edition|Rare|Heather Hudson|63|If a player would draw a card except the first one he or she draws in his or her draw step each turn, that player discards a card instead. If the player discards a card this way, he or she draws a card. If the player doesn't discard a card this way, he or she puts the top card of his or her library into his or her graveyard.|
159830|Energy Arc|{W}{U}|Instant|||Untap any number of target creatures. Prevent all combat damage that would be dealt to and dealt by those creatures this turn.|Masters Edition|Uncommon|Terese Nielsen|144|Untap any number of target creatures. Prevent all combat damage that would be dealt to and dealt by those creatures this turn.|
159834|Centaur Archer|{1}{R}{G}|Creature - Centaur Archer|3|2|{T}: Centaur Archer deals 1 damage to target creature with flying.|Masters Edition|Uncommon|Melissa A. Benson|142|{T}: Centaur Archer deals 1 damage to target creature with flying.|
159839|Shield of the Ages|{2}|Artifact|||{2}: Prevent the next 1 damage that would be dealt to you this turn.|Masters Edition|Uncommon|Anson Maddocks|165|{2}: Prevent the next 1 damage that would be dealt to you this turn.|
159828|Amnesia|{3}{U}{U}{U}|Sorcery|||Target player reveals his or her hand and discards all nonland cards.|Masters Edition|Rare|Mark Poole|29|Target player reveals his or her hand and discards all nonland cards.|
159321|Angry Mob|{2}{W}{W}|Creature - Human|||Trample<br>As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.|Masters Edition|Uncommon|Drew Tucker|1|Trample<br>As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.|
159249|Animate Dead|{1}{B}|Enchantment - Aura|||Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.|Masters Edition|Uncommon|Anson Maddocks|57|Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.|
159250|Animate Wall|{W}|Enchantment - Aura|||Enchant Wall<br>Enchanted Wall can attack as though it didn't have defender.|Masters Edition|Uncommon|Dan Frazier|2|Enchant Wall<br>Enchanted Wall can attack as though it didn't have defender.|
159251|Ankh of Mishra|{2}|Artifact|||Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.|Masters Edition|Rare|Amy Weber|151|Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.|
159087|Apprentice Wizard|{1}{U}{U}|Creature - Human Wizard|0|1|{U}, {T}: Add {3} to your mana pool.|Masters Edition|Common|Dan Frazier|30|{U}, {T}: Add {3} to your mana pool.|
159084|Arcane Denial|{1}{U}|Instant|||Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.<br>You draw a card at the beginning of the next turn's upkeep.|Masters Edition|Common|Richard Kane Ferguson|31|Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.<br>You draw a card at the beginning of the next turn's upkeep.|
159743|Argivian Archaeologist|{1}{W}{W}|Creature - Human Artificer|1|1|{W}{W}, {T}: Return target artifact card from your graveyard to your hand.|Masters Edition|Rare|Amy Weber|3|{W}{W}, {T}: Return target artifact card from your graveyard to your hand.|
159252|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Masters Edition|Rare|Jesper Myrfors|4|Destroy all lands.|
159744|Artifact Blast|{R}|Instant|||Counter target artifact spell.|Masters Edition|Common|Mark Poole|85|Counter target artifact spell.|
159110|Ashnod's Transmogrant|{1}|Artifact|||{T}, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.|Masters Edition|Common|Mark Tedin|152|{T}, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.|
159205|Autumn Willow|{4}{G}{G}|Legendary Creature - Avatar|4|4|Shroud<br>{G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud.|Masters Edition|Rare|Margaret Organ-Kean|113|Shroud<br>{G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud.|
159086|Balduvian Horde|{2}{R}{R}|Creature - Human Barbarian|5|5|When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.|Masters Edition|Rare|Brian Snoddy|86|When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.|
159139|Ball Lightning|{R}{R}{R}|Creature - Elemental|6|1|Trample <i>(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)</i><br>Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i><br>At the beginning of the end step, sacrifice Ball Lightning.|Masters Edition|Rare|Quinton Hoover|87|Trample <i>(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)</i><br>Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i><br>At the beginning of the end step, sacrifice Ball Lightning.|
159208|Baron Sengir|{5}{B}{B}{B}|Legendary Creature - Vampire|5|5|Flying<br>Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.<br>{T}: Regenerate another target Vampire.|Masters Edition|Rare|Pete Venters|58|Flying<br>Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.<br>{T}: Regenerate another target Vampire.|
159728|Basal Thrull|{B}{B}|Creature - Thrull|1|2|{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.|Masters Edition|Common|Kaja Foglio|59|{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.|
159253|Benalish Hero|{W}|Creature - Human Soldier|1|1|Banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>|Masters Edition|Common|Douglas Shuler|5|Banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>|
159254|Berserk|{G}|Instant|||Cast Berserk only before the combat damage step.<br>Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.|Masters Edition|Rare|Dan Frazier|114|Cast Berserk only before the combat damage step.<br>Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.|
159736|Bestial Fury|{2}{R}|Enchantment - Aura|||Enchant creature<br>When Bestial Fury enters the battlefield, draw a card at the beginning of the next turn's upkeep.<br>Whenever enchanted creature becomes blocked, it gets +4/+0 and gains trample until end of turn.|Masters Edition|Common|Mike Raabe|88|Enchant creature<br>When Bestial Fury enters the battlefield, draw a card at the beginning of the next turn's upkeep.<br>Whenever enchanted creature becomes blocked, it gets +4/+0 and gains trample until end of turn.|
