ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
3239|Acidic Dagger|{4}|Artifact|||{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.|Mirage|Rare|0.0||0.944|Patrick Beel|1|Acidid Dagger does not affect the creature if all damage is prevented or redirected.|{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.|0|
3241|Amulet of Unmaking|{5}|Artifact|||{5}, {T}, Exile Amulet of Unmaking: Exile target artifact, creature, or land. Activate this ability only any time you could cast a sorcery.|Mirage|Rare|0.0||2.15|Kaja Foglio|2||{5}, {T}, Exile Amulet of Unmaking: Exile target artifact, creature, or land. Activate this ability only any time you could cast a sorcery.|0|
3242|Basalt Golem|{5}|Artifact Creature - Golem|2|4|Basalt Golem can't be blocked by artifact creatures.<br>Whenever Basalt Golem becomes blocked by a creature, that creature's controller sacrifices it at end of combat. If the player does, he or she puts a 0/2 colorless Wall artifact creature token with defender onto the battlefield.|Mirage|Uncommon|0.0||3.565|Scott Kirschner|3||Basalt Golem can't be blocked by artifact creatures.<br>Whenever Basalt Golem becomes blocked by a creature, that creature's controller sacrifices it at end of combat. If the player does, he or she puts a 0/2 colorless Wall artifact creature token with defender onto the battlefield.|0|
3243|Bone Mask|{4}|Artifact|||{2}, {T}: The next time a source of your choice would deal damage to you this turn, prevent that damage. Exile cards from the top of your library equal to the damage prevented this way.|Mirage|Rare|0.0||2.024|D. Alexander Gregory|4||{2}, {T}: The next time a source of your choice would deal damage to you this turn, prevent that damage. Exile cards from the top of your library equal to the damage prevented this way.|0|
3245|Chariot of the Sun|{3}|Artifact|||{2}, {T}: Until end of turn, target creature you control gains flying and its toughness becomes 1.|Mirage|Uncommon|0.0||1.882|Gerry Grace|5||{2}, {T}: Until end of turn, target creature you control gains flying and its toughness becomes 1.|0|
3246|Crystal Golem|{4}|Artifact Creature - Golem|3|3|At the beginning of your end step, Crystal Golem phases out. <i>(While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)</i>|Mirage|Uncommon|0.0||2.727|Mike Dringenberg|6||At the beginning of your end step, Crystal Golem phases out. <i>(While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)</i>|0|
3248|Elixir of Vitality|{4}|Artifact|||Elixir of Vitality enters the battlefield tapped.<br>{T}, Sacrifice Elixir of Vitality: You gain 4 life.<br>{8}, {T}, Sacrifice Elixir of Vitality: You gain 8 life.|Mirage|Uncommon|0.0||1.37|Douglas Shuler|7||Elixir of Vitality enters the battlefield tapped.<br>{T}, Sacrifice Elixir of Vitality: You gain 4 life.<br>{8}, {T}, Sacrifice Elixir of Vitality: You gain 8 life.|0|
3249|Ersatz Gnomes|{3}|Artifact Creature - Gnome|1|1|{T}: Target spell becomes colorless.<br>{T}: Target permanent becomes colorless until end of turn.|Mirage|Uncommon|0.0||3.607|Ron Spencer|8||{T}: Target spell becomes colorless.<br>{T}: Target permanent becomes colorless until end of turn.|0|
3252|Horrible Hordes|{3}|Artifact Creature - Spirit|2|2|Rampage 1 <i>(Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)</i>|Mirage|Uncommon|0.0||2.297|Ian Miller|9||Rampage 1 <i>(Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)</i>|0|
3253|Igneous Golem|{5}|Artifact Creature - Golem|3|4|{2}: Igneous Golem gains trample until end of turn.|Mirage|Uncommon|0.0||1.812|Adam Rex|10||{2}: Igneous Golem gains trample until end of turn.|0|
3255|Lion's Eye Diamond|{0}|Artifact|||Sacrifice Lion's Eye Diamond, Discard your hand: Add three mana of any one color to your mana pool. Activate this ability only any time you could cast an instant.|Mirage|Rare|0.0||4.323|Margaret Organ-Kean|11||Sacrifice Lion's Eye Diamond, Discard your hand: Add three mana of any one color to your mana pool. Activate this ability only any time you could cast an instant.|0|
3257|Mangara's Tome|{5}|Artifact|||When Mangara's Tome enters the battlefield, search your library for five cards, exile them in a face-down pile, and shuffle that pile. Then shuffle your library.<br>{2}: The next time you would draw a card this turn, instead put the top card of the exiled pile into its owner's hand.|Mirage|Rare|0.0||3.875|John Bolton|12||When Mangara's Tome enters the battlefield, search your library for five cards, exile them in a face-down pile, and shuffle that pile. Then shuffle your library.<br>{2}: The next time you would draw a card this turn, instead put the top card of the exiled pile into its owner's hand.|0|
3259|Misers' Cage|{3}|Artifact|||At the beginning of each opponent's upkeep, if that player has five or more cards in hand, Misers' Cage deals 2 damage to him or her.|Mirage|Rare|0.0||2.294|Jeff Miracola|13||At the beginning of each opponent's upkeep, if that player has five or more cards in hand, Misers' Cage deals 2 damage to him or her.|0|
3262|Paupers' Cage|{3}|Artifact|||At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Paupers' Cage deals 2 damage to him or her.|Mirage|Rare|0.0||2.583|Mike Kimble|14||At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Paupers' Cage deals 2 damage to him or her.|0|
3263|Phyrexian Dreadnought|{1}|Artifact Creature - Dreadnought|12|12|Trample<br>When Phyrexian Dreadnought enters the battlefield, sacrifice it unless you sacrifice any number of creatures with total power 12 or greater.|Mirage|Rare|0.0||4.526|Pete Venters|15|The sacrifices are simultaneous, not one at a time.<br>Phasing in does not trigger "enters the battlefield" abilities, so you don't have to sacrifice again if it phases in.<br>Reverted to its original wording, this now has an enters-the-battlefield triggered ability. During resolution of the triggered ability, you choose one option or the other.<br>If you choose the sacrifice option, you must be able to sacrifice 12 power worth of creatures.<br>If the Dreadnought is no longer on the battlefield when the triggered ability resolves, you may still choose either option.|Trample<br>When Phyrexian Dreadnought enters the battlefield, sacrifice it unless you sacrifice any number of creatures with total power 12 or greater.|0|
3265|Razor Pendulum|{4}|Artifact|||At the beginning of each player's end step, if that player has 5 or less life, Razor Pendulum deals 2 damage to him or her.|Mirage|Rare|0.0||2.9|Zak Plucinski|16||At the beginning of each player's end step, if that player has 5 or less life, Razor Pendulum deals 2 damage to him or her.|0|
3266|Sand Golem|{5}|Artifact Creature - Golem|3|3|When a spell or ability an opponent controls causes you to discard Sand Golem, return Sand Golem from your graveyard to the battlefield with a +1/+1 counter on it at the beginning of the next end step.|Mirage|Uncommon|0.0||2.525|John Matson|17||When a spell or ability an opponent controls causes you to discard Sand Golem, return Sand Golem from your graveyard to the battlefield with a +1/+1 counter on it at the beginning of the next end step.|0|
