ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
3239|Acidic Dagger|{4}|Artifact|||{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.|Mirage|Rare|Patrick Beel|1|{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.|
3241|Amulet of Unmaking|{5}|Artifact|||{5}, {T}, Exile Amulet of Unmaking: Exile target artifact, creature, or land. Activate this ability only any time you could cast a sorcery.|Mirage|Rare|Kaja Foglio|2|{5}, {T}, Exile Amulet of Unmaking: Exile target artifact, creature, or land. Activate this ability only any time you could cast a sorcery.|
3242|Basalt Golem|{5}|Artifact Creature - Golem|2|4|Basalt Golem can't be blocked by artifact creatures.<br>Whenever Basalt Golem becomes blocked by a creature, that creature's controller sacrifices it at end of combat. If the player does, he or she puts a 0/2 colorless Wall artifact creature token with defender onto the battlefield.|Mirage|Uncommon|Scott Kirschner|3|Basalt Golem can't be blocked by artifact creatures.<br>Whenever Basalt Golem becomes blocked by a creature, that creature's controller sacrifices it at end of combat. If the player does, he or she puts a 0/2 colorless Wall artifact creature token with defender onto the battlefield.|
3243|Bone Mask|{4}|Artifact|||{2}, {T}: The next time a source of your choice would deal damage to you this turn, prevent that damage. Exile cards from the top of your library equal to the damage prevented this way.|Mirage|Rare|D. Alexander Gregory|4|{2}, {T}: The next time a source of your choice would deal damage to you this turn, prevent that damage. Exile cards from the top of your library equal to the damage prevented this way.|
3245|Chariot of the Sun|{3}|Artifact|||{2}, {T}: Until end of turn, target creature you control gains flying and its toughness becomes 1.|Mirage|Uncommon|Gerry Grace|5|{2}, {T}: Until end of turn, target creature you control gains flying and its toughness becomes 1.|
3246|Crystal Golem|{4}|Artifact Creature - Golem|3|3|At the beginning of your end step, Crystal Golem phases out. <i>(While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)</i>|Mirage|Uncommon|Mike Dringenberg|6|At the beginning of your end step, Crystal Golem phases out. <i>(While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)</i>|
3248|Elixir of Vitality|{4}|Artifact|||Elixir of Vitality enters the battlefield tapped.<br>{T}, Sacrifice Elixir of Vitality: You gain 4 life.<br>{8}, {T}, Sacrifice Elixir of Vitality: You gain 8 life.|Mirage|Uncommon|Douglas Shuler|7|Elixir of Vitality enters the battlefield tapped.<br>{T}, Sacrifice Elixir of Vitality: You gain 4 life.<br>{8}, {T}, Sacrifice Elixir of Vitality: You gain 8 life.|
3249|Ersatz Gnomes|{3}|Artifact Creature - Gnome|1|1|{T}: Target spell becomes colorless.<br>{T}: Target permanent becomes colorless until end of turn.|Mirage|Uncommon|Ron Spencer|8|{T}: Target spell becomes colorless.<br>{T}: Target permanent becomes colorless until end of turn.|
3252|Horrible Hordes|{3}|Artifact Creature - Spirit|2|2|Rampage 1 <i>(Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)</i>|Mirage|Uncommon|Ian Miller|9|Rampage 1 <i>(Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)</i>|
3253|Igneous Golem|{5}|Artifact Creature - Golem|3|4|{2}: Igneous Golem gains trample until end of turn.|Mirage|Uncommon|Adam Rex|10|{2}: Igneous Golem gains trample until end of turn.|
3255|Lion's Eye Diamond|{0}|Artifact|||Sacrifice Lion's Eye Diamond, Discard your hand: Add three mana of any one color to your mana pool. Activate this ability only any time you could cast an instant.|Mirage|Rare|Margaret Organ-Kean|11|Sacrifice Lion's Eye Diamond, Discard your hand: Add three mana of any one color to your mana pool. Activate this ability only any time you could cast an instant.|
3257|Mangara's Tome|{5}|Artifact|||When Mangara's Tome enters the battlefield, search your library for five cards, exile them in a face-down pile, and shuffle that pile. Then shuffle your library.<br>{2}: The next time you would draw a card this turn, instead put the top card of the exiled pile into its owner's hand.|Mirage|Rare|John Bolton|12|When Mangara's Tome enters the battlefield, search your library for five cards, exile them in a face-down pile, and shuffle that pile. Then shuffle your library.<br>{2}: The next time you would draw a card this turn, instead put the top card of the exiled pile into its owner's hand.|
3259|Misers' Cage|{3}|Artifact|||At the beginning of each opponent's upkeep, if that player has five or more cards in hand, Misers' Cage deals 2 damage to him or her.|Mirage|Rare|Jeff Miracola|13|At the beginning of each opponent's upkeep, if that player has five or more cards in hand, Misers' Cage deals 2 damage to him or her.|
3262|Paupers' Cage|{3}|Artifact|||At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Paupers' Cage deals 2 damage to him or her.|Mirage|Rare|Mike Kimble|14|At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Paupers' Cage deals 2 damage to him or her.|
3263|Phyrexian Dreadnought|{1}|Artifact Creature - Dreadnought|12|12|Trample<br>When Phyrexian Dreadnought enters the battlefield, sacrifice it unless you sacrifice any number of creatures with total power 12 or greater.|Mirage|Rare|Pete Venters|15|Trample<br>When Phyrexian Dreadnought enters the battlefield, sacrifice it unless you sacrifice any number of creatures with total power 12 or greater.|
3265|Razor Pendulum|{4}|Artifact|||At the beginning of each player's end step, if that player has 5 or less life, Razor Pendulum deals 2 damage to him or her.|Mirage|Rare|Zak Plucinski|16|At the beginning of each player's end step, if that player has 5 or less life, Razor Pendulum deals 2 damage to him or her.|
3266|Sand Golem|{5}|Artifact Creature - Golem|3|3|When a spell or ability an opponent controls causes you to discard Sand Golem, return Sand Golem from your graveyard to the battlefield with a +1/+1 counter on it at the beginning of the next end step.|Mirage|Uncommon|John Matson|17|When a spell or ability an opponent controls causes you to discard Sand Golem, return Sand Golem from your graveyard to the battlefield with a +1/+1 counter on it at the beginning of the next end step.|
3268|Teeka's Dragon|{9}|Artifact Creature - Dragon|5|5|Flying; trample; rampage 4 <i>(Whenever this creature becomes blocked, it gets +4/+4 until end of turn for each creature blocking it beyond the first.)</i>|Mirage|Rare|Liz Danforth|18|Flying; trample; rampage 4 <i>(Whenever this creature becomes blocked, it gets +4/+4 until end of turn for each creature blocking it beyond the first.)</i>|
3269|Telim'Tor's Darts|{2}|Artifact|||{2}, {T}: Telim'Tor's Darts deals 1 damage to target player.|Mirage|Uncommon|Kev Walker|19|{2}, {T}: Telim'Tor's Darts deals 1 damage to target player.|
3270|Unerring Sling|{3}|Artifact|||{3}, {T}, Tap an untapped creature you control: Unerring Sling deals damage equal to the tapped creature's power to target attacking or blocking creature with flying.|Mirage|Uncommon|Zak Plucinski|20|{3}, {T}, Tap an untapped creature you control: Unerring Sling deals damage equal to the tapped creature's power to target attacking or blocking creature with flying.|
3271|Ventifact Bottle|{3}|Artifact|||{X}{1}, {T}: Put X charge counters on Ventifact Bottle. Activate this ability only any time you could cast a sorcery.<br>At the beginning of your precombat main phase, if Ventifact Bottle has a charge counter on it, tap it and remove all charge counters from it. Add {1} to your mana pool for each charge counter removed this way.|Mirage|Rare|Ron Spencer|21|{X}{1}, {T}: Put X charge counters on Ventifact Bottle. Activate this ability only any time you could cast a sorcery.<br>At the beginning of your precombat main phase, if Ventifact Bottle has a charge counter on it, tap it and remove all charge counters from it. Add {1} to your mana pool for each charge counter removed this way.|
3274|Barbed-Back Wurm|{4}{B}|Creature - Wurm|4|3|{B}: Target green creature blocking Barbed-Back Wurm gets -1/-1 until end of turn.|Mirage|Uncommon|Gary Leach|22|{B}: Target green creature blocking Barbed-Back Wurm gets -1/-1 until end of turn.|
3275|Binding Agony|{1}{B}|Enchantment - Aura|||Enchant creature<br>Whenever enchanted creature is dealt damage, Binding Agony deals that much damage to that creature's controller.|Mirage|Common|Robert Bliss|23|Enchant creature<br>Whenever enchanted creature is dealt damage, Binding Agony deals that much damage to that creature's controller.|
3278|Breathstealer|{2}{B}|Creature - Nightstalker|2|2|{B}: Breathstealer gets +1/-1 until end of turn.|Mirage|Common|Cliff Nielsen|24|{B}: Breathstealer gets +1/-1 until end of turn.|
3279|Cadaverous Knight|{2}{B}|Creature - Zombie Knight|2|2|Flanking <i>(Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)</i><br>{1}{B}{B}: Regenerate Cadaverous Knight.|Mirage|Common|Dermot Power|25|Flanking <i>(Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)</i><br>{1}{B}{B}: Regenerate Cadaverous Knight.|
3280|Carrion|{1}{B}{B}|Instant|||As an additional cost to cast Carrion, sacrifice a creature.<br>Put X 0/1 black Insect creature tokens onto the battlefield, where X is the sacrificed creature's power.|Mirage|Rare|Geofrey Darrow|26|As an additional cost to cast Carrion, sacrifice a creature.<br>Put X 0/1 black Insect creature tokens onto the battlefield, where X is the sacrificed creature's power.|
3281|Catacomb Dragon|{4}{B}{B}|Creature - Dragon|4|4|Flying<br>Whenever Catacomb Dragon becomes blocked by a nonartifact, non-Dragon creature, that creature gets -X/-0 until end of turn, where X is half the creature's power, rounded down.|Mirage|Rare|David O'Connor|27|Flying<br>Whenever Catacomb Dragon becomes blocked by a nonartifact, non-Dragon creature, that creature gets -X/-0 until end of turn, where X is half the creature's power, rounded down.|
3282|Choking Sands|{1}{B}{B}|Sorcery|||Destroy target non-Swamp land. If that land was nonbasic, Choking Sands deals 2 damage to the land's controller.|Mirage|Common|Roger Raupp|28|Destroy target non-Swamp land. If that land was nonbasic, Choking Sands deals 2 damage to the land's controller.|
3283|Crypt Cobra|{3}{B}|Creature - Snake|3|3|Whenever Crypt Cobra attacks and isn't blocked, defending player gets a poison counter. <i>(A player with ten or more poison counters loses the game.)</i>|Mirage|Uncommon|Ron Spencer|29|Whenever Crypt Cobra attacks and isn't blocked, defending player gets a poison counter. <i>(A player with ten or more poison counters loses the game.)</i>|
3286|Dirtwater Wraith|{3}{B}|Creature - Wraith|1|3|Swampwalk<br><br>{B}: Dirtwater Wraith gets +1/+0 until end of turn.|Mirage|Common|Steve Luke|30|Swampwalk<br><br>{B}: Dirtwater Wraith gets +1/+0 until end of turn.|
3288|Dread Specter|{3}{B}|Creature - Specter|2|2|Whenever Dread Specter blocks or becomes blocked by a nonblack creature, destroy that creature at end of combat.|Mirage|Uncommon|Kathryn Rathke|31|Whenever Dread Specter blocks or becomes blocked by a nonblack creature, destroy that creature at end of combat.|
3289|Ebony Charm|{B}|Instant|||Choose one- Target opponent loses 1 life and you gain 1 life; or exile up to three target cards from a single graveyard; or target creature gains fear until end of turn. <i>(It can't be blocked except by artifact creatures and/or black creatures.)</i>|Mirage|Common|Gerry Grace|32|Choose one- Target opponent loses 1 life and you gain 1 life; or exile up to three target cards from a single graveyard; or target creature gains fear until end of turn. <i>(It can't be blocked except by artifact creatures and/or black creatures.)</i>|
3292|Fetid Horror|{3}{B}|Creature - Shade Horror|1|2|{B}: Fetid Horror gets +1/+1 until end of turn.|Mirage|Common|Gary Leach|33|{B}: Fetid Horror gets +1/+1 until end of turn.|
3294|Forsaken Wastes|{2}{B}|World Enchantment|||Players can't gain life.<br>At the beginning of each player's upkeep, that player loses 1 life.<br>Whenever Forsaken Wastes becomes the target of a spell, that spell's controller loses 5 life.|Mirage|Rare|Kev Walker|34|Players can't gain life.<br>At the beginning of each player's upkeep, that player loses 1 life.<br>Whenever Forsaken Wastes becomes the target of a spell, that spell's controller loses 5 life.|
3295|Grave Servitude|{1}{B}|Enchantment - Aura|||You may cast Grave Servitude as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.<br>Enchant creature<br>Enchanted creature gets +3/-1 and is black.|Mirage|Common|Adrian Smith|35|You may cast Grave Servitude as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.<br>Enchant creature<br>Enchanted creature gets +3/-1 and is black.|
3297|Harbinger of Night|{2}{B}{B}|Creature - Spirit|2|3|At the beginning of your upkeep, put a -1/-1 counter on each creature.|Mirage|Rare|Tom Kyffin|36|At the beginning of your upkeep, put a -1/-1 counter on each creature.|
3299|Kaervek's Hex|{3}{B}|Sorcery|||Kaervek's Hex deals 1 damage to each nonblack creature and an additional 1 damage to each green creature.|Mirage|Uncommon|Ian Miller|37|Kaervek's Hex deals 1 damage to each nonblack creature and an additional 1 damage to each green creature.|
3300|Mire Shade|{1}{B}|Creature - Shade|1|1|{B}, Sacrifice a Swamp: Put a +1/+1 counter on Mire Shade. Activate this ability only any time you could cast a sorcery.|Mirage|Uncommon|Randy Gallegos|38|{B}, Sacrifice a Swamp: Put a +1/+1 counter on Mire Shade. Activate this ability only any time you could cast a sorcery.|
3303|Phyrexian Tribute|{2}{B}|Sorcery|||As an additional cost to cast Phyrexian Tribute, sacrifice two creatures.<br>Destroy target artifact.|Mirage|Rare|John Matson|39|As an additional cost to cast Phyrexian Tribute, sacrifice two creatures.<br>Destroy target artifact.|
3304|Purraj of Urborg|{3}{B}{B}|Legendary Creature - Cat Warrior|2|3|Purraj of Urborg has first strike as long as it's attacking.<br>Whenever a player casts a black spell, you may pay {B}. If you do, put a +1/+1 counter on Purraj of Urborg.|Mirage|Rare|John Matson|40|Purraj of Urborg has first strike as long as it's attacking.<br>Whenever a player casts a black spell, you may pay {B}. If you do, put a +1/+1 counter on Purraj of Urborg.|
3305|Ravenous Vampire|{3}{B}{B}|Creature - Vampire|3|3|Flying<br><br>At the beginning of your upkeep, you may sacrifice a nonartifact creature. If you do, put a +1/+1 counter on Ravenous Vampire. If you don't, tap Ravenous Vampire.|Mirage|Uncommon|John Bolton|41|Flying<br><br>At the beginning of your upkeep, you may sacrifice a nonartifact creature. If you do, put a +1/+1 counter on Ravenous Vampire. If you don't, tap Ravenous Vampire.|
3306|Reign of Terror|{3}{B}{B}|Sorcery|||Destroy all green creatures or all white creatures. They can't be regenerated. You lose 2 life for each creature that died this way.|Mirage|Uncommon|Gary Leach|42|Destroy all green creatures or all white creatures. They can't be regenerated. You lose 2 life for each creature that died this way.|
3307|Restless Dead|{1}{B}|Creature - Skeleton|1|1|{B}: Regenerate Restless Dead.|Mirage|Common|Ian Miller|43|{B}: Regenerate Restless Dead.|
3309|Shadow Guildmage|{B}|Creature - Human Wizard|1|1|{U}, {T}: Put target creature you control on top of its owner's library.<br>{R}, {T}: Shadow Guildmage deals 1 damage to target creature or player and 1 damage to you.|Mirage|Common|Mike Kimble|44|{U}, {T}: Put target creature you control on top of its owner's library.<br>{R}, {T}: Shadow Guildmage deals 1 damage to target creature or player and 1 damage to you.|
3310|Shallow Grave|{1}{B}|Instant|||Return the top creature card of your graveyard to the battlefield. That creature gains haste until end of turn. Exile it at the beginning of the next end step.|Mirage|Rare|John Coulthart|45|Return the top creature card of your graveyard to the battlefield. That creature gains haste until end of turn. Exile it at the beginning of the next end step.|
3311|Shauku, Endbringer|{5}{B}{B}|Legendary Creature - Vampire|5|5|Flying<br>Shauku, Endbringer can't attack if there's another creature on the battlefield.<br>At the beginning of your upkeep, you lose 3 life.<br>{T}: Exile target creature and put a +1/+1 counter on Shauku.|Mirage|Rare|Pete Venters|46|Flying<br>Shauku, Endbringer can't attack if there's another creature on the battlefield.<br>At the beginning of your upkeep, you lose 3 life.<br>{T}: Exile target creature and put a +1/+1 counter on Shauku.|
3312|Skulking Ghost|{1}{B}|Creature - Spirit|2|1|Flying<br>When Skulking Ghost becomes the target of a spell or ability, sacrifice it.|Mirage|Common|Robert Bliss|47|Flying<br>When Skulking Ghost becomes the target of a spell or ability, sacrifice it.|
3313|Soul Rend|{1}{B}|Instant|||Destroy target creature if it's white. A creature destroyed this way can't be regenerated.<br><br>Draw a card at the beginning of the next turn's upkeep.|Mirage|Uncommon|Jeff Miracola|48|Destroy target creature if it's white. A creature destroyed this way can't be regenerated.<br><br>Draw a card at the beginning of the next turn's upkeep.|
3314|Soulshriek|{B}|Instant|||Target creature you control gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard. Sacrifice that creature at the beginning of the next end step.|Mirage|Common|John Bolton|49|Target creature you control gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard. Sacrifice that creature at the beginning of the next end step.|
3315|Spirit of the Night|{6}{B}{B}{B}|Legendary Creature - Demon Spirit|6|5|Flying, trample, haste, protection from black<br>Spirit of the Night has first strike as long as it's attacking.|Mirage|Rare|Cliff Nielsen|50|Flying, trample, haste, protection from black<br>Spirit of the Night has first strike as long as it's attacking.|
