ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
136513|Last Breath|{1}{W}|Instant|||Exile target creature with power 2 or less. Its controller gains 4 life.|Mercadian Masques|Uncommon|DiTerlizzi|27|Exile target creature with power 2 or less. Its controller gains 4 life.|
136514|Moonlit Wake|{2}{W}|Enchantment|||Whenever a creature dies, you gain 1 life.|Mercadian Masques|Uncommon|Greg & Tim Hildebrandt|29|Whenever a creature dies, you gain 1 life.|
136515|Renounce|{1}{W}|Instant|||Sacrifice any number of permanents. You gain 2 life for each permanent sacrificed this way.|Mercadian Masques|Uncommon|Carl Critchlow|42|Sacrifice any number of permanents. You gain 2 life for each permanent sacrificed this way.|
136516|Tonic Peddler|{1}{W}|Creature - Human Spellshaper|1|1|{W}, {T}, Discard a card: Target player gains 3 life.|Mercadian Masques|Uncommon|Adam Rex|54|{W}, {T}, Discard a card: Target player gains 3 life.|
19535|Charm Peddler|{W}|Creature - Human Spellshaper|1|1|{W}, {T}, Discard a card: The next time a source of your choice would deal damage to target creature this turn, prevent that damage.|Mercadian Masques|Common|John Matson|6|{W}, {T}, Discard a card: The next time a source of your choice would deal damage to target creature this turn, prevent that damage.|
19536|Devout Witness|{2}{W}|Creature - Human Spellshaper|2|2|{1}{W}, {T}, Discard a card: Destroy target artifact or enchantment.|Mercadian Masques|Common|Don Hazeltine|17|{1}{W}, {T}, Discard a card: Destroy target artifact or enchantment.|
19537|Thermal Glider|{2}{W}|Creature - Human Rebel|2|1|Flying, protection from red|Mercadian Masques|Common|Mark Zug|53|Flying, protection from red|
19538|Revered Elder|{2}{W}|Creature - Human Cleric|1|2|{1}: Prevent the next 1 damage that would be dealt to Revered Elder this turn.|Mercadian Masques|Common|Donato Giancola|43|{1}: Prevent the next 1 damage that would be dealt to Revered Elder this turn.|
19539|Ramosian Sergeant|{W}|Creature - Human Rebel|1|1|{3}, {T}: Search your library for a Rebel permanent card with converted mana cost 2 or less and put it onto the battlefield. Then shuffle your library.|Mercadian Masques|Common|Don Hazeltine|39|{3}, {T}: Search your library for a Rebel permanent card with converted mana cost 2 or less and put it onto the battlefield. Then shuffle your library.|
19541|Alabaster Wall|{2}{W}|Creature - Wall|0|4|Defender <i>(This creature can't attack.)</i><br>{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|Mercadian Masques|Common|Randy Gallegos|2|Defender <i>(This creature can't attack.)</i><br>{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|
19542|Fresh Volunteers|{1}{W}|Creature - Human Rebel|2|2||Mercadian Masques|Common|Jeff Miracola|20||
19543|Ramosian Lieutenant|{1}{W}|Creature - Human Rebel|1|2|{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.|Mercadian Masques|Common|Alan Pollack|37|{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.|
19544|Nightwind Glider|{2}{W}|Creature - Human Rebel|2|1|Flying, protection from black|Mercadian Masques|Common|Randy Gallegos|31|Flying, protection from black|
19545|Task Force|{2}{W}|Creature - Human Rebel|1|3|Whenever Task Force becomes the target of a spell or ability, it gets +0/+3 until end of turn.|Mercadian Masques|Common|Gary Ruddell|52|Whenever Task Force becomes the target of a spell or ability, it gets +0/+3 until end of turn.|
19546|Inviolability|{1}{W}|Enchantment - Aura|||Enchant creature<br>Prevent all damage that would be dealt to enchanted creature.|Mercadian Masques|Common|DiTerlizzi|23|Enchant creature<br>Prevent all damage that would be dealt to enchanted creature.|
19547|Orim's Cure|{1}{W}|Instant|||If you control a Plains, you may tap an untapped creature you control rather than pay Orim's Cure's mana cost.<br>Prevent the next 4 damage that would be dealt to target creature or player this turn.|Mercadian Masques|Common|Don Hazeltine|33|If you control a Plains, you may tap an untapped creature you control rather than pay Orim's Cure's mana cost.<br>Prevent the next 4 damage that would be dealt to target creature or player this turn.|
19550|Soothing Balm|{1}{W}|Instant|||Target player gains 5 life.|Mercadian Masques|Common|Scott M. Fischer|48|Target player gains 5 life.|
19551|Cho-Manno's Blessing|{W}{W}|Enchantment - Aura|||Flash<br>Enchant creature<br>As Cho-Manno's Blessing enters the battlefield, choose a color.<br>Enchanted creature has protection from the chosen color. This effect doesn't remove Cho-Manno's Blessing.|Mercadian Masques|Common|John Matson|12|Flash<br>Enchant creature<br>As Cho-Manno's Blessing enters the battlefield, choose a color.<br>Enchanted creature has protection from the chosen color. This effect doesn't remove Cho-Manno's Blessing.|
19552|Pious Warrior|{3}{W}|Creature - Human Rebel Warrior|2|3|Whenever Pious Warrior is dealt combat damage, you gain that much life.|Mercadian Masques|Common|Jeff Miracola|34|Whenever Pious Warrior is dealt combat damage, you gain that much life.|
19554|Moment of Silence|{W}|Instant|||Target player skips his or her next combat phase this turn.|Mercadian Masques|Common|Christopher Moeller|28|Target player skips his or her next combat phase this turn.|
19555|Righteous Aura|{1}{W}|Enchantment|||{W}, Pay 2 life: The next time a source of your choice would deal damage to you this turn, prevent that damage.|Mercadian Masques|Uncommon|Pete Venters|45|{W}, Pay 2 life: The next time a source of your choice would deal damage to you this turn, prevent that damage.|
19557|Waterfront Bouncer|{1}{U}|Creature - Merfolk Spellshaper|1|1|{U}, {T}, Discard a card: Return target creature to its owner's hand.|Mercadian Masques|Common|Paolo Parente|114|{U}, {T}, Discard a card: Return target creature to its owner's hand.|
19558|Balloon Peddler|{2}{U}|Creature - Human Spellshaper|2|2|{U}, {T}, Discard a card: Target creature gains flying until end of turn.|Mercadian Masques|Common|Paolo Parente|59|{U}, {T}, Discard a card: Target creature gains flying until end of turn.|
19559|Darting Merfolk|{1}{U}|Creature - Merfolk|1|1|{U}: Return Darting Merfolk to its owner's hand.|Mercadian Masques|Common|Sam Wood|72|{U}: Return Darting Merfolk to its owner's hand.|
19561|Stinging Barrier|{2}{U}{U}|Creature - Wall|0|4|Defender <i>(This creature can't attack.)</i><br>{U}, {T}: Stinging Barrier deals 1 damage to target creature or player.|Mercadian Masques|Common|Pat Morrissey|107|Defender <i>(This creature can't attack.)</i><br>{U}, {T}: Stinging Barrier deals 1 damage to target creature or player.|
19562|Port Inspector|{1}{U}|Creature - Human|1|2|Whenever Port Inspector becomes blocked, you may look at defending player's hand.|Mercadian Masques|Common|Dan Frazier|90|Whenever Port Inspector becomes blocked, you may look at defending player's hand.|
19564|Saprazzan Raider|{2}{U}|Creature - Merfolk|1|2|When Saprazzan Raider becomes blocked, return it to its owner's hand.|Mercadian Masques|Common|Jeff Miracola|102|When Saprazzan Raider becomes blocked, return it to its owner's hand.|
19565|Drake Hatchling|{2}{U}|Creature - Drake|1|3|Flying<br>{U}: Drake Hatchling gets +1/+0 until end of turn. Activate this ability only once each turn.|Mercadian Masques|Common|Bradley Williams|76|Flying<br>{U}: Drake Hatchling gets +1/+0 until end of turn. Activate this ability only once each turn.|
19566|Rishadan Cutpurse|{2}{U}|Creature - Human Pirate|1|1|When Rishadan Cutpurse enters the battlefield, each opponent sacrifices a permanent unless he or she pays {1}.|Mercadian Masques|Common|Christopher Moeller|93|When Rishadan Cutpurse enters the battlefield, each opponent sacrifices a permanent unless he or she pays {1}.|
19567|Blockade Runner|{3}{U}|Creature - Merfolk|2|2|{U}: Blockade Runner is unblockable this turn.|Mercadian Masques|Common|Carl Critchlow|60|{U}: Blockade Runner is unblockable this turn.|
19568|Misstep|{1}{U}|Sorcery|||Creatures target player controls don't untap during that player's next untap step.|Mercadian Masques|Common|Kev Walker|88|Creatures target player controls don't untap during that player's next untap step.|
19569|Tidal Bore|{1}{U}|Instant|||You may return an Island you control to its owner's hand rather than pay Tidal Bore's mana cost.<br>You may tap or untap target creature.|Mercadian Masques|Common|Frank Kelly Freas|109|You may return an Island you control to its owner's hand rather than pay Tidal Bore's mana cost.<br>You may tap or untap target creature.|
19573|Karn's Touch|{U}{U}|Instant|||Target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost until end of turn. <i>(It retains its abilities.)</i>|Mercadian Masques|Rare|Alan Pollack|86|Target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost until end of turn. <i>(It retains its abilities.)</i>|
19574|Buoyancy|{1}{U}|Enchantment - Aura|||Flash<br>Enchant creature<br>Enchanted creature has flying.|Mercadian Masques|Common|Jeff Miracola|63|Flash<br>Enchant creature<br>Enchanted creature has flying.|
19575|Customs Depot|{1}{U}|Enchantment|||Whenever you cast a creature spell, you may pay {1}. If you do, draw a card, then discard a card.|Mercadian Masques|Uncommon|Scott M. Fischer|71|Whenever you cast a creature spell, you may pay {1}. If you do, draw a card, then discard a card.|
19576|Diplomatic Immunity|{1}{U}|Enchantment - Aura|||Enchant creature<br>Shroud <i>(This permanent can't be the target of spells or abilities.)</i><br>Enchanted creature has shroud.|Mercadian Masques|Common|Terese Nielsen|75|Enchant creature<br>Shroud <i>(This permanent can't be the target of spells or abilities.)</i><br>Enchanted creature has shroud.|
19578|Bog Witch|{2}{B}|Creature - Human Spellshaper|1|1|{B}, {T}, Discard a card: Add {B}{B}{B} to your mana pool.|Mercadian Masques|Common|Gao Yan|118|{B}, {T}, Discard a card: Add {B}{B}{B} to your mana pool.|
19580|Cateran Persuader|{B}{B}|Creature - Human Mercenary|2|1|{1}, {T}: Search your library for a Mercenary permanent card with converted mana cost 1 or less and put it onto the battlefield. Then shuffle your library.|Mercadian Masques|Common|Carl Critchlow|124|{1}, {T}: Search your library for a Mercenary permanent card with converted mana cost 1 or less and put it onto the battlefield. Then shuffle your library.|
19581|Misshapen Fiend|{1}{B}|Creature - Horror Mercenary|1|1|Flying|Mercadian Masques|Common|Adam Rex|147|Flying|
19582|Cateran Brute|{2}{B}|Creature - Horror Mercenary|2|2|{2}, {T}: Search your library for a Mercenary permanent card with converted mana cost 2 or less and put it onto the battlefield. Then shuffle your library.|Mercadian Masques|Common|Edward P. Beard, Jr.|120|{2}, {T}: Search your library for a Mercenary permanent card with converted mana cost 2 or less and put it onto the battlefield. Then shuffle your library.|
19583|Wall of Distortion|{2}{B}{B}|Creature - Wall|1|3|Defender <i>(This creature can't attack.)</i><br>{2}{B}, {T}: Target player discards a card. Activate this ability only any time you could cast a sorcery.|Mercadian Masques|Common|Mark Tedin|171|Defender <i>(This creature can't attack.)</i><br>{2}{B}, {T}: Target player discards a card. Activate this ability only any time you could cast a sorcery.|
19584|Alley Grifters|{1}{B}{B}|Creature - Human Mercenary|2|2|Whenever Alley Grifters becomes blocked, defending player discards a card.|Mercadian Masques|Common|Paolo Parente|115|Whenever Alley Grifters becomes blocked, defending player discards a card.|
19586|Rampart Crawler|{B}|Creature - Lizard Mercenary|1|1|Rampart Crawler can't be blocked by Walls.|Mercadian Masques|Common|Pete Venters|156|Rampart Crawler can't be blocked by Walls.|
19588|Skulking Fugitive|{2}{B}|Creature - Horror Mercenary|3|4|When Skulking Fugitive becomes the target of a spell or ability, sacrifice it.|Mercadian Masques|Common|Scott M. Fischer|161|When Skulking Fugitive becomes the target of a spell or ability, sacrifice it.|
19589|Vendetta|{B}|Instant|||Destroy target nonblack creature. It can't be regenerated. You lose life equal to that creature's toughness.|Mercadian Masques|Common|Dan Frazier|170|Destroy target nonblack creature. It can't be regenerated. You lose life equal to that creature's toughness.|
19590|Insubordination|{B}{B}|Enchantment - Aura|||Enchant creature<br>At the beginning of the end step of enchanted creature's controller, Insubordination deals 2 damage to that player unless that creature attacked this turn.|Mercadian Masques|Common|Andrew Goldhawk|141|Enchant creature<br>At the beginning of the end step of enchanted creature's controller, Insubordination deals 2 damage to that player unless that creature attacked this turn.|
19593|Soul Channeling|{2}{B}|Enchantment - Aura|||Enchant creature<br>Pay 2 life: Regenerate enchanted creature.|Mercadian Masques|Common|DiTerlizzi|163|Enchant creature<br>Pay 2 life: Regenerate enchanted creature.|
19594|Maggot Therapy|{2}{B}|Enchantment - Aura|||Flash<br>Enchant creature<br>Enchanted creature gets +2/-2.|Mercadian Masques|Common|Jeff Easley|145|Flash<br>Enchant creature<br>Enchanted creature gets +2/-2.|
19595|Snuff Out|{3}{B}|Instant|||If you control a Swamp, you may pay 4 life rather than pay Snuff Out's mana cost.<br><br>Destroy target nonblack creature. It can't be regenerated.|Mercadian Masques|Common|Mike Ploog|162|If you control a Swamp, you may pay 4 life rather than pay Snuff Out's mana cost.<br><br>Destroy target nonblack creature. It can't be regenerated.|
19596|Ghoul's Feast|{1}{B}|Instant|||Target creature gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard.|Mercadian Masques|Uncommon|Alan Pollack|137|Target creature gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard.|
19597|Specter's Wail|{1}{B}|Sorcery|||Target player discards a card at random.|Mercadian Masques|Common|Randy Gallegos|164|Target player discards a card at random.|
19598|Bog Smugglers|{1}{B}{B}|Creature - Human Mercenary|2|2|Swampwalk|Mercadian Masques|Common|Mike Ploog|117|Swampwalk|
19602|Flailing Soldier|{R}|Creature - Human Soldier|2|2|{1}: Flailing Soldier gets +1/+1 until end of turn. Any player may activate this ability.<br>{1}: Flailing Soldier gets -1/-1 until end of turn. Any player may activate this ability.|Mercadian Masques|Common|Orizio Daniele|189|{1}: Flailing Soldier gets +1/+1 until end of turn. Any player may activate this ability.<br>{1}: Flailing Soldier gets -1/-1 until end of turn. Any player may activate this ability.|
19603|Ceremonial Guard|{2}{R}|Creature - Human Soldier|3|4|When Ceremonial Guard attacks or blocks, destroy it at end of combat.|Mercadian Masques|Common|Daren Bader|182|When Ceremonial Guard attacks or blocks, destroy it at end of combat.|
19604|Kyren Glider|{1}{R}|Creature - Goblin|1|1|Flying<br>Kyren Glider can't block.|Mercadian Masques|Common|Daren Bader|196|Flying<br>Kyren Glider can't block.|
19605|Wild Jhovall|{3}{R}|Creature - Cat|3|3||Mercadian Masques|Common|Daren Bader|227||
19606|Kyren Sniper|{2}{R}|Creature - Goblin|1|1|At the beginning of your upkeep, you may have Kyren Sniper deal 1 damage to target player.|Mercadian Masques|Common|Carl Critchlow|199|At the beginning of your upkeep, you may have Kyren Sniper deal 1 damage to target player.|
19607|Battle Rampart|{2}{R}|Creature - Wall|1|3|Defender<br>{T}: Target creature gains haste until end of turn.|Mercadian Masques|Common|Ron Spencer|173|Defender<br>{T}: Target creature gains haste until end of turn.|
19608|Cinder Elemental|{3}{R}|Creature - Elemental|2|2|{X}{R}, {T}, Sacrifice Cinder Elemental: Cinder Elemental deals X damage to target creature or player.|Mercadian Masques|Uncommon|Greg Staples|183|{X}{R}, {T}, Sacrifice Cinder Elemental: Cinder Elemental deals X damage to target creature or player.|
19610|Cavern Crawler|{2}{R}|Creature - Insect|0|3|Mountainwalk<br>{R}: Cavern Crawler gets +1/-1 until end of turn.|Mercadian Masques|Common|Pete Venters|181|Mountainwalk<br>{R}: Cavern Crawler gets +1/-1 until end of turn.|
19613|Flaming Sword|{1}{R}|Enchantment - Aura|||Flash<br>Enchant creature<br>Enchanted creature gets +1/+0 and has first strike.|Mercadian Masques|Common|Randy Gallegos|190|Flash<br>Enchant creature<br>Enchanted creature gets +1/+0 and has first strike.|
19615|Thunderclap|{2}{R}|Instant|||You may sacrifice a Mountain rather than pay Thunderclap's mana cost.<br><br>Thunderclap deals 3 damage to target creature.|Mercadian Masques|Common|Tom Wänerstrand|219|You may sacrifice a Mountain rather than pay Thunderclap's mana cost.<br><br>Thunderclap deals 3 damage to target creature.|
19616|Crash|{2}{R}|Instant|||You may sacrifice a Mountain rather than pay Crash's mana cost.<br><br>Destroy target artifact.|Mercadian Masques|Common|Doug Chaffee|186|You may sacrifice a Mountain rather than pay Crash's mana cost.<br><br>Destroy target artifact.|
19617|Lunge|{2}{R}|Instant|||Lunge deals 2 damage to target creature and 2 damage to target player.|Mercadian Masques|Common|Dan Frazier|203|Lunge deals 2 damage to target creature and 2 damage to target player.|
19618|Lightning Hounds|{2}{R}{R}|Creature - Hound|3|2|First strike|Mercadian Masques|Common|Andrew Robinson|201|First strike|
19619|War Cadence|{2}{R}|Enchantment|||{X}{R}: This turn, creatures can't block unless their controller pays {X} for each blocking creature he or she controls.|Mercadian Masques|Uncommon|John Matson|224|{X}{R}: This turn, creatures can't block unless their controller pays {X} for each blocking creature he or she controls.|
19620|Cave Sense|{1}{R}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 and has mountainwalk.|Mercadian Masques|Common|Mark Romanoski|179|Enchant creature<br>Enchanted creature gets +1/+1 and has mountainwalk.|
