ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
397746|Æthersnipe|{5}{U}|Creature - Elemental|4|4|When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.<br>Evoke {1}{U}{U} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|Modern Masters 2015 Edition|Common|Zoltan Boros & Gabor Szikszai|39|When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.<br>Evoke {1}{U}{U} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|
397784|Agony Warp|{U}{B}|Instant|||Target creature gets -3/-0 until end of turn.<br>Target creature gets -0/-3 until end of turn.|Modern Masters 2015 Edition|Uncommon|Dave Allsop|170|Target creature gets -3/-0 until end of turn.<br>Target creature gets -0/-3 until end of turn.|
397847|Air Servant|{4}{U}|Creature - Elemental|4|3|Flying<br>{2}{U}: Tap target creature with flying.|Modern Masters 2015 Edition|Uncommon|Lars Grant-West|40|Flying<br>{2}{U}: Tap target creature with flying.|
397854|Algae Gharial|{3}{G}|Creature - Crocodile|1|1|Shroud <i>(This creature can't be the target of spells or abilities.)</i><br>Whenever another creature dies, you may put a +1/+1 counter on Algae Gharial.|Modern Masters 2015 Edition|Uncommon|Michael Ryan|137|Shroud <i>(This creature can't be the target of spells or abilities.)</i><br>Whenever another creature dies, you may put a +1/+1 counter on Algae Gharial.|
397750|All Is Dust|{7}|Tribal Sorcery - Eldrazi|||Each player sacrifices all colored permanents he or she controls.|Modern Masters 2015 Edition|Rare|Jason Felix|1|Each player sacrifices all colored permanents he or she controls.|
397741|All Suns' Dawn|{4}{G}|Sorcery|||For each color, return up to one target card of that color from your graveyard to your hand. Exile All Suns' Dawn.|Modern Masters 2015 Edition|Rare|Glen Angus|138|For each color, return up to one target card of that color from your graveyard to your hand. Exile All Suns' Dawn.|
397796|Alloy Myr|{3}|Artifact Creature - Myr|2|2|{T}: Add one mana of any color to your mana pool.|Modern Masters 2015 Edition|Common|Matt Cavotta|201|{T}: Add one mana of any color to your mana pool.|
397821|Ant Queen|{3}{G}{G}|Creature - Insect|5|5|{1}{G}: Put a 1/1 green Insect creature token onto the battlefield.|Modern Masters 2015 Edition|Rare|Trevor Claxton|139|{1}{G}: Put a 1/1 green Insect creature token onto the battlefield.|
397885|Apocalypse Hydra|{X}{R}{G}|Creature - Hydra|0|0|Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.<br>{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to target creature or player.|Modern Masters 2015 Edition|Rare|Jason Chan|171|Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.<br>{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to target creature or player.|
397768|Apostle's Blessing|{1}{WP}|Instant|||<i>({WP} can be paid with either {W} or 2 life.)</i><br>Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.|Modern Masters 2015 Edition|Common|Brad Rigney|8|<i>({WP} can be paid with either {W} or 2 life.)</i><br>Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.|
397697|Aquastrand Spider|{1}{G}|Creature - Spider Mutant|0|0|Graft 2 <i>(This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{G}: Target creature with a +1/+1 counter on it gains reach until end of turn. <i>(It can block creatures with flying.)</i>|Modern Masters 2015 Edition|Common|Dany Orizio|140|Graft 2 <i>(This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{G}: Target creature with a +1/+1 counter on it gains reach until end of turn. <i>(It can block creatures with flying.)</i>|
397887|Argent Sphinx|{2}{U}{U}|Creature - Sphinx|4|3|Flying<br>Metalcraft- {U}: Exile Argent Sphinx. Return it to the battlefield under your control at the beginning of the next end step. Activate this ability only if you control three or more artifacts.|Modern Masters 2015 Edition|Rare|Chris Rahn|41|Flying<br>Metalcraft- {U}: Exile Argent Sphinx. Return it to the battlefield under your control at the beginning of the next end step. Activate this ability only if you control three or more artifacts.|
397723|Arrest|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.|Modern Masters 2015 Edition|Common|Daarken|9|Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.|
397777|Artisan of Kozilek|{9}|Creature - Eldrazi|10|9|When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|Modern Masters 2015 Edition|Uncommon|Jason Felix|2|When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|
397691|Ashenmoor Gouger|{B/R}{B/R}{B/R}|Creature - Elemental Warrior|4|4|Ashenmoor Gouger can't block.|Modern Masters 2015 Edition|Uncommon|Matt Cavotta|190|Ashenmoor Gouger can't block.|
397866|Azorius Chancery||Land|||Azorius Chancery enters the battlefield tapped.<br>When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {W}{U} to your mana pool.|Modern Masters 2015 Edition|Uncommon|John Avon|235|Azorius Chancery enters the battlefield tapped.<br>When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {W}{U} to your mana pool.|
397676|Banefire|{X}{R}|Sorcery|||Banefire deals X damage to target creature or player.<br>If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.|Modern Masters 2015 Edition|Rare|Raymond Swanland|104|Banefire deals X damage to target creature or player.<br>If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.|
397766|Battlegrace Angel|{3}{W}{W}|Creature - Angel|4|4|Flying<br>Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Whenever a creature you control attacks alone, it gains lifelink until end of turn.|Modern Masters 2015 Edition|Rare|Matt Stewart|10|Flying<br>Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Whenever a creature you control attacks alone, it gains lifelink until end of turn.|
397840|Bestial Menace|{3}{G}{G}|Sorcery|||Put a 1/1 green Snake creature token, a 2/2 green Wolf creature token, and a 3/3 green Elephant creature token onto the battlefield.|Modern Masters 2015 Edition|Uncommon|Andrew Robinson|141|Put a 1/1 green Snake creature token, a 2/2 green Wolf creature token, and a 3/3 green Elephant creature token onto the battlefield.|
397701|Bitterblossom|{1}{B}|Tribal Enchantment - Faerie|||At the beginning of your upkeep, you lose 1 life and put a 1/1 black Faerie Rogue creature token with flying onto the battlefield.|Modern Masters 2015 Edition|Mythic Rare|Rebecca Guay|71|At the beginning of your upkeep, you lose 1 life and put a 1/1 black Faerie Rogue creature token with flying onto the battlefield.|
397754|Blades of Velis Vel|{1}{R}|Tribal Instant - Shapeshifter|||Changeling <i>(This card is every creature type at all times.)</i><br>Up to two target creatures each get +2/+0 and gain all creature types until end of turn.|Modern Masters 2015 Edition|Common|Ron Spencer|105|Changeling <i>(This card is every creature type at all times.)</i><br>Up to two target creatures each get +2/+0 and gain all creature types until end of turn.|
397810|Blinding Souleater|{3}|Artifact Creature - Cleric|1|3|{WP}, {T}: Tap target creature. <i>({WP} can be paid with either {W} or 2 life.)</i>|Modern Masters 2015 Edition|Common|Igor Kieryluk|202|{WP}, {T}: Tap target creature. <i>({WP} can be paid with either {W} or 2 life.)</i>|
