ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
429884|Aggravated Assault|{2}{R}|Enchantment|||{3}{R}{R}: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Activate this ability only any time you could cast a sorcery.|Masterpiece Series: Amonkhet Invocations|Special|Greg Opalinski|25|{3}{R}{R}: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Activate this ability only any time you could cast a sorcery.|
429878|Attrition|{1}{B}{B}|Enchantment|||{B}, Sacrifice a creature: Destroy target nonblack creature.|Masterpiece Series: Amonkhet Invocations|Special|Jose Cabrera|19|{B}, Sacrifice a creature: Destroy target nonblack creature.|
429860|Austere Command|{4}{W}{W}|Sorcery|||Choose two-<br>• Destroy all artifacts.<br>• Destroy all enchantments.<br>• Destroy all creatures with converted mana cost 3 or less.<br>• Destroy all creatures with converted mana cost 4 or greater.|Masterpiece Series: Amonkhet Invocations|Special|Richard Wright|1|Choose two-<br>• Destroy all artifacts.<br>• Destroy all enchantments.<br>• Destroy all creatures with converted mana cost 3 or less.<br>• Destroy all creatures with converted mana cost 4 or greater.|
429861|Aven Mindcensor|{2}{W}|Creature - Bird Wizard|2|1|Flash<br>Flying<br>If an opponent would search a library, that player searches the top four cards of that library instead.|Masterpiece Series: Amonkhet Invocations|Special|Jose Cabrera|2|Flash<br>Flying<br>If an opponent would search a library, that player searches the top four cards of that library instead.|
429879|Bontu the Glorified|{2}{B}|Legendary Creature - God|4|6|Menace, indestructible<br>Bontu the Glorified can't attack or block unless a creature died under your control this turn.<br>{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life.|Masterpiece Series: Amonkhet Invocations|Special|Daniel Ljunggren|20|Menace, indestructible<br>Bontu the Glorified can't attack or block unless a creature died under your control this turn.<br>{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life.|
429885|Chain Lightning|{R}|Sorcery|||Chain Lightning deals 3 damage to target creature or player. Then that player or that creature's controller may pay {R}{R}. If the player does, he or she may copy this spell and may choose a new target for that copy.|Masterpiece Series: Amonkhet Invocations|Special|Igor Kieryluk|26|Chain Lightning deals 3 damage to target creature or player. Then that player or that creature's controller may pay {R}{R}. If the player does, he or she may copy this spell and may choose a new target for that copy.|
429867|Consecrated Sphinx|{4}{U}{U}|Creature - Sphinx|4|6|Flying<br>Whenever an opponent draws a card, you may draw two cards.|Masterpiece Series: Amonkhet Invocations|Special|Lius Lasahido|8|Flying<br>Whenever an opponent draws a card, you may draw two cards.|
429862|Containment Priest|{1}{W}|Creature - Human Cleric|2|2|Flash<br>If a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.|Masterpiece Series: Amonkhet Invocations|Special|Igor Kieryluk|3|Flash<br>If a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.|
429868|Counterbalance|{U}{U}|Enchantment|||Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, counter that spell if it has the same converted mana cost as the revealed card.|Masterpiece Series: Amonkhet Invocations|Special|Joseph Meehan|9|Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, counter that spell if it has the same converted mana cost as the revealed card.|
429869|Counterspell|{U}{U}|Instant|||Counter target spell.|Masterpiece Series: Amonkhet Invocations|Special|Chase Stone|10|Counter target spell.|
429870|Cryptic Command|{1}{U}{U}{U}|Instant|||Choose two-<br>• Counter target spell.<br>• Return target permanent to its owner's hand.<br>• Tap all creatures your opponents control.<br>• Draw a card.|Masterpiece Series: Amonkhet Invocations|Special|Richard Wright|11|Choose two-<br>• Counter target spell.<br>• Return target permanent to its owner's hand.<br>• Tap all creatures your opponents control.<br>• Draw a card.|
429880|Dark Ritual|{B}|Instant|||Add {B}{B}{B} to your mana pool.|Masterpiece Series: Amonkhet Invocations|Special|Richard Wright|21|Add {B}{B}{B} to your mana pool.|
429871|Daze|{1}{U}|Instant|||You may return an Island you control to its owner's hand rather than pay Daze's mana cost.<br>Counter target spell unless its controller pays {1}.|Masterpiece Series: Amonkhet Invocations|Special|Richard Wright|12|You may return an Island you control to its owner's hand rather than pay Daze's mana cost.<br>Counter target spell unless its controller pays {1}.|
429881|Diabolic Intent|{1}{B}|Sorcery|||As an additional cost to cast Diabolic Intent, sacrifice a creature.<br>Search your library for a card and put that card into your hand. Then shuffle your library.|Masterpiece Series: Amonkhet Invocations|Special|Joseph Meehan|22|As an additional cost to cast Diabolic Intent, sacrifice a creature.<br>Search your library for a card and put that card into your hand. Then shuffle your library.|
429872|Divert|{U}|Instant|||Change the target of target spell with a single target unless that spell's controller pays {2}.|Masterpiece Series: Amonkhet Invocations|Special|Igor Kieryluk|13|Change the target of target spell with a single target unless that spell's controller pays {2}.|
429882|Entomb|{B}|Instant|||Search your library for a card and put that card into your graveyard. Then shuffle your library.|Masterpiece Series: Amonkhet Invocations|Special|Eytan Zana|23|Search your library for a card and put that card into your graveyard. Then shuffle your library.|
429873|Force of Will|{3}{U}{U}|Instant|||You may pay 1 life and exile a blue card from your hand rather than pay Force of Will's mana cost.<br>Counter target spell.|Masterpiece Series: Amonkhet Invocations|Special|Jaime Jones|14|You may pay 1 life and exile a blue card from your hand rather than pay Force of Will's mana cost.<br>Counter target spell.|
429886|Hazoret the Fervent|{3}{R}|Legendary Creature - God|5|4|Indestructible, haste<br>Hazoret the Fervent can't attack or block unless you have one or fewer cards in hand.<br>{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent.|Masterpiece Series: Amonkhet Invocations|Special|Joseph Meehan|27|Indestructible, haste<br>Hazoret the Fervent can't attack or block unless you have one or fewer cards in hand.<br>{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent.|
429874|Kefnet the Mindful|{2}{U}|Legendary Creature - God|5|5|Flying, indestructible<br>Kefnet the Mindful can't attack or block unless you have seven or more cards in hand.<br>{3}{U}: Draw a card, then you may return a land you control to its owner's hand.|Masterpiece Series: Amonkhet Invocations|Special|Jose Cabrera|15|Flying, indestructible<br>Kefnet the Mindful can't attack or block unless you have seven or more cards in hand.<br>{3}{U}: Draw a card, then you may return a land you control to its owner's hand.|
429863|Loyal Retainers|{2}{W}|Creature - Human Advisor|1|1|Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.|Masterpiece Series: Amonkhet Invocations|Special|Bastien L. Deharme|4|Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.|
