ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
420593|Aether Vial (Æther Vial)|{1}|Artifact|||At the beginning of your upkeep, you may put a charge counter on Aether Vial.<br>{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Aether Vial from your hand onto the battlefield.|Masterpiece Series: Kaladesh Inventions|Special|Raoul Vitale|6|At the beginning of your upkeep, you may put a charge counter on Aether Vial.<br>{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Aether Vial from your hand onto the battlefield.|
420588|Cataclysmic Gearhulk|{3}{W}{W}|Artifact Creature - Construct|4|5|Vigilance<br>When Cataclysmic Gearhulk enters the battlefield, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents he or she controls, then sacrifices the rest.|Masterpiece Series: Kaladesh Inventions|Special|Jason Rainville|1|Vigilance<br>When Cataclysmic Gearhulk enters the battlefield, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents he or she controls, then sacrifices the rest.|
420594|Champion's Helm|{3}|Artifact - Equipment|||Equipped creature gets +2/+2.<br>As long as equipped creature is legendary, it has hexproof. <i>(It can't be the target of spells or abilities your opponents control.)</i><br>Equip {1}|Masterpiece Series: Kaladesh Inventions|Special|Lindsey Look|7|Equipped creature gets +2/+2.<br>As long as equipped creature is legendary, it has hexproof. <i>(It can't be the target of spells or abilities your opponents control.)</i><br>Equip {1}|
420595|Chromatic Lantern|{3}|Artifact|||Lands you control have "{T}: Add one mana of any color to your mana pool."<br>{T}: Add one mana of any color to your mana pool.|Masterpiece Series: Kaladesh Inventions|Special|Yeong-Hao Han|8|Lands you control have "{T}: Add one mana of any color to your mana pool."<br>{T}: Add one mana of any color to your mana pool.|
420596|Chrome Mox|{0}|Artifact|||Imprint- When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.<br>{T}: Add one mana of any of the exiled card's colors to your mana pool.|Masterpiece Series: Kaladesh Inventions|Special|Kieran Yanner|9|Imprint- When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.<br>{T}: Add one mana of any of the exiled card's colors to your mana pool.|
420597|Cloudstone Curio|{3}|Artifact|||Whenever a nonartifact permanent enters the battlefield under your control, you may return another permanent you control that shares a permanent type with it to its owner's hand.|Masterpiece Series: Kaladesh Inventions|Special|Noah Bradley|10|Whenever a nonartifact permanent enters the battlefield under your control, you may return another permanent you control that shares a permanent type with it to its owner's hand.|
420591|Combustible Gearhulk|{4}{R}{R}|Artifact Creature - Construct|6|6|First strike<br>When Combustible Gearhulk enters the battlefield, target opponent may have you draw three cards. If the player doesn't, put the top three cards of your library into your graveyard, then Combustible Gearhulk deals damage to that player equal to the total converted mana cost of those cards.|Masterpiece Series: Kaladesh Inventions|Special|Greg Opalinski|4|First strike<br>When Combustible Gearhulk enters the battlefield, target opponent may have you draw three cards. If the player doesn't, put the top three cards of your library into your graveyard, then Combustible Gearhulk deals damage to that player equal to the total converted mana cost of those cards.|
420598|Crucible of Worlds|{3}|Artifact|||You may play land cards from your graveyard.|Masterpiece Series: Kaladesh Inventions|Special|Chris Rahn|11|You may play land cards from your graveyard.|
420599|Gauntlet of Power|{5}|Artifact|||As Gauntlet of Power enters the battlefield, choose a color.<br>Creatures of the chosen color get +1/+1.<br>Whenever a basic land is tapped for mana of the chosen color, its controller adds one mana of that color to his or her mana pool <i>(in addition to the mana the land produces)</i>.|Masterpiece Series: Kaladesh Inventions|Special|John Severin Brassell|12|As Gauntlet of Power enters the battlefield, choose a color.<br>Creatures of the chosen color get +1/+1.<br>Whenever a basic land is tapped for mana of the chosen color, its controller adds one mana of that color to his or her mana pool <i>(in addition to the mana the land produces)</i>.|
420600|Hangarback Walker|{X}{X}|Artifact Creature - Construct|0|0|Hangarback Walker enters the battlefield with X +1/+1 counters on it.<br>When Hangarback Walker dies, create a 1/1 colorless Thopter artifact creature token with flying for each +1/+1 counter on Hangarback Walker.<br>{1}, {T}: Put a +1/+1 counter on Hangarback Walker.|Masterpiece Series: Kaladesh Inventions|Special|Adam Paquette|13|Hangarback Walker enters the battlefield with X +1/+1 counters on it.<br>When Hangarback Walker dies, create a 1/1 colorless Thopter artifact creature token with flying for each +1/+1 counter on Hangarback Walker.<br>{1}, {T}: Put a +1/+1 counter on Hangarback Walker.|
420601|Lightning Greaves|{2}|Artifact - Equipment|||Equipped creature has haste and shroud. <i>(It can't be the target of spells or abilities.)</i><br>Equip {0}|Masterpiece Series: Kaladesh Inventions|Special|Slawomir Maniak|14|Equipped creature has haste and shroud. <i>(It can't be the target of spells or abilities.)</i><br>Equip {0}|
420602|Lotus Petal|{0}|Artifact|||{T}, Sacrifice Lotus Petal: Add one mana of any color to your mana pool.|Masterpiece Series: Kaladesh Inventions|Special|Slawomir Maniak|15|{T}, Sacrifice Lotus Petal: Add one mana of any color to your mana pool.|
420603|Mana Crypt|{0}|Artifact|||At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.<br>{T}: Add {C}{C} to your mana pool.|Masterpiece Series: Kaladesh Inventions|Special|Volkan Baga|16|At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.<br>{T}: Add {C}{C} to your mana pool.|
420604|Mana Vault|{1}|Artifact|||Mana Vault doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.<br>At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.<br>{T}: Add {C}{C}{C} to your mana pool.|Masterpiece Series: Kaladesh Inventions|Special|Kirsten Zirngibl|17|Mana Vault doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.<br>At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.<br>{T}: Add {C}{C}{C} to your mana pool.|
420605|Mind's Eye|{5}|Artifact|||Whenever an opponent draws a card, you may pay {1}. If you do, draw a card.|Masterpiece Series: Kaladesh Inventions|Special|David Gaillet|18|Whenever an opponent draws a card, you may pay {1}. If you do, draw a card.|
420606|Mox Opal|{0}|Legendary Artifact|||Metalcraft- {T}: Add one mana of any color to your mana pool. Activate this ability only if you control three or more artifacts.|Masterpiece Series: Kaladesh Inventions|Special|Chris Rahn|19|Metalcraft- {T}: Add one mana of any color to your mana pool. Activate this ability only if you control three or more artifacts.|
420590|Noxious Gearhulk|{4}{B}{B}|Artifact Creature - Construct|5|4|Menace<br>When Noxious Gearhulk enters the battlefield, you may destroy another target creature. If a creature is destroyed this way, you gain life equal to its toughness.|Masterpiece Series: Kaladesh Inventions|Special|Vincent Proce|3|Menace<br>When Noxious Gearhulk enters the battlefield, you may destroy another target creature. If a creature is destroyed this way, you gain life equal to its toughness.|
420607|Painter's Servant|{2}|Artifact Creature - Scarecrow|1|3|As Painter's Servant enters the battlefield, choose a color.<br>All cards that aren't on the battlefield, spells, and permanents are the chosen color in addition to their other colors.|Masterpiece Series: Kaladesh Inventions|Special|Magali Villeneuve|20|As Painter's Servant enters the battlefield, choose a color.<br>All cards that aren't on the battlefield, spells, and permanents are the chosen color in addition to their other colors.|
420608|Rings of Brighthearth|{3}|Artifact|||Whenever you activate an ability, if it isn't a mana ability, you may pay {2}. If you do, copy that ability. You may choose new targets for the copy.|Masterpiece Series: Kaladesh Inventions|Special|Yeong-Hao Han|21|Whenever you activate an ability, if it isn't a mana ability, you may pay {2}. If you do, copy that ability. You may choose new targets for the copy.|
420609|Scroll Rack|{2}|Artifact|||{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.|Masterpiece Series: Kaladesh Inventions|Special|Jason A. Engle|22|{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.|
420610|Sculpting Steel|{3}|Artifact|||You may have Sculpting Steel enter the battlefield as a copy of any artifact on the battlefield.|Masterpiece Series: Kaladesh Inventions|Special|Magali Villeneuve|23|You may have Sculpting Steel enter the battlefield as a copy of any artifact on the battlefield.|
420611|Sol Ring|{1}|Artifact|||{T}: Add {C}{C} to your mana pool.|Masterpiece Series: Kaladesh Inventions|Special|Volkan Baga|24|{T}: Add {C}{C} to your mana pool.|
420612|Solemn Simulacrum|{4}|Artifact Creature - Golem|2|2|When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.<br>When Solemn Simulacrum dies, you may draw a card.|Masterpiece Series: Kaladesh Inventions|Special|Daarken|25|When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.<br>When Solemn Simulacrum dies, you may draw a card.|
420613|Static Orb|{3}|Artifact|||As long as Static Orb is untapped, players can't untap more than two permanents during their untap steps.|Masterpiece Series: Kaladesh Inventions|Special|Tommy Arnold|26|As long as Static Orb is untapped, players can't untap more than two permanents during their untap steps.|
420614|Steel Overseer|{2}|Artifact Creature - Construct|1|1|{T}: Put a +1/+1 counter on each artifact creature you control.|Masterpiece Series: Kaladesh Inventions|Special|Adam Paquette|27|{T}: Put a +1/+1 counter on each artifact creature you control.|
420615|Sword of Feast and Famine|{3}|Artifact - Equipment|||Equipped creature gets +2/+2 and has protection from black and from green.<br>Whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.<br>Equip {2}|Masterpiece Series: Kaladesh Inventions|Special|Steven Belledin|28|Equipped creature gets +2/+2 and has protection from black and from green.<br>Whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.<br>Equip {2}|
420616|Sword of Fire and Ice|{3}|Artifact - Equipment|||Equipped creature gets +2/+2 and has protection from red and from blue.<br>Whenever equipped creature deals combat damage to a player, Sword of Fire and Ice deals 2 damage to target creature or player and you draw a card.<br>Equip {2}|Masterpiece Series: Kaladesh Inventions|Special|Volkan Baga|29|Equipped creature gets +2/+2 and has protection from red and from blue.<br>Whenever equipped creature deals combat damage to a player, Sword of Fire and Ice deals 2 damage to target creature or player and you draw a card.<br>Equip {2}|
420617|Sword of Light and Shadow|{3}|Artifact - Equipment|||Equipped creature gets +2/+2 and has protection from white and from black.<br>Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.<br>Equip {2}|Masterpiece Series: Kaladesh Inventions|Special|Matt Stewart|30|Equipped creature gets +2/+2 and has protection from white and from black.<br>Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.<br>Equip {2}|
420589|Torrential Gearhulk|{4}{U}{U}|Artifact Creature - Construct|5|6|Flash<br>When Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that card would be put into your graveyard this turn, exile it instead.|Masterpiece Series: Kaladesh Inventions|Special|Jakub Kasper|2|Flash<br>When Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that card would be put into your graveyard this turn, exile it instead.|
420592|Verdurous Gearhulk|{3}{G}{G}|Artifact Creature - Construct|4|4|Trample<br>When Verdurous Gearhulk enters the battlefield, distribute four +1/+1 counters among any number of target creatures you control.|Masterpiece Series: Kaladesh Inventions|Special|Zack Stella|5|Trample<br>When Verdurous Gearhulk enters the battlefield, distribute four +1/+1 counters among any number of target creatures you control.|
