ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
19579|Plague Witch|{1}{B}|Creature - Elf Spellshaper|1|1|{B}, {T}, Discard a card: Target creature gets -1/-1 until end of turn.|Nemesis|Common|Nelson DeCastro|66|{B}, {T}, Discard a card: Target creature gets -1/-1 until end of turn.|
21251|Defiant Falcon|{1}{W}|Creature - Rebel Bird|1|1|Flying<br>{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.|Nemesis|Common|Heather Hudson|6|Flying<br>{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.|
21255|Lawbringer|{2}{W}|Creature - Kor Rebel|2|2|{T}, Sacrifice Lawbringer: Exile target red creature.|Nemesis|Common|Matt Cavotta|10|{T}, Sacrifice Lawbringer: Exile target red creature.|
21256|Lightbringer|{2}{W}|Creature - Kor Rebel|2|2|{T}, Sacrifice Lightbringer: Exile target black creature.|Nemesis|Common|Paolo Parente|11|{T}, Sacrifice Lightbringer: Exile target black creature.|
21257|Lashknife|{1}{W}|Enchantment - Aura|||If you control a Plains, you may tap an untapped creature you control rather than pay Lashknife's mana cost.<br>Enchant creature<br>Enchanted creature has first strike.|Nemesis|Common|Hannibal King|9|If you control a Plains, you may tap an untapped creature you control rather than pay Lashknife's mana cost.<br>Enchant creature<br>Enchanted creature has first strike.|
21258|Angelic Favor|{3}{W}|Instant|||If you control a Plains, you may tap an untapped creature you control rather than pay Angelic Favor's mana cost.<br>Cast Angelic Favor only during combat.<br>Put a 4/4 white Angel creature token with flying onto the battlefield. Exile it at the beginning of the next end step.|Nemesis|Uncommon|Paolo Parente|1|If you control a Plains, you may tap an untapped creature you control rather than pay Angelic Favor's mana cost.<br>Cast Angelic Favor only during combat.<br>Put a 4/4 white Angel creature token with flying onto the battlefield. Exile it at the beginning of the next end step.|
21259|Seal of Cleansing|{1}{W}|Enchantment|||Sacrifice Seal of Cleansing: Destroy target artifact or enchantment.|Nemesis|Common|Christopher Moeller|18|Sacrifice Seal of Cleansing: Destroy target artifact or enchantment.|
21260|Fanatical Devotion|{2}{W}|Enchantment|||Sacrifice a creature: Regenerate target creature.|Nemesis|Common|Massimilano Frezzato|8|Sacrifice a creature: Regenerate target creature.|
21262|Noble Stand|{4}{W}|Enchantment|||Whenever a creature you control blocks, you gain 2 life.|Nemesis|Uncommon|Greg & Tim Hildebrandt|14|Whenever a creature you control blocks, you gain 2 life.|
21263|Avenger en-Dal|{1}{W}|Creature - Human Spellshaper|1|1|{2}{W}, {T}, Discard a card: Exile target attacking creature. Its controller gains life equal to its toughness.|Nemesis|Rare|Ron Spencer|2|{2}{W}, {T}, Discard a card: Exile target attacking creature. Its controller gains life equal to its toughness.|
