ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
230071|Forest||Basic Land - Forest|||G|New Phyrexia|Land|Mark Tedin|175|G|
227505|Island||Basic Land - Island|||U|New Phyrexia|Land|Jung Park|169|U|
230064|Mountain||Basic Land - Mountain|||R|New Phyrexia|Land|Tomasz Jedruszek|173|R|
227518|Plains||Basic Land - Plains|||W|New Phyrexia|Land|James Paick|167|W|
227521|Swamp||Basic Land - Swamp|||B|New Phyrexia|Land|Lars Grant-West|171|B|
230076|Act of Aggression|{3}{RP}{RP}|Instant|||<i>({RP} can be paid with either {R} or 2 life.)</i><br>Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.|New Phyrexia|Uncommon||78|<i>({RP} can be paid with either {R} or 2 life.)</i><br>Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.|
214344|Alloy Myr|{3}|Artifact Creature - Myr|2|2|{T}: Add one mana of any color to your mana pool.|New Phyrexia|Uncommon||129|{T}: Add one mana of any color to your mana pool.|
194208|Apostle's Blessing|{1}{WP}|Instant|||<i>({WP} can be paid with either {W} or 2 life.)</i><br>Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.|New Phyrexia|Common||2|<i>({WP} can be paid with either {W} or 2 life.)</i><br>Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.|
218001|Argent Mutation|{2}{U}|Instant|||Target permanent becomes an artifact in addition to its other types until end of turn.<br>Draw a card.|New Phyrexia|Uncommon||27|Target permanent becomes an artifact in addition to its other types until end of turn.<br>Draw a card.|
202641|Arm with Æther|{2}{U}|Sorcery|||Until end of turn, creatures you control gain "Whenever this creature deals damage to an opponent, you may return target creature that player controls to its owner's hand."|New Phyrexia|Uncommon||28|Until end of turn, creatures you control gain "Whenever this creature deals damage to an opponent, you may return target creature that player controls to its owner's hand."|
218081|Artillerize|{3}{R}|Instant|||As an additional cost to cast Artillerize, sacrifice an artifact or creature.<br>Artillerize deals 5 damage to target creature or player.|New Phyrexia|Common||79|As an additional cost to cast Artillerize, sacrifice an artifact or creature.<br>Artillerize deals 5 damage to target creature or player.|
214353|Auriok Survivors|{5}{W}|Creature - Human Soldier|4|6|When Auriok Survivors enters the battlefield, you may return target Equipment card from your graveyard to the battlefield. If you do, you may attach it to Auriok Survivors.|New Phyrexia|Uncommon||3|When Auriok Survivors enters the battlefield, you may return target Equipment card from your graveyard to the battlefield. If you do, you may attach it to Auriok Survivors.|
233055|Batterskull|{5}|Artifact - Equipment|||Living weapon <i>(When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)</i><br>Equipped creature gets +4/+4 and has vigilance and lifelink.<br>{3}: Return Batterskull to its owner's hand.<br>Equip {5}|New Phyrexia|Mythic Rare||130|Living weapon <i>(When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)</i><br>Equipped creature gets +4/+4 and has vigilance and lifelink.<br>{3}: Return Batterskull to its owner's hand.<br>Equip {5}|
221533|Beast Within|{2}{G}|Instant|||Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.|New Phyrexia|Uncommon||103|Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.|
218006|Birthing Pod|{3}{GP}|Artifact|||<i>({GP} can be paid with either {G} or 2 life.)</i><br>{1}{GP}, {T}, Sacrifice a creature: Search your library for a creature card with converted mana cost equal to 1 plus the sacrificed creature's converted mana cost, put that card onto the battlefield, then shuffle your library. Activate this ability only any time you could cast a sorcery.|New Phyrexia|Rare||104|<i>({GP} can be paid with either {G} or 2 life.)</i><br>{1}{GP}, {T}, Sacrifice a creature: Search your library for a creature card with converted mana cost equal to 1 plus the sacrificed creature's converted mana cost, put that card onto the battlefield, then shuffle your library. Activate this ability only any time you could cast a sorcery.|
