ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
26812|Bomb Squad|{3}{R}|Creature - Dwarf|1|1|{T}: Put a fuse counter on target creature.<br>At the beginning of your upkeep, put a fuse counter on each creature with a fuse counter on it.<br>Whenever a creature has four or more fuse counters on it, remove all fuse counters from it and destroy it. That creature deals 4 damage to its controller.|Odyssey|Rare|Greg & Tim Hildebrandt|179|{T}: Put a fuse counter on target creature.<br>At the beginning of your upkeep, put a fuse counter on each creature with a fuse counter on it.<br>Whenever a creature has four or more fuse counters on it, remove all fuse counters from it and destroy it. That creature deals 4 damage to its controller.|
28755|Gallantry|{1}{W}|Instant|||Target blocking creature gets +4/+4 until end of turn.<br><br>Draw a card.|Odyssey|Uncommon|Mark Tedin|23|Target blocking creature gets +4/+4 until end of turn.<br><br>Draw a card.|
29689|Pilgrim of Virtue|{2}{W}|Creature - Human Cleric|1|3|Protection from black<br>{W}, Sacrifice Pilgrim of Virtue: The next time a black source of your choice would deal damage this turn, prevent that damage.|Odyssey|Common|Massimilano Frezzato|41|Protection from black<br>{W}, Sacrifice Pilgrim of Virtue: The next time a black source of your choice would deal damage this turn, prevent that damage.|
29690|Pilgrim of Justice|{2}{W}|Creature - Human Cleric|1|3|Protection from red<br>{W}, Sacrifice Pilgrim of Justice: The next time a red source of your choice would deal damage this turn, prevent that damage.|Odyssey|Common|Orizio Daniele|40|Protection from red<br>{W}, Sacrifice Pilgrim of Justice: The next time a red source of your choice would deal damage this turn, prevent that damage.|
29691|Aven Archer|{3}{W}{W}|Creature - Bird Soldier Archer|2|2|Flying<br>{2}{W}, {T}: Aven Archer deals 2 damage to target attacking or blocking creature.|Odyssey|Uncommon|Mark Zug|6|Flying<br>{2}{W}, {T}: Aven Archer deals 2 damage to target attacking or blocking creature.|
29693|Hallowed Healer|{2}{W}|Creature - Human Cleric|1|1|{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.<br>Threshold- {T}: Prevent the next 4 damage that would be dealt to target creature or player this turn. Activate this ability only if seven or more cards are in your graveyard.|Odyssey|Common|Ben Thompson|25|{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.<br>Threshold- {T}: Prevent the next 4 damage that would be dealt to target creature or player this turn. Activate this ability only if seven or more cards are in your graveyard.|
29695|Tireless Tribe|{W}|Creature - Human Nomad|1|1|Discard a card: Tireless Tribe gets +0/+4 until end of turn.|Odyssey|Common|Carl Critchlow|56|Discard a card: Tireless Tribe gets +0/+4 until end of turn.|
29697|Mystic Visionary|{1}{W}|Creature - Human Nomad Mystic|2|1|Threshold- Mystic Visionary has flying as long as seven or more cards are in your graveyard.|Odyssey|Common|Matt Cavotta|35|Threshold- Mystic Visionary has flying as long as seven or more cards are in your graveyard.|
29700|Auramancer|{2}{W}|Creature - Human Wizard|2|2|When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.|Odyssey|Common|Rebecca Guay|5|When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.|
29703|Embolden|{2}{W}|Instant|||Prevent the next 4 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.<br>Flashback {1}{W} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Odyssey|Common|Rebecca Guay|22|Prevent the next 4 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.<br>Flashback {1}{W} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
29704|Life Burst|{1}{W}|Instant|||Target player gains 4 life, then gains 4 life for each card named Life Burst in each graveyard.|Odyssey|Common|John Avon|30|Target player gains 4 life, then gains 4 life for each card named Life Burst in each graveyard.|
29706|Second Thoughts|{4}{W}|Instant|||Exile target attacking creature.<br>Draw a card.|Odyssey|Common|Ray Lago|45|Exile target attacking creature.<br>Draw a card.|
29707|Kirtar's Desire|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack.<br>Threshold- Enchanted creature can't block as long as seven or more cards are in your graveyard.|Odyssey|Common|Pete Venters|27|Enchant creature<br>Enchanted creature can't attack.<br>Threshold- Enchanted creature can't block as long as seven or more cards are in your graveyard.|
29709|Aven Smokeweaver|{2}{U}{U}|Creature - Bird Soldier|2|3|Flying, protection from red|Odyssey|Uncommon|Kev Walker|64|Flying, protection from red|
29710|Cephalid Scout|{1}{U}|Creature - Cephalid Wizard Scout|1|1|Flying<br>{2}{U}, Sacrifice a land: Draw a card.|Odyssey|Common|Alan Pollack|74|Flying<br>{2}{U}, Sacrifice a land: Draw a card.|
29711|Cephalid Broker|{3}{U}|Creature - Cephalid|2|2|{T}: Target player draws two cards, then discards two cards.|Odyssey|Uncommon|Dave Dorman|71|{T}: Target player draws two cards, then discards two cards.|
