ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
-1111111117|Ödnis||Basic Land||||Oath of the Gatewatch|Land||183||{IMAGE_URL=http://www.magickartenmarkt.de/img/04a704854f5db6fb276a2ec85d3a34bb/cards/Oath_of_the_Gatewatch/wastes1.jpg}
407693|Wastes||Basic Land|||{T}: Add {C} to your mana pool.|Oath of the Gatewatch|Common|Jason Felix|183|{T}: Add {C} to your mana pool.|
407550|Abstruse Interference|{2}{U}|Instant|||Devoid <i>(This card has no color.)</i><br>Counter target spell unless its controller pays {1}. You put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {C} to your mana pool." <i>({C} represents colorless mana.)</i>|Oath of the Gatewatch|Common|Igor Kieryluk|40|Devoid <i>(This card has no color.)</i><br>Counter target spell unless its controller pays {1}. You put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {C} to your mana pool." <i>({C} represents colorless mana.)</i>|
407524|Affa Protector|{2}{W}|Creature - Human Soldier Ally|1|4|Vigilance|Oath of the Gatewatch|Common|Izzy|14|Vigilance|
407611|Akoum Flameseeker|{2}{R}|Creature - Human Shaman Ally|3|2|Cohort- {T}, Tap an untapped Ally you control: Discard a card. If you do, draw a card.|Oath of the Gatewatch|Common|Willian Murai|101|Cohort- {T}, Tap an untapped Ally you control: Discard a card. If you do, draw a card.|
407525|Allied Reinforcements|{3}{W}|Sorcery|||Put two 2/2 white Knight Ally creature tokens onto the battlefield.|Oath of the Gatewatch|Uncommon|Matt Stewart|15|Put two 2/2 white Knight Ally creature tokens onto the battlefield.|
407560|Ancient Crab|{1}{U}{U}|Creature - Crab|1|5||Oath of the Gatewatch|Common|Steve Prescott|50||
407661|Ayli, Eternal Pilgrim|{W}{B}|Legendary Creature - Kor Cleric|2|3|Deathtouch<br>{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.<br>{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate this ability only if you have at least 10 life more than your starting life total.|Oath of the Gatewatch|Rare|Cynthia Sheppard|151|Deathtouch<br>{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.<br>{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate this ability only if you have at least 10 life more than your starting life total.|
407662|Baloth Null|{4}{B}{G}|Creature - Zombie Beast|4|5|When Baloth Null enters the battlefield, return up to two target creature cards from your graveyard to your hand.|Oath of the Gatewatch|Uncommon|Jakub Kasper|152|When Baloth Null enters the battlefield, return up to two target creature cards from your graveyard to your hand.|
407637|Baloth Pup|{1}{G}|Creature - Beast|3|1|Baloth Pup has trample as long as it has a +1/+1 counter on it.|Oath of the Gatewatch|Uncommon|Steve Prescott|127|Baloth Pup has trample as long as it has a +1/+1 counter on it.|
407577|Bearer of Silence|{1}{B}|Creature - Eldrazi|2|1|Devoid <i>(This card has no color.)</i><br>When you cast Bearer of Silence, you may pay {1}{C}. If you do, target opponent sacrifices a creature. <i>({C} represents colorless mana.)</i><br>Flying<br>Bearer of Silence can't block.|Oath of the Gatewatch|Rare|Tyler Jacobson|67|Devoid <i>(This card has no color.)</i><br>When you cast Bearer of Silence, you may pay {1}{C}. If you do, target opponent sacrifices a creature. <i>({C} represents colorless mana.)</i><br>Flying<br>Bearer of Silence can't block.|
407631|Birthing Hulk|{6}{G}|Creature - Eldrazi Drone|5|4|Devoid <i>(This card has no color.)</i><br>When Birthing Hulk enters the battlefield, put two 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have "Sacrifice this creature: Add {C} to your mana pool." <i>({C} represents colorless mana.)</i><br>{1}{C}: Regenerate Birthing Hulk.|Oath of the Gatewatch|Uncommon|Jack Wang|121|Devoid <i>(This card has no color.)</i><br>When Birthing Hulk enters the battlefield, put two 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have "Sacrifice this creature: Add {C} to your mana pool." <i>({C} represents colorless mana.)</i><br>{1}{C}: Regenerate Birthing Hulk.|
407551|Blinding Drone|{1}{U}|Creature - Eldrazi Drone|1|3|Devoid <i>(This card has no color.)</i><br>{C}, {T}: Tap target creature. <i>({C} represents colorless mana.)</i>|Oath of the Gatewatch|Common|Lake Hurwitz|41|Devoid <i>(This card has no color.)</i><br>{C}, {T}: Tap target creature. <i>({C} represents colorless mana.)</i>|
407638|Bonds of Mortality|{1}{G}|Enchantment|||When Bonds of Mortality enters the battlefield, draw a card.<br>{G}: Creatures your opponents control lose hexproof and indestructible until end of turn.|Oath of the Gatewatch|Uncommon|Chris Rallis|128|When Bonds of Mortality enters the battlefield, draw a card.<br>{G}: Creatures your opponents control lose hexproof and indestructible until end of turn.|
407671|Bone Saw|{0}|Artifact - Equipment|||Equipped creature gets +1/+0.<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|Oath of the Gatewatch|Common|Kev Walker|161|Equipped creature gets +1/+0.<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|
407612|Boulder Salvo|{4}{R}|Sorcery|||Surge {1}{R} <i>(You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)</i><br>Boulder Salvo deals 4 damage to target creature.|Oath of the Gatewatch|Common|Vincent Proce|102|Surge {1}{R} <i>(You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)</i><br>Boulder Salvo deals 4 damage to target creature.|
407613|Brute Strength|{1}{R}|Instant|||Target creature gets +3/+1 and gains trample until end of turn.|Oath of the Gatewatch|Common|Wayne Reynolds|103|Target creature gets +3/+1 and gains trample until end of turn.|
407526|Call the Gatewatch|{2}{W}|Sorcery|||Search your library for a planeswalker card, reveal it, and put it into your hand. Then shuffle your library.|Oath of the Gatewatch|Rare|Yefim Kligerman|16|Search your library for a planeswalker card, reveal it, and put it into your hand. Then shuffle your library.|
407639|Canopy Gorger|{4}{G}{G}|Creature - Wurm|6|5||Oath of the Gatewatch|Common|Lake Hurwitz|129||
407672|Captain's Claws|{2}|Artifact - Equipment|||Equipped creature gets +1/+0.<br>Whenever equipped creature attacks, put a 1/1 white Kor Ally creature token onto the battlefield tapped and attacking.<br>Equip {1}|Oath of the Gatewatch|Rare|Anthony Palumbo|162|Equipped creature gets +1/+0.<br>Whenever equipped creature attacks, put a 1/1 white Kor Ally creature token onto the battlefield tapped and attacking.<br>Equip {1}|
407614|Chandra, Flamecaller|{4}{R}{R}|Planeswalker - Chandra||4|+1: Put two 3/1 red Elemental creature tokens with haste onto the battlefield. Exile them at the beginning of the next end step.<br>0: Discard all the cards in your hand, then draw that many cards plus one.<br>−X: Chandra, Flamecaller deals X damage to each creature.|Oath of the Gatewatch|Mythic Rare|Jason Rainville|104|+1: Put two 3/1 red Elemental creature tokens with haste onto the battlefield. Exile them at the beginning of the next end step.<br>0: Discard all the cards in your hand, then draw that many cards plus one.<br>−X: Chandra, Flamecaller deals X damage to each creature.|
407673|Chitinous Cloak|{3}|Artifact - Equipment|||Equipped creature gets +2/+2 and has menace. <i>(It can't be blocked except by two or more creatures.)</i><br>Equip {3}|Oath of the Gatewatch|Uncommon|Chris Rahn|163|Equipped creature gets +2/+2 and has menace. <i>(It can't be blocked except by two or more creatures.)</i><br>Equip {3}|
407678|Cinder Barrens||Land|||Cinder Barrens enters the battlefield tapped.<br>{T}: Add {B} or {R} to your mana pool.|Oath of the Gatewatch|Uncommon|Cliff Childs|168|Cinder Barrens enters the battlefield tapped.<br>{T}: Add {B} or {R} to your mana pool.|
407615|Cinder Hellion|{4}{R}|Creature - Hellion|4|4|Trample<br>When Cinder Hellion enters the battlefield, it deals 2 damage to target opponent.|Oath of the Gatewatch|Common|Jason Kang|105|Trample<br>When Cinder Hellion enters the battlefield, it deals 2 damage to target opponent.|
407663|Cliffhaven Vampire|{2}{W}{B}|Creature - Vampire Warrior Ally|2|4|Flying<br>Whenever you gain life, each opponent loses 1 life.|Oath of the Gatewatch|Uncommon|David Gaillet|153|Flying<br>Whenever you gain life, each opponent loses 1 life.|
407561|Comparative Analysis|{3}{U}|Instant|||Surge {2}{U} <i>(You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)</i><br>Target player draws two cards.|Oath of the Gatewatch|Common|Willian Murai|51|Surge {2}{U} <i>(You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)</i><br>Target player draws two cards.|
407604|Consuming Sinkhole|{3}{R}|Instant|||Devoid <i>(This card has no color.)</i><br>Choose one-<br>• Exile target land creature.<br>• Consuming Sinkhole deals 4 damage to target player.|Oath of the Gatewatch|Common|Igor Kieryluk|94|Devoid <i>(This card has no color.)</i><br>Choose one-<br>• Exile target land creature.<br>• Consuming Sinkhole deals 4 damage to target player.|
407562|Containment Membrane|{2}{U}|Enchantment - Aura|||Surge {U} <i>(You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)</i><br>Enchant creature<br>Enchanted creature doesn't untap during its controller's untap step.|Oath of the Gatewatch|Common|Daarken|52|Surge {U} <i>(You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)</i><br>Enchant creature<br>Enchanted creature doesn't untap during its controller's untap step.|
407593|Corpse Churn|{1}{B}|Instant|||Put the top three cards of your library into your graveyard, then you may return a creature card from your graveyard to your hand.|Oath of the Gatewatch|Common|Magali Villeneuve|83|Put the top three cards of your library into your graveyard, then you may return a creature card from your graveyard to your hand.|
407679|Corrupted Crossroads||Land|||{T}: Add {C} to your mana pool. <i>({C} represents colorless mana.)</i><br>{T}, Pay 1 life: Add one mana of any color to your mana pool. Spend this mana only to cast a spell with devoid.|Oath of the Gatewatch|Rare|Ryan Pancoast|169|{T}: Add {C} to your mana pool. <i>({C} represents colorless mana.)</i><br>{T}, Pay 1 life: Add one mana of any color to your mana pool. Spend this mana only to cast a spell with devoid.|
407680|Crumbling Vestige||Land|||Crumbling Vestige enters the battlefield tapped.<br>When Crumbling Vestige enters the battlefield, add one mana of any color to your mana pool.<br>{T}: Add {C} to your mana pool. <i>({C} represents colorless mana.)</i>|Oath of the Gatewatch|Common|Zack Stella|170|Crumbling Vestige enters the battlefield tapped.<br>When Crumbling Vestige enters the battlefield, add one mana of any color to your mana pool.<br>{T}: Add {C} to your mana pool. <i>({C} represents colorless mana.)</i>|
