ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
10699|Entrails Feaster|{B}|Creature - Zombie Cat|1|1|At the beginning of your upkeep, you may exile a creature card from a graveyard. If you do, put a +1/+1 counter on Entrails Feaster. If you don't, tap Entrails Feaster.|Onslaught|Rare|John Matson|143|At the beginning of your upkeep, you may exile a creature card from a graveyard. If you do, put a +1/+1 counter on Entrails Feaster. If you don't, tap Entrails Feaster.|
10704|Riptide Laboratory||Land|||{T}: Add {1} to your mana pool.<br>{1}{U}, {T}: Return target Wizard you control to its owner's hand.|Onslaught|Rare|John Avon|322|{T}: Add {1} to your mana pool.<br>{1}{U}, {T}: Return target Wizard you control to its owner's hand.|
10720|Cruel Revival|{4}{B}|Instant|||Destroy target non-Zombie creature. It can't be regenerated. Return up to one target Zombie card from your graveyard to your hand.|Onslaught|Common|Greg Staples|135|Destroy target non-Zombie creature. It can't be regenerated. Return up to one target Zombie card from your graveyard to your hand.|
10722|Gravespawn Sovereign|{4}{B}{B}|Creature - Zombie|3|3|Tap five untapped Zombies you control: Put target creature card from a graveyard onto the battlefield under your control.|Onslaught|Rare|Adam Rex|152|Tap five untapped Zombies you control: Put target creature card from a graveyard onto the battlefield under your control.|
12417|Skirk Commando|{1}{R}{R}|Creature - Goblin|2|1|Whenever Skirk Commando deals combat damage to a player, you may have it deal 2 damage to target creature that player controls.<br>Morph {2}{R} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Onslaught|Common|Dave Dorman|228|Whenever Skirk Commando deals combat damage to a player, you may have it deal 2 damage to target creature that player controls.<br>Morph {2}{R} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
12425|Æther Charge|{4}{R}|Enchantment|||Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent.|Onslaught|Uncommon|Mark Brill|184|Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent.|
12444|Ravenous Baloth|{2}{G}{G}|Creature - Beast|4|4|Sacrifice a Beast: You gain 4 life.|Onslaught|Rare|Arnie Swekel|278|Sacrifice a Beast: You gain 4 life.|
12445|Chain of Acid|{3}{G}|Sorcery|||Destroy target noncreature permanent. Then that permanent's controller may copy this spell and may choose a new target for that copy.|Onslaught|Uncommon|Ron Spencer|252|Destroy target noncreature permanent. Then that permanent's controller may copy this spell and may choose a new target for that copy.|
12446|Chain of Silence|{1}{W}|Instant|||Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land. If the player does, he or she may copy this spell and may choose a new target for that copy.|Onslaught|Uncommon|Randy Gallegos|12|Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land. If the player does, he or she may copy this spell and may choose a new target for that copy.|
12447|Chain of Vapor|{U}|Instant|||Return target nonland permanent to its owner's hand. Then that permanent's controller may sacrifice a land. If the player does, he or she may copy this spell and may choose a new target for that copy.|Onslaught|Uncommon|Carl Critchlow|73|Return target nonland permanent to its owner's hand. Then that permanent's controller may sacrifice a land. If the player does, he or she may copy this spell and may choose a new target for that copy.|
12448|Chain of Smog|{1}{B}|Sorcery|||Target player discards two cards. That player may copy this spell and may choose a new target for that copy.|Onslaught|Uncommon|Greg Staples|132|Target player discards two cards. That player may copy this spell and may choose a new target for that copy.|
12449|Chain of Plasma|{1}{R}|Instant|||Chain of Plasma deals 3 damage to target creature or player. Then that player or that creature's controller may discard a card. If the player does, he or she may copy this spell and may choose a new target for that copy.|Onslaught|Uncommon|Gary Ruddell|193|Chain of Plasma deals 3 damage to target creature or player. Then that player or that creature's controller may discard a card. If the player does, he or she may copy this spell and may choose a new target for that copy.|
12484|Erratic Explosion|{2}{R}|Sorcery|||Choose target creature or player. Reveal cards from the top of your library until you reveal a nonland card. Erratic Explosion deals damage equal to that card's converted mana cost to that creature or player. Put the revealed cards on the bottom of your library in any order.|Onslaught|Common|Gary Ruddell|201|Choose target creature or player. Reveal cards from the top of your library until you reveal a nonland card. Erratic Explosion deals damage equal to that card's converted mana cost to that creature or player. Put the revealed cards on the bottom of your library in any order.|
13012|Goblin Burrows||Land|||{T}: Add {1} to your mana pool.<br>{1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.|Onslaught|Uncommon|David Martin|318|{T}: Add {1} to your mana pool.<br>{1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.|
13210|Daru Encampment||Land|||{T}: Add {1} to your mana pool.<br>{W}, {T}: Target Soldier creature gets +1/+1 until end of turn.|Onslaught|Uncommon|Tony Szczudlo|315|{T}: Add {1} to your mana pool.<br>{W}, {T}: Target Soldier creature gets +1/+1 until end of turn.|
19122|Convalescent Care|{1}{W}{W}|Enchantment|||At the beginning of your upkeep, if you have 5 or less life, you gain 3 life and draw a card.|Onslaught|Rare|Greg & Tim Hildebrandt|14|At the beginning of your upkeep, if you have 5 or less life, you gain 3 life and draw a card.|
19680|Catapult Master|{3}{W}{W}|Creature - Human Soldier|3|3|Tap five untapped Soldiers you control: Exile target creature.|Onslaught|Rare|Terese Nielsen|10|Tap five untapped Soldiers you control: Exile target creature.|
23280|Infest|{1}{B}{B}|Sorcery|||All creatures get -2/-2 until end of turn.|Onslaught|Uncommon|Ben Thompson|157|All creatures get -2/-2 until end of turn.|
25812|Riptide Shapeshifter|{3}{U}{U}|Creature - Shapeshifter|3|3|{2}{U}{U}, Sacrifice Riptide Shapeshifter: Choose a creature type. Reveal cards from the top of your library until you reveal a creature card of that type. Put that card onto the battlefield and shuffle the rest into your library.|Onslaught|Uncommon|Arnie Swekel|109|{2}{U}{U}, Sacrifice Riptide Shapeshifter: Choose a creature type. Reveal cards from the top of your library until you reveal a creature card of that type. Put that card onto the battlefield and shuffle the rest into your library.|
25879|Ascending Aven|{2}{U}{U}|Creature - Bird Soldier|3|2|Flying<br>Ascending Aven can block only creatures with flying.<br>Morph {2}{U} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Onslaught|Common|Ron Spencer|68|Flying<br>Ascending Aven can block only creatures with flying.<br>Morph {2}{U} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
26349|Strongarm Tactics|{1}{B}|Sorcery|||Each player discards a card. Then each player who didn't discard a creature card this way loses 4 life.|Onslaught|Rare|Greg & Tim Hildebrandt|173|Each player discards a card. Then each player who didn't discard a creature card this way loses 4 life.|
26428|Prowling Pangolin|{3}{B}{B}|Creature - Anteater Beast|6|5|When Prowling Pangolin enters the battlefield, any player may sacrifice two creatures. If a player does, sacrifice Prowling Pangolin.|Onslaught|Uncommon|Heather Hudson|163|When Prowling Pangolin enters the battlefield, any player may sacrifice two creatures. If a player does, sacrifice Prowling Pangolin.|
26436|False Cure|{B}{B}|Instant|||Until end of turn, whenever a player gains life, that player loses 2 life for each 1 life he or she gained.|Onslaught|Rare|Bradley Williams|146|Until end of turn, whenever a player gains life, that player loses 2 life for each 1 life he or she gained.|
26592|Backslide|{1}{U}|Instant|||Turn target creature with morph face down.<br>Cycling {U} <i>({U}, Discard this card: Draw a card.)</i>|Onslaught|Common|Pete Venters|70|Turn target creature with morph face down.<br>Cycling {U} <i>({U}, Discard this card: Draw a card.)</i>|
26689|Wretched Anurid|{1}{B}|Creature - Zombie Frog Beast|3|3|Whenever another creature enters the battlefield, you lose 1 life.|Onslaught|Common|Glen Angus|183|Whenever another creature enters the battlefield, you lose 1 life.|
26715|Accursed Centaur|{B}|Creature - Zombie Centaur|2|2|When Accursed Centaur enters the battlefield, sacrifice a creature.|Onslaught|Common|Jerry Tiritilli|123|When Accursed Centaur enters the battlefield, sacrifice a creature.|
26747|Patriarch's Bidding|{3}{B}{B}|Sorcery|||Each player chooses a creature type. Each player returns all creature cards of a type chosen this way from his or her graveyard to the battlefield.|Onslaught|Rare|Ben Thompson|161|Each player chooses a creature type. Each player returns all creature cards of a type chosen this way from his or her graveyard to the battlefield.|
29714|Graxiplon|{5}{U}|Creature - Beast|3|4|Graxiplon is unblockable unless defending player controls three or more creatures that share a creature type.|Onslaught|Uncommon|Iain McCaig|86|Graxiplon is unblockable unless defending player controls three or more creatures that share a creature type.|
30764|Tribal Golem|{6}|Artifact Creature - Golem|4|4|Tribal Golem has trample as long as you control a Beast, haste as long as you control a Goblin, first strike as long as you control a Soldier, flying as long as you control a Wizard, and "{B}: Regenerate Tribal Golem" as long as you control a Zombie.|Onslaught|Rare|Edward P. Beard, Jr.|311|Tribal Golem has trample as long as you control a Beast, haste as long as you control a Goblin, first strike as long as you control a Soldier, flying as long as you control a Wizard, and "{B}: Regenerate Tribal Golem" as long as you control a Zombie.|
31788|Grand Melee|{3}{R}|Enchantment|||All creatures attack each turn if able.<br><br>All creatures block each turn if able.|Onslaught|Rare|Trevor Hairsine|211|All creatures attack each turn if able.<br><br>All creatures block each turn if able.|
32216|Symbiotic Elf|{3}{G}|Creature - Elf|2|2|When Symbiotic Elf dies, put two 1/1 green Insect creature tokens onto the battlefield.|Onslaught|Common|Wayne England|288|When Symbiotic Elf dies, put two 1/1 green Insect creature tokens onto the battlefield.|
33693|Oversold Cemetery|{1}{B}|Enchantment|||At the beginning of your upkeep, if you have four or more creature cards in your graveyard, you may return target creature card from your graveyard to your hand.|Onslaught|Rare|Thomas M. Baxa|160|At the beginning of your upkeep, if you have four or more creature cards in your graveyard, you may return target creature card from your graveyard to your hand.|
33695|Goblin Sharpshooter|{2}{R}|Creature - Goblin|1|1|Goblin Sharpshooter doesn't untap during your untap step.<br>Whenever a creature dies, untap Goblin Sharpshooter.<br>{T}: Goblin Sharpshooter deals 1 damage to target creature or player.|Onslaught|Rare|Greg Staples|207|Goblin Sharpshooter doesn't untap during your untap step.<br>Whenever a creature dies, untap Goblin Sharpshooter.<br>{T}: Goblin Sharpshooter deals 1 damage to target creature or player.|
34196|Barkhide Mauler|{4}{G}|Creature - Beast|4|4|Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Onslaught|Common|Iain McCaig|246|Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
34228|Kamahl's Summons|{3}{G}|Sorcery|||Each player may reveal any number of creature cards from his or her hand. Then each player puts a 2/2 green Bear creature token onto the battlefield for each card he or she revealed this way.|Onslaught|Uncommon|Anthony S. Waters|269|Each player may reveal any number of creature cards from his or her hand. Then each player puts a 2/2 green Bear creature token onto the battlefield for each card he or she revealed this way.|
34394|Overwhelming Instinct|{2}{G}|Enchantment|||Whenever you attack with three or more creatures, draw a card.|Onslaught|Uncommon|Ron Spears|276|Whenever you attack with three or more creatures, draw a card.|
34397|Commando Raid|{2}{R}|Instant|||Until end of turn, target creature you control gains "When this creature deals combat damage to a player, you may have it deal damage equal to its power to target creature that player controls."|Onslaught|Uncommon|Ron Spencer|195|Until end of turn, target creature you control gains "When this creature deals combat damage to a player, you may have it deal damage equal to its power to target creature that player controls."|
34410|Foothill Guide|{W}|Creature - Human Cleric|1|1|Protection from Goblins<br>Morph {W} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Onslaught|Common|Eric Peterson|29|Protection from Goblins<br>Morph {W} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
34684|Mythic Proportions|{4}{G}{G}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +8/+8 and has trample.|Onslaught|Rare|Jim Nelson|274|Enchant creature<br>Enchanted creature gets +8/+8 and has trample.|
34763|Elvish Guidance|{2}{G}|Enchantment - Aura|||Enchant land<br>Whenever enchanted land is tapped for mana, its controller adds {G} to his or her mana pool for each Elf on the battlefield <i>(in addition to the mana the land produces)</i>.|Onslaught|Common|Greg & Tim Hildebrandt|255|Enchant land<br>Whenever enchanted land is tapped for mana, its controller adds {G} to his or her mana pool for each Elf on the battlefield <i>(in addition to the mana the land produces)</i>.|
34764|Wirewood Lodge||Land|||{T}: Add {1} to your mana pool.<br>{G}, {T}: Untap target Elf.|Onslaught|Uncommon|Anthony S. Waters|329|{T}: Add {1} to your mana pool.<br>{G}, {T}: Untap target Elf.|
