ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
6491|Volunteer Militia|{W}|Creature - Human Soldier|1|2||Portal Second Age|Common|Keith Parkinson|1||
6492|Alaborn Zealot|{W}|Creature - Human Soldier|1|1|When Alaborn Zealot blocks a creature, destroy that creature and Alaborn Zealot.|Portal Second Age|Uncommon|David Horne|2|When Alaborn Zealot blocks a creature, destroy that creature and Alaborn Zealot.|
6493|Alaborn Trooper|{2}{W}|Creature - Human Soldier|2|3||Portal Second Age|Common|Lubov|3||
6494|Town Sentry|{2}{W}|Creature - Human Soldier|2|2|Whenever Town Sentry blocks, it gets +0/+2 until end of turn.|Portal Second Age|Common|Brad Williams|4|Whenever Town Sentry blocks, it gets +0/+2 until end of turn.|
6495|Temple Acolyte|{1}{W}|Creature - Human Cleric|1|3|When Temple Acolyte enters the battlefield, you gain 3 life.|Portal Second Age|Common|Lubov|5|When Temple Acolyte enters the battlefield, you gain 3 life.|
6496|Trokin High Guard|{3}{W}|Creature - Human Knight|3|3||Portal Second Age|Common|Ron Spencer|6||
6499|Alaborn Musketeer|{1}{W}|Creature - Human Soldier|2|1|Reach <i>(This creature can block creatures with flying.)</i>|Portal Second Age|Common|Heather Hudson|7|Reach <i>(This creature can block creatures with flying.)</i>|
6502|Path of Peace|{3}{W}|Sorcery|||Destroy target creature. Its owner gains 4 life.|Portal Second Age|Common|David A. Cherry|8|Destroy target creature. Its owner gains 4 life.|
6503|Righteous Charge|{1}{W}{W}|Sorcery|||Creatures you control get +2/+2 until end of turn.|Portal Second Age|Common|Jeffrey R. Busch|9|Creatures you control get +2/+2 until end of turn.|
6504|Festival of Trokin|{W}|Sorcery|||You gain 2 life for each creature you control.|Portal Second Age|Common|Jeffrey R. Busch|10|You gain 2 life for each creature you control.|
6506|Alaborn Cavalier|{2}{W}{W}|Creature - Human Knight|2|2|Whenever Alaborn Cavalier attacks, you may tap target creature.|Portal Second Age|Uncommon|Kev Walker|11|Whenever Alaborn Cavalier attacks, you may tap target creature.|
6507|Temple Elder|{2}{W}|Creature - Human Cleric|1|2|{T}: You gain 1 life. Activate this ability only during your turn, before attackers are declared.|Portal Second Age|Uncommon|David Horne|12|{T}: You gain 1 life. Activate this ability only during your turn, before attackers are declared.|
6508|Alaborn Grenadier|{W}{W}|Creature - Human Soldier|2|2|Vigilance|Portal Second Age|Common|David A. Cherry|13|Vigilance|
6509|Armored Griffin|{3}{W}|Creature - Griffin|2|3|Flying, vigilance|Portal Second Age|Uncommon|Brad Williams|14|Flying, vigilance|
6510|Bargain|{2}{W}|Sorcery|||Target opponent draws a card.<br>You gain 7 life.|Portal Second Age|Uncommon|Phil Foglio|15|Target opponent draws a card.<br>You gain 7 life.|
6511|Rally the Troops|{W}|Instant|||Cast Rally the Troops only during the declare attackers step and only if you've been attacked this step.<br>Untap all creatures you control.|Portal Second Age|Uncommon|Mark Poole|16|Cast Rally the Troops only during the declare attackers step and only if you've been attacked this step.<br>Untap all creatures you control.|
6512|Warrior's Stand|{1}{W}|Instant|||Cast Warrior's Stand only during the declare attackers step and only if you've been attacked this step.<br>Creatures you control get +2/+2 until end of turn.|Portal Second Age|Uncommon|Keith Parkinson|17|Cast Warrior's Stand only during the declare attackers step and only if you've been attacked this step.<br>Creatures you control get +2/+2 until end of turn.|
