ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
20180|Thunder Dragon|{5}{R}{R}|Creature - Dragon|5|5|Flying<br>When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.|Starter 1999|Rare|mono|7|0.0|||4.065|Dana Knutson|119||Flying<br>When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.|0
20183|Dakmor Sorceress|{5}{B}|Creature - Human Wizard|*|4|Dakmor Sorceress's power is equal to the number of Swamps you control.|Starter 1999|Rare|mono|6|0.0|||3.0|Matthew Wilson|74||Dakmor Sorceress's power is equal to the number of Swamps you control.|0
20184|Champion Lancer|{4}{W}{W}|Creature - Human Knight|3|3|Prevent all damage that would be dealt to Champion Lancer by creatures.|Starter 1999|Rare|mono|6|0.0|||3.269|Chippy|11||Prevent all damage that would be dealt to Champion Lancer by creatures.|0
20191|Devastation|{5}{R}{R}|Sorcery|||Destroy all creatures and lands.|Starter 1999|Rare|mono|7|0.0|||3.844|Steve Luke|94||Destroy all creatures and lands.|0
20192|Fire Tempest|{5}{R}{R}|Sorcery|||Fire Tempest deals 6 damage to each creature and each player.|Starter 1999|Rare|mono|7|0.0|||2.9|Mike Dringenberg|97||Fire Tempest deals 6 damage to each creature and each player.|0
20194|Last Chance|{R}{R}|Sorcery|||Take an extra turn after this one. At the beginning of that turn's end step, you lose the game.|Starter 1999|Rare|mono|2|0.0|||3.806|Hannibal King|110||Take an extra turn after this one. At the beginning of that turn's end step, you lose the game.|0
20196|Goblin Commando|{4}{R}|Creature - Goblin|2|2|When Goblin Commando enters the battlefield, it deals 2 damage to target creature.|Starter 1999|Uncommon|mono|5|0.0|||2.1|Todd Lockwood|100||When Goblin Commando enters the battlefield, it deals 2 damage to target creature.|0
20201|Cinder Storm|{6}{R}|Sorcery|||Cinder Storm deals 7 damage to target creature or player.|Starter 1999|Uncommon|mono|7|0.0|||2.667|Mark Tedin|93||Cinder Storm deals 7 damage to target creature or player.|0
20203|Jagged Lightning|{3}{R}{R}|Sorcery|||Jagged Lightning deals 3 damage to each of two target creatures.|Starter 1999|Uncommon|mono|5|0.0|||2.75|Michael Weaver|109||Jagged Lightning deals 3 damage to each of two target creatures.|0
20209|Scorching Spear|{R}|Sorcery|||Scorching Spear deals 1 damage to target creature or player.|Starter 1999|Common|mono|1|0.0|||0.761|Mike Raabe|116||Scorching Spear deals 1 damage to target creature or player.|0
20212|Hulking Goblin|{1}{R}|Creature - Goblin|2|2|Hulking Goblin can't block.|Starter 1999|Common|mono|2|0.0|||2.115|Pete Venters|107||Hulking Goblin can't block.|0
20214|Goblin Cavaliers|{2}{R}|Creature - Goblin|3|2||Starter 1999|Common|mono|3|0.0|||2.656|DiTerlizzi|98|||0
20216|Goblin Settler|{3}{R}|Creature - Goblin|1|1|When Goblin Settler enters the battlefield, destroy target land.|Starter 1999|Uncommon|mono|4|0.0|||3.35|Carl Critchlow|106||When Goblin Settler enters the battlefield, destroy target land.|0
20219|Whirlwind|{2}{G}{G}|Sorcery|||Destroy all creatures with flying.|Starter 1999|Rare|mono|4|0.0|||4.075|John Matson|150||Destroy all creatures with flying.|0
20222|Nature's Cloak|{2}{G}|Sorcery|||Green creatures you control gain forestwalk until end of turn.|Starter 1999|Rare|mono|3|0.0|||1.375|Rebecca Guay|135||Green creatures you control gain forestwalk until end of turn.|0
20230|Whiptail Wurm|{6}{G}|Creature - Wurm|8|5||Starter 1999|Uncommon|mono|7|0.0|||2.375|Una Fricker|149|||0
20359|Grim Tutor|{1}{B}{B}|Sorcery|||Search your library for a card and put that card into your hand, then shuffle your library. You lose 3 life.|Starter 1999|Rare|mono|3|0.0|||3.984|Mark Tedin|79||Search your library for a card and put that card into your hand, then shuffle your library. You lose 3 life.|0
20361|Wicked Pact|{1}{B}{B}|Sorcery|||Destroy two target nonblack creatures. You lose 5 life.|Starter 1999|Rare|mono|3|0.0|||3.75|Adam Rex|92||Destroy two target nonblack creatures. You lose 5 life.|0
20362|Dread Reaper|{3}{B}{B}{B}|Creature - Horror|6|5|Flying<br>When Dread Reaper enters the battlefield, you lose 5 life.|Starter 1999|Rare|mono|6|0.0|||1.848|Christopher Rush|76||Flying<br>When Dread Reaper enters the battlefield, you lose 5 life.|0
20363|Shrieking Specter|{5}{B}|Creature - Specter|2|2|Flying<br>Whenever Shrieking Specter attacks, defending player discards a card.|Starter 1999|Uncommon|mono|6|0.0|||1.091|rk post|89||Flying<br>Whenever Shrieking Specter attacks, defending player discards a card.|0
20364|Stream of Acid|{2}{B}{B}|Sorcery|||Destroy target land or nonblack creature.|Starter 1999|Uncommon|mono|4|0.0|||3.176|DiTerlizzi|91||Destroy target land or nonblack creature.|0
20367|Dakmor Plague|{3}{B}{B}|Sorcery|||Dakmor Plague deals 3 damage to each creature and each player.|Starter 1999|Uncommon|mono|5|0.0|||3.167|Jeff Miracola|72||Dakmor Plague deals 3 damage to each creature and each player.|0
20369|Howling Fury|{2}{B}|Sorcery|||Target creature gets +4/+0 until end of turn.|Starter 1999|Uncommon|mono|3|0.0|||1.125|Mike Dringenberg|82||Target creature gets +4/+0 until end of turn.|0
20379|Hand of Death|{2}{B}|Sorcery|||Destroy target nonblack creature.|Starter 1999|Common|mono|3|0.0|||1.75|Heather Hudson|80||Destroy target nonblack creature.|0
20380|Dakmor Ghoul|{2}{B}{B}|Creature - Zombie|2|2|When Dakmor Ghoul enters the battlefield, target opponent loses 2 life and you gain 2 life.|Starter 1999|Uncommon|mono|4|0.0|||3.094|Dana Knutson|70||When Dakmor Ghoul enters the battlefield, target opponent loses 2 life and you gain 2 life.|0
20384|Bog Raiders|{2}{B}|Creature - Zombie|2|2|Swampwalk <i>(This creature is unblockable as long as defending player controls a Swamp.)</i>|Starter 1999|Common|mono|3|0.0|||2.795|Carl Critchlow|66||Swampwalk <i>(This creature is unblockable as long as defending player controls a Swamp.)</i>|0
20391|Angel of Light|{4}{W}|Creature - Angel|3|3|Flying, vigilance|Starter 1999|Uncommon|mono|5|0.0|||2.227|Todd Lockwood|1||Flying, vigilance|0
20394|Royal Trooper|{2}{W}|Creature - Human Soldier|2|2|Whenever Royal Trooper blocks, it gets +2/+2 until end of turn.|Starter 1999|Uncommon|mono|3|0.0|||2.636|Scott M. Fischer|25||Whenever Royal Trooper blocks, it gets +2/+2 until end of turn.|0
20395|Devout Monk|{W}|Creature - Human Monk Cleric|1|1|When Devout Monk enters the battlefield, you gain 1 life.|Starter 1999|Common|mono|1|0.0|||1.917|Daniel Gelon|14||When Devout Monk enters the battlefield, you gain 1 life.|0
20396|Border Guard|{2}{W}|Creature - Human Soldier|1|4||Starter 1999|Common|mono|3|0.0|||1.788|Kev Walker|9|||0
