ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
10484|Wei Night Raiders|{2}{B}{B}|Creature - Human Soldier|2|2|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Whenever Wei Night Raiders deals damage to an opponent, that player discards a card.|Portal Three Kingdoms|Uncommon|Wang Feng|89|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Whenever Wei Night Raiders deals damage to an opponent, that player discards a card.|
10485|Wu Admiral|{4}{U}|Creature - Human Soldier|3|3|Wu Admiral gets +1/+1 as long as an opponent controls an Island.|Portal Three Kingdoms|Uncommon|Zhang Jiazhen|57|Wu Admiral gets +1/+1 as long as an opponent controls an Island.|
10486|Flanking Troops|{2}{W}{W}|Creature - Human Soldier|2|2|Whenever Flanking Troops attacks, you may tap target creature.|Portal Three Kingdoms|Uncommon|Li Wang|5|Whenever Flanking Troops attacks, you may tap target creature.|
10487|Alert Shu Infantry|{2}{W}|Creature - Human Soldier|2|2|Vigilance|Portal Three Kingdoms|Uncommon|Solomon Au Yeung|1|Vigilance|
10488|Shu Soldier-Farmers|{4}{W}|Creature - Human Soldier|2|4|When Shu Soldier-Farmers enters the battlefield, you gain 4 life.|Portal Three Kingdoms|Uncommon|Li Xiaohua|27|When Shu Soldier-Farmers enters the battlefield, you gain 4 life.|
10489|Shu Foot Soldiers|{2}{W}|Creature - Human Soldier|2|3||Portal Three Kingdoms|Common|Xu Tan|24||
10490|Kongming, "Sleeping Dragon"|{2}{W}{W}|Legendary Creature - Human Advisor|2|2|Other creatures you control get +1/+1.|Portal Three Kingdoms|Rare|Gao Yan|9|Other creatures you control get +1/+1.|
10491|Loyal Retainers|{2}{W}|Creature - Human Advisor|1|1|Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.|Portal Three Kingdoms|Uncommon|Solomon Au Yeung|12|Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.|
10492|Taunting Challenge|{1}{G}{G}|Sorcery|||All creatures able to block target creature this turn do so.|Portal Three Kingdoms|Rare|Gao Yan|152|All creatures able to block target creature this turn do so.|
10494|Guan Yu, Sainted Warrior|{3}{W}{W}|Legendary Creature - Human Soldier Warrior|3|5|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>When Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.|Portal Three Kingdoms|Rare|Zhao Dafu|6|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>When Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.|
10495|Kongming's Contraptions|{3}{W}|Creature - Human Soldier|2|4|{T}: Kongming's Contraptions deals 2 damage to target attacking creature. Activate this ability only during the declare attackers step and only if you've been attacked this step.|Portal Three Kingdoms|Rare|Jiaming|10|{T}: Kongming's Contraptions deals 2 damage to target attacking creature. Activate this ability only during the declare attackers step and only if you've been attacked this step.|
10496|Riding Red Hare|{2}{W}|Sorcery|||Target creature gets +3/+3 and gains horsemanship until end of turn. <i>(It can't be blocked except by creatures with horsemanship.)</i>|Portal Three Kingdoms|Common|Qi Baocheng|18|Target creature gets +3/+3 and gains horsemanship until end of turn. <i>(It can't be blocked except by creatures with horsemanship.)</i>|
10497|Shu Elite Companions|{4}{W}|Creature - Human Soldier|3|3|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|Portal Three Kingdoms|Uncommon|Zhao Dafu|21|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|
10498|Wu Longbowman|{2}{U}|Creature - Human Soldier Archer|1|1|{T}: Wu Longbowman deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.|Portal Three Kingdoms|Uncommon|Xu Tan|61|{T}: Wu Longbowman deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.|
10499|Liu Bei, Lord of Shu|{3}{W}{W}|Legendary Creature - Human Soldier|2|4|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Liu Bei, Lord of Shu gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.|Portal Three Kingdoms|Rare|Zhao Dafu|11|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Liu Bei, Lord of Shu gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.|
10500|Ravages of War|{3}{W}|Sorcery|||Destroy all lands.|Portal Three Kingdoms|Rare|Fang Yue|17|Destroy all lands.|
10501|Red Cliffs Armada|{4}{U}|Creature - Human Soldier|5|4|Red Cliffs Armada can't attack unless defending player controls an Island.|Portal Three Kingdoms|Uncommon|Zhang Jiazhen|51|Red Cliffs Armada can't attack unless defending player controls an Island.|
10502|Shu General|{3}{W}|Creature - Human Soldier|2|2|Vigilance; horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|Portal Three Kingdoms|Uncommon|Li Xiaohua|25|Vigilance; horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|
10503|Meng Huo's Horde|{4}{G}|Creature - Human Soldier|4|5||Portal Three Kingdoms|Common|s/b Lie Tiu|143||
10504|Empty City Ruse|{W}|Sorcery|||Target opponent skips all combat phases of his or her next turn.|Portal Three Kingdoms|Uncommon|Qu Xin|3|Target opponent skips all combat phases of his or her next turn.|
10505|Forest Bear|{1}{G}|Creature - Bear|2|2||Portal Three Kingdoms|Common|Wang Yuqun|135||
10506|Zodiac Rooster|{1}{G}|Creature - Bird|2|1|Plainswalk|Portal Three Kingdoms|Common|Ai Desheng|163|Plainswalk|
10508|Stone Catapult|{4}{B}|Creature - Human Soldier|1|2|{T}: Destroy target tapped nonblack creature. Activate this ability only during your turn, before attackers are declared.|Portal Three Kingdoms|Rare|Shang Huitong|84|{T}: Destroy target tapped nonblack creature. Activate this ability only during your turn, before attackers are declared.|
10509|False Defeat|{3}{W}|Sorcery|||Return target creature card from your graveyard to the battlefield.|Portal Three Kingdoms|Common|Li Wang|4|Return target creature card from your graveyard to the battlefield.|
10510|Zodiac Dragon|{7}{R}{R}|Creature - Dragon|8|8|When Zodiac Dragon is put into your graveyard from the battlefield, you may return it to your hand.|Portal Three Kingdoms|Rare|Qi Baocheng|131|When Zodiac Dragon is put into your graveyard from the battlefield, you may return it to your hand.|
10511|Wei Elite Companions|{4}{B}|Creature - Human Soldier|3|3|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|Portal Three Kingdoms|Uncommon|Li Youliang|87|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|
10512|Desperate Charge|{2}{B}|Sorcery|||Creatures you control get +2/+0 until end of turn.|Portal Three Kingdoms|Uncommon|Chen Weidong|74|Creatures you control get +2/+0 until end of turn.|
10513|Sun Quan, Lord of Wu|{4}{U}{U}|Legendary Creature - Human Soldier|4|4|Creatures you control have horsemanship. <i>(They can't be blocked except by creatures with horsemanship.)</i>|Portal Three Kingdoms|Rare|Xu Xiaoming|56|Creatures you control have horsemanship. <i>(They can't be blocked except by creatures with horsemanship.)</i>|
10515|Imperial Edict|{1}{B}|Sorcery|||Target opponent chooses a creature he or she controls. Destroy it.|Portal Three Kingdoms|Common|Xu Xiaoming|77|Target opponent chooses a creature he or she controls. Destroy it.|
10516|Yuan Shao, the Indecisive|{4}{R}|Legendary Creature - Human Soldier|2|3|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Each creature you control can't be blocked by more than one creature.|Portal Three Kingdoms|Rare|Inoue Junichi|128|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Each creature you control can't be blocked by more than one creature.|
10517|Wei Scout|{1}{B}|Creature - Human Soldier Scout|1|1|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|Portal Three Kingdoms|Common|Jiang Zhuqing|90|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|
10518|Famine|{3}{B}{B}|Sorcery|||Famine deals 3 damage to each creature and each player.|Portal Three Kingdoms|Uncommon|Sun Nan|75|Famine deals 3 damage to each creature and each player.|
10519|Wei Infantry|{1}{B}|Creature - Human Soldier|2|1||Portal Three Kingdoms|Common|LHQ|88||
10520|Zhang He, Wei General|{3}{B}{B}|Legendary Creature - Human Soldier|4|2|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Whenever Zhang He, Wei General attacks, each other creature you control gets +1/+0 until end of turn.|Portal Three Kingdoms|Rare|Jack Wei|95|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Whenever Zhang He, Wei General attacks, each other creature you control gets +1/+0 until end of turn.|
10521|Overwhelming Forces|{6}{B}{B}|Sorcery|||Destroy all creatures target opponent controls. Draw a card for each creature destroyed this way.|Portal Three Kingdoms|Rare|Gao Yan|79|Destroy all creatures target opponent controls. Draw a card for each creature destroyed this way.|
10522|Wolf Pack|{6}{G}{G}|Creature - Wolf|7|6|You may have Wolf Pack assign its combat damage as though it weren't blocked.|Portal Three Kingdoms|Rare|Yang Jun Kwon|158|You may have Wolf Pack assign its combat damage as though it weren't blocked.|
10523|Heavy Fog|{1}{G}|Instant|||Cast Heavy Fog only during the declare attackers step and only if you've been attacked this step.<br>Prevent all damage that would be dealt to you this turn by attacking creatures.|Portal Three Kingdoms|Uncommon|Liu Shangying|136|Cast Heavy Fog only during the declare attackers step and only if you've been attacked this step.<br>Prevent all damage that would be dealt to you this turn by attacking creatures.|
10524|Sage's Knowledge|{2}{U}|Sorcery|||Return target sorcery card from your graveyard to your hand.|Portal Three Kingdoms|Common|Ding Songjian|52|Return target sorcery card from your graveyard to your hand.|
10525|Zhou Yu, Chief Commander|{5}{U}{U}|Legendary Creature - Human Soldier|8|8|Zhou Yu, Chief Commander can't attack unless defending player controls an Island.|Portal Three Kingdoms|Rare|Xu Xiaoming|65|Zhou Yu, Chief Commander can't attack unless defending player controls an Island.|
10526|Rolling Earthquake|{X}{R}|Sorcery|||Rolling Earthquake deals X damage to each creature without horsemanship and each player.|Portal Three Kingdoms|Rare|Yang Hong|122|Rolling Earthquake deals X damage to each creature without horsemanship and each player.|
10528|Extinguish|{1}{U}|Instant|||Counter target sorcery spell.|Portal Three Kingdoms|Common|Ding Songjian|43|Counter target sorcery spell.|
10529|Wu Spy|{1}{U}|Creature - Human Soldier Rogue|1|1|When Wu Spy enters the battlefield, look at the top two cards of target player's library. Put one of them into his or her graveyard.|Portal Three Kingdoms|Uncommon|Zhao Tan|63|When Wu Spy enters the battlefield, look at the top two cards of target player's library. Put one of them into his or her graveyard.|
10530|Preemptive Strike|{1}{U}|Instant|||Counter target creature spell.|Portal Three Kingdoms|Common|Jiaming|50|Counter target creature spell.|
10533|Cunning Advisor|{3}{B}|Creature - Human Advisor|1|1|{T}: Target opponent discards a card. Activate this ability only during your turn, before attackers are declared.|Portal Three Kingdoms|Uncommon|Gao Jianzhang|72|{T}: Target opponent discards a card. Activate this ability only during your turn, before attackers are declared.|
10534|Zodiac Dog|{2}{R}|Creature - Hound|2|2|Mountainwalk|Portal Three Kingdoms|Common|Qi Baocheng|130|Mountainwalk|
10535|Fire Bowman|{R}|Creature - Human Soldier Archer|1|1|Sacrifice Fire Bowman: Fire Bowman deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.|Portal Three Kingdoms|Uncommon|Cai Tingting|112|Sacrifice Fire Bowman: Fire Bowman deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.|
10536|Lu Bu, Master-at-Arms|{5}{R}|Legendary Creature - Human Soldier Warrior|4|3|Haste; horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|Portal Three Kingdoms|Rare|Gao Jianzhang|115|Haste; horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i>|
10537|Yellow Scarves Cavalry|{1}{R}|Creature - Human Soldier|1|1|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Yellow Scarves Cavalry can't block.|Portal Three Kingdoms|Common|Chen Weidong|125|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Yellow Scarves Cavalry can't block.|
