ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
226512|Akoum||Plane - Zendikar|||Players may cast enchantment cards as though they had flash.<br>Whenever you roll chaos, destroy target creature that isn't enchanted.|Planechase 2012 Edition|Common||1|Players may cast enchantment cards as though they had flash.<br>Whenever you roll chaos, destroy target creature that isn't enchanted.|
226517|Aretopolis||Plane - Kephalai|||When you planeswalk to Aretopolis or at the beginning of your upkeep, put a scroll counter on Aretopolis, then you gain life equal to the number of scroll counters on it.<br>When Aretopolis has ten or more scroll counters on it, planeswalk.<br>Whenever you roll chaos, put a scroll counter on Aretopolis, then draw cards equal to the number of scroll counters on it.|Planechase 2012 Edition|Common||2|When you planeswalk to Aretopolis or at the beginning of your upkeep, put a scroll counter on Aretopolis, then you gain life equal to the number of scroll counters on it.<br>When Aretopolis has ten or more scroll counters on it, planeswalk.<br>Whenever you roll chaos, put a scroll counter on Aretopolis, then draw cards equal to the number of scroll counters on it.|
226526|Astral Arena||Plane - Kolbahan|||No more than one creature can attack each combat.<br>No more than one creature can block each combat.<br>Whenever you roll chaos, Astral Arena deals 2 damage to each creature.|Planechase 2012 Edition|Common||3|No more than one creature can attack each combat.<br>No more than one creature can block each combat.<br>Whenever you roll chaos, Astral Arena deals 2 damage to each creature.|
226539|Bloodhill Bastion||Plane - Equilor|||Whenever a creature enters the battlefield, it gains double strike and haste until end of turn.<br>Whenever you roll chaos, exile target nontoken creature you control, then return it to the battlefield under your control.|Planechase 2012 Edition|Common||4|Whenever a creature enters the battlefield, it gains double strike and haste until end of turn.<br>Whenever you roll chaos, exile target nontoken creature you control, then return it to the battlefield under your control.|
226509|Chaotic Æther||Phenomenon|||When you encounter Chaotic Æther, each blank roll of the planar die is a chaos roll until a player planeswalks away from a plane. <i>(Then planeswalk away from this phenomenon.)</i>|Planechase 2012 Edition|Common||5|When you encounter Chaotic Æther, each blank roll of the planar die is a chaos roll until a player planeswalks away from a plane. <i>(Then planeswalk away from this phenomenon.)</i>|
226527|Edge of Malacol||Plane - Belenon|||If a creature you control would untap during your untap step, put two +1/+1 counters on it instead.<br>Whenever you roll chaos, untap each creature you control.|Planechase 2012 Edition|Common||6|If a creature you control would untap during your untap step, put two +1/+1 counters on it instead.<br>Whenever you roll chaos, untap each creature you control.|
226536|Furnace Layer||Plane - New Phyrexia|||When you planeswalk to Furnace Layer or at the beginning of your upkeep, select target player at random. That player discards a card. If that player discards a land card this way, he or she loses 3 life.<br>Whenever you roll chaos, you may destroy target nonland permanent.|Planechase 2012 Edition|Common||7|When you planeswalk to Furnace Layer or at the beginning of your upkeep, select target player at random. That player discards a card. If that player discards a land card this way, he or she loses 3 life.<br>Whenever you roll chaos, you may destroy target nonland permanent.|
226542|Gavony||Plane - Innistrad|||All creatures have vigilance.<br>Whenever you roll chaos, creatures you control are indestructible this turn.|Planechase 2012 Edition|Common||8|All creatures have vigilance.<br>Whenever you roll chaos, creatures you control are indestructible this turn.|
226535|Glen Elendra||Plane - Lorwyn|||At end of combat, you may exchange control of target creature you control that dealt combat damage to a player this combat and target creature that player controls.<br>Whenever you roll chaos, gain control of target creature you own.|Planechase 2012 Edition|Common||9|At end of combat, you may exchange control of target creature you control that dealt combat damage to a player this combat and target creature that player controls.<br>Whenever you roll chaos, gain control of target creature you own.|
226554|Grand Ossuary||Plane - Ravnica|||Whenever a creature dies, its controller distributes a number of +1/+1 counters equal to its power among any number of target creatures he or she controls.<br>Whenever you roll chaos, each player exiles all creatures he or she controls and puts X 1/1 green Saproling creature tokens onto the battlefield, where X is the total power of the creatures he or she exiled this way. Then planeswalk.|Planechase 2012 Edition|Common||10|Whenever a creature dies, its controller distributes a number of +1/+1 counters equal to its power among any number of target creatures he or she controls.<br>Whenever you roll chaos, each player exiles all creatures he or she controls and puts X 1/1 green Saproling creature tokens onto the battlefield, where X is the total power of the creatures he or she exiled this way. Then planeswalk.|
226541|Grove of the Dreampods||Plane - Fabacin|||When you planeswalk to Grove of the Dreampods or at the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Put that card onto the battlefield and the rest on the bottom of your library in a random order.<br>Whenever you roll chaos, return target creature card from your graveyard to the battlefield.|Planechase 2012 Edition|Common||11|When you planeswalk to Grove of the Dreampods or at the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Put that card onto the battlefield and the rest on the bottom of your library in a random order.<br>Whenever you roll chaos, return target creature card from your graveyard to the battlefield.|
226544|Hedron Fields of Agadeem||Plane - Zendikar|||Creatures with power 7 or greater can't attack or block.<br>Whenever you roll chaos, put a 7/7 colorless Eldrazi creature token with annihilator 1 onto the battlefield. <i>(Whenever it attacks, defending player sacrifices a permanent.)</i>|Planechase 2012 Edition|Common||12|Creatures with power 7 or greater can't attack or block.<br>Whenever you roll chaos, put a 7/7 colorless Eldrazi creature token with annihilator 1 onto the battlefield. <i>(Whenever it attacks, defending player sacrifices a permanent.)</i>|
226549|Interplanar Tunnel||Phenomenon|||When you encounter Interplanar Tunnel, reveal cards from the top of your planar deck until you reveal five plane cards. Put a plane card from among them on top of your planar deck, then put the rest of the revealed cards on the bottom in a random order. <i>(Then planeswalk away from this phenomenon.)</i>|Planechase 2012 Edition|Common||13|When you encounter Interplanar Tunnel, reveal cards from the top of your planar deck until you reveal five plane cards. Put a plane card from among them on top of your planar deck, then put the rest of the revealed cards on the bottom in a random order. <i>(Then planeswalk away from this phenomenon.)</i>|
226551|Jund||Plane - Alara|||Whenever a player casts a black, red, or green creature spell, it gains devour 5. <i>(As the creature enters the battlefield, its controller may sacrifice any number of creatures. The creature enters the battlefield with five times that many +1/+1 counters on it.)</i><br>Whenever you roll chaos, put two 1/1 red Goblin creature tokens onto the battlefield.|Planechase 2012 Edition|Common||14|Whenever a player casts a black, red, or green creature spell, it gains devour 5. <i>(As the creature enters the battlefield, its controller may sacrifice any number of creatures. The creature enters the battlefield with five times that many +1/+1 counters on it.)</i><br>Whenever you roll chaos, put two 1/1 red Goblin creature tokens onto the battlefield.|
226537|Kessig||Plane - Innistrad|||Prevent all combat damage that would be dealt by non-Werewolf creatures.<br>Whenever you roll chaos, each creature you control gets +2/+2, gains trample, and becomes a Werewolf in addition to its other types until end of turn.|Planechase 2012 Edition|Common||15|Prevent all combat damage that would be dealt by non-Werewolf creatures.<br>Whenever you roll chaos, each creature you control gets +2/+2, gains trample, and becomes a Werewolf in addition to its other types until end of turn.|
