ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
234722|Ball Lightning|{R}{R}{R}|Creature - Elemental|6|1|Trample <i>(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)</i><br>Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i><br>At the beginning of the end step, sacrifice Ball Lightning.|Premium Deck Series: Fire and Lightning|Rare|mono|3|0.0|||4.638|Trevor Claxton|12||Trample <i>(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)</i><br>Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i><br>At the beginning of the end step, sacrifice Ball Lightning.|0
234737|Barbarian Ring||Land|||{T}: Add {R} to your mana pool. Barbarian Ring deals 1 damage to you.<br>Threshold- {R}, {T}, Sacrifice Barbarian Ring: Barbarian Ring deals 2 damage to target creature or player. Activate this ability only if seven or more cards are in your graveyard.|Premium Deck Series: Fire and Lightning|Uncommon|land|0|0.0|||2.37|John Avon|28||{T}: Add {R} to your mana pool. Barbarian Ring deals 1 damage to you.<br>Threshold- {R}, {T}, Sacrifice Barbarian Ring: Barbarian Ring deals 2 damage to target creature or player. Activate this ability only if seven or more cards are in your graveyard.|0
234723|Boggart Ram-Gang|{R/G}{R/G}{R/G}|Creature - Goblin Warrior|3|3|Haste<br>Wither <i>(This deals damage to creatures in the form of -1/-1 counters.)</i>|Premium Deck Series: Fire and Lightning|Uncommon|hybrid|3|0.0|||4.688|Dave Allsop|13||Haste<br>Wither <i>(This deals damage to creatures in the form of -1/-1 counters.)</i>|0
234712|Browbeat|{2}{R}|Sorcery|||Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.|Premium Deck Series: Fire and Lightning|Uncommon|mono|3|0.0|||4.312|Mark Tedin|21||Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.|0
217977|Chain Lightning|{R}|Sorcery|||Chain Lightning deals 3 damage to target creature or player. Then that player or that creature's controller may pay {R}{R}. If the player does, he or she may copy this spell and may choose a new target for that copy.|Premium Deck Series: Fire and Lightning|Common|mono|1|0.0|||4.566|Christopher Moeller|16||Chain Lightning deals 3 damage to target creature or player. Then that player or that creature's controller may pay {R}{R}. If the player does, he or she may copy this spell and may choose a new target for that copy.|0
234717|Cinder Pyromancer|{2}{R}|Creature - Elemental Shaman|0|1|{T}: Cinder Pyromancer deals 1 damage to target player.<br>Whenever you cast a red spell, you may untap Cinder Pyromancer.|Premium Deck Series: Fire and Lightning|Common|mono|3|0.0|||4.058|Greg Staples|9||{T}: Cinder Pyromancer deals 1 damage to target player.<br>Whenever you cast a red spell, you may untap Cinder Pyromancer.|0
236456|Figure of Destiny|{R/W}|Creature - Kithkin|1|1|{R/W}: Figure of Destiny becomes a 2/2 Kithkin Spirit.<br><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i>{R/W}: If Figure of Destiny is a Spirit, it becomes a 4/4 Kithkin Spirit Warrior.<br><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i>{R/W}: If Figure of Destiny is a Warrior, it becomes an 8/8 Kithkin Spirit Warrior Avatar with flying and first strike.|Premium Deck Series: Fire and Lightning|Rare|hybrid|1|0.0|||4.574|Scott M. Fischer|5||{R/W}: Figure of Destiny becomes a 2/2 Kithkin Spirit.<br><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i>{R/W}: If Figure of Destiny is a Spirit, it becomes a 4/4 Kithkin Spirit Warrior.<br><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i><i><i><i><i><i><i><i>(r/w)</i></i></i></i></i></i></i>{R/W}: If Figure of Destiny is a Warrior, it becomes an 8/8 Kithkin Spirit Warrior Avatar with flying and first strike.|0
234702|Fire Servant|{3}{R}{R}|Creature - Elemental|4|3|If a red instant or sorcery spell you control would deal damage, it deals double that damage instead.|Premium Deck Series: Fire and Lightning|Uncommon|mono|5|0.0|||4.488|Ryan Yee|15||If a red instant or sorcery spell you control would deal damage, it deals double that damage instead.|0
234703|Fireball|{X}{R}|Sorcery|||Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.<br>Fireball costs {1} more to cast for each target beyond the first.|Premium Deck Series: Fire and Lightning|Uncommon|mono|1|0.0|||4.152|Dave Dorman|27||Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.<br>Fireball costs {1} more to cast for each target beyond the first.|0
234736|Fireblast|{4}{R}{R}|Instant|||You may sacrifice two Mountains rather than pay Fireblast's mana cost.<br>Fireblast deals 4 damage to target creature or player.|Premium Deck Series: Fire and Lightning|Common|mono|6|0.0|||4.405|Michael Danza|26||You may sacrifice two Mountains rather than pay Fireblast's mana cost.<br>Fireblast deals 4 damage to target creature or player.|0
