ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
10484|Wei Night Raiders|{2}{B}{B}|Creature - Human Soldier|2|2|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Whenever Wei Night Raiders deals damage to an opponent, that player discards a card.|Portal Three Kingdoms|Uncommon|mono|4|0.0|||0.0||||Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>Whenever Wei Night Raiders deals damage to an opponent, that player discards a card.|0
10485|Wu Admiral|{4}{U}|Creature - Human Soldier|3|3|Wu Admiral gets +1/+1 as long as an opponent controls an Island.|Portal Three Kingdoms|Uncommon|mono|5|0.0|||0.0||||Wu Admiral gets +1/+1 as long as an opponent controls an Island.|0
10486|Flanking Troops|{2}{W}{W}|Creature - Human Soldier|2|2|Whenever Flanking Troops attacks, you may tap target creature.|Portal Three Kingdoms|Uncommon|mono|4|0.0|||0.0||||Whenever Flanking Troops attacks, you may tap target creature.|0
10487|Alert Shu Infantry|{2}{W}|Creature - Human Soldier|2|2|Vigilance|Portal Three Kingdoms|Uncommon|mono|3|0.0|||0.0||||Vigilance|0
10488|Shu Soldier-Farmers|{4}{W}|Creature - Human Soldier|2|4|When Shu Soldier-Farmers enters the battlefield, you gain 4 life.|Portal Three Kingdoms|Uncommon|mono|5|0.0|||0.0||||When Shu Soldier-Farmers enters the battlefield, you gain 4 life.|0
10489|Shu Foot Soldiers|{2}{W}|Creature - Human Soldier|2|3||Portal Three Kingdoms|Common|mono|3|0.0|||0.0|||||0
10490|Kongming, "Sleeping Dragon"|{2}{W}{W}|Legendary Creature - Human Advisor|2|2|Other creatures you control get +1/+1.|Portal Three Kingdoms|Rare|mono|4|0.0|||0.0||||Other creatures you control get +1/+1.|0
10491|Loyal Retainers|{2}{W}|Creature - Human Advisor|1|1|Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.|Portal Three Kingdoms|Uncommon|mono|3|0.0|||0.0||||Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.|0
10492|Taunting Challenge|{1}{G}{G}|Sorcery|||All creatures able to block target creature this turn do so.|Portal Three Kingdoms|Rare|mono|3|0.0|||0.0||||All creatures able to block target creature this turn do so.|0
10494|Guan Yu, Sainted Warrior|{3}{W}{W}|Legendary Creature - Human Soldier Warrior|3|5|Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>When Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.|Portal Three Kingdoms|Rare|mono|5|0.0|||0.0||||Horsemanship <i>(This creature can't be blocked except by creatures with horsemanship.)</i><br>When Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.|0
