ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
4207|Arrogant Vampire|{3}{B}{B}|Creature - Vampire|4|3|Flying|Portal|Uncommon|0.0||2.051|Zina Saunders|1||Flying|0|
4208|Assassin's Blade|{1}{B}|Instant|||Cast Assassin's Blade only during the declare attackers step and only if you've been attacked this step.<br>Destroy target nonblack attacking creature.|Portal|Uncommon|0.0||3.036|John Matson|2||Cast Assassin's Blade only during the declare attackers step and only if you've been attacked this step.<br>Destroy target nonblack attacking creature.|0|
4212|Charging Bandits|{4}{B}|Creature - Human Rogue|3|3|Whenever Charging Bandits attacks, it gets +2/+0 until end of turn.|Portal|Uncommon|0.0||1.767|Dermot Power|3||Whenever Charging Bandits attacks, it gets +2/+0 until end of turn.|0|
4213|Craven Knight|{1}{B}|Creature - Human Knight|2|2|Craven Knight can't block.|Portal|Common|0.0||1.435|Charles Gillespie|4||Craven Knight can't block.|0|
4214|Cruel Bargain|{B}{B}{B}|Sorcery|||Draw four cards. You lose half your life, rounded up.|Portal|Rare|0.0||3.844|Adrian Smith|5||Draw four cards. You lose half your life, rounded up.|0|
4215|Cruel Tutor|{2}{B}|Sorcery|||Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.|Portal|Rare|0.0||2.774|Kev Walker|6||Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.|0|
4216|Dread Charge|{3}{B}|Sorcery|||Until end of turn, black creatures you control can be blocked only by black creatures.|Portal|Rare|0.0||1.958|Ted Naifeh|7||Until end of turn, black creatures you control can be blocked only by black creatures.|0|
4219|Ebon Dragon|{5}{B}{B}|Creature - Dragon|5|4|Flying<br>When Ebon Dragon enters the battlefield, you may have target opponent discard a card.|Portal|Rare|0.0||2.417|Donato Giancola|8||Flying<br>When Ebon Dragon enters the battlefield, you may have target opponent discard a card.|0|
4220|Endless Cockroaches|{1}{B}{B}|Creature - Insect|1|1|When Endless Cockroaches dies, return it to its owner's hand.|Portal|Rare|0.0||3.283|Ron Spencer|9||When Endless Cockroaches dies, return it to its owner's hand.|0|
4222|Final Strike|{2}{B}{B}|Sorcery|||As an additional cost to cast Final Strike, sacrifice a creature.<br>Final Strike deals damage to target opponent equal to the sacrificed creature's power.|Portal|Rare|0.0||1.361|John Coulthart|10||As an additional cost to cast Final Strike, sacrifice a creature.<br>Final Strike deals damage to target opponent equal to the sacrificed creature's power.|0|
4227|King's Assassin|{1}{B}{B}|Creature - Human Assassin|1|1|{T}: Destroy target tapped creature. Activate this ability only during your turn, before attackers are declared.|Portal|Rare|0.0||2.6|Zina Saunders|11||{T}: Destroy target tapped creature. Activate this ability only during your turn, before attackers are declared.|0|
4228|Mercenary Knight|{2}{B}|Creature - Human Mercenary Knight|4|4|When Mercenary Knight enters the battlefield, sacrifice it unless you discard a creature card.|Portal|Rare|0.0||3.577|Adrian Smith|12||When Mercenary Knight enters the battlefield, sacrifice it unless you discard a creature card.|0|
4229|Mind Knives|{1}{B}|Sorcery|||Target opponent discards a card at random.|Portal|Common|0.0||2.579|Rebecca Guay|13||Target opponent discards a card at random.|0|
4232|Nature's Ruin|{2}{B}|Sorcery|||Destroy all green creatures.|Portal|Uncommon|0.0||3.868|Mike Dringenberg|14||Destroy all green creatures.|0|
4233|Noxious Toad|{2}{B}|Creature - Frog|1|1|When Noxious Toad dies, each opponent discards a card.|Portal|Uncommon|0.0||1.406|Adrian Smith|15||When Noxious Toad dies, each opponent discards a card.|0|
4237|Serpent Assassin|{3}{B}{B}|Creature - Snake Assassin|2|2|When Serpent Assassin enters the battlefield, you may destroy target nonblack creature.|Portal|Rare|0.0||2.294|Roger Raupp|16||When Serpent Assassin enters the battlefield, you may destroy target nonblack creature.|0|
4239|Skeletal Crocodile|{3}{B}|Creature - Crocodile Skeleton|5|1||Portal|Common|0.0||2.115|Mike Dringenberg|17|||0|
4240|Skeletal Snake|{1}{B}|Creature - Snake Skeleton|2|1||Portal|Common|0.0||1.889|John Matson|18|||0|
4241|Soul Shred|{3}{B}{B}|Sorcery|||Soul Shred deals 3 damage to target nonblack creature. You gain 3 life.|Portal|Common|0.0||1.227|Alan Rabinowitz|19||Soul Shred deals 3 damage to target nonblack creature. You gain 3 life.|0|
4242|Undying Beast|{3}{B}|Creature - Beast|3|2|When Undying Beast dies, put it on top of its owner's library.|Portal|Common|0.0||1.75|Steve Luke|20||When Undying Beast dies, put it on top of its owner's library.|0|
4243|Vampiric Feast|{5}{B}{B}|Sorcery|||Vampiric Feast deals 4 damage to target creature or player and you gain 4 life.|Portal|Uncommon|0.0||1.034|D. Alexander Gregory|21||Vampiric Feast deals 4 damage to target creature or player and you gain 4 life.|0|
4244|Vampiric Touch|{2}{B}|Sorcery|||Vampiric Touch deals 2 damage to target opponent and you gain 2 life.|Portal|Common|0.0||2.233|Zina Saunders|22||Vampiric Touch deals 2 damage to target opponent and you gain 2 life.|0|
4245|Virtue's Ruin|{2}{B}|Sorcery|||Destroy all white creatures.|Portal|Uncommon|0.0||3.9|Mike Dringenberg|23||Destroy all white creatures.|0|
4250|Capricious Sorcerer|{2}{U}|Creature - Human Wizard|1|1|{T}: Capricious Sorcerer deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.|Portal|Rare|0.0||1.4|Zina Saunders|24||{T}: Capricious Sorcerer deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.|0|
4251|Cloak of Feathers|{U}|Sorcery|||Target creature gains flying until end of turn.<br>Draw a card.|Portal|Common|0.0||3.676|Rebecca Guay|25||Target creature gains flying until end of turn.<br><br>Draw a card.|0|
4252|Cloud Dragon|{5}{U}|Creature - Illusion Dragon|5|4|Flying<br>Cloud Dragon can block only creatures with flying.|Portal|Rare|0.0||2.696|John Avon|26||Flying<br>Cloud Dragon can block only creatures with flying.|0|
4253|Cloud Pirates|{U}|Creature - Human Pirate|1|1|Flying<br>Cloud Pirates can block only creatures with flying.|Portal|Common|0.0||2.812|Phil Foglio|27||Flying<br>Cloud Pirates can block only creatures with flying.|0|
4254|Cloud Spirit|{2}{U}|Creature - Spirit|3|1|Flying<br>Cloud Spirit can block only creatures with flying.|Portal|Uncommon|0.0||2.833|DiTerlizzi|28||Flying<br>Cloud Spirit can block only creatures with flying.|0|
4255|Command of Unsummoning|{2}{U}|Instant|||Cast Command of Unsummoning only during the declare attackers step and only if you've been attacked this step.<br>Return one or two target attacking creatures to their owner's hand.|Portal|Uncommon|0.0||2.15|Phil Foglio|29||Cast Command of Unsummoning only during the declare attackers step and only if you've been attacked this step.<br>Return one or two target attacking creatures to their owner's hand.|0|
