ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
4207|Arrogant Vampire|{3}{B}{B}|Creature - Vampire|4|3|Flying|Portal|Uncommon|Zina Saunders|1|Flying|
4208|Assassin's Blade|{1}{B}|Instant|||Cast Assassin's Blade only during the declare attackers step and only if you've been attacked this step.<br>Destroy target nonblack attacking creature.|Portal|Uncommon|John Matson|2|Cast Assassin's Blade only during the declare attackers step and only if you've been attacked this step.<br>Destroy target nonblack attacking creature.|
4212|Charging Bandits|{4}{B}|Creature - Human Rogue|3|3|Whenever Charging Bandits attacks, it gets +2/+0 until end of turn.|Portal|Uncommon|Dermot Power|3|Whenever Charging Bandits attacks, it gets +2/+0 until end of turn.|
4213|Craven Knight|{1}{B}|Creature - Human Knight|2|2|Craven Knight can't block.|Portal|Common|Charles Gillespie|4|Craven Knight can't block.|
4214|Cruel Bargain|{B}{B}{B}|Sorcery|||Draw four cards. You lose half your life, rounded up.|Portal|Rare|Adrian Smith|5|Draw four cards. You lose half your life, rounded up.|
4215|Cruel Tutor|{2}{B}|Sorcery|||Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.|Portal|Rare|Kev Walker|6|Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.|
4216|Dread Charge|{3}{B}|Sorcery|||Until end of turn, black creatures you control can be blocked only by black creatures.|Portal|Rare|Ted Naifeh|7|Until end of turn, black creatures you control can be blocked only by black creatures.|
4219|Ebon Dragon|{5}{B}{B}|Creature - Dragon|5|4|Flying<br>When Ebon Dragon enters the battlefield, you may have target opponent discard a card.|Portal|Rare|Donato Giancola|8|Flying<br>When Ebon Dragon enters the battlefield, you may have target opponent discard a card.|
4220|Endless Cockroaches|{1}{B}{B}|Creature - Insect|1|1|When Endless Cockroaches dies, return it to its owner's hand.|Portal|Rare|Ron Spencer|9|When Endless Cockroaches dies, return it to its owner's hand.|
4222|Final Strike|{2}{B}{B}|Sorcery|||As an additional cost to cast Final Strike, sacrifice a creature.<br>Final Strike deals damage to target opponent equal to the sacrificed creature's power.|Portal|Rare|John Coulthart|10|As an additional cost to cast Final Strike, sacrifice a creature.<br>Final Strike deals damage to target opponent equal to the sacrificed creature's power.|
4227|King's Assassin|{1}{B}{B}|Creature - Human Assassin|1|1|{T}: Destroy target tapped creature. Activate this ability only during your turn, before attackers are declared.|Portal|Rare|Zina Saunders|11|{T}: Destroy target tapped creature. Activate this ability only during your turn, before attackers are declared.|
4228|Mercenary Knight|{2}{B}|Creature - Human Mercenary Knight|4|4|When Mercenary Knight enters the battlefield, sacrifice it unless you discard a creature card.|Portal|Rare|Adrian Smith|12|When Mercenary Knight enters the battlefield, sacrifice it unless you discard a creature card.|
4229|Mind Knives|{1}{B}|Sorcery|||Target opponent discards a card at random.|Portal|Common|Rebecca Guay|13|Target opponent discards a card at random.|
4232|Nature's Ruin|{2}{B}|Sorcery|||Destroy all green creatures.|Portal|Uncommon|Mike Dringenberg|14|Destroy all green creatures.|
4233|Noxious Toad|{2}{B}|Creature - Frog|1|1|When Noxious Toad dies, each opponent discards a card.|Portal|Uncommon|Adrian Smith|15|When Noxious Toad dies, each opponent discards a card.|
4237|Serpent Assassin|{3}{B}{B}|Creature - Snake Assassin|2|2|When Serpent Assassin enters the battlefield, you may destroy target nonblack creature.|Portal|Rare|Roger Raupp|16|When Serpent Assassin enters the battlefield, you may destroy target nonblack creature.|
4239|Skeletal Crocodile|{3}{B}|Creature - Crocodile Skeleton|5|1||Portal|Common|Mike Dringenberg|17||
4240|Skeletal Snake|{1}{B}|Creature - Snake Skeleton|2|1||Portal|Common|John Matson|18||
4241|Soul Shred|{3}{B}{B}|Sorcery|||Soul Shred deals 3 damage to target nonblack creature. You gain 3 life.|Portal|Common|Alan Rabinowitz|19|Soul Shred deals 3 damage to target nonblack creature. You gain 3 life.|
4242|Undying Beast|{3}{B}|Creature - Beast|3|2|When Undying Beast dies, put it on top of its owner's library.|Portal|Common|Steve Luke|20|When Undying Beast dies, put it on top of its owner's library.|
4243|Vampiric Feast|{5}{B}{B}|Sorcery|||Vampiric Feast deals 4 damage to target creature or player and you gain 4 life.|Portal|Uncommon|D. Alexander Gregory|21|Vampiric Feast deals 4 damage to target creature or player and you gain 4 life.|
4244|Vampiric Touch|{2}{B}|Sorcery|||Vampiric Touch deals 2 damage to target opponent and you gain 2 life.|Portal|Common|Zina Saunders|22|Vampiric Touch deals 2 damage to target opponent and you gain 2 life.|
