ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
97042|Arena||Land|||{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Those creatures fight each other. <i>(Each deals damage equal to its power to the other.)</i>|Promo set for Gatherer|Special|Rob Alexander|1|{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Those creatures fight each other. <i>(Each deals damage equal to its power to the other.)</i>|
97047|Lightning Dragon|{2}{R}{R}|Creature - Dragon|4|4|Flying<br>Echo {2}{R}{R} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>{R}: Lightning Dragon gets +1/+0 until end of turn.|Promo set for Gatherer|Rare|Ron Spencer|202|Flying<br>Echo {2}{R}{R} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>{R}: Lightning Dragon gets +1/+0 until end of turn.|
97048|Mana Crypt|{0}|Artifact|||At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.<br>{T}: Add {2} to your mana pool.|Promo set for Gatherer|Special|Mark Tedin|3|At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.<br>{T}: Add {2} to your mana pool.|
97050|Nalathni Dragon|{2}{R}{R}|Creature - Dragon|1|1|Flying; banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i><br>{R}: Nalathni Dragon gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Nalathni Dragon at the beginning of the next end step.|Promo set for Gatherer|Special|Michael Whelan|4|Flying; banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i><br>{R}: Nalathni Dragon gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Nalathni Dragon at the beginning of the next end step.|
97051|Overtaker|{1}{U}|Creature - Merfolk Spellshaper|1|1|{3}{U}, {T}, Discard a card: Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn.|Promo set for Gatherer|Rare|Clyde Caldwell|89|{3}{U}, {T}, Discard a card: Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn.|
97054|Sewers of Estark|{2}{B}{B}|Instant|||Choose target creature. If it's attacking, it's unblockable this turn. If it's blocking, prevent all combat damage that would be dealt this turn by it and each creature it's blocking.|Promo set for Gatherer|Special|Melissa Benson|6|Choose target creature. If it's attacking, it's unblockable this turn. If it's blocking, prevent all combat damage that would be dealt this turn by it and each creature it's blocking.|
97056|Sword of Kaldra|{4}|Legendary Artifact - Equipment|||Equipped creature gets +5/+5.<br>Whenever equipped creature deals damage to a creature, exile that creature.<br>Equip {4} <i>({4}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)</i>|Promo set for Gatherer|Rare|Donato Giancola|251|Equipped creature gets +5/+5.<br>Whenever equipped creature deals damage to a creature, exile that creature.<br>Equip {4} <i>({4}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)</i>|
97057|Windseeker Centaur|{1}{R}{R}|Creature - Centaur|2|2|Vigilance|Promo set for Gatherer|Special|Anson Maddocks|8|Vigilance|
97061|Raging Kavu|{1}{R}{G}|Creature - Kavu|3|1|Flash<br>Haste|Promo set for Gatherer|Rare|Arnie Swekel|262|Flash<br>Haste|
97067|Soul Collector|{3}{B}{B}|Creature - Vampire|3|4|Flying<br>Whenever a creature dealt damage by Soul Collector this turn dies, return that card to the battlefield under your control.<br>Morph {B}{B}{B} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Promo set for Gatherer|Rare|Matthew D. Wilson|74|Flying<br>Whenever a creature dealt damage by Soul Collector this turn dies, return that card to the battlefield under your control.<br>Morph {B}{B}{B} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
97060|Avatar of Hope|{6}{W}{W}|Creature - Avatar|4|9|If you have 3 or less life, Avatar of Hope costs {6} less to cast.<br>Flying<br>Avatar of Hope can block any number of creatures.|Promo set for Gatherer|Rare|rk post|3|If you have 3 or less life, Avatar of Hope costs {6} less to cast.<br>Flying<br>Avatar of Hope can block any number of creatures.|
97058|Beast of Burden|{6}|Artifact Creature - Golem|||Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.|Promo set for Gatherer|Rare|Ron Spears|122|Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.|
97043|Dirtcowl Wurm|{4}{G}|Creature - Wurm|3|4|Whenever an opponent plays a land, put a +1/+1 counter on Dirtcowl Wurm.|Promo set for Gatherer|Rare|Dan Frazier|13|Whenever an opponent plays a land, put a +1/+1 counter on Dirtcowl Wurm.|
97044|False Prophet|{2}{W}{W}|Creature - Human Cleric|2|2|When False Prophet dies, exile all creatures.|Promo set for Gatherer|Rare|Eric Peterson|6|When False Prophet dies, exile all creatures.|
97066|Feral Throwback|{4}{G}{G}|Creature - Beast|3|3|Amplify 2 <i>(As this creature enters the battlefield, put two +1/+1 counters on it for each Beast card you reveal in your hand.)</i><br>Provoke <i>(When this attacks, you may have target creature defending player controls untap and block it if able.)</i>|Promo set for Gatherer|Rare|Carl Critchlow|126|Amplify 2 <i>(As this creature enters the battlefield, put two +1/+1 counters on it for each Beast card you reveal in your hand.)</i><br>Provoke <i>(When this attacks, you may have target creature defending player controls untap and block it if able.)</i>|
97062|Fungal Shambler|{4}{G}{U}{B}|Creature - Fungus Beast|6|4|Trample<br>Whenever Fungal Shambler deals damage to an opponent, you draw a card and that opponent discards a card.|Promo set for Gatherer|Rare|Jim Nelson|100|Trample<br>Whenever Fungal Shambler deals damage to an opponent, you draw a card and that opponent discards a card.|
97045|Giant Badger|{1}{G}{G}|Creature - Badger|2|2|Whenever Giant Badger blocks, it gets +2/+2 until end of turn.|Promo set for Gatherer|Special|Liz Danforth|17|Whenever Giant Badger blocks, it gets +2/+2 until end of turn.|
97064|Glory|{3}{W}{W}|Creature - Incarnation|3|3|Flying<br>{2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate this ability only if Glory is in your graveyard.|Promo set for Gatherer|Rare|Donato Giancola|11|Flying<br>{2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate this ability only if Glory is in your graveyard.|
97046|Helm of Kaldra|{3}|Legendary Artifact - Equipment|||Equipped creature has first strike, trample, and haste.<br>{1}: If you control Equipment named Helm of Kaldra, Sword of Kaldra, and Shield of Kaldra, put a legendary 4/4 colorless Avatar creature token named Kaldra onto the battlefield and attach those Equipment to it.<br>Equip {2}|Promo set for Gatherer|Rare|Donato Giancola|131|Equipped creature has first strike, trample, and haste.<br>{1}: If you control Equipment named Helm of Kaldra, Sword of Kaldra, and Shield of Kaldra, put a legendary 4/4 colorless Avatar creature token named Kaldra onto the battlefield and attach those Equipment to it.<br>Equip {2}|
97063|Laquatus's Champion|{4}{B}{B}|Creature - Nightmare Horror|6|3|When Laquatus's Champion enters the battlefield, target player loses 6 life.<br>When Laquatus's Champion leaves the battlefield, that player gains 6 life.<br>{B}: Regenerate Laquatus's Champion.|Promo set for Gatherer|Rare|Greg Staples|67|When Laquatus's Champion enters the battlefield, target player loses 6 life.<br>When Laquatus's Champion leaves the battlefield, that player gains 6 life.<br>{B}: Regenerate Laquatus's Champion.|
97049|Monstrous Hound|{3}{R}|Creature - Hound|4|4|Monstrous Hound can't attack unless you control more lands than defending player.<br>Monstrous Hound can't block unless you control more lands than attacking player.|Promo set for Gatherer|Rare|Dermot Power|89|Monstrous Hound can't attack unless you control more lands than defending player.<br>Monstrous Hound can't block unless you control more lands than attacking player.|
97052|Questing Phelddagrif|{1}{G}{W}{U}|Creature - Phelddagrif|4|4|{G}: Questing Phelddagrif gets +1/+1 until end of turn. Target opponent puts a 1/1 green Hippo creature token onto the battlefield.<br>{W}: Questing Phelddagrif gains protection from black and from red until end of turn. Target opponent gains 2 life.<br>{U}: Questing Phelddagrif gains flying until end of turn. Target opponent may draw a card.|Promo set for Gatherer|Rare|Matt Cavotta|119|{G}: Questing Phelddagrif gets +1/+1 until end of turn. Target opponent puts a 1/1 green Hippo creature token onto the battlefield.<br>{W}: Questing Phelddagrif gains protection from black and from red until end of turn. Target opponent gains 2 life.<br>{U}: Questing Phelddagrif gains flying until end of turn. Target opponent may draw a card.|
97059|Rathi Assassin|{2}{B}{B}|Creature - Zombie Mercenary Assassin|2|2|{1}{B}{B}, {T}: Destroy target tapped nonblack creature.<br>{3}, {T}: Search your library for a Mercenary permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.|Promo set for Gatherer|Rare|Dana Knutson|67|{1}{B}{B}, {T}: Destroy target tapped nonblack creature.<br>{3}, {T}: Search your library for a Mercenary permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.|
97053|Revenant|{4}{B}|Creature - Spirit|||Flying<br>Revenant's power and toughness are each equal to the number of creature cards in your graveyard.|Promo set for Gatherer|Rare|Terese Nielsen|24|Flying<br>Revenant's power and toughness are each equal to the number of creature cards in your graveyard.|
97068|Ryusei, the Falling Star|{5}{R}|Legendary Creature - Dragon Spirit|5|5|Flying<br>When Ryusei, the Falling Star dies, it deals 5 damage to each creature without flying.|Promo set for Gatherer|Rare|Nottsuo|185|Flying<br>When Ryusei, the Falling Star dies, it deals 5 damage to each creature without flying.|
97055|Shield of Kaldra|{4}|Legendary Artifact - Equipment|||Equipment named Sword of Kaldra, Shield of Kaldra, and Helm of Kaldra are indestructible.<br>Equipped creature is indestructible. <i>("Destroy" effects and lethal damage don't destroy it.)</i><br>Equip {4}|Promo set for Gatherer|Promo|Donato Giancola|139|Equipment named Sword of Kaldra, Shield of Kaldra, and Helm of Kaldra are indestructible.<br>Equipped creature is indestructible. <i>("Destroy" effects and lethal damage don't destroy it.)</i><br>Equip {4}|
97065|Silent Specter|{4}{B}{B}|Creature - Specter|4|4|Flying<br>Whenever Silent Specter deals combat damage to a player, that player discards two cards.<br>Morph {3}{B}{B} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Promo set for Gatherer|Rare|Daren Bader|169|Flying<br>Whenever Silent Specter deals combat damage to a player, that player discards two cards.<br>Morph {3}{B}{B} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
