ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
21382|Elephant Resurgence|{1}{G}|Sorcery|||Each player puts a green Elephant creature token onto the battlefield. Those creatures have "This creature's power and toughness are each equal to the number of creature cards in its controller's graveyard."|Prophecy|Rare|DiTerlizzi|113|Each player puts a green Elephant creature token onto the battlefield. Those creatures have "This creature's power and toughness are each equal to the number of creature cards in its controller's graveyard."|
23318|Wintermoon Mesa||Land|||Wintermoon Mesa enters the battlefield tapped.<br>{T}: Add {1} to your mana pool.<br>{2}, {T}, Sacrifice Wintermoon Mesa: Tap two target lands.|Prophecy|Rare|Tom Wänerstrand|143|Wintermoon Mesa enters the battlefield tapped.<br>{T}: Add {1} to your mana pool.<br>{2}, {T}, Sacrifice Wintermoon Mesa: Tap two target lands.|
24546|Trenching Steed|{3}{W}|Creature - Horse Rebel|2|3|Sacrifice a land: Trenching Steed gets +0/+3 until end of turn.|Prophecy|Common|Greg & Tim Hildebrandt|26|Sacrifice a land: Trenching Steed gets +0/+3 until end of turn.|
24547|Troubled Healer|{2}{W}|Creature - Human Cleric|1|2|Sacrifice a land: Prevent the next 2 damage that would be dealt to target creature or player this turn.|Prophecy|Common|Terese Nielsen|27|Sacrifice a land: Prevent the next 2 damage that would be dealt to target creature or player this turn.|
24549|Glittering Lynx|{W}|Creature - Cat|1|1|Prevent all damage that would be dealt to Glittering Lynx.<br>{2}: Until end of turn, Glittering Lynx loses "Prevent all damage that would be dealt to Glittering Lynx." Any player may activate this ability.|Prophecy|Common|Dan Frazier|11|Prevent all damage that would be dealt to Glittering Lynx.<br>{2}: Until end of turn, Glittering Lynx loses "Prevent all damage that would be dealt to Glittering Lynx." Any player may activate this ability.|
24550|Mageta's Boon|{1}{W}|Enchantment - Aura|||Flash<br>Enchant creature<br>Enchanted creature gets +1/+2.|Prophecy|Common|Bradley Williams|14|Flash<br>Enchant creature<br>Enchanted creature gets +1/+2.|
24551|Rhystic Shield|{1}{W}|Instant|||Creatures you control get +0/+1 until end of turn. They get an additional +0/+2 until end of turn unless any player pays {2}.|Prophecy|Common|Kev Walker|20|Creatures you control get +0/+1 until end of turn. They get an additional +0/+2 until end of turn unless any player pays {2}.|
24552|Flowering Field|{1}{W}|Enchantment - Aura|||Enchant land<br>Enchanted land has "{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn."|Prophecy|Uncommon|Jeff Miracola|9|Enchant land<br>Enchanted land has "{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn."|
24553|Excise|{X}{W}|Instant|||Exile target attacking creature unless its controller pays {X}.|Prophecy|Common|Joel Biske|8|Exile target attacking creature unless its controller pays {X}.|
24554|Mirror Strike|{3}{W}|Instant|||All combat damage that would be dealt to you this turn by target unblocked creature is dealt to its controller instead.|Prophecy|Uncommon|Dave Dorman|17|All combat damage that would be dealt to you this turn by target unblocked creature is dealt to its controller instead.|
24555|Mine Bearer|{2}{W}|Creature - Human Soldier|1|1|{T}, Sacrifice Mine Bearer: Destroy target attacking creature.|Prophecy|Common|D. Alexander Gregory|16|{T}, Sacrifice Mine Bearer: Destroy target attacking creature.|
24556|Shield Dancer|{2}{W}|Creature - Human Rebel|1|3|{2}{W}: The next time target attacking creature would deal combat damage to Shield Dancer this turn, that creature deals that damage to itself instead.|Prophecy|Uncommon|Mike Ploog|23|{2}{W}: The next time target attacking creature would deal combat damage to Shield Dancer this turn, that creature deals that damage to itself instead.|
24557|Entangler|{2}{W}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can block any number of creatures.|Prophecy|Uncommon|D. Alexander Gregory|7|Enchant creature<br>Enchanted creature can block any number of creatures.|
24558|Glittering Lion|{2}{W}|Creature - Cat|2|2|Prevent all damage that would be dealt to Glittering Lion.<br>{3}: Until end of turn, Glittering Lion loses "Prevent all damage that would be dealt to Glittering Lion." Any player may activate this ability.|Prophecy|Uncommon|Don Hazeltine|10|Prevent all damage that would be dealt to Glittering Lion.<br>{3}: Until end of turn, Glittering Lion loses "Prevent all damage that would be dealt to Glittering Lion." Any player may activate this ability.|
24559|Reveille Squad|{2}{W}{W}|Creature - Human Rebel|3|3|Whenever one or more creatures attack you, if Reveille Squad is untapped, you may untap all creatures you control.|Prophecy|Uncommon|Greg & Tim Hildebrandt|18|Whenever one or more creatures attack you, if Reveille Squad is untapped, you may untap all creatures you control.|
24560|Aura Fracture|{2}{W}|Enchantment|||Sacrifice a land: Destroy target enchantment.|Prophecy|Common|Rebecca Guay|2|Sacrifice a land: Destroy target enchantment.|
24561|Abolish|{1}{W}{W}|Instant|||You may discard a Plains card rather than pay Abolish's mana cost.<br>Destroy target artifact or enchantment.|Prophecy|Uncommon|Kev Walker|1|You may discard a Plains card rather than pay Abolish's mana cost.<br>Destroy target artifact or enchantment.|
24562|Rhystic Circle|{2}{W}{W}|Enchantment|||{1}: Any player may pay {1}. If no one does, the next time a source of your choice would deal damage to you this turn, prevent that damage.|Prophecy|Common|Alan Pollack|19|{1}: Any player may pay {1}. If no one does, the next time a source of your choice would deal damage to you this turn, prevent that damage.|
24563|Mercenary Informer|{2}{W}|Creature - Human Rebel Mercenary|2|1|Mercenary Informer can't be the target of black spells or abilities from black sources.<br>{2}{W}: Put target nontoken Mercenary on the bottom of its owner's library.|Prophecy|Rare|Nelson DeCastro|15|Mercenary Informer can't be the target of black spells or abilities from black sources.<br>{2}{W}: Put target nontoken Mercenary on the bottom of its owner's library.|
24565|Mageta the Lion|{3}{W}{W}|Legendary Creature - Human Spellshaper|3|3|{2}{W}{W}, {T}, Discard two cards: Destroy all creatures except for Mageta the Lion. Those creatures can't be regenerated.|Prophecy|Rare|Brom|13|{2}{W}{W}, {T}, Discard two cards: Destroy all creatures except for Mageta the Lion. Those creatures can't be regenerated.|
24566|Jeweled Spirit|{3}{W}{W}|Creature - Spirit|3|3|Flying<br>Sacrifice two lands: Jeweled Spirit gains protection from artifacts or from the color of your choice until end of turn.|Prophecy|Rare|Christopher Moeller|12|Flying<br>Sacrifice two lands: Jeweled Spirit gains protection from artifacts or from the color of your choice until end of turn.|
